Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-40,4392,17216,-766,80,-561,-3708,2052,15036,-525,-271,-97
20,-40,4392,17216,-766,80,-561,-3708,2052,15036,-525,-271,-97
40,-40,4392,17216,-766,80,-561,-3708,2052,15036,-525,-271,-97
60,-40,4392,17216,-766,80,-561,-3708,2052,15036,-525,-271,-97
80,-24,4544,17180,-652,16,-489,-3716,2264,14832,-588,-264,-103
100,-64,4564,17172,-525,-45,-520,-3692,2384,15012,-596,-328,-106
120,12,4600,17192,-550,-73,-536,-3748,2064,15244,-582,-349,-67
140,120,4648,17348,-721,-158,-440,-3532,2216,15260,-543,-328,-46
160,20,4564,17132,-709,-214,-385,-3580,2300,15180,-525,-241,-58
180,4,4612,17268,-889,162,-502,-3504,2368,15248,-545,-190,-35
200,32,4536,17152,-866,108,-477,-3460,2260,15156,-563,-180,-45
220,-88,4564,17308,-949,33,-427,-3760,2188,15500,-519,-303,-57
240,52,4556,17624,-1232,96,-376,-3476,2356,15508,-478,-153,-102
260,300,4744,17852,-1286,299,-344,-3256,2632,15540,-392,436,-162
280,360,5108,17792,-243,298,92,-2948,2808,14864,-340,1651,-208
300,204,4768,17532,424,2160,700,-3280,2292,15288,-484,3222,-221
320,-356,4800,17984,1316,2632,512,-3608,2340,15832,-469,3289,-31
340,-1148,3704,20096,2343,2245,683,-5012,1608,15720,-166,2587,110
360,-1484,3228,20756,6361,3253,1388,-4360,2328,15164,347,3283,613
380,-780,4004,18904,9434,6768,2140,-4724,1900,15720,885,5130,1583
400,-1184,5544,21748,14026,13125,999,-6864,2252,16248,1432,8912,2958
420,-4508,6816,22700,16412,16120,356,-8492,1684,18544,2503,8899,3709
440,-5800,6648,23936,19563,12114,2645,-8772,1500,19380,4316,6767,4853
460,-5696,7612,22088,21403,10429,5730,-8460,1840,19696,6146,7583,6798
480,-4376,10452,19724,19641,15064,6309,-7980,3436,18932,7066,13076,10016
500,-4204,11188,17488,17998,24691,6879,-8024,4508,16804,7254,21294,13237
520,-6544,11208,15768,16843,32767,7606,-10816,4920,15616,7395,24365,16126
540,-10792,11396,15888,16729,32706,10451,-13548,4764,15624,7351,20637,17722
560,-12220,12004,15488,14537,21341,12366,-13488,4332,15656,7924,14299,18581
580,-10228,11636,14076,12488,15874,13418,-11880,5156,14144,7844,11571,20113
600,-8688,11908,12440,10706,17086,13439,-11068,5516,13068,7634,14237,22391
620,-8440,11956,10864,8878,21276,13429,-11264,6624,11756,7218,14795,24105
640,-9424,11636,10516,7688,20826,15324,-10520,7068,10768,6833,13825,25261
660,-8444,10992,9248,6259,18618,17224,-9748,7596,10168,6044,11831,26531
680,-7796,10912,8944,4226,17389,18201,-8364,7696,9188,5668,10339,27395
700,-5020,10812,7948,3268,17445,20704,-4808,9716,7900,4672,10277,27965
720,-2552,10768,6520,3100,16892,23964,-4052,9956,7456,3680,8934,27887
740,384,10252,5716,2094,15316,24521,-2808,10372,7184,2718,6369,26728
760,1676,9288,7432,1632,11307,22845,-1128,9720,6780,2225,3557,25012
780,3508,10128,6176,2119,6038,20102,504,9832,6724,2434,3013,23175
800,6212,10780,5100,2635,4275,17737,2112,11072,6424,2658,510,20148
820,7292,11304,4384,2608,3685,14850,3816,10976,6560,1756,956,18362
840,6044,11328,4900,1556,3721,13206,2916,10672,6780,1364,-267,16057
860,6512,11392,4316,1017,2227,12285,3564,11484,6496,602,408,14278
880,7320,11936,4356,1061,2297,10904,4048,11688,6168,282,1004,12409
900,6756,12060,5024,1337,3668,8733,3124,11848,6340,13,1651,10503
920,5248,12552,5344,1305,3479,6625,1668,11752,6860,-30,1197,8858
940,4888,13272,5376,629,1424,4819,2048,12132,7412,-60,455,7279
960,4740,13600,5172,-457,-595,4566,2596,11992,7576,-210,-716,6057
980,4948,13364,5132,-2170,-1829,4414,2508,11968,7492,-463,-1220,5193
1000,6736,13824,5080,-3911,-2701,3058,3516,12152,7936,-452,-2413,3842
1020,7444,13908,5864,-5826,-4830,2010,3816,12516,8640,-18,-4129,2117
1040,7884,14564,6432,-7903,-7571,2,4392,13036,9536,629,-6376,346
1060,8368,15556,6884,-10016,-10513,-1177,5440,14108,10056,1659,-8611,-1130
1080,12604,15680,7896,-10742,-16373,-4009,5612,15448,9548,2618,-10876,-2989
1100,16668,16576,9300,-9852,-13925,-10593,10400,17284,9632,3192,-8118,-4919
1120,15744,15572,9084,-7658,-5357,-13674,12192,17136,8220,2819,-2690,-6321
1140,11400,14820,8160,-3819,395,-12146,9448,16168,5652,2405,1292,-7092
1160,5688,13792,7944,1449,2282,-12073,3068,15036,4712,1648,1938,-8116
1180,-132,13252,8088,3971,-552,-13290,-1984,13764,6132,1071,-2170,-8620
1200,-4384,13236,7512,3129,-7195,-12566,-3660,12956,6372,671,-7260,-8804
1220,-5012,13028,7000,1536,-11015,-9765,-3660,12292,5780,439,-9808,-7932
