Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-4268,2540,16860,-229,8,-601,-4952,276,14728,-517,15,-254
20,-4440,2636,16900,-280,18,-585,-4856,280,14688,-524,37,-225
40,-4468,2656,16948,-292,36,-544,-4832,180,14644,-596,-35,-211
60,-4328,2584,16900,-287,42,-547,-4872,260,14688,-601,-74,-193
80,-4404,2628,17000,-257,-27,-521,-4956,268,14744,-577,-221,-196
100,-4164,2688,16888,-267,-51,-523,-4844,312,14672,-606,-272,-203
120,-4196,2780,16972,-279,-73,-528,-4776,140,14748,-605,-180,-192
140,-4344,2704,16916,-320,9,-486,-4884,344,14792,-643,-122,-145
160,-4384,2604,16992,-303,-10,-511,-4844,244,14752,-584,-33,-154
180,-4404,2680,16888,-315,-2,-512,-4840,292,14684,-569,-10,-123
200,-4256,2640,16684,-369,42,-551,-4864,172,14768,-572,-20,-105
220,-4200,2612,16960,-297,-32,-526,-4780,164,14744,-562,-34,-102
240,-4400,2660,16944,-347,22,-507,-4828,192,14612,-592,-46,-96
260,-4448,2724,16932,-290,25,-479,-4876,240,14740,-555,-25,-116
280,-4452,2624,17000,-276,44,-504,-4868,228,14700,-537,-35,-120
300,-4356,2604,16980,-307,16,-500,-4856,172,14812,-536,-71,-137
320,-4376,2680,16936,-280,22,-508,-4824,320,14600,-527,-78,-179
340,-4312,2724,16952,-340,0,-523,-4704,304,15016,-576,-232,-170
360,-4152,2728,16888,-458,67,-474,-4556,332,14900,-613,-173,-171
380,-4156,2600,16884,-580,152,-411,-4620,272,15112,-555,-64,-180
400,-4364,2572,16992,-900,79,-276,-5072,132,15428,-633,-558,-332
420,-4804,2392,17504,-118,835,17,-4616,324,15604,-758,-1411,-480
440,-4844,2648,18376,2025,3377,1396,-3128,436,15436,-724,-154,-379
460,-3840,2528,19084,4012,8074,2532,-4256,-328,15144,-87,3764,487
480,-6288,2592,20496,5633,11003,1084,-7296,-660,15912,556,4947,1039
500,-10880,900,23008,7986,5299,-20,-10208,-2472,17164,1925,528,1098
520,-9988,392,23244,11079,-1064,-187,-8964,-2252,17956,3794,-1333,2292
540,-10400,3176,22772,13097,-665,1529,-8776,-1620,19472,5996,1144,4237
560,-9976,4996,20648,13292,2565,2790,-8692,-440,19296,7698,4655,6838
580,-11016,5972,19792,13064,10287,2896,-9336,960,18240,9070,7847,9727
600,-12380,7068,19068,11997,13753,4945,-10968,1964,19224,10430,8506,12475
620,-14476,8128,19404,9404,12507,7734,-10088,2540,19108,11329,7171,14668
640,-13368,8068,18520,7961,12128,12522,-8620,3928,17360,11691,7101,17288
660,-12632,8320,15544,6760,14025,16196,-7996,5076,15964,11551,9108,20141
680,-10808,7476,12880,4083,16950,19367,-8792,5876,15084,11059,10091,22696
700,-11056,8128,14128,2432,20350,20819,-7764,7172,13520,10064,11248,24763
720,-10168,8436,13076,1910,20520,23203,-6156,7376,13040,9257,12295,26794
740,-10328,8696,12132,-828,23114,25422,-6848,7936,12968,8421,14448,28567
760,-9340,8692,10992,-3446,24453,27869,-5332,9288,11444,6734,15725,29916
780,-9012,7932,10956,-4872,23242,29611,-6528,9664,10176,4743,15226,30598
800,-7984,6820,11220,-5306,18580,28636,-6868,9320,9400,2760,12600,30556
820,-5968,7160,10620,-5280,14879,27524,-4876,9388,8948,1310,9927,29728
840,-3584,7824,9780,-5634,13010,26987,-2612,9504,9220,173,8054,28544
860,-2680,7652,9528,-6944,12090,26547,-1852,9260,9100,-732,7405,27475
880,-1312,7708,9392,-8550,10176,25314,-1148,9308,8556,-1587,6435,25936
900,76,7484,9500,-9482,8734,22926,-676,9492,8140,-2405,6479,24428
920,516,7444,10248,-9084,7259,20597,-432,9148,8112,-3116,5304,22412
940,1024,7596,11076,-7621,4999,19291,660,9060,8180,-3717,3786,20296
960,1664,8044,11016,-6545,3261,17912,1336,9052,8696,-3830,2995,18487
980,2680,8584,11068,-6592,3206,16350,2096,9056,9424,-3674,2323,16687
1000,2948,8088,11752,-6731,3197,14388,2712,8648,9456,-3500,2657,15132
1020,3148,7916,12656,-5656,2815,12380,2152,8548,9312,-3182,2610,13336
1040,2972,8148,13276,-3915,1617,10353,1988,8572,9732,-2845,1256,11522
1060,2428,8788,13296,-2622,-526,8705,2168,8832,10368,-2332,-725,9713
1080,2228,8956,13060,-2246,-2857,7779,2732,8556,10604,-1863,-2189,8310
1100,4092,9200,12152,-2421,-2133,6743,4212,8908,10392,-1224,-1127,7247
1120,4260,9548,12508,-2216,851,5972,4280,9192,10308,-788,456,6406
1140,3168,9552,12792,-1650,2456,5259,3400,9400,10296,-555,1448,5625
1160,2640,9852,13132,-1166,1716,4443,3124,9736,10444,-348,982,4696
1180,2996,10324,13264,-929,84,3026,3156,9892,10796,-152,-456,3477
1200,4184,10252,12716,-1558,-1961,1680,4448,10052,10904,10,-1450,2209
1220,4788,10460,13344,-1410,-2558,493,5124,10408,10640,94,-1769,1164
1240,5256,10604,13476,-521,-1267,-408,5636,10600,10992,220,-507,394
1260,3864,11120,14204,-164,-3,-1006,4228,10852,11992,416,-522,-229
1280,1744,11532,14692,-335,-1633,-1310,2884,11380,12292,587,-2492,-686
1300,1352,11860,14164,-444,-4096,-1047,3604,11800,11884,599,-4005,-936
1320,3144,12420,13608,-214,-3581,-349,5552,12444,11356,441,-2719,-667
1340,4860,12304,13940,482,-685,-1330,5620,12664,11628,378,-787,-676
1360,6404,11876,15976,1510,1409,-3233,5664,12468,12032,744,555,-1115
1380,2184,12928,17856,4194,2574,-2124,5588,12408,12972,1718,1128,-1471
1400,1672,12236,15136,5003,-601,-2755,2696,12020,12956,2138,-252,-1666
1420,1652,12536,13056,3869,-2552,-2987,2936,12192,11584,2095,-2208,-2055
1440,1684,12340,11684,3022,-1842,-3034,3288,11892,10644,1980,-2190,-2071
1460,976,11804,11116,1874,-799,-3044,2664,11620,10100,1641,-1464,-1928
1480,312,11692,11168,1738,-1080,-2342,2504,11620,9236,955,-1630,-1846
1500,320,11296,10884,1879,-1469,-1781,2132,11356,9304,453,-1949,-1799
1520,188,10780,10884,1675,-1793,-1609,1740,10620,9116,165,-2704,-1931
