Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-332,-4864,14532,505,279,121,3008,9244,14716,126,-315,-182
20,-764,-4668,14188,-483,-362,47,2824,9224,15052,154,-281,-222
40,-596,-4952,14424,-612,-387,-69,2552,9140,14604,276,-473,-175
60,-740,-4824,14736,-465,-239,59,2856,9272,14388,291,-311,-223
80,-516,-4612,14720,551,-9,195,2436,9252,14256,310,-318,-116
100,-352,-4396,13904,641,-59,-81,2624,9148,14600,280,-414,-124
120,-668,-4400,13864,-704,-628,-10,2956,9236,14596,267,-405,-176
140,-480,-4708,14348,-762,-264,22,2924,9164,14500,275,-322,-130
160,-480,-4836,14596,-357,-257,164,2748,9060,14440,180,-175,-139
180,-296,-4984,14596,144,-204,80,2644,9108,14516,230,-421,-109
200,-504,-4728,14120,-4,-377,-64,2996,9172,14628,296,-439,-169
220,-248,-4844,14048,-490,-237,0,3004,9100,14424,265,-281,-221
240,-500,-4976,14264,-536,-103,-40,2848,9088,14408,260,-222,-261
260,-424,-4848,14472,-501,-119,-59,2796,9148,14428,311,-301,-266
280,-452,-4920,14512,-74,-191,-35,2708,9116,14208,321,-367,-266
300,-660,-4724,14396,204,-95,32,2916,9232,14388,358,-332,-269
320,-468,-4464,13992,-33,-307,36,2824,9288,14616,233,-109,-211
340,-568,-4780,14280,-404,-133,56,2696,9244,14476,237,-263,-174
360,-676,-4944,14512,-393,-120,90,2604,9112,14492,252,-326,-151
380,-556,-4748,14400,-424,-405,143,2844,9128,14420,292,-279,-150
400,-512,-5008,14432,-335,-355,136,2844,9184,14448,265,-287,-123
420,-484,-4788,14148,-542,-512,100,2836,9064,14548,198,-237,-161
440,-276,-4988,14320,-393,-165,-20,2864,9020,14608,285,-409,-188
460,-564,-5092,14640,-128,-4,-53,2884,9164,14516,209,-197,-300
480,-756,-4944,14508,-4,-44,88,2728,9096,14600,253,-255,-278
500,-760,-5052,14576,134,-78,105,2648,9116,14492,293,-202,-248
520,-628,-4848,14360,-55,-572,55,2652,9004,14628,273,-258,-221
540,-368,-4856,13944,-428,-446,162,2708,9080,14508,342,-425,-223
560,-344,-4696,14128,-269,312,248,3008,9244,14336,249,-227,-261
580,-300,-5116,14232,-68,339,161,2900,8992,14376,123,74,-296
600,-544,-5016,14200,-246,6,32,2748,9008,14656,302,-174,-372
620,-680,-4892,14124,-679,-542,-41,2704,9104,14468,342,-406,-329
640,-536,-5032,14456,-469,-212,137,2760,9112,14212,290,-437,-276
660,-552,-5036,14532,192,334,307,2892,9104,14384,197,-49,-323
680,-560,-5032,14464,414,495,215,2780,9028,14528,251,5,-296
700,-568,-5088,14272,100,-317,88,2704,8940,14700,255,-158,-347
720,-540,-4676,13976,-193,-491,-109,2712,9100,14852,349,-394,-342
740,-752,-4780,14092,-564,-231,69,2880,9188,14684,270,-361,-259
760,-544,-5200,14640,-345,107,121,2812,9092,14652,265,-147,-257
780,-664,-5300,14748,245,-218,-108,2724,9104,14624,276,-299,-264
800,-632,-5016,14760,505,-255,126,2840,8980,14644,405,-469,-301
820,-496,-5020,14232,444,69,268,3164,9012,14464,432,9,-366
840,-548,-4724,13860,-90,-63,177,2620,9120,14748,442,-4,-360
860,-600,-4756,14092,-380,-3,73,2452,9148,14384,430,-294,-321
880,-792,-4580,14048,-320,-55,31,2616,9220,14356,243,-319,-257
900,-720,-4780,14140,-208,372,290,2688,8964,14440,126,-264,-240
920,-636,-5004,14344,-258,392,289,2904,9132,14520,99,-67,-288
940,-652,-4988,14300,-523,56,234,2748,9096,14600,125,5,-395
960,-492,-5056,14484,-260,-11,121,2580,9000,14508,191,-106,-350
980,-660,-4964,14340,-110,-147,-92,2644,8932,14668,128,-209,-404
1000,-600,-4776,14096,-238,321,-20,2864,9108,14556,223,-269,-434
1020,-768,-4988,14596,205,769,147,2764,9148,14260,64,119,-482
1040,-800,-4872,14316,49,234,196,2736,9124,14688,9,164,-488
1060,-644,-4776,13920,-494,106,132,2520,9140,14804,24,-63,-470
1080,-568,-4880,14076,-754,282,-100,2652,9268,14824,-10,-229,-503
1100,-636,-5108,14572,-913,207,-209,2816,9260,14680,-46,-226,-489
1120,-1008,-4824,13768,-713,1341,-290,2596,9472,15144,-78,-303,-504
1140,-380,-4440,14160,-839,2983,327,2692,9652,15276,-34,-687,-495
1160,-1000,-4992,14288,-1367,4141,232,2828,9476,15668,-219,-521,-632
1180,-936,-4228,11592,-2175,2820,-84,2472,9328,15768,-80,-1013,-500
1200,-1624,-3240,9172,-5924,4325,-387,3280,9764,15812,-176,-1480,-394
1220,-944,-4564,12324,-10812,8258,594,3076,9956,16168,-346,-1047,-127
1240,-3020,-8336,13600,-17146,15567,1763,2748,9540,17296,231,-1014,-840
1260,-6784,-11732,22932,-9186,6525,-308,3056,8592,15848,864,-617,-536
1280,-7968,-12672,25328,2164,1205,226,1988,8692,15324,2628,-347,34
1300,-13240,-16804,30856,15291,-3255,3969,1984,7836,15472,6552,-1831,795
1320,-10668,-20936,32767,31629,-15607,6510,1580,7264,17316,11564,-3411,345
1340,-6448,-20268,25984,32767,-19052,5809,3092,11124,17440,14414,-3773,-3006
1360,-4060,-13056,12852,32767,-13766,7411,6772,10684,17200,16018,1016,-3624
1380,-2836,-6388,8360,32767,-8198,9449,4740,9680,15492,16830,7901,-2955
1400,-1352,-1864,4992,32767,-5611,11338,2120,10200,13064,17595,10766,-1901
1420,2084,2684,2512,32767,-5879,10074,-692,10960,10156,15503,8406,-557
1440,3144,5888,52,32767,-8054,6267,-1096,10996,10108,13255,4387,391
1460,3572,8812,-2308,24603,-10918,3307,864,11304,7604,10450,-1040,451
1480,4704,10384,-2516,16389,-10198,1639,1472,11628,6048,7119,-2763,390
