Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-11988,3100,8652,-90,-383,-17,-6440,9884,12404,413,-525,-278
20,-11756,3060,8500,-16,-316,-1,-6188,9924,12408,399,-546,-332
40,-11652,3144,8368,53,-145,16,-6332,9916,12276,372,-358,-435
60,-11976,2904,8644,264,-131,-59,-6364,9884,12316,376,-422,-471
80,-11780,3116,8372,249,-283,-93,-6188,9800,12360,411,-466,-532
100,-11700,3324,8288,164,-10,53,-6092,9940,12084,448,-231,-535
120,-11856,3308,8528,167,145,149,-6360,10072,12152,421,-133,-518
140,-11964,3104,8528,248,105,117,-6288,10064,12256,434,-54,-493
160,-12136,3276,8472,153,-38,70,-6300,10020,12612,469,-207,-483
180,-11836,3340,8444,-115,-159,111,-6320,10136,12432,477,-223,-402
200,-11736,3312,8440,-88,-37,152,-6188,9956,12184,385,2,-375
220,-11920,3196,8556,-190,-38,209,-5756,10072,12480,-20,471,-374
240,-11888,2760,8796,-547,-116,474,-5868,9848,12840,-231,1268,-384
260,-12016,2868,9128,-789,311,610,-5520,10128,13008,-712,1327,-440
280,-12700,1980,10228,-2516,433,1222,-5756,9736,13332,-2,1854,-373
300,-12408,524,12356,-1293,260,1367,-5152,10084,14272,665,1573,-387
320,-13620,1200,12536,-1608,1366,2584,-5212,10616,13808,1000,2147,-246
340,-13156,-4124,17200,2394,-492,997,-6316,11432,17576,2377,-1990,-960
360,-13104,-4788,18760,10885,-6905,-4954,-6188,11520,18772,3624,-10327,-1880
380,-14772,-2736,18480,13059,-13181,-9972,-4496,11876,18028,4994,-13979,-2434
400,-16228,596,15008,11337,-14293,-9241,-3708,12820,16692,5355,-15692,-2456
420,-16908,2300,12328,13367,-14749,-6744,-4572,12468,15556,5725,-14364,-2040
440,-16356,5640,9732,11440,-19362,-6359,-6796,11576,15280,6292,-15343,-1587
460,-15240,6920,8636,9025,-22398,-7047,-6636,12504,14612,6253,-19340,-855
480,-12628,6984,8652,7891,-23542,-6972,-5412,12524,12752,6037,-20131,-202
500,-10444,7356,8164,5969,-21384,-5020,-4364,11964,11936,5892,-18179,446
520,-9756,7608,8220,4592,-18815,-2242,-3540,11872,11516,5772,-15566,953
540,-8308,7596,7956,3765,-16558,-1606,-5584,11972,10868,5380,-15132,1309
560,-8800,8844,6084,2141,-17249,-2645,-4604,11152,9720,4583,-14255,1993
580,-7992,9560,4540,-1900,-16601,-1454,-4632,10536,10172,4027,-12915,2133
600,-6368,8272,5304,-4651,-13492,704,-4040,10140,9680,3289,-12543,2488
620,-5712,6684,6552,-4712,-10213,2903,-2332,10160,9452,2529,-9316,3076
640,-3392,5512,7060,-6260,-7029,3310,-2640,9800,10164,1890,-6495,3898
660,-4020,3668,9204,-8977,-6188,789,-2180,9744,10448,1094,-6327,4084
680,-5924,2064,10904,-9982,-8168,-130,-908,9580,10608,505,-7236,3586
700,-5236,864,12904,-7197,-8869,1115,144,9564,11136,386,-6617,3027
720,-3340,1164,12704,-5703,-6859,2707,1048,10200,11472,523,-4000,2658
740,-2068,988,12824,-4450,-3462,3431,1296,10460,11808,575,-1409,2198
760,-2344,652,13580,-2589,-1933,2588,1052,10564,12056,527,-287,1655
780,-2364,308,14212,91,-2209,865,1068,10732,11992,393,-1134,1081
800,-2080,1136,13824,835,-2884,-988,1652,10940,12288,347,-2089,487
820,-2380,2140,13232,-55,-1787,-884,2204,11292,12500,454,-1512,28
840,-3776,1616,14284,-1274,-1238,-532,1860,11420,12140,490,-1170,-189
860,-4612,1612,14604,-516,-2024,525,1660,11304,12104,551,-798,-178
880,-4068,2444,14220,-915,-2313,1800,1140,11800,12396,596,-608,-209
900,-2692,2596,14084,-942,-2071,1759,1284,11876,12620,643,-689,73
920,-2076,2256,14416,-771,-1619,492,1292,12172,12552,730,-879,331
940,-2304,1672,15064,500,-1503,-797,1408,12208,11832,639,-1810,429
960,-3176,1640,15412,1757,-2408,-1323,2152,12112,12064,531,-2580,337
980,-2372,2708,13964,-1027,-3861,-373,2548,12156,12468,705,-2635,23
1000,-756,2516,13932,-2568,-2644,-285,2580,11956,12660,726,-2864,101
1020,-468,1948,14648,-3870,-1545,-1296,3020,12264,12380,883,-2193,-222
1040,-452,916,15520,-3265,-878,-1748,3912,12316,12060,831,-1980,-701
1060,532,1084,15288,-4054,-310,-2347,4240,12432,12680,1262,-1409,-1287
1080,-368,-924,16332,-5471,1444,-5163,4540,13324,13212,1272,-3042,-1873
1100,-868,-3088,21260,1488,750,-5203,5848,14272,11720,1196,-5252,-2651
1120,2108,-4828,23684,6544,-4744,-8291,7680,15164,12832,1420,-8083,-4747
1140,4384,-8000,26832,11640,-10233,-14012,8544,15712,14864,1686,-14810,-7869
1160,4736,-11132,31212,24798,-16130,-20107,10252,16632,13968,2088,-18540,-10250
1180,972,-7028,27404,32767,-13973,-18222,10988,16612,12240,3201,-10738,-13494
1200,-1772,-256,20380,32767,-9815,-13883,6988,16292,12664,4424,-3161,-15478
1220,-4528,2960,15344,32767,-11129,-12743,1096,14960,13208,4770,-8459,-16840
1240,-3232,7424,7336,32675,-16337,-15510,756,11936,13224,4746,-11252,-16907
1260,-3764,10280,3456,27948,-11826,-15270,-524,11344,11288,4324,-7679,-15139
1280,-4180,10916,1664,23910,-4527,-12328,-1920,11992,10280,3656,-860,-12548
1300,-6936,12712,-420,19410,4300,-8330,-3096,9500,10008,3430,5088,-9507
1320,-10660,16100,-1976,11798,7232,-3357,-3540,8200,11388,3278,8209,-7304
1340,-11320,16516,-2672,-2508,4248,-1577,-8032,7396,12096,3483,3972,-4691
1360,-11672,10540,2584,-4199,1838,500,-8048,9156,7844,1864,-1766,-1945
1380,-9244,10136,3620,-4778,-918,1460,-7132,9512,8832,1164,-2377,866
1400,-6456,10412,4104,-6335,-2308,911,-4980,9456,9772,616,-4175,2233
1420,-3736,11304,4028,-11593,-2343,948,-2536,10148,9768,662,-4395,2747
1440,-2228,9316,6288,-14383,-1006,1416,-1096,11032,8840,362,-4883,3585
1460,-1280,7096,9076,-11315,-627,2684,80,12156,7224,-376,-4020,4343
1480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1500,2340,7948,8900,-10253,1795,2734,1964,12120,8828,-1748,-379,3316
1520,2116,8960,8044,-14386,3612,1542,2368,11976,10224,-1728,789,2440
1540,1032,7160,8888,-18032,5971,642,2272,11988,10216,-2158,1097,2131
1560,-1956,2912,11976,-12807,8798,2477,1696,11408,7736,-3630,3423,2409
1580,-3408,2428,12160,-7399,9028,4490,904,9996,7828,-4869,6968,3097
1600,-2316,3848,11692,-6458,8034,4170,-740,9784,10900,-5227,7536,3426
1620,-3288,4880,10996,-9663,8065,2022,-428,10060,12620,-4949,5035,3080
1640,-3808,5832,10396,-15439,6957,1203,1032,10276,12832,-4167,3890,2337
1660,-3720,4208,11012,-19851,9760,2461,908,11040,11844,-3685,5820,2287
1680,-5664,2848,13760,-13210,11395,6034,280,11664,10000,-4060,8053,3066
1700,-6052,3324,14400,-8881,10872,6892,-1132,12060,11696,-4050,9855,3328
1720,-4784,3428,13320,-7896,9304,5880,-1372,11564,12240,-4334,9231,3576
1740,-4708,4972,12564,-7641,9521,5261,-548,12656,11956,-4720,9078,3087
1760,-4860,5840,12744,-10698,9952,4570,-712,13652,12300,-4784,8809,3593
1780,-5264,4788,12224,-11130,11797,5907,-716,12844,11212,-5326,10286,3912
1800,-6656,5028,11568,-10302,12795,6940,-1480,12084,13516,-5699,11222,3826
1820,-11496,2132,14852,-8307,8988,5363,-2468,11156,14388,-5917,6472,4503
1840,-9404,1676,14028,-9426,4576,4855,-2096,11180,13736,-5321,5229,4998
1860,-7068,1528,11984,-9088,6712,6940,-1940,10704,12152,-5361,7383,5394
