Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-7468,9524,11780,-242,-8,-546,-8072,4360,12344,-512,75,-106
20,-7624,9512,11740,-266,-20,-613,-8168,4288,12356,-577,37,-151
40,-7700,9500,11732,-247,40,-498,-8112,4340,12384,-574,-22,-68
60,-7632,9612,11632,-278,-18,-444,-8156,4344,12268,-593,-65,-61
80,-7564,9456,11748,-243,-68,-469,-8168,4272,12268,-606,-88,-96
100,-7520,9420,11704,-188,-53,-552,-8104,4276,12200,-525,32,-118
120,-7656,9652,11724,-220,48,-593,-8156,4320,12380,-503,92,-168
140,-7644,9584,11804,-276,30,-542,-8228,4324,12452,-525,52,-136
160,-7592,9476,11592,-325,4,-526,-8100,4356,12528,-578,-51,-147
180,-7428,9524,11692,-415,-121,-484,-8080,4308,12464,-626,-152,-104
200,-7516,9416,11772,-393,-163,-519,-8052,4180,12464,-618,-177,-120
220,-7516,9432,11956,-305,4,-497,-7984,4096,12444,-585,-118,-56
240,-7480,9372,11668,-237,110,-529,-8160,4224,12212,-547,3,-105
260,-7740,9552,11800,-206,73,-506,-8124,4172,12320,-524,29,-35
280,-7608,9448,11764,-234,56,-468,-8212,4420,12384,-566,-124,-58
300,-8040,9708,11896,-419,-103,-458,-8536,4304,12620,-558,-404,7
320,-8528,9648,12136,-609,-164,-422,-8820,4384,13252,-623,-1073,115
340,-8896,9912,12652,-623,-20,-353,-8904,4256,13568,-446,-1655,458
360,-8496,9564,13100,157,425,-614,-8320,4548,13148,-81,-1300,655
380,-8208,9740,13572,3302,3308,-449,-8388,4748,12680,420,122,1656
400,-11820,10428,15092,4786,3401,284,-10916,3688,14980,1673,800,2479
420,-15428,11204,15300,6554,2432,573,-13392,2396,15852,2596,1975,4688
440,-15740,11764,16224,6628,992,5816,-12768,5680,16284,4844,-1798,5867
460,-13180,13164,14752,8489,644,8372,-12732,5796,16000,6216,-708,8661
480,-13044,13800,13852,8538,1711,9288,-11808,6544,16096,7541,-1164,9412
500,-12588,13224,13548,8575,1841,11271,-11564,6460,15552,8628,-1015,11659
520,-10984,13004,12668,9044,3396,12331,-10128,7068,14440,9321,-63,13097
540,-10240,12872,11192,9585,4570,13357,-9860,7712,13864,9853,859,14612
560,-9656,13060,10400,9233,4449,14592,-9164,8104,13584,10204,-25,15716
580,-9704,13028,10252,8437,3184,15414,-8556,8332,12924,10527,-2225,16145
600,-7060,12596,8960,7953,2371,17078,-6648,8672,11836,10804,-2092,17838
620,-4504,12156,7208,7390,3109,18073,-5200,9668,10640,10384,-1197,18393
640,-3852,12668,6620,6090,4182,17657,-4088,10388,9672,9655,-387,18899
660,-3620,12432,6204,5065,3592,17099,-4072,9940,8852,8713,-659,18644
680,-2152,8420,5432,6200,4093,16390,-3416,10008,8632,8377,-2442,18670
700,-1552,11972,5180,3510,1355,18528,-1636,10576,8912,7864,-2143,18622
720,1424,12696,4824,2549,2293,18333,-436,11488,8008,7213,-2189,18709
740,1696,12096,5268,1567,3148,17524,-456,11024,7880,6715,-1829,17781
760,1936,11840,5364,1119,1429,16765,1064,11576,7140,5886,-1651,16665
780,5044,13612,6224,2792,2297,15575,1424,11640,5960,5109,-3288,15378
800,5144,11544,6216,4385,2242,15610,3288,11300,6516,4970,-2269,14479
820,5312,11660,5728,5433,1474,14389,3140,11584,7176,4955,-1838,13275
840,7288,12640,4624,4370,1820,12191,4344,11640,7716,4472,-1475,11410
860,7992,12112,4756,3228,776,9648,4852,11284,6928,4186,-715,10240
880,6976,12972,5192,2719,-1010,8279,4592,11580,6568,4032,-2491,7269
900,6760,12372,5036,3411,-3087,7669,5248,11964,6004,3526,-4481,5593
920,8796,12148,4488,4446,-4243,6871,6436,13520,5888,3298,-5303,3893
940,10420,13436,2332,3046,-4984,3920,8780,11700,6232,2247,-5063,3060
960,12400,11916,1652,566,-3046,2444,7788,13616,6104,1111,-3283,1886
980,12740,13992,2584,-328,-1598,-304,8832,14284,4792,136,-1878,-1086
1000,13940,13264,2888,1173,-1581,-4230,8188,14216,4708,-286,543,-2956
1020,14424,15156,1040,-1934,-696,-9243,8476,15004,7620,-880,2704,-6238
1040,11576,14192,3736,-4192,2995,-12989,8608,13964,6932,-2272,4962,-9477
1060,9108,13360,3900,-5037,3675,-16397,5832,13240,6312,-2560,6702,-11217
1080,5624,12656,4736,-4954,3167,-16109,4572,12680,5884,-2712,5540,-11949
1100,3008,11748,5640,-3890,45,-14162,2240,11752,6264,-2428,2918,-11712
1120,1752,11748,5652,-2705,-3504,-12656,636,10904,6240,-2503,-465,-12383
1140,1088,10940,5224,-2578,-5754,-12284,160,9976,6388,-2823,-2583,-12964
1160,-172,10116,5060,-2652,-5666,-11777,-260,9248,5132,-3768,-2630,-12852
1180,-408,9776,4548,-2413,-4501,-11306,-828,8984,5256,-4224,-1678,-12273
1200,-496,10164,4308,-2766,-2436,-10489,-632,9152,5804,-4694,-553,-11525
1220,-420,10576,4420,-3790,-1682,-10390,-1536,8984,6304,-5179,317,-11233
1240,-1412,9944,4468,-5526,-2590,-11970,-3508,8332,6396,-5856,170,-12224
1260,-1916,9624,4408,-6545,-3094,-13541,-2592,8716,6048,-6640,-852,-13161
1280,-1780,10056,4604,-6937,-2765,-12580,-2468,9200,6028,-7332,-1000,-12681
1300,-1608,10168,5064,-7041,-2665,-12470,-2256,8876,6344,-7993,-927,-12924
1320,-2120,8732,5648,-7354,-2585,-13024,-3764,7124,6880,-8795,-631,-13011
1340,-2864,8856,5800,-9184,-1849,-14472,-3312,6976,7448,-9574,670,-13578
1360,-3920,8788,5964,-10759,-1081,-14598,-4164,7100,7904,-10296,1608,-12966
1380,-4748,8036,6788,-11730,-1790,-14160,-5572,7268,8184,-11476,779,-13689
1400,-5880,7392,8372,-12511,-3705,-14358,-6772,5240,8736,-12600,-2581,-14167
1420,-5404,10844,9316,-13446,-3344,-14634,-6784,6500,9972,-12636,-1620,-13790
1440,-7024,9160,10488,-14761,-3837,-13884,-6672,5700,11128,-12541,-1369,-13018
1460,-9636,10712,11500,-14726,-3785,-13790,-8648,6696,11976,-12344,-2105,-12376
1480,-10504,9648,12412,-13876,-6919,-12270,-9548,7096,12264,-12346,-4427,-12669
1500,-9592,9964,13128,-11923,-8168,-11712,-10580,8552,11344,-12137,-5620,-11787
1520,-9048,11712,13700,-9246,-3360,-10776,-10084,8660,14044,-11331,-5964,-11541
1540,-10100,13536,15448,-8322,-743,-9436,-8452,8420,16008,-11102,-444,-9615
1560,-10348,13356,16616,-7831,-127,-7993,-10004,8428,16488,-10111,844,-7987
1580,-11244,13032,16996,-6586,-565,-6853,-10252,7804,16484,-8585,486,-7139
1600,-11368,13820,17384,-5087,-915,-5176,-10140,8172,16824,-7743,-695,-6455
1620,-9508,12580,16816,-3846,-1245,-4554,-9524,7012,16556,-6792,-608,-5439
1640,-11204,12576,18284,-1209,-4965,-1240,-9748,6200,16644,-5271,-3846,-4947
1660,-11968,17228,27964,7023,-17265,5767,-11424,8348,22920,-1491,-5710,-257
1680,-9300,11736,22008,11223,-18160,3020,-13772,4284,25080,2602,-12774,-1652
1700,2656,14580,11724,6385,-1402,-545,-412,6696,15176,1934,-4387,-2342
1720,-480,11560,9704,2175,6793,-2931,-1772,5372,13160,501,6273,-1281
1740,-2108,10232,10580,-138,5370,-3402,-3496,5392,12920,-616,6521,-1001
1760,-6336,9412,12580,-2624,1744,-2779,-6444,3412,14784,-783,3183,-951
1780,-2376,6368,11160,-4136,-1467,-2647,-8168,3568,14156,-945,-929,-1273
1800,-6480,9320,15056,-2583,84,-390,-6744,2780,13788,-1512,-1097,-151
1820,-7380,9044,14732,-1282,614,-47,-6996,3072,13088,-1398,519,791
1840,-5468,8488,12728,-132,190,341,-6452,3636,12732,-1498,626,873
1860,-5508,9292,13092,-183,-17,368,-6396,3924,13424,-1320,1042,446
1880,-5616,9160,13240,-36,-135,-128,-6976,4216,13468,-1188,105,90
1900,-5580,9760,13332,82,23,-153,-6556,4148,13584,-1093,-176,177
1920,-5588,9576,13072,-132,-72,-300,-6532,4284,13556,-979,-143,211
1940,-5440,9616,13172,-298,-44,-297,-6236,4176,13456,-898,-165,37
1960,-5572,9432,13216,-256,-109,-407,-6384,4152,13580,-755,-72,-120
1980,-5556,9448,13212,-260,33,-470,-6320,4036,13664,-708,248,-180
2000,-5500,9244,13304,-372,94,-515,-6348,3868,13664,-709,419,-61
2020,-5280,9128,13324,-369,107,-525,-6288,3924,13484,-749,161,19
2040,-5344,9120,13484,-286,54,-439,-6308,3820,13632,-706,-78,79
2060,-5640,9520,13388,-281,140,-396,-6468,3956,13524,-689,-1,71
2080,-5904,9292,13428,-319,42,-477,-6580,3952,13584,-701,219,60
2100,-5756,9260,13376,-364,-55,-415,-6596,3916,13428,-705,61,0
2120,-5664,9212,13312,-278,-192,-327,-6424,3936,13544,-727,-226,27
2140,-5384,9228,13252,-269,-240,-194,-6344,3800,13688,-719,-322,71
2160,-5212,9328,13460,-222,-222,-279,-6232,3920,13692,-662,-261,82
2180,-5200,9316,13424,-211,-80,-422,-6240,3980,13536,-572,-6,38
2200,-5432,9336,13328,-126,99,-511,-6496,3952,13476,-481,203,-19
2220,-5636,9284,13216,-136,199,-577,-6416,3972,13520,-488,307,-118
2240,-5600,9224,13256,-96,91,-528,-6448,3872,13332,-461,235,-37
2260,-5448,9364,13212,-82,-1,-486,-6488,3916,13576,-448,63,-49
2280,-5528,9412,13232,-35,-108,-484,-6352,3904,13548,-414,59,-50
2300,-5360,9368,13380,-85,-171,-519,-6408,3924,13468,-450,-17,-46
2320,-5496,9252,13304,-138,-173,-480,-6364,3976,13540,-491,60,-58
2340,-5700,9468,13288,-257,-40,-445,-6472,3944,13592,-561,54,-86
2360,-5200,9456,13320,-243,-265,-582,-6276,4020,13620,-594,-77,-169
2380,-5240,9444,13280,-388,-59,-452,-6216,4056,13784,-664,-73,-153
2400,-5360,9324,13340,-383,-131,-577,-6420,3980,13508,-677,-103,-137
2420,-5372,9600,13392,-357,151,-611,-6236,3852,13484,-687,-9,-113
2440,-5652,9236,13480,-248,-135,-428,-6508,3840,13432,-686,7,-27
2460,-5464,9244,13276,-189,-305,-419,-6460,3956,13484,-578,-62,-61
2480,-5656,9416,13500,-346,-540,-344,-6340,3808,13556,-591,-147,-82
2500,-5444,9128,13416,-146,-377,-533,-6452,3820,13396,-611,1,-71
2520,-5452,9448,13416,35,-190,-690,-6400,3952,13564,-561,192,-192
2540,-5636,9576,13324,1,-182,-639,-6488,4056,13696,-532,183,-107
2560,-5448,9520,13340,-185,-346,-730,-6460,4036,13536,-588,20,-215
2580,-5152,9352,13348,-270,-384,-727,-6324,3952,13604,-557,58,-246
2600,-5240,9356,13436,-241,-294,-730,-6344,3860,13588,-504,-4,-228
2620,-5480,9188,13456,-163,-139,-627,-6232,3872,13540,-543,23,-154
2640,-5356,9340,13456,-130,-7,-468,-6320,3880,13704,-539,31,-55
2660,-5268,9400,13368,-198,-41,-546,-6324,4000,13504,-627,-14,-93
2680,-5416,9384,13472,-211,-67,-508,-6428,3972,13680,-600,-38,-85
2700,-5488,9384,13312,-251,-94,-526,-6484,3916,13580,-649,-99,-72
2720,-5344,9320,13388,-322,-133,-464,-6440,3956,13540,-677,-164,-91
2740,-5392,9296,13296,-327,-113,-457,-6312,3904,13672,-676,-157,-67
2760,-4980,8932,13172,-483,-197,-523,-6364,3760,13452,-694,-92,-95
2780,-5432,9172,13368,-249,-34,-507,-6388,3880,13612,-637,5,-47
2800,-5384,9420,13328,-271,62,-489,-6376,3984,13484,-568,18,-104
2820,-5476,9336,13340,-280,53,-480,-6368,3984,13484,-578,-6,-72
2840,-5284,9328,13336,-314,37,-507,-6428,3924,13416,-610,-12,-151
2860,-5312,9324,13356,-241,3,-530,-6308,3900,13596,-583,31,-83
2880,-5312,9320,13312,-257,-52,-541,-6332,4008,13660,-573,-34,-83
2900,-5340,9340,13364,-331,-11,-513,-6364,3988,13664,-587,-90,-112
2920,-5272,9344,13328,-297,87,-483,-6352,3944,13608,-542,35,-93
2940,-5200,9260,13580,-247,89,-533,-6260,3784,13712,-541,99,-112
2960,-5344,9420,13208,-247,36,-525,-6464,3956,13756,-538,34,-86
2980,-5276,9368,13448,-295,33,-476,-6320,3892,13580,-597,-89,-99
