Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16404,-1572,-5836,303,-412,305,12816,-5564,-8656,349,-542,-245
20,16548,-1588,-5848,-49,-86,-64,12696,-5656,-8640,401,-171,-211
40,16440,-1532,-5856,-170,74,-291,12676,-5428,-8604,408,-38,-247
60,16696,-1604,-6264,-338,-32,-184,12448,-5548,-8356,400,-152,-206
80,16644,-1628,-5952,67,-241,-47,12664,-5504,-8472,366,-409,-245
100,16824,-1576,-5932,157,-256,112,12572,-5512,-8332,329,-381,-193
120,16528,-1452,-5888,-69,-316,263,12700,-5540,-8380,310,-403,-277
140,16340,-1672,-5968,87,-361,142,12616,-5740,-8668,307,-355,-284
160,16532,-1464,-5892,-179,-193,-42,12652,-5644,-8500,325,-245,-270
180,16688,-1540,-5844,-73,-83,-270,12748,-5712,-8612,327,-25,-255
200,16664,-1600,-6060,-387,-30,-252,12600,-5664,-8464,280,-24,-274
220,16896,-1608,-6088,-164,-120,-110,12440,-5556,-8448,263,-157,-263
240,16808,-1616,-6144,-35,-405,300,12632,-5652,-8668,247,-478,-252
260,16876,-1832,-5952,-20,-324,425,12624,-5636,-8528,275,-579,-282
280,16600,-1812,-6044,30,-286,248,12856,-5744,-8396,359,-541,-299
300,16516,-1776,-5984,135,-125,-161,12784,-5708,-8636,469,-193,-307
320,16708,-1652,-5864,-27,-62,-357,12552,-5760,-8532,521,-10,-353
340,16816,-1600,-5916,-16,-39,-296,12356,-5644,-8436,455,-171,-415
360,16920,-1480,-5780,46,-64,-3,12708,-5704,-8412,417,-422,-422
380,16692,-1576,-5924,127,-157,121,12788,-5712,-8612,398,-469,-344
400,16764,-1456,-6008,21,-146,59,12836,-5604,-8576,385,-306,-276
420,16548,-1580,-5924,39,-58,13,12592,-5576,-8336,387,-244,-294
440,16312,-1564,-5864,138,-181,116,12496,-5568,-8332,319,-477,-346
460,16356,-1428,-5776,188,-398,123,12548,-5676,-8376,248,-542,-412
480,16304,-1388,-5488,-141,-609,218,12436,-5676,-8188,180,-398,-470
500,16352,-1136,-5364,-384,-1094,480,12356,-5664,-8264,72,-515,-621
520,16532,-1308,-5412,-850,-1646,868,12860,-5980,-7896,-85,-810,-730
540,16980,164,-5672,-1350,-1400,-127,15436,-6444,-6776,-60,-314,-450
560,19924,2388,-6028,-2387,682,-2424,18124,-6492,-5532,-627,2296,932
580,22308,4548,-3412,-4274,3408,-3026,18528,-7076,-6040,-1232,4586,2696
600,23168,4404,-2184,-5627,2620,-1345,16684,-7976,-6368,-1521,4658,4345
620,25116,3732,-1188,-7577,1518,1812,16232,-9020,-7564,-1487,3919,5111
640,24700,1680,-2372,-11465,1937,4254,16788,-10324,-8260,-875,3047,5413
660,23668,-772,-5392,-13529,4856,3810,18032,-11092,-9200,951,3459,5823
680,23844,-2820,-7560,-13584,7567,2557,18364,-10904,-10036,2930,5984,6261
700,23416,-4540,-8540,-10765,11119,934,15644,-10968,-9868,4960,7715,6884
