Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15192,3564,-1448,49,-228,-35,-15116,5384,-948,155,-252,-297
20,-15232,3628,-1620,-261,-169,165,-15324,5184,-720,175,-233,-240
40,-15472,3544,-1388,-448,-274,125,-15272,5264,-1044,160,-264,-135
60,-15868,3512,-1400,-560,-731,88,-15584,5264,-1096,91,-427,-77
80,-16372,3424,-1424,-615,-1305,172,-16056,5240,-724,14,-792,184
100,-16536,3372,-876,-770,-2692,-119,-16484,5280,-716,274,-1627,807
120,-16784,2956,-184,-568,-5316,-728,-16872,5396,-556,505,-3564,1400
140,-18500,2912,512,-107,-9132,-1132,-17296,5608,-1000,545,-7214,2420
160,-18192,3180,952,35,-14730,-2273,-17960,5848,-1044,-47,-11846,3226
180,-18768,3744,-96,692,-18820,-2666,-17568,5844,596,-496,-15584,4568
200,-19724,3928,340,-740,-21583,-2437,-17812,6448,824,-775,-17108,5599
220,-19468,4056,1380,-1775,-22666,-1450,-17428,7032,2244,-837,-17820,6576
240,-19320,3928,2384,-2837,-22702,-251,-16860,7372,2480,-1285,-16866,7773
260,-18840,2716,4472,-2657,-23801,746,-16592,7680,2800,-1508,-17549,8791
280,-17420,3220,4996,-1552,-27254,975,-16216,8004,4044,-2557,-18976,9655
300,-14936,2968,5456,310,-28472,491,-15608,7848,4388,-2280,-20703,10143
320,-14544,2960,5820,1247,-27085,1114,-14244,7424,6000,-323,-22927,10938
340,-13272,3356,6892,1409,-26286,2862,-12808,8076,6264,1414,-24968,11907
360,-11048,3748,6680,292,-29755,1693,-12244,8416,6528,2226,-27137,12349
380,-9444,2792,7120,-734,-29975,1228,-10820,8464,6428,2182,-27781,12735
400,-7160,3432,8012,1589,-24882,1740,-9216,9356,6544,1525,-26844,12549
420,-4968,4136,8236,702,-22868,754,-7440,9400,8908,1126,-24617,11773
440,-3704,4048,9408,-1149,-22008,-828,-6156,9476,9392,1334,-21415,10420
460,-3200,4716,8740,-4793,-20788,-1612,-4960,9860,10156,1210,-17825,9073
480,-3316,3024,10972,-5888,-18306,-1163,-4172,9996,9636,937,-14563,7334
500,-3196,2280,11964,-3828,-13417,546,-4348,10516,9540,-148,-11979,5936
520,-2436,2916,11696,-3181,-10967,-173,-5624,10404,11028,-685,-9771,4858
540,-1804,2688,12252,-3371,-8788,-1518,-5132,10528,11372,-192,-8324,4404
560,-2080,2704,11936,-4689,-7204,-2439,-4032,10780,11368,-29,-6868,3696
580,-3340,1776,13212,-6224,-3707,-2021,-3928,10508,10916,-204,-4791,2611
600,-3916,1408,13840,-6052,-1909,196,-3212,11012,11012,-954,-3290,1947
620,-4372,1260,13748,-5291,-1011,1232,-4072,10848,11268,-1774,-1023,1026
640,-4188,980,14532,-4292,-1107,1450,-4720,10760,11488,-1915,-283,802
660,-3808,232,15580,-3166,-1711,607,-5108,10856,12588,-1880,-326,741
680,-4228,648,15016,-3401,-2497,-132,-4864,10868,13156,-1495,-1154,890
700,-4144,652,14516,-3192,-1428,533,-4244,10788,12504,-1071,-1391,682
720,-4252,708,14504,-2135,57,1426,-4268,10984,12244,-1118,-765,451
740,-5896,352,14988,-2413,-1175,1725,-5276,10808,12680,-1331,-608,625
760,-5316,-220,15404,-1574,-3139,963,-5984,10560,12988,-1086,-1596,1504
780,-4052,196,14848,-925,-3725,760,-4360,10580,12588,-544,-2291,1689
800,-3476,356,14520,66,-2679,1516,-3604,10564,12352,-159,-2217,1615
820,-3096,332,14916,1220,-1452,1949,-3796,10636,12340,-32,-2315,1540
840,-3088,1176,13600,799,-1620,2089,-3436,10868,12784,-181,-2492,1383
860,-2644,1284,13204,-1026,-2895,1086,-3636,10372,13208,160,-2157,1137
