Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14972,812,-6148,-228,-680,40,-13884,6604,5284,508,-692,-201
20,-14820,908,-5992,-245,-406,107,-13892,6692,5428,522,-160,-273
40,-14836,740,-5764,-337,-433,130,-13916,6608,5316,483,-141,-329
60,-14944,836,-6048,-372,-490,7,-14084,6620,5356,478,-480,-360
80,-14824,844,-6052,-441,-576,-138,-13964,6524,5384,485,-732,-392
100,-15080,884,-6020,-697,-661,-129,-13948,6744,5208,517,-592,-440
120,-14952,740,-5852,-796,-469,-23,-13940,6752,4952,477,-354,-407
140,-15004,712,-5748,-493,-177,50,-13916,6652,5372,436,-84,-441
160,-14820,792,-5648,-440,-26,58,-13988,6700,5420,391,-159,-512
180,-15100,816,-5856,-184,253,61,-13948,6600,5384,434,-397,-545
200,-15020,824,-5928,-54,268,97,-13932,6680,5336,474,-365,-522
220,-14972,816,-6080,-313,291,183,-13976,6600,5368,484,-134,-532
240,-14924,752,-5820,-286,133,143,-14112,6708,5420,485,-138,-508
260,-15124,760,-6040,-12,34,69,-14116,6640,5316,461,-223,-495
280,-15132,996,-5948,-22,-65,103,-13992,6632,5252,453,-185,-479
300,-15020,828,-6148,-132,5,173,-14080,6696,5152,399,-159,-448
320,-15060,828,-5996,-77,-3,72,-14136,6688,5308,392,-216,-402
340,-14912,856,-6252,-213,-135,32,-14116,6600,5328,332,-164,-386
360,-15148,768,-5944,-170,-146,-12,-14236,6624,5244,372,-172,-394
380,-15216,840,-6120,175,-208,-43,-14180,6680,5516,342,-275,-349
400,-15100,872,-6104,227,-309,10,-14004,6644,5488,366,-354,-311
420,-15016,836,-6036,-36,-321,8,-14108,6464,5440,384,-396,-283
440,-15032,584,-5996,-54,-332,-47,-14084,6532,5396,450,-502,-327
460,-14916,700,-5936,-130,-459,-107,-14064,6436,5532,592,-738,-380
480,-14648,432,-5740,-132,-550,-112,-14244,6276,5400,733,-851,-516
500,-14604,192,-5436,146,-431,-189,-13968,6072,5452,808,-1002,-749
520,-14996,-216,-4924,320,-726,-367,-14480,6008,5636,839,-1678,-1031
540,-15040,-372,-4996,726,-1379,-382,-14460,5844,5760,895,-2583,-1310
