Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,12656,-1772,9532,74,-247,-126,10516,-11548,6476,361,-225,-409
20,12676,-1496,9852,-74,-199,-245,10560,-11516,6364,366,-139,-366
40,13192,-1424,9584,-112,-128,-211,10488,-11672,6288,357,-95,-328
60,12916,-1608,9568,118,-315,56,10692,-11584,6612,348,-396,-340
80,13148,-1324,9672,248,-336,48,10656,-11540,6508,335,-469,-299
100,13096,-1288,9996,-95,-235,171,10536,-11704,6408,306,-373,-221
120,12808,-1408,9852,-174,-299,297,10588,-11636,6448,324,-269,-242
140,12628,-1604,9720,-244,-379,331,10412,-11528,6516,333,-388,-339
160,12508,-1652,9704,-249,-413,209,10392,-11560,6588,327,-406,-334
180,12744,-1640,9600,-48,-37,-50,10420,-11440,6368,298,-240,-300
200,12580,-1672,9684,-79,-228,-57,10492,-11560,6432,340,-262,-392
220,12548,-1484,9588,31,-508,93,10308,-11612,6432,364,-373,-511
240,12552,-1448,9684,63,-795,295,10296,-11588,6532,435,-559,-661
260,12772,-1624,9560,-41,-819,280,10456,-11476,6596,398,-795,-709
280,12856,-1668,9580,151,-661,0,10856,-11360,6524,304,-811,-621
300,13132,-1492,9524,226,-213,-413,10908,-11432,6276,322,-565,-458
320,13196,-1372,9696,-198,-384,-109,10500,-11576,6196,361,-257,-467
340,13052,-1604,9640,-192,-509,216,10572,-11664,6380,373,-315,-606
360,13032,-1580,9756,-183,-493,224,10760,-11648,6736,404,-461,-457
380,13044,-1608,9708,-230,-434,110,10732,-11648,6576,271,-430,-349
400,13108,-1440,9764,-233,-281,14,10616,-11568,6452,238,-294,-340
420,12996,-1380,9920,-789,-605,455,10640,-11708,6476,294,-154,-290
440,13020,-1604,9992,-895,-456,484,10708,-11724,6572,395,16,-347
460,12576,-1884,9748,-216,-439,-193,10884,-11864,7036,359,-51,-265
480,13136,-1556,10064,1602,-231,-1185,10640,-11656,7012,591,288,-366
500,12968,-844,10652,-70,-843,-581,10552,-11916,6996,745,557,-206
520,13344,476,12396,-2055,-1816,471,10520,-11924,7768,680,968,-319
540,13396,968,13256,-6355,-2325,1108,10880,-12156,8604,526,715,-253
560,13476,-512,12848,-6612,-1166,-220,11280,-12692,9052,59,926,52
580,14340,-688,13132,-6327,-1026,-739,11136,-13272,9828,-270,1183,542
600,15008,-1452,13040,-5370,-764,-842,11432,-14344,10452,-64,1091,1354
620,18080,-1608,11848,-1334,1384,-725,11620,-14768,9928,420,1248,2532
640,17240,-1652,11616,3328,3368,-945,12732,-14300,9404,786,2221,3997
660,15712,-2000,10600,9743,5104,-3676,13200,-13684,8764,750,2590,5324
680,16236,-716,10432,10082,4412,-3631,12200,-13532,7692,1134,3191,6408
700,17184,-200,10608,6166,5105,-1473,10908,-13344,7292,1648,3218,7069
720,17756,-368,10696,-642,6212,2509,10736,-12928,6464,2355,2804,7165
740,15476,-2176,7316,-2734,9938,4086,10100,-12672,5944,3032,3395,8461
760,11772,-4308,6040,-839,11732,1647,10460,-11944,5736,3516,3428,8985
780,11792,-4476,5716,987,12189,102,9096,-11508,4428,3848,5786,8966
800,10964,-4036,6264,1667,12454,66,7824,-11304,4228,4593,7289,8608
820,9080,-4660,6228,2293,12631,-654,7328,-11392,4952,5459,9283,8000
840,7380,-4016,6480,4538,12245,-789,5680,-10960,5884,5856,8859,7595
860,6308,-1652,9492,4986,9866,-301,4616,-10604,5812,6054,7471,6499
880,8288,132,11148,3408,7844,719,4920,-10672,7104,6424,5555,4935
900,7700,172,11528,1659,9515,-673,6032,-10996,9004,6368,5250,4171
920,7144,416,12780,1265,9351,-2689,5884,-11472,10108,6020,5119,4237
940,7216,1452,14200,708,7980,-2339,4820,-11520,10448,5288,4500,3407
960,7828,728,14520,-184,6403,-94,4272,-12248,11732,4796,2898,2450
980,7804,200,14704,-398,4826,1647,4600,-13012,11820,4291,2264,2239
1000,7744,-208,14888,47,6377,708,5444,-13268,11848,3989,3574,2815
1020,7668,-280,16148,-1702,7172,100,4796,-13680,11376,4035,6420,3123
1040,6788,336,17096,-3536,8504,-257,2976,-13660,11656,3728,8432,3171
1060,6060,64,18040,-6593,9649,16,2680,-13328,12236,3369,9248,3270
1080,4344,-1472,16500,-6889,10731,-1569,2508,-13432,13320,2706,10621,3309
1100,3464,-2264,17864,-7514,11096,-2682,1420,-13240,12796,2201,10835,3345
1120,2940,-2164,17016,-6707,10260,-3240,272,-13096,13104,1531,10707,2441
1140,2944,-2224,16408,-7193,9523,-3226,620,-12968,13472,875,10668,1876
1160,2708,-1912,17516,-6148,8150,-2582,-960,-12844,13156,413,10037,1329
1180,1376,-1872,17300,-5191,5485,-3148,-780,-12952,13556,-111,7863,341
1200,1576,-2932,15636,-5335,4020,-4270,612,-12380,12912,-1037,7004,-206
1220,4368,-2180,13956,-6408,5931,-6586,1924,-11820,10180,-1665,8625,-333
1240,6016,-2964,11828,-7046,5592,-6404,2036,-11336,9792,-1501,8868,-256
1260,6408,-4252,9168,-4262,4085,-5000,2404,-11044,10112,-1175,6513,344
1280,5944,-3240,10500,-2436,2898,-3610,2156,-10840,9048,-837,4522,892
1300,5780,-3624,9928,-1373,2388,-2839,1880,-10660,8876,-378,3059,1460
1320,5464,-3528,10036,-775,3357,-2344,1212,-10492,8948,163,3338,1543
1340,3320,-3116,11520,315,2447,-1006,-428,-10584,10308,388,1802,1436
