Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,15328,-68,5612,11,-241,20,14488,-4608,7908,433,-221,-292
20,15584,28,5784,8,-167,-73,14444,-4556,7824,454,-211,-292
40,15572,48,5856,105,-190,-50,14604,-4548,7948,353,-244,-311
60,15664,216,5844,-102,-158,-49,14628,-4544,7936,315,-252,-244
80,15492,104,5820,-185,-206,88,14320,-4500,7840,284,-237,-248
100,15440,140,5700,-209,-257,214,14380,-4616,7828,220,-480,-308
120,15472,-28,5676,-223,-172,15,14628,-4620,8140,199,-304,-294
140,15736,-136,5576,-160,-139,-94,14564,-4520,7736,257,-157,-294
160,15428,-116,5600,-274,-231,179,14332,-4660,7624,243,-293,-285
180,15512,-272,5656,-137,-227,228,14416,-4532,7852,291,-418,-251
200,15656,12,5572,-54,-87,-9,14628,-4504,7760,285,-302,-269
220,15616,-64,5596,-164,-259,116,14440,-4520,7900,285,-252,-279
240,15460,-208,5640,75,-163,88,14476,-4656,7896,287,-361,-284
260,15540,-16,5600,35,-86,-21,14508,-4568,7792,374,-338,-283
280,15568,192,5632,-131,-243,205,14564,-4540,7704,357,-371,-285
300,15548,-112,5636,14,-218,250,14544,-4616,7736,362,-444,-268
320,15260,-244,5648,-75,-258,135,14372,-4636,7832,419,-409,-232
340,15248,-244,5632,-13,-278,-68,14604,-4632,7860,444,-327,-321
360,15680,-20,5524,150,-202,-79,14356,-4716,7800,463,-240,-360
380,15616,-24,5900,74,-199,183,14764,-4568,7872,506,-314,-292
400,15644,-48,5584,82,-92,26,14572,-4660,7796,494,-295,-229
420,15516,-20,5816,27,-163,-8,14508,-4576,7860,411,-266,-300
440,15644,-12,5720,21,-181,25,14360,-4668,7684,403,-184,-285
460,15472,44,5852,65,-171,123,14396,-4572,7776,463,-286,-212
480,15696,-76,5552,68,-67,47,14636,-4608,7724,454,-248,-271
500,15552,-28,5628,7,-108,61,14552,-4540,7908,438,-318,-294
520,15484,-128,5716,121,-137,4,14624,-4680,7612,458,-297,-233
540,15860,-16,5324,173,-118,72,14416,-4664,7932,569,-269,-271
560,15592,-56,5832,299,-240,176,14856,-4516,8180,633,-275,-317
580,16020,140,5768,548,42,-142,14868,-4596,8676,896,4,-214
600,15824,616,6208,1079,573,-440,15040,-4452,9496,1022,516,-70
620,15372,996,7784,1202,558,-844,14444,-4920,9884,1061,588,-23
640,15928,1248,8604,965,-2,-942,14760,-5476,10632,1206,-127,-139
660,17464,1688,8636,623,-871,-196,15452,-5664,11472,1508,-1245,-130
680,18476,2348,8552,832,-447,256,16800,-4884,11964,1829,-1342,684
700,19224,2600,9156,914,687,-249,17392,-4844,12324,1815,-690,1633
720,19064,2868,10544,783,312,-76,17308,-5664,11656,1813,-769,2427
740,19312,3084,11296,-225,-683,809,17336,-6284,11888,1917,-2357,3267
760,19864,2784,10968,-2101,-1048,1477,17852,-6360,11604,1750,-3745,3754
780,20996,2308,9200,-3540,-22,1905,18116,-6000,10996,1307,-2943,4397
800,20704,2184,8692,-4568,1503,2536,18028,-5700,10168,657,-1555,5336
820,19520,1416,7472,-5393,2966,3282,16696,-5528,9596,18,163,6449
840,18200,1056,7428,-5660,3684,4097,16424,-5672,8708,-628,622,7299
860,18408,1304,7720,-7057,4560,4615,16288,-6068,8076,-1135,1833,7803
880,18352,-248,6840,-9784,6766,4393,16460,-6288,8188,-1817,3310,8474
900,17264,-1700,5316,-9859,7697,4390,15008,-6412,7552,-2571,4045,9104
920,16480,-2652,4024,-8368,6930,5890,14180,-6752,6520,-2799,3414,10433
940,14880,-3596,2832,-7242,6542,6609,13708,-6384,5808,-2614,2733,11685
960,12772,-4640,2396,-5322,6757,5700,12564,-6444,5600,-2345,3237,11573
980,10764,-4856,3580,-4190,7654,2633,11640,-6964,5796,-2007,4250,10661
1000,10016,-5648,4628,-3605,8163,-246,10212,-8316,6788,-1848,6995,9647
1020,10516,-5840,7132,-2781,7626,-809,7732,-9968,8552,-1565,8484,8563
1040,9928,-2740,10864,-3082,6116,-1480,8536,-10044,9544,-1685,9639,7200
1060,10936,-1704,13596,-6675,7346,-1296,9220,-10196,10120,-2370,10100,5205
1080,11860,-2276,12752,-9260,6814,-352,9004,-10752,10320,-2843,8917,4257
1100,12364,-3016,10864,-9557,1259,2706,9072,-10968,9064,-2973,4404,4380
1120,13780,-3552,8796,-8839,-2095,5875,8520,-10352,8636,-2945,81,4612
1140,12648,-5116,6732,-7582,-4141,8574,8960,-10144,7704,-2740,-3298,4324
1160,10580,-6012,6092,-7230,-3188,8026,8876,-10220,6592,-2396,-3714,3763
1180,7996,-6644,5776,-8336,-2930,5924,9016,-9656,6016,-1938,-3776,2997
1200,9276,-6592,2816,-8227,-4594,4570,8308,-8680,5064,-1827,-3557,2536
1220,11728,-6716,1100,-5207,-5330,4647,9044,-8304,4576,-1368,-2902,2127
1240,12288,-6972,1724,-3157,-3118,4142,9372,-8596,4704,-901,-1475,1686
1260,10596,-7328,2908,-2411,-1630,3451,8900,-9184,5220,-442,-1186,1400
1280,9928,-7052,4076,-1887,-2054,2015,8788,-9492,5848,93,-1959,984
1300,10660,-6648,4332,-1489,-3649,1604,8720,-9404,5896,714,-2861,345
1320,12660,-7136,3480,-777,-3187,1175,9420,-9340,6080,907,-2455,-264
1340,12688,-6984,3528,-507,-416,193,10008,-9520,6092,966,-497,-569
1360,11700,-7340,4252,420,181,-257,9356,-9748,6480,1088,272,-733
1380,11228,-6896,5240,939,-76,-965,9316,-9852,6712,1104,64,-1164
1400,10956,-6348,5300,340,-1068,-1836,9220,-9604,6460,1130,-791,-1459
