Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,14952,-8980,-872,-255,133,152,10780,-11720,-4348,325,-87,-187
20,14612,-9016,-1088,-289,102,134,10348,-11940,-4072,312,40,-240
40,14788,-9104,-924,-76,-275,-110,10500,-11784,-4148,292,-156,-282
60,14976,-9084,-672,-36,-359,-76,10312,-11992,-4128,303,-213,-251
80,14648,-9108,-1128,-54,-426,-6,10340,-11836,-3928,316,-410,-246
100,14764,-9032,-848,-50,-496,46,10292,-11772,-3976,234,-681,-312
120,14996,-9000,-840,23,-552,27,10652,-11780,-4400,221,-674,-277
140,15092,-8932,-936,3,-467,-43,10728,-11900,-4472,204,-336,-130
160,14984,-8844,-1184,-217,-407,44,10428,-11904,-4316,277,-112,-147
180,14472,-9072,-1196,-155,-353,50,10188,-11956,-3888,430,-504,-352
200,14832,-9152,-864,13,-480,-49,10540,-11740,-4388,423,-733,-444
220,15180,-9008,-880,-36,-305,-146,10868,-11712,-4444,382,-214,-361
240,15100,-9008,-800,64,-40,-95,10576,-11696,-4300,354,64,-206
260,14484,-8908,-1004,-92,4,106,9904,-11672,-4016,330,-444,-276
280,14608,-8924,-1032,-146,-257,30,10556,-11652,-4532,269,-589,-444
300,15144,-8932,-944,-242,-70,43,10944,-11728,-4412,230,-64,-321
320,14792,-9132,-672,-91,-126,-66,10452,-11784,-3980,299,167,-153
340,14564,-9200,-884,74,-219,-49,9872,-11940,-3940,305,-361,-210
360,14716,-8964,-836,-70,-469,36,10520,-11816,-4308,333,-578,-368
380,15096,-8964,-1116,-296,-183,72,10924,-11736,-4372,336,-156,-322
400,14864,-9012,-992,-122,20,20,10428,-11800,-4320,323,10,-205
420,14696,-9056,-900,-99,-127,19,10288,-11916,-3964,402,-230,-213
440,14684,-9040,-936,-251,-345,94,10504,-11800,-4064,340,-489,-296
460,15040,-9008,-1020,-71,-348,22,10904,-11760,-4080,275,-328,-257
480,15100,-9020,-1124,-45,-13,-84,10792,-11832,-4428,269,91,-167
500,14852,-9080,-1096,-148,159,-19,10308,-11812,-4084,383,121,-172
520,14460,-9096,-1088,-155,-72,51,10124,-11780,-3916,394,-433,-243
540,14564,-9016,-796,67,-523,-79,10348,-11748,-4176,267,-678,-314
560,15156,-8936,-1028,65,-408,-125,10748,-11748,-4600,253,-362,-248
580,14980,-8996,-1144,-142,-94,42,10544,-11824,-4336,237,1,-186
600,14768,-9012,-1120,-185,-70,33,10360,-11728,-4184,347,-187,-231
620,14904,-9052,-832,-75,-229,-74,10524,-11852,-4256,343,-422,-331
640,15080,-8932,-1204,-123,-257,-80,10788,-11820,-4504,306,-179,-244
660,14836,-9160,-1028,-309,22,44,10716,-11796,-4404,355,207,-120
680,14716,-8956,-1244,-201,-90,20,10248,-11736,-3984,455,57,-271
700,14672,-8916,-768,72,-272,-55,10156,-11768,-4052,352,-301,-299
720,14916,-9128,-964,-46,-439,-54,10440,-11848,-4148,260,-453,-285
740,14904,-9164,-1000,64,-361,-119,10488,-11964,-4248,248,-364,-282
760,14836,-9084,-900,231,-330,-176,10280,-11924,-4016,236,-442,-257
780,14848,-8996,-1200,-107,-440,74,10688,-11736,-4092,295,-523,-312
800,15140,-9028,-1104,-142,-125,54,10888,-11688,-4144,199,-101,-242
820,14960,-9136,-928,161,15,-123,10604,-11932,-4248,270,174,-121
840,14832,-9228,-688,436,-92,-317,10232,-11900,-4076,275,-35,-123
860,14804,-9240,-632,787,-397,-544,10164,-12008,-3744,251,-512,-96
880,15192,-9188,60,1583,-1409,-872,10576,-11804,-3600,314,-1159,116
900,15412,-9076,732,2299,-3566,-1945,11868,-11932,-3604,-183,-1130,902
920,15304,-9032,1148,3084,-5307,-3529,12756,-12100,-2956,-652,339,1515
940,14432,-9728,1280,4801,-8687,-5990,11888,-12960,-1808,-1050,729,2033
960,15820,-10860,3532,10387,-13516,-9517,11884,-13848,-892,-394,-825,1279
980,16672,-9516,6080,16793,-18821,-12430,16024,-15372,-760,-3204,1359,4084
1000,20512,-7936,6204,23861,-20400,-15278,15808,-17236,160,-1227,8211,3378
1020,26688,-5176,4560,26409,-11375,-14319,14688,-15180,-964,-2131,10509,5065
1040,27444,-4304,4748,24911,5008,-13496,12460,-16916,-1824,-1645,11895,3177
1060,27828,-1224,3212,17966,19094,-13091,13076,-16000,-5400,-93,13637,2602
1080,26796,-2684,740,15153,25235,-14643,12852,-15864,-6308,1039,16846,2307
1100,21036,-4116,-4996,7272,23462,-14087,13600,-15852,-5716,2297,16569,3269
1120,20360,-10596,-8348,3551,20728,-12722,14120,-15684,-2616,3302,17263,3959
1140,19040,-12708,-10016,6187,22392,-13101,12396,-14564,-804,4423,17699,5502
1160,13008,-12220,-7984,3954,22082,-13850,11996,-12812,-6724,6711,16399,6745
1180,16444,-7836,-2972,855,15831,-11377,9068,-12476,-11976,8556,17042,5965
1200,22404,-7740,-1508,-277,17475,-7630,6704,-12624,-7832,10364,18313,5067
1220,14224,-7888,-1964,5775,19870,-6796,8048,-13472,-2320,12344,14129,5909
1240,11628,-2844,1488,10630,14858,-3621,7984,-11744,916,12718,9717,6015
1260,12336,1852,5104,9255,9454,2147,6760,-9804,2256,12373,4962,6592
1280,11588,3792,7880,6362,10739,2277,8088,-8860,3012,10125,2247,6838
1300,9416,1996,9396,3512,12772,-743,7844,-10248,2440,7697,5891,7777
1320,7976,548,9180,2950,12136,-3116,5296,-11036,3944,6050,7237,6397
1340,6992,2908,11008,2491,9473,-2467,4488,-10852,4688,5361,6587,5731
1360,6396,-656,14412,-4126,4387,298,2668,-10232,5736,3790,5050,4441
1380,608,4336,13856,-6473,815,-2085,2628,-9740,8308,1108,1558,2184
1400,8560,5076,17612,-18244,-11804,12977,-844,-9884,9360,-2991,-737,-990
1420,5920,7064,17116,-21497,-14407,15121,4756,-11092,9992,-4414,-8362,-2577
1440,7132,5628,15144,-28867,-16553,14765,6540,-10972,8584,-8562,-5580,-3585
1460,9280,3932,10440,-32768,-12538,12401,6216,-9980,8524,-11873,-3663,-4970
1480,10572,-1400,804,-32768,-1639,8381,7552,-8704,5556,-14513,229,-5128
