Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,9056,2160,15464,-220,-19,-561,5884,1756,14984,-557,-58,-114
20,9056,2080,15336,-229,-111,-509,6004,1700,14992,-563,-105,-99
40,9256,2044,15440,-269,-43,-464,6136,1816,14952,-578,84,-67
60,9240,1968,15308,-143,52,-429,6084,1732,14928,-498,103,-35
80,9236,2104,15368,-57,114,-442,5972,1604,14936,-493,140,-53
100,9056,1884,15504,-119,75,-495,5980,1716,15016,-546,-8,-96
120,9160,2036,15484,-212,-15,-555,6056,1732,14920,-577,-47,-125
140,9064,2020,15432,-249,8,-528,5884,1768,14960,-579,-14,-118
160,9224,2072,15320,-341,98,-467,6112,1744,14776,-547,276,-139
180,9164,1940,15344,-316,127,-477,6028,1712,15016,-499,271,-115
200,9012,1892,15496,-463,257,-646,6084,1784,15040,-545,70,-105
220,9040,2144,15372,-302,-10,-564,5688,1772,15024,-572,-132,-129
240,9012,2060,15436,-312,-70,-626,5904,1736,14776,-572,-228,-111
260,9244,1976,15320,-245,32,-543,6196,1688,14892,-544,62,-85
280,9148,2164,15516,-255,53,-535,6068,1832,14968,-577,114,-141
300,9008,2140,15480,-313,-13,-528,5756,1772,14876,-587,-12,-134
320,8764,1936,15544,-323,-166,-557,5876,1760,15008,-644,-317,-83
340,9132,2052,15456,-177,-357,-543,5992,1640,14844,-623,-515,-91
360,9220,2084,15312,-260,-233,-659,6112,1680,14960,-659,-487,-92
380,9080,2068,15484,-233,-233,-579,6076,1612,14980,-621,-414,-43
400,9152,2024,15624,-276,-285,-586,6072,1700,15040,-554,-248,-24
420,8860,2096,15676,-234,-443,-660,5848,1600,15176,-451,-521,34
440,8904,2020,15664,-262,-790,-812,5704,1736,15088,-574,-1032,38
460,8600,2288,16000,-118,-1664,-1190,5808,1872,15300,-650,-2147,99
480,8428,1720,15852,-318,-2627,-607,5720,1656,15376,-778,-2749,246
500,8936,1904,15504,-493,-2742,-1065,6192,1556,15056,-887,-2851,207
520,9344,1968,15540,-205,-2970,-998,6044,1788,15240,-1043,-2758,160
540,9048,2060,15684,104,-4061,-968,5784,1520,15516,-1181,-4290,868
560,9396,3420,17848,-1163,-9215,190,6688,1972,15692,-1857,-5683,925
580,10656,4288,19172,-4561,-15342,1181,7316,2284,16624,-3424,-6844,1467
600,13952,2288,22988,-5502,-20959,2453,8816,2436,20176,-5207,-9099,2585
620,19264,3428,24448,-10370,-20484,5203,8832,2928,19916,-10181,-9583,3101
640,16752,3704,23268,-14638,-27551,12703,9672,1788,19656,-14433,-10182,5173
660,21160,3800,20580,-18673,-29677,16704,10268,824,20224,-17103,-16684,5089
680,21964,2204,17116,-21668,-26530,20052,15848,432,19292,-20299,-11442,7387
700,22848,-112,10584,-21046,-16902,21215,15732,-836,18188,-21670,-4264,9014
720,20820,-1804,7132,-18793,-4765,22703,14364,-2424,15652,-20787,2508,10786
740,18512,-3024,6208,-15726,268,24723,12656,-3364,14292,-19684,6628,11870
760,16132,-4224,5988,-11871,2074,25388,11572,-3992,12356,-18949,9258,12944
780,15780,-4704,4480,-9103,2326,25081,11604,-5196,10880,-17872,10215,13550
800,12776,-5356,3396,-7419,3933,24370,9692,-5848,9820,-16267,11994,14259
820,10416,-6468,3752,-5707,6775,24186,7864,-6544,8772,-14449,14338,14004
840,8520,-6960,3536,-3675,7605,22106,5724,-6676,7860,-12674,15799,13003
860,7320,-7428,3528,-1655,9065,20554,4888,-6792,7524,-11254,16656,12282
880,5424,-7832,2520,1278,11536,18355,3440,-7408,7544,-9053,16795,11324
900,2772,-8792,3428,3507,13238,16237,1540,-8372,7372,-6636,16538,10449
920,1752,-9076,4992,5114,12867,13473,932,-8492,7580,-4335,14806,8835
940,1168,-8820,7192,4219,11645,10049,1040,-8472,7860,-3027,13229,7117
960,2776,-9908,9160,1923,9320,8511,-464,-8584,8600,-2352,11246,5542
980,1944,-11572,10392,1346,7025,5602,-1408,-9496,10556,-1644,8738,4774
1000,1136,-12612,10768,3554,8549,4281,-2312,-9396,12488,-43,6795,3422
1020,-328,-11792,14016,4527,7257,1164,-3388,-9036,12812,-38,5275,1450
1040,-1692,-9680,16728,2457,1623,-810,-5424,-8880,11824,-1416,1157,-75
1060,-2612,-8524,19704,-3834,-7582,-999,-5736,-8604,12124,-3959,-6993,-1711
1080,644,-11276,17572,-8601,-13976,-4471,-3952,-9016,13656,-5884,-15262,-3860
1100,1220,-9020,15836,-13732,-15967,-7507,-1380,-9400,12468,-7654,-17291,-5929
1120,2184,-12032,13944,-18132,-22122,-11013,-68,-10368,15224,-8778,-21730,-8600
1140,5876,-14028,7780,-18003,-24118,-17447,2812,-10840,12296,-8652,-25623,-9114
1160,8532,-11212,3868,-15749,-22712,-19479,3776,-11636,9712,-8010,-25027,-8652
1180,14108,-11096,-1128,-11238,-18073,-15475,8628,-11456,7296,-5236,-17741,-7878
1200,19972,-9756,-2936,-7954,-2659,-10490,12448,-11048,5660,-3256,-2508,-6735
1220,20024,-10320,-4388,-3229,15638,-3525,12248,-11608,5556,-1273,13032,-4982
1240,16408,-10844,-2948,398,22726,1433,10244,-11832,6548,1048,21708,-2042
1260,15968,-12336,-1732,7848,21938,5455,9224,-11936,9324,4146,24146,1086
1280,16292,-12456,-1108,15724,23561,8499,9008,-11880,10996,6740,25803,3672
1300,12940,-10984,2148,22217,29068,11184,6932,-11812,11248,8363,27282,5895
1320,7696,-10828,7740,24074,28209,11676,3824,-11628,11436,8845,25506,7946
1340,3424,-8536,14096,21942,17021,11068,776,-10392,11096,7702,19179,8877
1360,3200,-7848,18672,14648,6817,10743,-1952,-9392,11676,4510,11366,8449
1380,2692,-9228,20156,7215,2161,9515,-4548,-9052,14188,1729,4734,7170
1400,-280,-10176,20952,2873,509,7520,-6524,-9288,15184,-1022,161,5522
1420,-3668,-9540,23624,-1504,-2016,4151,-7388,-8916,14352,-4560,-4639,2510
1440,-7956,-9512,24820,-9289,-6361,-2615,-9712,-8904,15288,-7011,-10680,-1958
1460,-8856,-9556,23948,-16135,-16459,-8557,-10272,-8848,15748,-8922,-19930,-6573
1480,-6068,-10060,18596,-20285,-27569,-13498,-7376,-9384,14288,-10490,-28360,-10046
1500,-892,-8632,14416,-25039,-32768,-16658,-1440,-9552,11760,-12171,-31781,-12248
1520,5576,-7884,8368,-30439,-31568,-18526,3144,-10352,10528,-13394,-30793,-12995
