Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,5892,2176,14140,-9,-186,-7,724,1284,17484,380,-303,-301
20,5932,2068,13932,-106,-223,19,816,1360,17548,364,-303,-286
40,5840,2168,14064,-145,-250,26,792,1268,17476,350,-294,-300
60,5932,2144,13896,-23,-208,-1,836,1428,17348,308,-314,-315
80,6004,2064,14076,-77,-180,-3,820,1352,17400,323,-184,-256
100,5832,2056,13964,-114,-204,20,820,1328,17276,320,-278,-304
120,5856,2112,14076,-151,-219,2,732,1372,17508,370,-264,-277
140,5812,2108,13956,-43,-160,23,692,1260,17344,374,-301,-224
160,5872,2008,14232,-10,-213,-3,660,1400,17552,430,-313,-240
180,5952,2080,13912,-48,-196,25,820,1380,17488,488,-275,-190
200,5800,2044,14116,-90,-221,60,672,1396,17416,487,-306,-184
220,5828,2056,13864,-45,-207,52,936,1288,17492,441,-243,-212
240,5748,2104,14108,8,-174,12,704,1412,17400,449,-253,-207
260,6000,2096,14108,-22,-173,16,800,1352,17432,493,-233,-200
280,5780,1992,14036,-47,-249,59,528,1292,17444,556,-334,-178
300,5708,2156,14096,23,-277,111,544,1284,17604,592,-533,-188
320,5796,2256,14040,283,-314,99,872,1364,17448,652,-710,-186
340,6140,2228,13796,175,-275,34,1212,1456,17436,731,-374,-179
360,5976,2036,14324,93,-160,87,508,1344,17800,944,-295,-40
380,5816,2136,14276,226,-404,161,572,1460,17588,1143,-669,-50
400,5756,2052,14420,493,-611,165,624,1340,17764,1397,-1080,-90
420,5968,2080,14376,814,-982,153,-216,1336,18460,1808,-2112,-128
440,6192,2232,14800,1441,-1786,188,48,1536,19184,2027,-3512,-212
460,6388,2480,15348,2354,-3061,286,504,1924,19808,2033,-5314,67
480,7244,2540,17424,4481,-5247,412,2008,2724,22148,625,-5075,32
500,9732,7196,19796,6611,-13079,1578,1552,2832,25144,-1147,-7499,137
520,10028,5808,18264,6435,-16757,1585,5108,2064,20892,-2427,-5502,1293
540,10304,6052,22888,6039,-15803,1651,4336,4640,22224,-3922,-3542,2048
560,14732,7996,21388,-2541,-9427,5849,4120,4040,22660,-6482,-5898,2470
580,11932,5520,20356,-8160,-11473,8117,3468,3316,22908,-8904,-7092,3950
600,14988,6644,19972,-8231,-13269,7644,4168,2340,23400,-10814,-9247,5095
620,15260,4912,18528,-9563,-11346,9080,4912,1484,23496,-12448,-10348,5532
640,14488,3952,16952,-9781,-10373,10730,5640,792,21544,-13895,-9834,6724
660,13616,3664,13632,-9349,-10218,12363,4820,-244,18916,-14671,-9712,7573
680,14496,3152,11316,-10655,-9497,13059,6940,-920,16884,-14906,-8535,8819
700,13540,2020,10296,-11842,-6251,13757,7236,-1928,16332,-14811,-5984,9802
720,12848,872,9276,-11977,-3384,14899,6300,-2504,15740,-14626,-3665,10596
740,12364,-344,8100,-10174,-2619,15486,5880,-2996,15300,-14169,-1996,11330
760,11768,-1028,7692,-8411,-2515,15449,5720,-3348,14692,-13632,-1303,11899
780,11888,-1524,6856,-6653,-2426,15416,5628,-3812,14016,-12747,-2347,12795
800,11380,-2080,6800,-4245,-2348,15604,4812,-4788,13092,-11767,-3340,13512
820,10796,-2772,6412,-2587,-2236,16200,5376,-5016,12344,-10881,-2682,14150
840,10176,-3020,6448,-1839,-1670,16444,4668,-5500,12020,-10025,-2026,14367
860,8424,-4032,6708,-1642,-1544,16639,3372,-6432,11700,-9051,-2588,14430
880,8436,-4328,5992,-917,-1123,15622,4164,-6584,11200,-8103,-2634,14156
900,8396,-4948,6204,-602,339,14854,3512,-7360,10764,-7410,-1058,14032
920,7556,-5884,6668,178,1195,14829,1980,-8004,10968,-6693,-338,13921
940,5996,-6784,7320,1207,918,14838,1332,-8324,11292,-5706,-532,13510
960,5124,-6580,7472,1699,1678,13800,964,-8320,11304,-4970,-30,12898
980,4144,-7652,8896,2100,1691,12546,-872,-9480,11232,-4203,-52,12198
1000,3936,-7436,9440,2393,1795,11619,-448,-8936,11312,-3529,-2,10949
1020,3744,-7956,10028,1480,2190,10261,-1076,-9216,11632,-3151,387,9894
1040,3064,-8264,10180,1715,1285,9311,-2432,-9680,11664,-2573,-732,8801
1060,2648,-8644,10216,2228,-402,8266,-2032,-9628,11568,-2032,-2061,7722
1080,3284,-8020,10368,2111,-2075,7031,-1820,-9544,11444,-1590,-3538,6771
1100,4636,-8484,10132,2046,-2245,6653,-684,-10032,11192,-1294,-3281,5753
1120,5124,-8852,10000,1492,-182,5832,-312,-10052,11900,-951,-1088,5010
1140,4520,-9380,10760,2681,904,4547,-1376,-10024,12576,-661,167,4259
1160,3792,-8848,11408,2979,291,3584,-1864,-10276,12636,-535,-26,3379
1180,4056,-8628,11848,1276,-297,2885,-1700,-10308,12176,-452,-135,2480
1200,4384,-8928,11840,35,138,2216,-1640,-10636,12508,-502,177,1659
1220,5104,-9040,11708,153,-78,1500,-1380,-10624,12924,-494,101,942
1240,5760,-9024,11388,-17,-238,1247,-752,-10788,13044,-317,-238,520
1260,6144,-9012,11444,-197,-207,995,-524,-10868,12976,-308,-246,268
1280,6568,-8908,11192,108,158,1033,-64,-10836,12836,-232,-109,24
1300,6768,-9028,11320,-440,-62,935,-92,-10964,13092,-374,-101,82
1320,6772,-9248,11168,-788,-673,949,-156,-11100,13308,-444,-716,65
1340,6844,-9228,10992,-1078,-448,529,240,-11140,13124,-341,-824,-34
1360,7100,-9312,11000,-1269,-193,433,268,-11144,12752,-235,-836,-110
1380,7004,-9392,11008,-1184,-372,642,-16,-11340,13212,-203,-1217,-73
1400,6004,-9428,11380,-2028,-1163,505,-132,-11248,12896,-261,-1722,-146
1420,5528,-9588,11368,-4463,-679,-990,228,-11296,12412,-366,-1552,-639
1440,5532,-9988,11056,-6136,1244,-2976,544,-11516,11688,-129,80,-1629
1460,4972,-10004,9544,-7137,2762,-3579,-128,-11388,11436,227,1390,-2221
1480,-2148,-17036,11800,-7727,616,-12549,552,-11128,14588,600,-403,-3158
1500,6820,-11376,15956,-8394,-19795,-6452,-9220,-12352,15520,-74,-7933,-4988
1520,13228,-8460,9176,-11852,-7524,-2529,6064,-9680,13488,-876,-7747,-3563
