Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,7932,4300,12560,-119,-120,21,5292,3016,16448,375,-115,-324
20,7936,4276,12568,-77,-176,23,5216,2912,16516,332,-265,-297
40,8008,4316,12636,-34,-212,-9,5368,2972,16512,341,-354,-290
60,7972,4284,12752,-58,-191,-4,5256,3008,16356,372,-255,-321
80,8068,4260,12540,-98,-177,22,5248,2940,16532,367,-223,-297
100,7884,4256,12520,-136,-202,3,5172,2844,16324,356,-315,-288
120,7952,4276,12464,-113,-228,22,5232,2924,16464,357,-327,-307
140,8004,4344,12612,-25,-220,-41,5260,2988,16356,370,-264,-331
160,7924,4244,12624,-68,-190,-27,5240,2856,16432,340,-338,-324
180,7984,4296,12608,-191,-233,34,5168,2964,16412,329,-323,-320
200,7876,4244,12680,-51,-243,-18,5120,2920,16456,295,-362,-289
220,8172,4336,12548,-2,-208,-18,5300,3016,16432,288,-354,-292
240,8044,4380,12628,-55,-210,-18,5176,3036,16468,318,-335,-322
260,8028,4368,12596,-120,-269,6,5256,2856,16464,298,-340,-318
280,8008,4352,12536,-50,-232,-2,5328,2940,16336,373,-295,-322
300,8096,4408,12424,-56,-189,-8,5324,3048,16520,348,-310,-298
320,7936,4292,12520,-131,-180,7,5216,2860,16456,336,-285,-318
340,7908,4248,12608,-145,-196,36,5208,2996,16540,346,-242,-281
360,8036,4212,12484,-83,-242,22,5336,2932,16548,345,-273,-301
380,8092,4204,12464,-46,-210,7,5296,2992,16548,378,-245,-330
400,8048,4336,12752,21,-336,-44,5376,3036,16584,507,-358,-309
420,7900,4312,13120,221,-902,-3,5296,3104,16880,616,-838,-315
440,8372,4272,12752,555,-1260,108,5096,2840,16736,493,-1203,-302
460,8548,4332,12956,1104,-1659,277,4844,2932,17160,504,-1630,-3
480,8448,3952,13928,2282,-2866,986,4580,2948,18576,541,-2382,255
500,7972,4340,14436,2946,-6619,1720,4976,3048,19048,550,-4181,956
520,9864,6328,15548,4125,-11939,2463,7012,4360,18892,170,-7298,2147
540,14628,8032,16368,1991,-15488,3808,9044,4788,19708,-1152,-10296,3908
560,16092,8420,14912,-991,-12645,8787,12040,4996,20132,-2387,-11812,6389
580,16884,6992,14572,-60,-11893,8236,12216,4208,20232,-4327,-9853,7884
600,18928,7316,14188,-812,-10133,10573,11552,3152,20236,-4228,-12512,9797
