Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,1080,2876,17752,-262,-28,-525,-3428,-744,15156,-612,-6,-158
20,1108,2948,17668,-252,7,-526,-3452,-740,15296,-605,-42,-120
40,1056,2908,17652,-277,15,-535,-3656,-780,15116,-525,120,-149
60,1036,3032,17696,-282,45,-533,-3628,-732,15292,-529,69,-123
80,984,2936,17616,-265,31,-516,-3552,-788,15180,-588,-19,-173
100,888,2976,17668,-254,13,-523,-3544,-812,15228,-579,33,-117
120,960,2916,17704,-268,17,-537,-3408,-804,15276,-563,60,-128
140,1064,3016,17720,-305,31,-551,-3644,-840,15228,-555,37,-162
160,1036,3032,17660,-308,24,-536,-3600,-768,15300,-600,2,-146
180,976,2932,17688,-282,4,-523,-3576,-804,15256,-547,5,-150
200,1076,3056,17600,-256,0,-540,-3560,-648,15252,-576,-43,-188
220,960,2972,17600,-256,-32,-552,-3596,-736,15280,-606,-48,-161
240,980,2912,17644,-289,10,-527,-3520,-808,15184,-584,-7,-129
260,1024,2952,17764,-226,8,-509,-3592,-744,15288,-530,49,-146
280,1088,2952,17620,-263,-7,-498,-3512,-712,15448,-590,-9,-143
300,1164,2972,17632,-223,-17,-520,-3508,-764,15148,-630,-72,-143
320,944,2920,17668,-274,-21,-502,-3544,-784,15220,-628,-38,-130
340,1068,2956,17744,-277,-12,-508,-3532,-824,15276,-584,-1,-127
360,912,2840,17476,-281,-2,-506,-3572,-696,15180,-583,-2,-132
380,1032,2968,17624,-259,21,-507,-3544,-696,15384,-647,-35,-112
400,1012,3020,17588,-309,0,-531,-3752,-860,15332,-699,-79,-117
420,1036,3092,17692,-423,110,-578,-3380,-784,15564,-914,136,38
440,1244,3036,17820,-709,427,-618,-3352,-640,15676,-1240,695,321
460,932,2940,18388,-1513,1772,-714,-3620,-552,16440,-1534,1629,1079
480,1380,3168,19856,-2500,3097,-254,-3560,-1272,17972,-2428,3187,2704
500,2936,1048,21940,-5303,12639,2065,-1224,-3588,18084,-3405,11864,6322
520,244,-768,29660,-2673,16716,4954,-9944,-6604,21220,-66,14351,8611
540,-3932,-3040,30188,1998,19766,5268,-11268,-5532,20296,3570,12404,9906
560,-6252,-1340,29440,9536,17031,4850,-13888,-4272,20496,6481,9357,11082
