Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14044,4436,2420,-918,-732,-75,-12156,6520,8652,642,-764,-252
20,-13864,4408,2632,-694,-165,-3,-12372,6652,8200,353,201,-345
40,-14644,4444,2836,119,184,93,-12812,6604,8884,194,377,-386
60,-14644,4404,2816,133,-23,110,-12700,6432,9540,355,-232,-381
80,-14352,4372,2808,-221,-372,79,-12500,6420,9032,504,-627,-324
100,-14112,4408,2660,-372,-281,-64,-12476,6628,8592,490,-635,-334
120,-14472,4492,2576,-237,-106,27,-12624,6704,8500,284,-26,-326
140,-14556,4464,2940,-72,-339,12,-12548,6612,8964,258,10,-308
160,-14052,4672,2204,0,-195,10,-12544,6492,9484,376,-423,-357
180,-14144,4364,3316,-520,-748,-115,-12588,6564,8736,439,-748,-374
200,-14016,4536,2352,-239,-143,20,-12236,6540,8712,368,-687,-449
220,-14144,4352,2612,-88,309,97,-12308,6380,8296,233,45,-435
240,-15024,4356,2584,123,341,152,-12884,6360,9192,284,339,-367
260,-14580,4268,3052,26,-554,-45,-12664,6276,9476,480,-365,-330
280,-13772,4404,2772,-270,-295,54,-12172,6456,8732,569,-492,-368
300,-14012,4608,2432,-242,50,61,-12480,6524,8640,442,-128,-371
320,-15136,4404,2728,-51,-48,-51,-13008,6424,9220,430,-125,-311
340,-14888,4324,2932,49,-570,20,-12776,6432,9300,511,-553,-227
360,-13984,4464,2556,-96,-604,-20,-12132,6536,8632,591,-808,-299
380,-13160,4572,2532,-140,174,86,-12124,6676,8360,394,-298,-455
400,-14584,4544,2632,-148,595,38,-12668,6460,8796,229,130,-477
420,-15304,4336,2972,56,214,24,-13288,6432,9548,242,-196,-349
440,-14520,4300,3036,-278,-339,-147,-12732,6416,9724,451,-1102,-264
460,-13888,4460,3044,-625,-86,-261,-12332,6556,9476,638,-1969,-341
480,-14272,4184,3180,-764,367,-504,-12684,6508,9556,769,-2042,-306
500,-16088,4376,3612,-1454,-38,-309,-12760,6476,10600,540,-2800,-290
520,-15728,3780,4796,-2244,-729,74,-13408,6444,11812,1068,-3848,-109
540,-15400,3584,5148,-1932,-1102,-365,-12796,6808,11684,1911,-6668,97
560,-16140,3708,5144,-170,1269,84,-12456,7336,11036,2431,-6560,355
580,-20524,3108,8308,-620,765,2578,-12800,7604,11172,2042,-5602,746
600,-20556,2156,11192,40,-4496,3454,-15476,7148,14116,3032,-8779,1404
620,-19480,1836,11284,4084,-11739,1944,-12532,7440,14156,4902,-12694,1369
640,-17416,2140,9880,7895,-14512,1248,-11304,7644,13624,6568,-11801,1517
660,-18292,2664,8800,9446,-14941,1655,-11804,8056,14716,7591,-11660,1751
680,-21208,3620,8664,10627,-18191,1839,-13648,8688,13948,8104,-16595,2193
700,-20836,3676,6760,9109,-26996,1422,-13532,8444,13560,8648,-22481,2342
720,-18328,3752,5580,8526,-30961,-18,-11732,8228,13576,9093,-25350,2533
740,-16444,5292,5584,9418,-30530,-223,-9652,9452,12808,9783,-26038,2808
760,-15140,6136,6176,8739,-25053,2077,-8584,11108,12064,9686,-23561,3565
780,-16508,6196,4352,1357,-23521,4921,-7440,10216,12496,9730,-22135,3696
800,-17884,4148,7824,-2049,-30500,3019,-8808,8676,14800,10528,-28285,3257
820,-15224,4472,9104,1218,-32768,-2767,-7424,9868,13012,11048,-32768,2563
840,-9728,6068,5060,4445,-32768,-4789,-4208,11400,11372,11467,-32768,2956
860,-9064,7412,5036,5553,-29634,598,-2948,10768,12148,11700,-28896,3006
880,-9020,7136,4564,1709,-23048,2336,-4484,9832,12392,12424,-25301,3299
900,-14808,7824,10304,11765,-31125,-6581,-6664,10136,11492,12844,-30011,3212
920,-8684,10568,2488,12180,-32768,-8266,-3852,12000,8672,11829,-32768,3202
940,-3020,12348,908,10270,-29524,-2031,-616,11144,7852,11630,-28868,4992
960,-860,10640,3000,7816,-25920,-1027,-132,10728,7700,10883,-23959,5783
980,-176,8220,3576,6227,-30670,-4449,1504,10168,5996,9153,-25547,4675
1000,5756,8756,2684,4340,-26795,-3926,3772,9608,6096,7325,-22340,4460
1020,6864,7300,5384,2496,-18244,-2158,4744,10492,5736,5662,-16805,4489
1040,3584,7180,7260,1736,-16680,-1561,6044,10136,6312,3810,-14042,3163
1060,3996,7320,8084,189,-16597,-908,6460,10160,7704,2528,-13091,2485
1080,6612,7228,10860,353,-13511,166,6700,11620,8684,1908,-11244,2334
1100,7940,7408,12296,818,-7357,1454,7780,12496,8640,1781,-7397,1973
1120,6452,6924,12484,1400,-5128,677,7884,12704,7844,1728,-5046,1015
1140,6704,7928,11000,1578,-5426,-1293,7172,11932,8448,1342,-5206,-95
1160,5708,9444,10120,569,-3382,-1896,7436,12336,8104,907,-3949,-364
1180,5676,9076,11932,136,548,-343,7824,13360,8264,629,-795,-223
1200,1908,8456,12592,699,1889,688,6800,13628,8076,581,615,-101
1220,352,7936,12676,525,-3142,1655,6416,13252,8132,366,-1396,-205
1240,2924,8504,11472,-92,-6061,1633,6312,12568,8680,227,-3938,67
1260,5460,9216,11796,74,-5229,1742,7732,13316,8680,153,-4097,268
1280,6856,8912,12192,589,-2168,1795,7340,13732,8752,445,-1957,697
1300,4576,8440,12944,1273,-563,1454,7260,13736,8340,861,-1027,668
1320,4984,8480,12532,1477,-3052,-218,8164,12956,8936,890,-2865,161
1340,8024,9256,12592,546,-3828,-970,10132,13148,8548,1079,-4363,-478
1360,10360,8648,13396,1369,-1981,-661,11100,14096,6620,936,-3079,-1102
1380,14932,8392,12832,2383,934,1737,16888,14488,4048,-517,814,-3450
1400,25624,7504,15060,2800,1515,1348,20340,15280,5328,-2498,1892,-8438
1420,32767,7596,18208,4831,-3924,-15533,16452,15932,7996,-2841,-7249,-13253
1440,32767,9872,11712,5184,371,-26022,28596,17628,112,-5429,-8576,-21055
1460,32767,9100,7352,4165,6045,-30280,28832,16072,-1464,-9105,-582,-28789
1480,32767,6640,-812,-403,14326,-32768,19680,11096,4604,-14502,941,-32768
1500,32767,-9384,-13004,-6282,32767,-32768,11248,5908,7672,-14030,20043,-32768
1520,-32768,-29716,-5776,3146,32767,-32768,-8912,4084,7320,-12929,32767,-32768
1540,-32768,-17892,12000,4235,26137,-29835,-18612,-6780,12144,-8211,17947,-27552
1560,-32768,-3612,4528,12125,-32768,-11747,-32264,-4300,23388,-2187,-23407,-22026
1580,-20060,7344,-5732,4705,-31453,-6414,-15320,5364,17100,911,-25944,-13674
1600,-7620,6700,656,635,-7452,398,-10408,9056,11660,2483,-9289,-7058
1620,-9524,4328,5072,1492,3274,-486,-9692,9932,9028,1972,1517,-3954
1640,-16764,5740,6784,3606,2652,-2981,-10252,9724,10544,2470,-222,-697
1660,-17596,8240,8000,3126,-9792,-3328,-5992,11780,8960,1984,-9658,34
1680,-6392,10908,5564,2858,-11089,-151,-2996,12868,9128,1663,-9160,357
1700,-2452,11876,6344,940,-5050,1016,-1848,13644,9244,1416,-3895,788
1720,-4340,11240,8460,-446,-2285,1583,-856,13756,9528,1069,-1521,1197
1740,-3632,10372,9996,-159,-3222,1264,-864,14448,9336,388,-2112,1248
1760,-1992,11132,9664,-80,-2290,1249,-156,14756,9904,-363,-2514,1224
1780,-2160,11204,9924,-430,-424,1261,516,13664,10876,-683,-1424,1201
1800,-2240,10344,10376,-1254,1012,418,436,13168,11440,-519,247,958
1820,-3804,9112,11176,-1955,2232,6,-240,12764,11428,-106,1291,594
1840,-6996,8216,12168,-1181,1634,537,-612,13004,10804,44,792,153
1860,-7704,8264,11904,-26,-850,1993,-1120,12564,11400,259,-293,-65
1880,-5532,8732,10912,145,-1569,2880,-1204,12304,11596,713,-843,2
1900,-4144,8956,10644,620,-480,2970,-1132,12664,11000,895,-305,281
1920,-3484,9724,10124,552,647,2297,-1152,13212,11048,913,573,634
1940,-4228,10172,10572,118,1435,1606,-748,13396,11212,1018,1194,701
1960,-5160,9588,10780,-364,1412,1733,-1012,13032,11180,1246,1356,828
1980,-5700,9308,10548,-884,890,1784,-1680,12472,11320,1496,1188,1005
2000,-6260,8020,9196,-831,1303,2121,-2164,11380,10696,1576,1733,1437
2020,-7460,7456,8000,-691,4522,4309,-3560,10544,10152,1631,4832,2700
2040,-9804,7488,6416,-1010,7258,6376,-5340,10196,10340,1613,7771,4681
2060,-11480,6724,4888,-1612,8431,6716,-8040,8608,10408,1646,8945,7342
2080,-12684,7388,-448,-3723,11028,6888,-10068,6652,9880,1548,12070,11487
2100,-12252,11092,-6844,-11035,18163,14181,-5544,6992,5904,120,18910,14308
2120,-8940,12992,-12016,-20589,29460,24145,-4764,8076,3348,-3240,30175,17854
2140,-8348,9916,-9848,-25295,32767,24735,-7392,8432,2824,-7721,32767,19684
2160,-7416,5128,-9972,-27353,30465,15933,-9028,6688,2940,-12518,32767,20370
2180,-8932,7044,-8824,-30475,22428,9383,-3212,6584,3984,-17445,27314,18244
2200,-9712,7308,-4780,-32768,16861,10796,104,9032,6444,-21580,23624,16458
2220,-5604,1588,272,-32768,12220,9389,-1488,9660,10088,-23286,21327,15657
2240,-3324,-4828,5324,-32768,16548,8265,800,9688,8660,-24989,25791,14441
2260,-3484,-6600,9408,-21737,26706,9909,4488,8040,11140,-26962,32767,10622
2280,-11228,-4560,10896,-10602,28422,3832,972,8272,23044,-25211,32767,5918
2300,-24220,-8204,14288,-9445,22265,-2892,-3892,9816,24804,-20205,32767,3337
