Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-9816,4048,10532,-234,-628,-219,-8140,9364,12044,399,-546,-15
20,-9404,3696,10720,-371,-530,-193,-7816,9272,12180,423,-738,19
40,-9176,3428,10944,-576,-642,-109,-7328,9232,11972,503,-703,-144
60,-9232,3432,10916,-320,-190,-49,-7356,9264,11616,439,-542,-311
80,-9424,3676,10532,-59,-65,3,-8004,9240,11820,369,-488,-337
100,-10276,4076,10352,-168,-255,-135,-8104,9260,11892,280,-710,-361
120,-9572,3864,10388,92,-276,-160,-8112,9196,11776,202,-435,-303
140,-9108,3820,10584,97,-23,-318,-7688,9296,11692,223,-211,-350
160,-9132,3580,10836,183,91,-420,-7212,9152,11908,286,-2,-530
180,-9600,3676,10412,78,318,285,-7592,9308,11796,442,328,-733
200,-9812,3764,10868,277,82,179,-8392,9380,12164,555,134,-761
220,-9992,4044,10512,388,-180,-220,-8460,9544,12016,526,-409,-550
240,-9952,4056,10716,422,-206,-268,-7852,9576,11704,495,-384,-381
260,-9644,4112,10256,179,-302,-228,-7716,9452,11992,436,-433,-301
280,-9732,3980,10364,-490,-449,-92,-7620,9376,12092,455,-686,-222
300,-9572,3768,10784,-479,-350,47,-7780,9360,12008,442,-731,-91
320,-9748,3792,10808,-278,-565,-119,-7928,9368,12080,430,-991,39
340,-9432,3708,10508,-191,-574,-219,-7788,9376,11844,438,-1320,57
360,-9444,3680,10636,-22,-512,-355,-7608,9344,11588,417,-965,-60
380,-9392,3892,10296,109,-338,-75,-7604,9416,11696,368,-495,-243
400,-9860,4088,10344,-265,-352,126,-7792,9416,11852,372,-191,-320
420,-9928,4064,10440,-428,-305,179,-8108,9576,11972,356,-240,-242
440,-9660,3828,10888,-158,-394,125,-7980,9484,11936,234,-248,-137
460,-9172,3676,10728,86,-319,-100,-7708,9392,11968,147,-395,-86
480,-9264,3216,11044,135,-322,-673,-7592,9156,12492,326,-850,-107
500,-9484,2640,10592,507,-1223,-1140,-7624,9024,13024,778,-1690,-166
520,-10396,3160,11660,-150,-2095,-1259,-7032,9452,13060,1314,-2464,-322
540,-9616,2604,12392,193,-2138,-967,-6636,9968,12908,1594,-1812,-558
560,-10044,2496,13344,863,-2964,-1257,-7188,9904,14112,2131,-2304,-760
580,-9900,1496,15104,832,-5029,-2476,-6924,10504,15836,2895,-4452,-670
600,-9472,120,17224,996,-7722,-4425,-6820,10572,17240,4294,-8122,-658
620,-9516,-472,18888,2128,-9576,-5605,-4844,11784,16664,5715,-9699,-805
640,-10724,16,20628,5467,-9320,-4770,-4432,12976,15884,6620,-8704,-853
660,-12796,868,20644,9206,-10029,-3167,-6348,13276,16396,7713,-8815,-206
680,-13540,2480,19356,11916,-11865,-2557,-7164,13272,17300,9026,-11390,837
700,-12572,3936,17812,11529,-16325,-3089,-6900,13528,16656,10660,-13538,2050
720,-10952,5172,16764,12171,-17553,-2884,-6472,14232,15192,11201,-13987,3053
740,-10972,5600,17988,14315,-17411,-1590,-6000,15104,14576,11307,-14710,4057
760,-10360,5936,17932,17496,-18994,-509,-5252,15428,13476,11822,-16588,4587
780,-7928,8064,13460,16058,-22994,1049,-1452,15208,12428,12435,-16253,4383
800,-5744,8768,10160,12059,-21766,3396,-2996,14184,13128,12872,-14485,4187
820,-6460,8792,11020,10366,-20814,3378,-5532,13440,12272,13332,-15358,4790
840,-7700,9268,9840,9759,-21443,3057,-4788,13132,10516,13303,-15878,5503
860,-6328,9740,8168,9160,-21271,5040,-3036,13092,8612,13039,-14279,5281
880,-2824,9264,7528,9477,-18654,8294,-1256,13264,7132,12383,-10274,4770
900,-60,8780,5872,8147,-15154,9415,-2636,12992,7172,11617,-5710,4591
920,-2692,9648,6604,5390,-14600,9060,-4136,11900,7752,10792,-5434,5165
940,-1252,9688,5160,3733,-15695,7941,-3508,11888,7316,10073,-7755,5055
960,1316,9188,4588,1955,-14976,7769,-996,11860,5668,9322,-8100,4840
980,3464,7644,5964,2512,-10413,9294,836,12452,4468,8078,-4851,4484
1000,1988,6868,7684,5080,-6874,8980,-1348,11444,5776,6851,-3597,4410
1020,1844,8300,7976,5349,-11267,6712,-1772,11516,7236,6530,-7001,4837
1040,4248,9176,4816,751,-13478,3713,-184,11488,6732,6069,-8965,5186
1060,5948,8432,5412,-1695,-9310,4305,2972,12272,4820,5496,-6425,5047
1080,7476,6908,8140,-2128,-5002,5059,3020,13168,4280,4705,-2022,4733
1100,5696,6692,10196,-755,-3683,5332,2976,13536,4516,3709,-35,3693
1120,4448,7988,9764,102,-4672,4494,1252,13596,6456,3281,-665,3025
1140,3228,8876,9752,-556,-5504,4948,2016,14384,7012,3482,-2514,2870
1160,5192,9148,10688,181,-4156,5546,2076,14816,7108,3980,-1727,3266
1180,6984,9008,11496,102,-2626,5260,3344,15956,6548,4240,-831,3377
1200,8456,8620,12496,160,-2436,4359,4616,16696,6348,4285,-554,3255
1220,9856,7408,15176,1273,-4803,3053,4940,17984,4332,3801,-2243,1993
1240,12536,8392,13212,4509,-5982,2197,6748,18204,4796,3319,-3426,487
1260,14496,9496,10620,3489,-5286,296,6736,17764,5668,3449,-3246,-1081
1280,15840,9308,9992,700,-3027,-2551,7452,17784,5028,2988,-2941,-2449
1300,13672,8728,11664,554,-1387,-4015,6836,18760,3244,2031,-3202,-3555
1320,12208,7780,13212,3283,-2118,-4168,5876,18568,2456,379,-3283,-4784
1340,12008,9148,10420,4651,-3652,-5412,5704,17400,4224,-523,-3879,-6300
1360,10968,9996,8792,2943,-3147,-6326,4172,16816,5472,-640,-4433,-7317
1380,8532,9192,9848,2474,-1139,-7124,2960,15628,4984,-719,-4248,-7786
1400,6388,9352,9864,2905,-296,-7487,3196,15116,5136,-708,-3350,-8009
1420,4940,8908,10836,4637,-95,-6849,1056,14128,5212,-834,-2456,-8127
1440,4244,10408,7236,4772,-455,-6719,760,14008,5784,-971,-2357,-8039
1460,5276,10248,5888,2481,2093,-6841,92,13216,4900,-915,-1376,-7184
1480,-316,9884,7268,2862,4248,-4879,-436,13288,3280,-1423,614,-6725
1500,288,10600,5112,3996,4464,-3086,-2576,11884,5236,-1624,2653,-5480
1520,-492,11088,5008,3446,2146,-3471,-4528,11252,6100,-2142,-533,-4448
1540,764,10952,2392,319,-601,-4827,-2820,10448,5968,-2277,-3617,-2923
1560,-1532,9140,3108,-2421,-112,-3501,-2556,8836,4504,-2150,-3510,-2010
1580,-2456,8444,3256,-2547,1635,-1472,-2260,7888,3960,-1920,-468,-481
1600,-1744,7844,4532,-1547,3251,643,-2944,8784,4824,-1707,1551,962
1620,-1136,8060,4664,-1570,1644,561,-3428,8516,5908,-1514,174,1681
1640,-212,7864,3936,-2362,807,-229,-1992,8628,5412,-1309,-1187,2615
1660,772,7948,3540,-4179,1664,513,-1032,8524,5396,-1055,281,3326
1680,2864,8032,2644,-6854,2202,11,-624,9504,4248,-1277,2165,3620
1700,3836,8476,3340,-7387,5331,787,-304,11420,2836,-2445,4593,3997
1720,2624,8268,2684,-7957,8095,598,-1068,9824,4244,-3652,7890,4053
1740,-812,7056,3244,-9594,9898,1394,-1860,9272,4788,-4343,8023,4237
1760,804,9016,5560,-8083,9922,2362,-2464,10840,4152,-5261,7400,4278
1780,252,10992,6488,-8975,9765,2794,-1860,14428,4904,-6204,7836,4439
1800,1892,11088,6528,-10214,9255,3114,-1244,15132,5608,-7417,6908,4828
1820,3104,7720,5792,-10682,10519,2188,-712,11524,5980,-8980,7720,3659
1840,4420,9308,5988,-12925,14452,2308,612,12188,6196,-10011,11152,2754
1860,3432,9028,10480,-13908,19840,2527,244,15672,7540,-10494,14720,1808
1880,272,8764,12996,-13815,17065,251,-764,17148,9360,-11175,13536,987
1900,1836,6640,12432,-14214,13961,-1933,-580,15552,9080,-12430,10519,-920
1920,3256,5876,9308,-13486,18611,-247,2516,12852,7836,-13453,13797,-2762
1940,2600,5956,9464,-13528,31532,4166,2184,13220,9528,-13230,21636,-5227
1960,-1996,4244,15232,-16429,32583,1442,2104,14516,16444,-10733,25684,-8364
1980,-5204,976,20940,-15560,26336,-4399,-4088,13024,15076,-12317,19796,-8080
2000,-9368,-1224,23624,-9033,18673,-7025,-3844,16048,13288,-11255,12978,-11723
2020,-7696,2412,19080,-1192,19408,-2120,-1108,13788,13968,-10188,13883,-13512
2040,-9752,4172,17880,1378,23376,2915,-1988,15592,17504,-8327,17891,-13846
2060,-9316,4076,19132,1088,23115,2921,-6952,15248,18984,-7581,16415,-11679
2080,-12840,3412,19804,22,19808,542,-8644,14584,18176,-7598,13768,-10327
2100,-14504,4248,18888,-899,14349,-1410,-8996,14908,18084,-7166,7988,-8847
2120,-14920,5076,16448,-1284,11316,-1300,-8096,13220,17196,-6768,9135,-7745
2140,-15184,4168,16388,-1456,10454,543,-8044,12104,17024,-6771,7845,-5605
2160,-13120,3412,15732,-2603,7211,546,-7664,12184,18960,-6540,7245,-3277
2180,-11336,2232,15680,-5513,3358,-1826,-8588,11612,18988,-6501,1214,-1502
2200,-9672,1420,15600,-7810,1040,-4085,-6592,11580,17868,-6228,-4074,-42
