Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,15516,-7920,680,-3,-54,-52,12564,-9396,-5208,354,-149,-291
20,15372,-7936,876,-33,136,-102,12336,-9368,-5152,300,52,-238
40,15116,-7844,708,-40,38,-93,12240,-9544,-5160,346,-11,-284
60,15220,-7944,704,-129,42,-63,12244,-9404,-4904,328,-90,-355
80,15228,-7840,820,-55,-76,-18,12408,-9408,-5008,304,-123,-315
100,15312,-7840,744,-50,9,-88,12460,-9412,-5272,289,-57,-273
120,15308,-7936,780,-8,-95,-73,12352,-9580,-5156,259,28,-253
140,15232,-7936,916,59,-190,-98,12364,-9568,-4912,278,-111,-292
160,15196,-7948,636,-199,7,-123,12540,-9620,-5152,393,-146,-387
180,15492,-7760,868,-165,-143,-191,12608,-9324,-5144,415,-8,-391
200,15244,-7696,1040,46,-21,-176,12664,-9292,-4800,313,81,-359
220,15060,-7936,776,109,-137,-257,12408,-9308,-4764,209,85,-254
240,15412,-7920,540,-2,20,-115,12136,-9676,-5128,371,-116,-371
260,15108,-7728,1072,84,-104,-53,12396,-9268,-4948,353,-243,-394
280,15260,-7368,1372,44,-102,10,12504,-9376,-4796,317,-245,-361
300,15492,-7944,616,-127,11,-70,12252,-9620,-4920,245,-167,-290
320,15364,-7972,572,49,51,-40,12376,-9440,-5092,409,-204,-391
340,15228,-7752,1120,-54,-114,-157,12664,-9356,-4952,415,-272,-443
360,15276,-7656,1028,26,-175,-265,12684,-9256,-4860,309,-182,-410
380,15396,-7988,532,241,-84,-71,12344,-9488,-5036,308,-39,-382
400,15228,-7784,908,222,22,-81,12340,-9544,-5108,472,-134,-552
420,15352,-7960,848,-30,-73,-149,12360,-9324,-4876,524,-209,-680
440,15368,-7608,1108,-26,-210,-123,12428,-9264,-4940,505,-219,-589
460,15236,-7728,840,-76,-179,-73,12380,-9424,-4944,456,-247,-554
480,15344,-7852,704,-3,-369,-123,12468,-9300,-5024,392,-267,-485
500,15640,-7812,828,-122,-381,-85,12568,-9336,-4808,403,-319,-470
520,15560,-7756,692,-195,-47,-64,12552,-9284,-4904,347,-235,-322
540,15068,-7920,1044,87,-1,-35,12312,-9296,-4968,289,-208,-312
560,15280,-7664,872,-28,-214,-48,12412,-9484,-4876,389,-397,-346
580,15304,-7744,928,-226,-283,-90,12640,-9328,-4964,367,-300,-377
600,15552,-7720,812,-312,-256,-59,12692,-9288,-4920,365,-183,-352
620,15332,-7592,892,-173,45,-42,12644,-9260,-4764,294,-120,-271
640,15268,-7748,1128,-54,35,-82,12624,-9552,-4868,233,-52,-323
660,15340,-7728,1032,-126,-168,-189,12320,-9460,-4796,284,-104,-367
680,15320,-7788,932,-167,-209,-107,12400,-9464,-4824,318,-163,-386
700,15296,-7848,1112,-48,-236,-110,12588,-9404,-4908,379,-266,-429
720,15360,-7628,900,-23,-88,-138,12704,-9392,-4976,358,-248,-424
740,15304,-7728,860,-69,-198,-180,12568,-9284,-4628,357,-220,-417
760,15396,-7648,1064,182,-241,-74,12612,-9344,-4676,286,-226,-419
780,15416,-7748,832,308,-150,-89,12460,-9436,-5068,217,-197,-425
800,15236,-7900,1040,310,-160,-140,12696,-9504,-4796,354,-214,-565
820,15416,-7636,1224,202,-413,-273,12940,-9392,-4636,455,-174,-572
840,15892,-7852,1344,826,-124,-377,12900,-9700,-4756,796,-59,-779
860,15952,-7788,1912,2021,-536,-168,13036,-9748,-4864,1148,265,-1131
880,15544,-6864,1980,3667,-794,-100,14688,-9336,-4548,1605,988,-1250
900,16796,-7552,3340,6789,-1653,-1252,17016,-8504,-3892,148,3448,-141
920,20064,-6976,5660,11302,-173,-3330,16724,-9712,-3068,-1589,8799,651
940,21008,-6124,8480,13580,7348,-5464,17452,-11036,-3436,-2567,12336,1560
960,20836,-2448,10192,12956,12227,-7630,16436,-11360,-2920,-3161,13936,3236
980,21460,2344,13516,5243,8061,-3128,15656,-10740,-1736,-2785,11359,4805
1000,20384,-1836,9744,-1505,9700,-1977,17784,-11092,912,-4077,10035,6100
1020,21152,-5756,4564,13913,17767,-8552,19328,-11340,16,-5105,13911,6318
1040,20104,-4748,3972,6439,20153,-10495,16988,-9840,-1724,-5167,21920,6571
1060,18164,-6436,3724,-6232,24386,-14491,14592,-10424,-2724,-5010,27704,7068
1080,16440,-7260,2756,-7981,26587,-18755,14880,-11980,-3496,-3969,30806,7099
1100,16000,-8996,2616,-2133,22888,-17184,10932,-12084,-632,-3062,28144,5903
1120,15020,-9808,3088,4641,17565,-12526,11576,-10972,1040,-2133,23426,4994
1140,10968,-5756,7980,2182,13747,-9895,11940,-10176,576,-1448,19835,5512
1160,14112,-7172,4268,-1812,11101,-10243,11952,-12240,-1072,31,16814,5662
1180,15324,-7560,3560,1452,11587,-10641,12640,-10268,-316,842,17505,4283
1200,16300,-7188,4068,7282,14137,-11203,11960,-11512,480,2202,17983,4893
