Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,7896,4112,12504,252,-266,103,3236,15152,6640,459,-265,-267
20,7980,4312,12464,-123,-285,167,3308,15184,6740,453,-215,-134
40,7944,4084,12588,-142,-252,223,3248,15264,6660,359,-229,-154
60,7976,3976,12532,-31,-235,158,3152,15080,6608,332,-216,-260
80,7936,4088,12484,-173,-293,170,3308,15140,6824,291,-314,-178
100,8208,4088,12692,-333,-210,156,3340,15152,6740,277,-301,-117
120,8088,3904,12636,-294,-215,99,3172,15124,6716,282,-322,-201
140,8064,3768,12728,-169,-172,145,3312,15084,6620,274,-263,-324
160,8052,3848,12424,-34,-34,230,3384,15080,6748,259,-82,-331
180,8216,4028,12624,68,222,355,3408,15068,6616,238,178,-292
200,8220,3984,12716,-63,457,479,3428,15200,6636,251,416,-385
220,8104,3948,12784,-84,473,490,3312,15220,6736,187,442,-530
240,7984,3792,12712,89,477,419,3156,14992,6632,188,384,-579
260,7740,3700,12716,97,378,270,3196,14948,6908,143,120,-506
280,7824,3848,12652,49,95,127,3084,15092,6860,99,-150,-373
300,7932,4068,12740,-155,47,53,3100,15132,6884,103,-308,-367
320,7900,4160,12760,-294,214,102,3244,15248,6968,84,-223,-411
340,7828,3952,12656,-298,161,76,3140,15064,6764,69,-105,-430
360,7652,3948,12688,-415,13,140,3088,14976,6932,100,-139,-351
380,7708,3700,13104,-408,-115,89,3016,15020,6816,78,-335,-259
400,7696,3892,13064,-227,-151,22,3036,15236,6928,155,-397,-192
420,7764,3892,12968,-228,-139,126,3116,15240,6684,193,-382,-243
440,7680,3972,12776,-244,-143,254,3184,15160,6880,257,-176,-225
460,7712,3908,12860,-125,-109,319,3008,15168,6912,268,-95,-141
480,7780,3964,12952,-5,-167,331,3108,15244,6972,281,-69,-59
500,7652,3744,12972,65,-283,455,3084,15256,6828,214,-147,-7
520,7712,4224,12672,-70,-364,555,3204,15248,6852,227,-295,152
540,7712,4364,13024,-420,-384,830,3448,15644,7028,196,-288,561
560,7884,4356,13504,-809,-797,1026,3452,15992,7096,184,-473,1028
