Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1160,372,17908,-199,62,-575,2456,-4752,15240,-530,38,-192
20,-1096,336,17864,-235,48,-548,2420,-4724,15076,-593,21,-151
40,-1128,332,17748,-227,30,-543,2508,-4600,15124,-587,-25,-123
60,-1080,324,17880,-247,25,-544,2316,-4732,15268,-554,51,-120
80,-968,280,17948,-292,14,-529,2396,-4708,15336,-558,11,-89
100,-1028,304,17968,-276,42,-520,2356,-4636,15240,-587,-24,-109
120,-1072,348,17832,-302,-10,-517,2360,-4732,15160,-605,-69,-65
140,-1088,292,17928,-276,-2,-522,2392,-4748,15116,-621,-88,-98
160,-1028,244,17796,-299,24,-555,2484,-4672,15072,-574,52,-81
180,-1004,348,17844,-255,26,-570,2380,-4700,15228,-617,2,-114
200,-996,356,17932,-265,-1,-524,2476,-4688,15196,-626,5,-98
220,-1076,216,17904,-282,41,-532,2464,-4624,15128,-645,-45,-95
240,-1200,272,17900,-260,7,-518,2396,-4820,15176,-581,-5,-8
260,-1056,296,17908,-291,-14,-512,2392,-4544,15292,-616,23,-16
280,-1080,340,17884,-327,-40,-515,2476,-4712,15360,-676,-40,-40
300,-1016,284,17860,-363,-12,-542,2456,-4664,15420,-660,-33,-41
320,-1052,284,17860,-397,-30,-543,2372,-4792,15240,-661,-82,-60
340,-1092,184,17844,-372,-24,-547,2420,-4772,15176,-633,4,-56
360,-1040,244,17904,-377,-7,-548,2304,-4784,15336,-622,-40,-80
380,-1128,192,18060,-406,-67,-554,2396,-4864,15256,-610,-123,-43
400,-1116,276,17952,-539,-106,-550,2448,-4820,15504,-664,-207,-1
420,-1168,200,17968,-699,-174,-577,2376,-4844,15580,-755,-312,56
440,-1020,552,17996,-947,-210,-524,2812,-4772,15760,-856,-261,213
460,-764,548,17948,-1474,-79,-436,3092,-4856,16208,-1139,359,714
480,-924,760,18508,-2321,675,-445,4064,-4908,16588,-681,2189,1181
500,-212,564,18864,-2608,1952,-208,3576,-4776,16112,-509,5278,1789
520,-1412,436,18836,-3135,4550,1092,3020,-5356,16656,94,6413,2111
540,-2544,-252,20616,-3373,7209,2388,2072,-5528,17844,1134,7150,2361
560,-7024,1572,22308,-1625,8922,7369,136,-4132,19716,2803,7632,3604
