Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1012,5740,16604,-338,47,-551,-4976,1520,14688,-630,33,-187
20,-988,5756,16648,-290,6,-537,-4872,1484,14748,-588,35,-190
40,-908,5752,16664,-286,24,-546,-4844,1504,14760,-548,12,-154
60,-928,5824,16704,-311,8,-550,-4816,1492,14748,-536,23,-173
80,-948,5828,16656,-322,36,-570,-4904,1524,14652,-556,-9,-198
100,-968,5872,16604,-337,19,-561,-4768,1468,14648,-589,-48,-194
120,-864,5816,16672,-278,16,-548,-4856,1400,14684,-572,-41,-195
140,-948,5804,16672,-253,19,-564,-4924,1468,14628,-510,35,-197
160,-908,5820,16672,-281,2,-556,-5016,1544,14700,-521,27,-190
180,-992,5856,16760,-293,2,-556,-4832,1580,14568,-571,14,-214
200,-996,5776,16724,-270,34,-565,-4960,1520,14760,-587,-7,-199
220,-928,5784,16700,-283,38,-577,-4936,1492,14620,-598,-35,-207
240,-892,5736,16832,-299,42,-582,-4824,1492,14596,-550,28,-217
260,-1028,5740,16704,-305,49,-561,-5036,1588,14884,-534,32,-221
280,-908,5740,16724,-254,-5,-594,-4792,1492,14540,-507,-12,-203
300,-820,5660,16708,-264,-4,-584,-4852,1436,14640,-564,4,-185
320,-932,5708,16716,-292,12,-544,-4808,1416,14632,-587,-81,-163
340,-988,5700,16556,-251,-5,-538,-4856,1488,14504,-529,-70,-198
360,-996,5808,16696,-246,-22,-540,-4944,1480,14744,-509,15,-176
380,-860,5840,16664,-290,-4,-534,-4960,1536,14600,-545,33,-186
400,-980,5752,16704,-314,52,-567,-4844,1444,14624,-562,19,-188
420,-996,5788,16760,-343,55,-553,-4900,1460,14548,-572,-51,-184
440,-976,5724,16580,-307,4,-547,-4836,1404,14756,-593,-70,-150
460,-984,5744,16640,-349,39,-548,-4888,1408,14664,-585,-32,-184
480,-872,5724,16772,-386,18,-544,-4872,1520,14700,-533,-26,-193
500,-956,5784,16712,-379,27,-529,-4856,1500,14784,-529,-16,-180
520,-884,5780,16748,-375,20,-550,-4764,1528,14720,-563,-61,-165
540,-916,5964,16620,-385,50,-517,-4832,1520,14764,-593,-134,-176
560,-972,5716,16828,-562,30,-524,-4940,1436,14952,-495,-158,-177
580,-1084,5776,16932,-848,57,-466,-5104,1292,15060,-431,-257,-139
600,-972,5888,16932,-1153,-114,-415,-5036,1624,14996,-409,-305,-89
620,-840,5952,16952,-1302,-25,-455,-4852,1704,15008,-412,-212,-41
640,-960,5552,17268,-896,232,-284,-4764,1612,14772,-472,60,-31
660,-928,5456,17368,-169,284,93,-4808,1384,15116,-397,432,154
680,-1560,5372,18304,1260,1217,1299,-4588,476,15880,259,472,458
700,164,3976,20032,3184,651,1895,-4704,472,14968,704,590,530
720,-176,3192,19228,6520,4104,2878,-4644,-8,13980,784,2909,1226
740,-2000,3048,20744,10786,14646,3186,-6316,-904,14640,1169,6530,2705
760,-8852,3440,23960,20405,26382,4638,-11392,-1516,17184,2885,11384,6162
780,-10740,5992,26412,24861,23928,7499,-12724,-1568,19692,5588,8906,8497
800,-10104,7444,23456,28076,16390,11686,-12604,172,19020,7783,6591,10637
820,-8752,9104,20720,31041,15944,13268,-12776,1272,18084,9396,7317,13476
840,-8684,9268,18124,32767,17607,12419,-13552,2592,17080,9812,9679,16386
860,-8748,11920,16892,32767,21009,10194,-13592,2700,16844,10281,11586,19786
880,-7240,13264,11600,32767,25043,8544,-12248,3176,15208,10451,13476,22564
900,-7844,12996,7704,31915,29611,7788,-12188,4564,13148,9678,15412,24575
920,-8024,11616,6800,29756,27211,10159,-10468,5864,11352,8977,14708,25708
940,-4356,12768,2200,26505,29475,12609,-8044,7004,10720,8670,12055,26241
960,-4404,14152,1732,20407,29127,11899,-5936,6904,10680,8310,9459,26836
980,-1148,12832,-252,16075,29045,13463,-4300,8500,8532,6394,11970,26801
