Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-5020,2480,16728,-314,-10,-539,-5840,1388,14252,-637,-4,-224
20,-5000,2376,16756,-295,2,-571,-5896,1368,14516,-609,-64,-210
40,-5136,2468,16580,-311,-34,-549,-5900,1444,14184,-595,27,-214
60,-5124,2376,16836,-312,-4,-539,-5916,1436,14020,-584,36,-203
80,-5068,2376,16708,-251,14,-511,-5832,1372,14252,-586,-3,-209
100,-5044,2440,16784,-283,28,-527,-5976,1424,14124,-619,-15,-241
120,-5000,2404,16704,-297,0,-498,-5928,1420,14248,-678,-79,-215
140,-5144,2364,16788,-282,-16,-509,-5864,1424,14180,-664,-42,-219
160,-5056,2516,16700,-308,-10,-556,-5916,1520,14288,-599,22,-229
180,-5048,2432,16776,-285,-8,-535,-5788,1372,14348,-610,11,-226
200,-5136,2400,16752,-287,-11,-547,-5768,1360,14216,-612,-30,-232
220,-5016,2352,16696,-285,-12,-521,-5868,1344,14164,-632,-48,-221
240,-5072,2444,16796,-257,15,-526,-5812,1452,14236,-653,-59,-179
260,-4996,2368,16648,-291,16,-502,-5796,1340,14324,-651,-56,-185
280,-5096,2312,16768,-261,12,-488,-5876,1368,14288,-557,17,-209
300,-4972,2404,16636,-235,38,-524,-5788,1460,14172,-542,26,-208
320,-4996,2444,16772,-240,13,-528,-5776,1440,14312,-552,-2,-222
340,-4996,2424,16752,-271,-7,-555,-6004,1420,14204,-585,-60,-228
360,-4984,2284,16828,-245,-15,-561,-5812,1352,14312,-583,-32,-260
380,-5164,2368,16652,-295,-12,-574,-5936,1292,14176,-539,21,-257
400,-5012,2372,16764,-251,-30,-577,-5856,1440,14272,-535,30,-238
420,-4972,2444,16752,-265,-3,-546,-5840,1408,14440,-576,7,-247
440,-5028,2452,16624,-282,-38,-582,-5868,1368,14320,-577,-53,-255
460,-5112,2332,17008,-327,-269,-360,-5752,1372,14112,-597,-51,-204
480,-5072,2220,16752,-264,-62,-572,-5884,1416,14244,-628,-87,-217
500,-5092,2464,16660,-282,6,-541,-5788,1312,14244,-552,52,-216
520,-5052,2320,16604,-277,28,-525,-5820,1416,14084,-514,-5,-229
540,-5088,2472,16728,-265,-3,-536,-5820,1456,14212,-564,10,-216
560,-4956,2504,16796,-251,-26,-542,-5872,1396,14232,-551,-85,-209
580,-4848,2456,16800,-292,10,-505,-5736,1340,14248,-565,-23,-178
600,-4948,2416,16672,-243,21,-488,-5740,1360,14264,-533,-32,-142
620,-5028,2364,16676,-234,40,-438,-5844,1388,14216,-472,-73,-173
640,-5184,2496,16760,-228,96,-447,-5876,1312,14332,-460,-103,-239
660,-4988,2548,16920,-364,147,-395,-5856,1444,14272,-467,-123,-284
680,-5176,2416,16948,-171,397,-266,-5892,1216,14312,-528,-341,-521
700,-5812,1360,17784,808,1647,780,-5292,820,14788,-982,-93,-751
720,-5440,772,19964,4545,4534,3880,-3952,372,14036,-1413,1477,-791
740,-6132,-204,18692,8404,7790,5667,-9772,-1580,14480,-691,-1622,-925
760,-8720,-916,20512,12171,8184,5511,-9576,-2596,15780,578,-6263,-384
780,-9412,-5516,17260,13966,9440,2102,-8156,-4296,15228,2726,-2760,2736
800,-15212,416,20452,13578,9188,7684,-10556,-3092,16372,3754,1090,5909
820,-14776,1712,19636,16684,9874,14130,-11848,-1716,16512,4500,1010,8576
840,-20196,3528,17616,17581,4927,20716,-12908,368,16976,5194,-73,11076
860,-16320,6948,14864,14695,7541,19855,-10936,1412,16976,5671,-1207,12950
880,-13560,7256,14260,12724,10475,23776,-10672,2728,15172,5506,-953,15788
900,-12336,7180,12580,12918,11285,24792,-9772,4224,13516,5000,1156,18297
920,-10368,8064,10556,13683,13899,25331,-8888,5108,12680,3792,1849,20863
940,-9400,9612,8532,12342,17167,25582,-7264,5236,12440,2721,3378,22782
960,-9620,10452,7968,8232,20311,26164,-7600,4944,13292,1639,4550,24949
980,-7884,9956,8476,4265,20494,27609,-5888,5720,12816,972,4938,26580
1000,-6544,10576,9984,3114,20841,28207,-4184,6368,12028,200,6260,28085
1020,-3936,10252,10428,3989,20839,28189,-4016,6508,12648,-239,6923,29048
1040,-1752,10492,11596,5711,20969,27296,-2512,7244,13000,-366,8173,29678
1060,660,12472,10764,6609,22487,24295,-568,7416,13300,-111,9483,30049
1080,3608,13156,9560,5885,24637,22049,1664,7952,13632,157,11053,29956
1100,3692,12656,9820,4692,25428,20660,1588,8432,13772,36,11547,29423
1120,5224,14092,10088,4162,24112,17818,2012,8776,13992,-61,11037,28143
1140,5824,14000,10652,3454,22483,16277,2876,8972,14192,281,10888,26605
1160,5136,14260,11068,4153,18473,14930,2844,9216,13672,672,8229,24361
1180,6624,14064,8796,4243,14809,14079,3540,9132,13128,1017,6146,21588
1200,7160,12892,6336,2899,14195,12695,2972,8996,11968,831,4984,19150
1220,6460,12036,4456,985,13145,10278,2596,8956,10160,-224,4811,17110
1240,6232,11924,3244,-787,13636,6920,1628,8528,9324,-1551,4721,14632
1260,4056,11644,3016,-2960,15325,5677,944,7556,9196,-3277,4609,12605
1280,3300,11040,2944,-6730,13414,3669,56,6284,10348,-4990,3957,10392
1300,2272,12720,1968,-14852,15499,1665,-512,4864,12072,-6235,4453,8263
1320,2316,12208,1188,-28260,15410,-3215,-1436,3232,13300,-7511,3387,6494
1340,-424,9504,408,-32768,12009,-6060,-268,3524,13364,-8839,1034,3854
1360,-3120,3424,3736,-32768,6364,-5560,-1076,3504,11528,-9989,-2564,1918
1380,-1440,-3356,8568,-32768,4240,-7433,-1716,3384,7728,-12459,-3941,765
1400,-2964,-7816,18620,-32768,3620,-6856,-832,1360,2156,-16197,-3299,-1348
1420,-1808,-7700,21024,-15148,2881,-2695,720,-3196,6264,-16893,-768,-2997
1440,-1920,-1504,20184,-3516,6467,-3996,-1116,-4580,18144,-14391,2454,-4441
1460,-2400,2828,18468,-15002,13587,-9997,-1472,-3788,22900,-12709,1640,-6445
1480,-6360,-992,21952,-16535,5689,-11689,-2960,-1588,16020,-11257,2047,-8198
1500,-9192,5020,18672,-9689,-200,-11047,-2656,-300,16204,-10628,1966,-9665
1520,-5196,6140,15232,-11337,9197,-10066,-2356,2664,19512,-10602,5251,-8203
1540,-10892,5752,21916,-12836,9921,-9220,-5312,2776,19884,-9284,5326,-6876
1560,-10900,5972,22268,-10256,6472,-8842,-5768,3316,20088,-7763,1691,-6230
1580,-9476,6500,20916,-8550,6321,-7608,-3244,4268,18960,-6295,3765,-5078
1600,-6560,7020,21316,-5421,7120,-5982,-2592,5640,18336,-4829,5409,-3913
1620,-6064,7896,21264,-4367,6605,-5950,-1768,5948,19556,-3094,5471,-3759
1640,-6772,7520,22256,-3615,5519,-6356,-2628,5516,19988,-1461,3519,-3849
1660,-7316,5880,22908,-1420,604,-4837,-1492,5736,18120,24,1121,-3921
1680,-6836,4992,22244,2192,-1092,-2430,-1464,4000,18488,1543,45,-2661
1700,-6100,4860,21148,4597,-1052,-1620,-964,3784,18484,3027,915,-1899
1720,-5876,3848,20964,5379,-852,-1281,-1616,2832,18056,4214,1416,-1537
1740,-5408,2448,21524,7826,-2728,-1122,-1512,1944,17484,5383,295,-2134
1760,-5248,1116,21576,11820,-5182,-965,-1420,1508,16440,6444,-874,-3284
1780,-4376,144,21328,17566,-8062,-56,-1208,856,16092,7695,-2183,-4557
1800,-2696,1224,18388,22317,-9008,-578,-1084,784,17216,9052,-2362,-5703
1820,-2368,3724,16348,21470,-8517,-2625,-912,1560,17368,10456,-2562,-7533
1840,-2176,4536,14368,15995,-3214,-4872,-572,1672,17168,11270,-2725,-8931
1860,-484,3216,16260,12829,-7222,-8148,-1404,2016,15140,11660,-3352,-10555
1880,-1328,3964,16600,12020,-11268,-13091,-852,2732,13880,11382,-4479,-12296
1900,576,4576,16704,12507,-17309,-16186,1052,3016,13932,10873,-5294,-14248
1920,2480,3128,15684,13357,-16903,-18291,1016,3156,13128,10164,-6274,-16526
1940,2812,3140,12968,12563,-15537,-23178,1424,3400,12376,9122,-6913,-18473
1960,2304,3600,12104,9773,-14763,-27718,460,3776,12352,8019,-7942,-20689
1980,776,3168,12208,6937,-16831,-30108,836,4196,11016,6278,-10207,-22995
2000,680,2748,11016,5984,-19607,-31945,1244,4852,9452,3941,-9976,-24721
2020,-196,2848,9928,4772,-20357,-32768,-288,4240,9940,1811,-10323,-25950
2040,-1728,3432,9288,593,-19029,-32768,-832,4068,10640,-242,-11254,-26821
2060,-4052,3052,10628,-3224,-14296,-32255,-1052,4004,10744,-2237,-9406,-26359
2080,-4748,2192,11156,-3358,-11800,-30330,-2480,4296,10272,-4310,-5627,-25218
2100,-7384,2480,13180,-860,-8556,-29722,-5100,4120,12504,-5745,-3548,-23882
2120,-11684,2340,15692,-3383,-9464,-29596,-10208,2456,16372,-5513,-6382,-22750
2140,-13564,2776,17332,-9258,-12910,-28973,-8876,2152,17992,-4569,-6745,-20778
2160,-11460,3152,15888,-13787,-15878,-25932,-6316,3792,15176,-4050,-6025,-19195
2180,-9360,2220,17172,-10349,-9965,-19777,-2852,4784,10104,-5033,-60,-17013
2200,-9644,412,17324,-688,33,-15585,-8200,3292,12104,-5783,4143,-14464
2220,-14156,-68,20648,2732,2368,-15239,-12440,328,18476,-4800,-821,-12906
2240,-12404,3376,19028,636,4885,-15161,-10504,284,20096,-2950,-5023,-10942
2260,-11360,1456,17816,-4438,-8818,-12584,-8100,1752,17884,-1129,-2805,-8274
2280,-7908,2924,15600,-6516,-2306,-12500,-5780,3312,14904,-688,444,-6751
2300,-7076,1724,17256,-3852,3786,-9083,-4140,2852,13548,-1144,3344,-5831
2320,-8408,372,18824,-902,4364,-7186,-7428,1012,15636,-994,2497,-5237
2340,-9324,204,19160,450,2525,-5920,-7080,1000,16088,-425,677,-4500
2360,-8304,692,17176,166,1516,-5206,-5656,1308,15216,-47,917,-3699
2380,-6540,1920,15228,-1027,2919,-4429,-4444,1436,15548,396,3369,-2681
2400,-5504,1468,13696,-4681,5178,-3506,-3868,1384,14400,544,6200,-2126
2420,-11180,-740,23488,-5491,219,-4170,-5492,1136,15044,848,9794,-1254
2440,-7428,-1520,19224,-339,-233,-3011,-7656,1464,14548,22,3534,-1638
2460,-8048,-328,16560,1345,2191,-1827,-6720,2396,13376,-314,4154,-777
2480,-7824,680,16268,2761,1866,-1715,-6500,2304,13648,-732,4366,-256
2500,-6304,1348,15184,2061,104,-1644,-5720,1804,14200,-1100,2853,-289
2520,-5864,1052,16908,1312,-429,-1368,-5592,1464,15080,-825,1720,-366
2540,-5920,1144,16996,455,-559,-271,-5748,1560,15132,-592,204,-603
2560,-5896,1600,17460,613,-11,-111,-5068,2100,14808,-383,707,-453
2580,-5336,1068,16360,618,-203,-266,-5592,2156,14424,-395,1313,-373
2600,-5712,1192,16904,324,24,-659,-6344,2092,13880,-578,554,-587
2620,-6668,1172,16520,306,-556,-282,-5544,1848,13960,-527,187,-476
2640,-5584,1500,16860,412,-889,-170,-5704,1992,14224,-653,-461,-661
2660,-5256,1364,16568,1054,-761,-57,-5452,1872,14352,-697,-713,-717
2680,-5568,1516,16560,1216,-385,-70,-5312,1860,14340,-709,-324,-643
2700,-5832,1660,16688,643,-218,-317,-5544,1824,14704,-605,580,-390
2720,-6220,1652,16552,113,-593,-202,-5808,1812,14704,-414,995,-262
2740,-5852,1788,16760,-292,15,-360,-5684,1904,14452,-363,602,-397
2760,-5192,1544,16564,-127,-133,-281,-5776,2056,14272,-390,174,-449
2780,-5564,1552,16564,-60,-34,-434,-5588,1872,14552,-448,-211,-554
2800,-5888,1580,16828,-75,-239,-467,-5780,1912,14532,-514,-510,-519
2820,-5668,1564,16552,-153,-172,-548,-5636,1932,14268,-593,-291,-427
2840,-5728,1464,16632,-182,-211,-650,-5628,1772,14208,-608,159,-303
2860,-5500,1460,16620,-250,-237,-617,-5568,1704,14212,-642,29,-311
2880,-5352,1568,16552,-118,-232,-456,-5472,1908,14308,-678,-222,-345
2900,-5508,1464,16652,-41,-147,-420,-5656,1800,14124,-751,-95,-289
2920,-5732,1568,16588,28,-222,-490,-5768,1876,14240,-794,105,-247
2940,-5668,1636,16616,50,-351,-565,-5680,1752,14276,-856,274,-232
2960,-5496,1492,16680,49,-1082,-568,-5572,1644,14396,-829,478,-168
2980,-5404,1520,16608,-93,-151,-566,-5604,1668,14364,-783,515,-223
