Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-4816,12856,5672,81,-543,-17,-4896,7672,14624,364,-486,-326
20,-5364,12832,5820,-196,-416,-302,-5068,7552,14672,343,-258,-315
40,-5816,12700,6108,-675,260,-65,-5340,7680,14336,403,-303,-217
60,-5604,12608,6556,-185,-121,114,-5148,7812,14360,298,-436,-151
80,-5424,12636,6420,-11,-367,204,-5000,7628,14460,279,-581,-257
100,-5064,12840,5960,-182,-130,62,-4932,7504,14588,301,-358,-311
120,-5612,12584,6680,-55,-400,-94,-4908,7660,14412,422,-374,-361
140,-5388,12816,5984,85,-505,-46,-4900,7712,14600,425,-347,-354
160,-5268,12628,6376,30,-125,-51,-5028,7796,14376,398,-193,-306
180,-5476,12800,6324,242,-201,-130,-5084,7756,14564,374,-110,-284
200,-5440,12836,6344,29,99,-143,-5140,7664,14804,386,-33,-291
220,-5576,12724,6248,208,-241,-5,-5040,7636,14620,471,-268,-295
240,-5472,12748,5940,-198,-418,55,-5128,7616,14768,481,-335,-269
260,-5240,12672,6240,53,-234,75,-4920,7820,14476,382,-237,-247
280,-5024,12820,5912,-168,44,-99,-5004,7696,14512,338,-125,-271
300,-5196,12572,6232,-384,-65,-61,-5084,7860,14432,262,-298,-346
320,-5428,12812,6484,-19,-430,-23,-5204,7764,14660,236,-574,-333
340,-5336,12800,6208,-16,-592,-3,-4944,7700,14800,331,-659,-288
360,-5440,12864,6284,-307,-170,143,-4996,7616,14744,369,-464,-245
380,-5504,12740,6656,-238,-176,28,-5048,7712,14560,409,-280,-227
400,-5204,12736,6600,-2,-419,-21,-5200,7720,14500,379,-365,-266
420,-5244,12724,6272,388,-1392,-144,-5180,7744,14708,386,-625,-371
440,-5384,12800,6036,302,-1246,-97,-4972,7660,14724,443,-736,-398
460,-5640,12728,6240,107,-1115,-29,-5376,7664,14696,411,-837,-293
480,-5788,12964,5980,33,-1900,56,-5344,7700,14812,503,-1333,-262
500,-5424,12760,5928,-425,-712,434,-4704,7720,14348,588,-872,-140
520,-5000,12628,6236,-77,691,345,-4672,7824,14324,439,20,14
540,-4852,12804,6064,52,564,16,-4820,7712,14588,368,225,-78
560,-4984,12560,6440,-53,-384,-45,-4964,7780,14596,357,-287,-306
580,-5100,12652,5816,48,-656,-64,-4736,7636,14616,327,-506,-371
600,-4912,12612,6108,-328,-219,-101,-4720,7792,14396,352,-264,-307
620,-5308,12688,6392,-305,601,-222,-4916,7764,14544,245,192,-293
640,-5436,12720,6664,-135,-173,-83,-5148,7632,14616,326,-176,-298
660,-5204,12656,6420,21,-2,110,-4920,7756,14632,351,-322,-328
680,-5228,12756,6524,209,-419,-14,-4792,7764,14516,379,-318,-343
700,-5056,12976,5872,24,-376,-117,-4884,7724,14832,332,-183,-359
720,-5248,12884,5824,-484,181,-103,-4928,7680,14580,364,-9,-256
740,-5468,12772,6332,-477,389,-16,-5096,7740,14616,273,-63,-219
760,-5176,12652,6564,-182,-335,39,-5140,7760,14436,202,-472,-264
780,-5016,12704,6432,-90,-551,-134,-4832,7704,14768,190,-500,-356
800,-5260,12756,6252,-286,-53,-288,-4840,7680,14760,296,-120,-325
820,-5676,12884,6364,-642,394,-371,-5184,7784,14696,303,128,-280
840,-5852,12960,6424,-342,261,-241,-5436,7700,15036,382,-214,-231
860,-6172,13032,6576,-659,529,-84,-5268,7768,14668,533,-221,-147
880,-5952,13044,6972,109,970,251,-5256,8084,14592,579,190,76
900,-5680,13104,6952,321,806,345,-5180,8060,14944,779,193,213
920,-5404,13736,6492,233,810,294,-5272,8296,15256,798,476,291
940,-5400,14060,6904,79,186,-110,-5596,8960,15132,1011,125,287
960,-5780,14180,7204,-106,-48,-338,-5604,9116,15076,997,160,476
980,-5892,14712,7028,258,-939,-705,-5240,9184,15312,1349,133,912
1000,-6860,15476,4804,-767,638,241,-5036,10000,15116,1542,567,1331
1020,-7120,16276,4416,-7546,2105,2237,-5192,10228,14880,1804,898,1690
1040,-5600,16148,4664,-11157,631,3034,-6948,11292,14420,1556,717,2284
1060,-4232,15340,5412,-12297,-3961,818,-7056,11240,14716,1541,-780,3276
1080,-4376,15572,3284,-12340,-5513,-264,-4868,11256,14624,1845,-1757,3888
1100,-3840,16064,1516,-17322,-3025,-262,-5128,11452,14748,2150,-510,4859
1120,-2560,16216,-232,-25172,851,-1641,-5708,10668,15708,1568,1875,6804
1140,-3784,14140,-3148,-32768,950,-3604,-5244,10516,15196,1582,2803,5270
1160,-5340,8488,252,-32768,-51,-3547,-4208,9116,13992,1525,3600,6030
1180,-6132,-324,6236,-32768,-6476,-2610,-5180,8908,9708,776,179,6778
1200,-3748,5608,-2904,-32768,58,2478,-5388,8204,11224,-1818,-5905,4935
1220,-5052,896,-7512,-32768,-570,4769,-4700,6144,12316,-3042,-9338,3873
1240,-6572,-7728,-10628,-32768,8272,7608,-2608,6512,9832,-3864,-8503,3710
1260,-1168,-24104,13204,-32768,7185,1752,-2000,6500,8328,-7338,-6438,4908
1280,1752,-26236,25256,-32768,1169,-12634,-4272,5060,8636,-10017,-7216,5097
1300,-11868,-13112,-5668,-32768,-7479,-11487,-3656,3380,13180,-8480,-12114,4816
1320,-8644,-18872,1544,-32768,9156,-13642,-1492,2988,19476,-7249,-12726,5620
1340,-7864,-18952,6892,-26694,1938,-3031,4244,4120,16988,-6559,-4422,4440
1360,-7532,-19724,4112,-18770,-168,4171,1460,3772,16356,-5361,4080,3338
1380,-5232,-24024,8224,-13274,1001,5150,-1948,3588,18792,-3610,3495,2998
1400,-4492,-20088,6452,-11002,3065,4875,-436,5072,18844,-1434,2451,846
1420,-4044,-19528,6868,-5611,-876,2662,-132,5456,18556,-392,2813,-209
1440,-3832,-18056,5644,-561,-2751,260,-1508,6220,18048,978,1213,-1020
1460,-3544,-17500,5380,1736,-1421,-87,-976,6964,17072,1741,-927,-1914
1480,-4800,-18028,5484,4152,134,141,-904,6640,16444,1993,-504,-2987
1500,-5856,-17280,4964,5342,1263,316,-1684,5928,16848,2634,-392,-3211
1520,-5484,-17560,5980,8217,1084,396,-1876,5864,16140,3347,-354,-3367
1540,-5744,-20156,7728,15253,74,-776,-2652,5316,15100,3608,-344,-3785
1560,-5028,-24316,11824,29776,-2977,-3611,-2880,4368,13676,5391,-1429,-4352
1580,-4000,-26120,12928,32767,-7920,-7713,-2796,5256,12720,6368,-4799,-6463
1600,-5352,-24244,11388,32767,-17315,-14713,-2988,7032,14020,6678,-10114,-7020
1620,-3632,-14988,5120,32767,-20996,-20326,92,7476,14716,6545,-15238,-6597
1640,-8632,-10148,12632,32767,-13127,-15424,4092,8488,13524,5003,-15217,-8280
1660,532,-9992,5640,32767,-21876,-18598,2476,7040,17504,-730,-6256,-6295
1680,1560,4520,-13100,32767,-9612,-26271,-2660,8408,17812,-898,-5467,-6841
1700,-4276,10528,-3632,32767,-1383,-21772,-1324,10528,14812,642,-9970,-6837
1720,-5104,8368,2332,32767,4005,-12636,2592,10076,11920,-1291,-8429,-8568
1740,-6336,8752,7376,32767,-1014,-4614,648,8072,12732,-2953,-3648,-6998
1760,-4344,12444,7036,25963,-7519,-16,396,7732,16336,-3369,-1324,-6037
1780,-612,14068,-224,16998,-2173,1477,-696,6716,18640,-1992,-2099,-5486
1800,-768,11676,9240,10139,4968,1061,-2764,7136,15540,-2040,50,-4681
1820,-512,12508,13272,11969,-325,-1737,-2192,7644,15340,-2382,236,-3289
1840,-2824,14592,5508,6644,3278,-1234,1140,6888,16400,-2003,3498,-2399
1860,-3628,12768,9192,2592,15513,844,-1452,7464,16016,-1114,7127,-2000
1880,-4360,14016,12656,6575,6456,446,-6332,7848,17228,-1313,4418,-1793
1900,-2552,14120,7468,6083,-1784,268,-2972,8680,16516,-909,-871,-2383
1920,156,15532,3600,3681,-1103,-851,-1376,9464,15916,-1181,-936,-2142
1940,-48,15152,3152,-1882,3164,-2640,-552,8572,15936,-1351,2995,-1496
1960,-2276,14100,5860,-3770,10216,-2483,-1352,7992,15960,-944,4724,-952
1980,-6484,12772,12704,-759,4606,-952,-4140,7760,15728,-554,2513,-796
2000,-4172,14520,7132,1863,-2239,747,-2512,7872,16860,-18,-673,-761
2020,-2352,14072,7108,-301,-931,2024,-2372,7852,16468,291,-1366,-548
2040,-304,13588,6560,-1208,-1230,826,-1840,7584,16272,348,-1388,-718
2060,276,13548,5456,-2793,1550,-1059,-256,7528,15664,439,362,-730
2080,-2308,11800,11028,-1795,3479,-1229,-1772,7496,14628,110,1911,-524
2100,-3128,12812,9952,1901,-115,-776,-1936,6868,16300,301,1198,-291
2120,-3488,13008,9060,1540,-1455,221,-2476,7204,16480,687,-332,-514
2140,-2192,13460,7800,2239,-4998,248,-2084,7184,16596,812,-1307,-559
2160,-960,13452,5680,320,-1928,-391,-1180,7388,16096,690,-253,-446
2180,-1196,12776,7160,-1436,2416,-916,-1432,7360,15232,503,1201,-296
2200,-2872,12424,9084,-321,2916,-887,-2116,6892,15652,373,1313,-4
2220,-3240,12844,8060,72,1350,-195,-2152,6888,16484,480,653,86
2240,-2924,13120,7124,-811,1815,288,-2164,6872,16648,603,364,70
2260,-2720,12812,7880,-1808,1473,344,-2292,6988,15884,691,293,81
2280,-2428,12464,8540,-1294,671,221,-2484,7068,15380,512,230,109
2300,-2296,12044,9424,237,325,30,-2020,6916,15204,457,-75,86
2320,-2544,12536,7688,586,1051,52,-1740,6700,16088,402,505,152
2340,-2584,12856,7356,194,1012,36,-2096,6756,16276,448,648,175
2360,-2792,12688,7972,-624,396,90,-2404,6928,16176,506,66,5
2380,-3044,12328,8844,-669,-839,214,-2396,6832,15340,558,-679,-154
2400,-2528,12260,9124,607,-1154,400,-1760,7112,15084,478,-552,-107
2420,-2244,12704,7440,1122,210,486,-1828,6712,16024,560,153,83
2440,-1996,12956,6652,78,792,105,-2140,6992,16228,552,611,24
2460,-2448,12420,7912,-1008,618,-355,-2624,7124,15828,375,331,-152
2480,-2892,12120,8672,60,-1013,-302,-2240,7000,15316,202,-548,-238
2500,-2420,12488,7968,884,-730,216,-1596,6788,15592,293,-844,-183
2520,-2452,12812,7228,123,1231,412,-1952,6880,16196,309,68,-7
2540,-2280,13032,6940,-1075,1735,36,-2408,7032,16244,375,444,-74
2560,-2968,12420,8796,-1248,726,-391,-2536,7352,15456,183,406,-194
2580,-3252,12312,9212,602,-908,-286,-2484,6940,15528,163,-282,-225
2600,-2764,12556,8216,1146,-921,165,-1996,6748,15680,484,-703,-169
2620,-2584,12888,7220,629,598,482,-1984,6764,16272,579,94,-62
2640,-2484,13112,6792,-685,911,144,-2348,7072,16180,634,438,-89
2660,-2620,12444,7988,-906,582,-286,-2672,7228,15256,409,646,-140
2680,-3372,12304,8920,573,-264,-67,-2500,6952,15188,303,-63,-126
2700,-2880,12676,7940,1172,-32,426,-2188,6824,15712,399,-540,-49
2720,-2556,13004,6804,19,-49,345,-2192,6916,16300,496,-116,-47
2740,-2292,12764,7564,-1037,464,-115,-2232,7076,15928,454,104,-152
2760,-2540,12288,8592,-563,-339,-255,-2280,7144,15496,269,86,-262
2780,-2620,12304,9116,667,-564,58,-2076,7036,15156,284,-599,-295
