Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-11072,8568,5880,-122,-427,-9,-9204,9852,10108,483,-596,-316
20,-10772,8520,5672,-117,-348,-13,-8880,9844,10028,526,-425,-355
40,-10644,8560,5640,-61,-183,26,-9180,9920,9836,432,-141,-390
60,-11024,8792,5472,-99,-104,102,-9400,9912,9940,336,-108,-320
80,-11076,8528,5716,-113,-142,37,-9468,9916,10076,283,-321,-229
100,-11044,8548,5844,-90,-252,-26,-9256,9844,10072,328,-428,-228
120,-10812,8552,5852,-44,-192,-23,-9248,9860,10096,402,-373,-287
140,-10940,8532,5900,-113,-299,12,-9148,9868,10008,338,-323,-338
160,-10924,8604,5692,6,-195,48,-9088,9752,9968,389,-265,-392
180,-10800,8512,5704,-24,-11,73,-9272,9760,9972,351,-116,-406
200,-11172,8708,5532,3,-18,28,-9256,9824,9952,368,-216,-355
220,-10876,8556,5708,-77,-172,42,-9284,9948,9988,414,-280,-312
240,-10872,8440,5984,-117,-166,75,-9324,9820,10084,428,-262,-337
260,-11104,8556,5776,29,-264,-11,-9384,9844,10188,466,-371,-364
280,-10948,8676,5732,-48,-334,-34,-9140,9812,10084,483,-390,-374
300,-10772,8548,5528,-59,-140,51,-9188,9996,10020,478,-351,-383
320,-10764,8512,5824,-170,-151,121,-9004,9828,9880,432,-144,-453
340,-10580,8356,5864,-28,97,186,-8880,9880,10004,479,157,-507
360,-10512,8144,6020,109,462,345,-8500,9756,10012,544,527,-553
380,-10952,7840,6820,142,595,274,-8416,9736,11036,396,385,-663
400,-11232,7340,7816,-26,-592,-9,-8360,9560,11496,456,208,-758
420,-10996,6696,9676,296,-2905,-995,-8452,9652,11676,1068,-2627,-1032
440,-10720,6084,11464,440,-6496,-2575,-8832,10228,11632,1823,-6587,-2110
460,-10768,3908,14220,5972,-10202,-3364,-8304,10276,11348,2782,-10321,-3964
480,-10764,4076,14268,10871,-16162,-5769,-8460,10180,12172,4070,-15217,-5875
500,-12424,5528,13316,11849,-25835,-11704,-10268,10124,13260,5048,-23866,-6516
520,-13304,6728,10216,13156,-31304,-14618,-6500,10624,12632,5555,-28585,-7185
540,-13600,8112,8520,13969,-30034,-11917,-5652,10128,11884,6679,-26573,-8061
560,-13068,7380,9868,15425,-31674,-10988,-8060,10836,11860,6873,-27000,-8060
580,-12044,8024,9200,16266,-32768,-13377,-5928,11516,11744,5645,-32432,-8200
600,-9872,9652,6332,14623,-32768,-13002,-3656,11260,11312,4845,-32768,-8983
620,-6740,10708,3392,15351,-32768,-10110,-2212,10472,12668,4298,-27189,-8902
640,-5268,13032,3100,13548,-26132,-7586,-5308,10492,12948,4443,-19126,-7620
660,-8720,10800,8416,13599,-21030,-8214,-7724,10932,12796,3883,-21473,-6199
680,-12472,11440,7580,14907,-28158,-9062,-5332,10972,12804,3141,-21146,-5209
700,-8480,12816,4828,13918,-30420,-5764,-4248,10784,12916,2649,-21648,-4468
720,-4552,12532,4588,10705,-26063,-3021,-3508,10560,13068,2227,-20940,-3301
740,-3812,12084,5840,11670,-22150,-3267,-2356,11280,12872,1408,-18113,-2426
760,-3696,13660,6240,9452,-17797,-2521,-1948,11176,13544,1185,-14592,-745
780,-3612,13204,6320,6376,-16709,-1411,-160,9936,13240,326,-13338,61
800,-1264,12656,6080,4160,-13879,-83,1116,10776,13272,-325,-12413,-55
820,184,13488,6268,1326,-8848,117,-260,11120,13920,-285,-8262,1546
840,-1496,13088,7752,-3148,-6232,17,320,10760,14180,-697,-6549,870
860,-1568,12568,8448,-5949,-3819,701,268,10240,13852,-770,-4528,1666
880,-1088,10724,9696,-4860,1076,2405,1640,10364,13696,-1247,-2593,1925
900,-1724,9548,10744,-4078,1696,2595,-412,9616,14108,-1360,-1380,2483
920,-204,11092,8348,-4755,3625,1974,2532,8064,14272,-1489,2034,4409
940,148,12944,3844,-17571,12585,2406,2424,8192,15608,-1669,4790,5205
960,-744,13444,3084,-28551,19339,2603,2780,9416,14376,-3213,8288,7307
980,-1732,7268,7292,-26894,20449,2829,1944,8952,12712,-5247,11944,9638
1000,-1112,6736,6424,-29212,22636,1422,1852,8240,14924,-6959,12230,9608
1020,-20,9400,2680,-32768,30341,788,1692,7628,17492,-7712,13563,8838
1040,116,2792,-9736,-32768,32767,6337,3676,9128,14544,-10032,20027,8245
1060,-26932,-28740,24212,-32768,32767,27063,-4116,9492,-1308,-16208,31167,11905
1080,-21100,-2184,3220,-32768,32767,27217,-16500,3264,15980,-17074,21631,8920
1100,-14696,5424,-16844,-32768,29771,21428,2728,224,27704,-12373,1486,3664
1120,-25080,-5808,8812,-32768,32767,13010,4456,-7924,32767,-2769,18375,3717
1140,-32768,-19072,1200,-32768,32767,25271,-1284,9640,7276,-1605,28985,5253
1160,-30892,-26416,7952,-26977,26781,13193,-16052,2832,14828,-4531,18429,3627
1180,-18904,-11248,4008,-6996,8536,-3590,-7744,2680,20360,-3138,-6458,1591
1200,-13932,-5380,2772,-6831,8365,-1344,-904,5036,17444,-230,-2931,1573
1220,-19352,-4912,3600,-6263,5842,8639,-420,6260,14264,1213,8176,594
1240,-12824,-8100,1572,-3784,-291,11633,-5560,7268,15760,1470,11337,684
1260,-14148,-5864,3028,-4272,22,2968,-5028,6556,15324,1215,2828,493
1280,-13780,-4524,2320,-3336,-499,2873,-2924,6712,14844,950,3317,82
