Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,1180,4976,17180,-301,-34,-545,-1892,3912,15312,-528,25,-106
20,1220,4900,17268,-318,-15,-578,-1812,3836,15084,-541,58,-101
40,1252,4692,17056,-323,80,-560,-1876,3736,15104,-543,100,-146
60,1028,4792,17128,-277,71,-560,-1924,3848,15308,-549,133,-120
80,1196,4812,17316,-243,-8,-501,-1896,3868,15188,-577,-59,-119
100,1272,4852,17072,-253,5,-535,-1824,3792,15100,-584,-54,-122
120,1072,4856,17120,-248,32,-564,-1836,3908,15044,-564,22,-104
140,1144,4944,17196,-323,-18,-554,-1880,3828,15188,-537,10,-106
160,1216,4808,17280,-343,43,-552,-1824,3800,15080,-520,116,-120
180,1304,4788,17164,-258,69,-574,-1920,3836,14992,-532,77,-127
200,1120,4848,17224,-174,25,-568,-1996,3744,15144,-525,13,-128
220,1124,4960,17148,-254,-8,-546,-1860,3824,15268,-513,-19,-140
240,1160,4976,17080,-237,41,-555,-1820,3844,15156,-471,68,-132
260,1064,4792,17272,-200,63,-607,-1976,3768,14992,-482,129,-169
280,1132,4812,17156,-147,7,-612,-1892,3908,15128,-449,105,-171
300,1168,4888,17128,-239,10,-560,-1896,3796,15200,-410,132,-148
320,1120,4912,17188,-177,100,-602,-1904,3836,15072,-475,9,-196
340,1160,4860,17212,-202,71,-674,-1980,3864,15136,-520,-1,-236
360,1372,4908,17144,-116,63,-634,-1876,3900,15084,-506,50,-231
380,1252,4904,17196,-93,166,-616,-1836,3832,15196,-480,0,-237
400,1736,4732,17296,44,353,-642,-1588,3856,15020,-555,108,-251
420,2296,4684,17500,576,1124,-740,-1432,3792,15140,-524,294,-431
440,2372,5624,17872,1656,3028,-508,-1068,3248,14980,-405,960,-449
460,2508,4184,17664,3125,5393,-1539,-1044,3924,15104,-291,662,-516
480,2400,5020,18492,4495,8336,-1201,280,3344,16088,134,3189,-58
500,4796,5200,20244,5483,15721,-1851,1636,3088,15508,993,9293,963
520,1528,3756,17472,10708,20406,-997,-892,2636,15904,992,10443,879
540,-1572,3572,20040,13029,21595,-331,-1972,2416,18308,1859,11694,2237
560,-1060,5828,15612,13515,23290,-153,-3076,2840,14072,2400,12922,2075
580,-1516,3736,15188,13694,26024,-2517,-5124,692,13892,2834,11020,-604
600,-4264,4508,16920,17288,22635,-4189,-5628,3696,13180,2932,12365,435
620,-6648,6708,17104,19465,18877,-2344,-5708,1312,14096,3284,10918,379
640,-5624,4204,17720,26474,16578,-862,-6624,6252,12840,3960,9692,348
660,-10516,9716,17820,32767,18193,1141,-8408,556,15328,5653,11701,1435
680,-9356,13252,11640,32767,13732,3584,-10396,5692,17424,7633,9484,1352
700,-11296,12536,8244,32511,12325,4976,-10896,6480,15672,9424,8778,3805
720,-10852,14864,4828,29878,9339,4613,-11152,8488,14312,9557,7171,3498
740,-10256,15244,2388,26610,9479,5349,-10104,9080,13852,9596,6452,5605
760,-11160,16880,460,21163,9035,5670,-11188,9176,13300,9142,4089,7306
780,-11108,15952,604,17682,6158,7076,-10408,10184,12028,8509,1508,8869
800,-10028,16928,-408,15150,5979,8918,-9816,10872,11456,8322,-80,10227
820,-10016,15720,-1732,11779,6184,10522,-9792,11620,9940,7481,-1554,11671
840,-8968,15376,-2536,10321,6841,11797,-8588,11480,9916,6608,-2336,13198
860,-8780,14976,-2680,7032,7043,14028,-8196,11708,8968,5666,-3842,14626
880,-7112,14936,-3804,4623,8172,15529,-7148,11944,7664,4540,-5052,15682
900,-4772,14456,-4008,3344,8972,16458,-5756,11572,7748,2988,-4753,16875
920,-4364,13832,-3696,-343,10585,16884,-5128,10364,8168,1211,-4345,17568
940,-4256,13668,-4620,-6886,11151,17571,-4472,10120,7548,-998,-4217,18110
960,-3760,12548,-4624,-13017,9708,17752,-3920,9216,7336,-3217,-5305,18523
980,-1436,12012,-3440,-17779,11011,17653,-2196,8692,7088,-5411,-5583,18591
1000,-800,10672,-1864,-22623,14004,17479,-788,7940,6696,-7565,-2584,18805
1020,-112,2496,-992,-26551,15023,18103,-1180,7104,6696,-10236,-728,18204
1040,872,10068,-936,-32768,12673,16287,-32,5992,7444,-13052,-2169,16906
1060,3696,5440,-3772,-32768,18151,14953,2916,4088,7192,-17000,-1991,15426
1080,3628,-7600,4364,-32768,19684,13151,2864,208,2816,-20672,-2147,13486
1100,6068,-11608,12148,-32768,10289,4639,5000,-3184,4680,-20442,-4325,9001
1120,11240,-4048,24944,-25580,13720,3706,10792,-4716,11692,-17126,-6159,4671
1140,9432,536,23368,-18566,14810,-3115,7688,-3876,18296,-13716,956,1852
1160,7116,4044,23480,-17811,12894,-8927,7404,-1032,19792,-11856,5078,-2853
1180,3004,3596,24752,-14972,8646,-11886,5272,1576,18988,-10091,7215,-5850
1200,736,7004,24008,-9283,6313,-12486,3572,4720,20216,-7958,7263,-7249
1220,-1752,10332,23892,-4801,5593,-11532,1692,7544,21648,-6392,6151,-7846
1240,-4772,12788,23504,-2182,417,-9870,-208,7748,23268,-4833,2494,-8067
1260,-3384,12976,22952,-1635,-3190,-8865,-32,7836,21896,-3244,264,-7687
1280,-3068,12500,20940,-363,-3510,-7260,516,8700,20392,-1486,-427,-6195
1300,-3168,12060,20240,1703,-3650,-5817,-44,8472,19284,-484,-573,-5374
1320,-3080,11312,19572,3695,-3975,-4107,80,7320,18556,619,-814,-4468
1340,-2348,10968,17960,4740,-4214,-3105,100,6920,17208,1838,-550,-3309
1360,-572,10552,16128,4972,-3429,-2447,896,6960,15752,2528,-271,-2892
1380,96,9824,14652,5085,-2527,-2459,1368,6700,14436,2671,707,-2855
