Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,15296,-3492,-8740,-691,120,-295,12168,-4596,-10000,242,87,-413
20,15328,-3580,-9336,-418,-77,-417,12104,-4604,-9884,203,-119,-425
40,15804,-3464,-9632,-476,57,-118,12180,-4532,-9904,344,-193,-388
60,15440,-3576,-9980,102,-261,70,12324,-4700,-9872,445,-479,-285
80,15468,-3648,-9520,587,58,-26,12352,-4808,-10020,574,-320,-133
100,15112,-3428,-8824,446,-529,80,11956,-4784,-9700,576,-232,-121
120,15420,-3420,-8640,-38,-338,234,11972,-4672,-9500,496,-419,-204
140,14956,-3500,-8652,-82,-169,143,12204,-4724,-9536,462,-333,-214
160,15068,-3404,-9184,-178,185,-107,12168,-4632,-9564,402,-196,-195
180,15068,-3524,-9036,-259,-51,-182,12076,-4652,-9952,384,153,-150
200,15156,-3524,-9032,-336,307,-160,11864,-4580,-9796,350,198,-131
220,14900,-4112,-8708,-365,49,-56,11816,-4664,-10084,361,60,-258
240,14736,-3340,-8968,-637,-231,30,11716,-4672,-9420,167,-268,-347
260,14968,-3484,-9084,-372,-506,15,12136,-4632,-9528,95,-468,-486
280,14968,-3420,-9136,-90,-331,-279,12260,-4544,-9844,214,-312,-415
300,15376,-3504,-9208,-2,-262,-320,12268,-4732,-9844,322,-196,-420
320,15712,-3376,-9316,-224,-134,-211,12268,-4692,-9832,338,-167,-409
340,15628,-3452,-9052,173,-366,-14,12176,-4764,-9660,352,-409,-334
360,15632,-3472,-8992,9,-228,113,12384,-4840,-9732,362,-479,-277
380,15320,-3440,-8904,2,-430,171,12208,-4832,-9796,405,-391,-236
400,15492,-3432,-8732,20,-176,156,12292,-4800,-9724,409,-305,-256
420,15224,-3460,-8892,-155,-296,169,12188,-4704,-9428,416,-208,-204
440,15220,-3520,-9124,-178,16,77,12224,-4648,-9552,371,-314,-210
460,15180,-3524,-9368,-113,0,47,12076,-4660,-9728,447,-114,-209
480,15256,-3536,-9128,221,-314,51,12088,-4756,-9700,483,-313,-213
500,15180,-3456,-8888,71,-333,24,12084,-4736,-9572,471,-309,-188
520,15164,-3408,-8884,-245,-275,199,12056,-4688,-9568,421,-364,-203
540,14996,-3332,-8984,-110,-238,148,12140,-4672,-9592,343,-361,-220
560,15236,-3468,-9012,-117,-316,77,12152,-4648,-9808,315,-256,-160
580,15436,-3500,-9040,-310,44,80,12088,-4648,-9816,325,-85,-153
600,15248,-3484,-9424,43,-128,305,11792,-4588,-9568,291,-426,-161
620,15000,-3496,-8812,317,-735,402,12096,-4780,-9832,192,-828,-197
640,15352,-3560,-8848,-316,-393,207,12284,-4708,-10092,309,-495,-51
660,15936,-3748,-9280,-435,250,219,12296,-4860,-10312,430,-147,83
680,17136,-4016,-9804,-72,154,762,12332,-5152,-10392,690,-340,140
700,17052,-3504,-10288,-60,737,1141,13348,-5476,-10404,1141,-449,261
720,16760,-4568,-11400,169,1352,783,14432,-6088,-10464,1678,-215,464
740,19424,-4672,-10668,1491,2176,-148,15780,-7204,-11416,2589,892,901
760,22780,-5140,-9680,946,4820,-120,17492,-8992,-10416,3711,3026,1731
780,24388,-5820,-10012,298,8750,-109,18144,-10340,-11488,5115,5990,3013
800,26320,-6256,-9484,979,11942,365,18016,-11808,-11408,6830,8142,4633
820,26048,-6840,-8324,1585,14908,1665,17464,-12536,-11080,8756,9320,6409
840,24860,-7068,-7112,667,17552,3102,17240,-12612,-11048,10454,11051,7859
860,21656,-7600,-6632,-752,21004,3328,16144,-12444,-10068,12115,12358,8869
880,19420,-8528,-6704,-831,24484,2386,16500,-11900,-10124,14383,15637,11070
900,16464,-8940,-6972,796,26894,1120,11756,-11632,-8468,14554,15811,10271
920,15000,-8760,-6232,2809,26754,791,9832,-10996,-7376,15381,15945,10683
940,13396,-8980,-2932,1117,26797,1784,9064,-10996,-8788,15887,16889,9847
960,9192,-9356,-3436,395,29645,34,6352,-10368,-6356,16456,18077,8972
980,9028,-9300,-3312,1410,26081,-788,6104,-10696,-4812,16491,16084,7995
1000,8104,-9236,-2264,3917,26134,-1801,5284,-10196,-4360,16335,15220,6596
1020,5916,-8620,-440,6098,24033,-3905,4968,-9688,-4312,16048,13616,5220
1040,6152,-7104,1748,5545,21789,-5367,5380,-8972,-4988,16017,14176,2992
1060,9772,-5692,-104,5153,19734,-5226,2896,-7648,-5592,16578,13265,1170
1080,9104,-6576,-6016,4383,19382,-2602,2816,-6520,-5864,18360,12205,-1581
1100,2232,-8576,-15012,4629,23708,-3169,2444,-4880,-4952,20540,10784,-4759
1120,-4552,-9460,-16980,12938,23937,-8327,2840,-3228,-4248,22453,9713,-8565
1140,-10748,-8360,-14156,26016,24460,-17322,1292,-2296,-4500,24408,10692,-13438
1160,-13152,-4044,-8144,32767,24863,-28259,-3116,-1388,-2140,26399,12088,-18980
1180,-11304,-460,-8028,32767,21431,-32768,-3940,-456,532,27467,12671,-24424
1200,-9552,-1760,-16692,32767,31599,-32768,-1232,1568,4240,28273,12271,-29187
1220,-10260,4132,-28140,32767,32767,-32768,2720,2708,6664,30242,15144,-32768
1240,-13892,24336,-29732,32767,32767,-32768,5764,7752,10456,31250,13135,-32768
1260,-32768,32767,30076,32767,4730,-25874,19796,18008,17604,28233,3697,-30881
1280,-6032,32767,-10696,32767,19889,-29136,27164,20352,22024,22417,7963,-27658
1300,5416,32767,-8396,32767,3664,-7267,24412,20736,28548,12906,2323,-18355
1320,3476,32767,972,18854,11495,6752,28300,17580,26268,2759,-5067,-10298
1340,-1192,32767,380,3493,-4716,6958,30224,12516,19820,-2849,-5836,-3952
1360,1576,32767,-1608,-4332,-8559,6078,23300,7468,20216,-5245,-4742,-1634
1380,3956,26196,-3520,-7697,-6453,7610,19604,4752,17304,-6065,-6408,-368
1400,4988,24184,-2484,-2811,-6971,11322,16436,3988,16044,-6320,-8794,665
1420,4132,25124,-2096,-4131,-6445,14234,15820,4656,14268,-6757,-11835,1412
1440,3764,24380,-1260,-8547,-5774,16361,15636,4716,12844,-7657,-13302,2264
1460,4156,21100,-3188,-9716,-7270,19271,15360,4944,11956,-8739,-15270,3324
1480,4848,22088,-2108,-11088,-9340,22684,15168,4844,9316,-9453,-16176,4412
1500,6832,21140,-3156,-13529,-11546,27633,15080,5316,8048,-10000,-17118,5566
1520,8460,18492,-5212,-15014,-12077,32279,15316,5068,6892,-10252,-18541,6956
1540,9732,16112,-5116,-15175,-13135,32767,14680,4224,5136,-9943,-22310,8458
1560,10356,13692,-6220,-15427,-13899,32767,14512,3044,4304,-9406,-25794,9672
1580,6768,11008,-4888,-12725,-8829,32767,15912,1980,2136,-8874,-26881,9745
1600,6296,10696,1860,-16974,-13851,32767,16008,2292,1904,-7903,-26565,10912
1620,8376,5900,-3060,-24031,-21710,32767,15412,1236,888,-7723,-24856,10584
1640,9268,4120,-6632,-28221,-26139,32767,13712,464,-556,-7492,-25724,10957
1660,11956,4984,-6128,-26400,-26293,32767,13820,-516,-1780,-7613,-25740,11580
1680,12092,3560,-6016,-24260,-21600,29317,15492,-1056,-3352,-6961,-20417,11238
1700,10412,1968,-6412,-19604,-16702,22686,13732,-1244,-2132,-7266,-18098,11192
1720,11596,2396,-3556,-16258,-16068,18967,12984,-1828,-2728,-8081,-17216,10903
1740,11484,1916,-2380,-16708,-14777,16425,12032,-2044,-4716,-8650,-15392,10776
1760,11492,424,-2720,-15163,-14303,13340,11404,-2684,-5680,-9538,-14724,10363
1780,12852,-632,-3996,-13801,-12674,12297,9760,-3768,-5452,-10406,-13187,9576
1800,12492,-1932,-4268,-11612,-11301,11923,8812,-4068,-6612,-11540,-12969,9232
1820,12720,-2964,-3624,-7189,-12762,11220,9588,-4176,-7820,-12018,-11886,8796
1840,12720,-3104,-3672,-6251,-11052,11302,8728,-4816,-7488,-13085,-9749,8190
1860,10632,-3572,-2576,-6535,-9945,10130,9588,-5316,-8848,-13843,-7707,8202
1880,11240,-3756,-2896,-9001,-7785,6906,11504,-6500,-9880,-15198,-2247,8155
1900,13864,-5408,-3216,-12768,-4384,4636,8912,-7784,-11176,-15639,-234,7685
1920,17180,-7216,-6396,-15505,-4203,5561,8696,-9772,-11012,-13937,-892,7676
1940,16920,-8964,-8520,-13639,-6054,7522,9888,-10628,-10896,-13653,-3120,5200
1960,17580,-9476,-8168,-9754,-8680,7677,11316,-12004,-11780,-11809,-5211,4842
1980,20264,-8484,-7964,-6203,-8900,7080,13544,-11748,-11380,-10156,-4357,4122
2000,20924,-8540,-7996,-6023,-5399,6861,13668,-13392,-11620,-7418,-3535,4354
2020,19272,-8444,-8488,-5538,-3450,4814,13664,-12684,-11308,-5024,-2517,3644
2040,19184,-7720,-8140,-2969,-282,3654,13236,-11932,-10968,-2840,-1663,3044
2060,18428,-6840,-7976,-2289,2034,2126,12820,-10132,-11004,-1316,-271,1878
2080,17648,-5908,-8376,-2800,2817,1550,12812,-8144,-10596,114,830,1304
2100,16048,-6028,-9564,-1788,2441,1112,11704,-7392,-10096,1263,1436,1291
2120,15596,-5684,-10020,949,924,1007,10880,-6508,-9836,1906,512,987
2140,15592,-4912,-9240,2644,440,1274,10976,-5804,-10120,2158,-1075,187
2160,14884,-4392,-8416,2925,557,1224,10992,-5276,-10020,2348,-1952,-488
2180,14096,-4228,-7976,3156,1220,629,11424,-5180,-9948,2831,-1564,-473
2200,13928,-3724,-7520,3143,875,-34,11828,-4824,-9552,2635,-1036,-760
2220,14152,-3132,-7216,2510,270,-679,10772,-5176,-9460,2163,-584,-1498
2240,14896,-2904,-7176,1658,-372,-1028,12156,-4248,-10060,1869,-869,-1808
2260,15556,-2844,-8176,542,233,-1081,12000,-4280,-9800,1890,-311,-1572
2280,15192,-2992,-8496,513,-463,-1357,12412,-4424,-10160,1684,-197,-1594
2300,16088,-2620,-8480,942,-519,-1461,11904,-4384,-9804,1278,-648,-1611
2320,16644,-2420,-8012,1228,-919,-547,11716,-4788,-9720,1143,-868,-1256
2340,16580,-2116,-7652,1023,-1664,437,12224,-4700,-9560,702,-1318,-1099
2360,15624,-2508,-7228,416,-610,176,12876,-4564,-9784,469,-878,-622
2380,16224,-2728,-7724,-476,275,-302,12800,-4632,-9936,184,419,-432
2400,16044,-3164,-8728,-522,604,-349,12120,-4784,-9568,67,649,-152
2420,15716,-3132,-7976,178,156,-241,11804,-4992,-9728,-11,323,54
2440,15616,-3156,-7424,164,-134,-130,11796,-4932,-9520,-170,-126,105
2460,15884,-3384,-7652,-171,-1,123,11688,-5148,-9940,-257,-60,-67
2480,15732,-3564,-8632,-482,-14,303,11760,-5272,-9648,-143,-106,-143
2500,15052,-3928,-8224,-458,-350,469,11460,-5444,-9816,-48,-203,-261
2520,15584,-3840,-8308,-622,-990,546,11860,-5368,-9632,115,-553,-272
2540,15500,-4060,-8276,-36,-772,287,11776,-5560,-9624,231,-493,-419
2560,15924,-3772,-7836,-94,-525,33,11920,-5536,-9892,309,-467,-549
2580,15820,-3820,-7664,213,-748,133,11740,-5544,-9580,404,-348,-599
2600,15536,-3604,-7660,35,-246,-68,11640,-5520,-9756,455,-460,-552
2620,15936,-3696,-7796,-116,-244,-161,11916,-5544,-9520,617,-105,-545
2640,15908,-3612,-7788,-66,220,-422,12532,-5316,-10024,821,391,-624
