Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14748,4112,-3856,145,-293,109,-14464,4528,-4496,327,-484,-158
20,-14764,3972,-3644,-13,-289,95,-14408,4608,-4420,378,-371,-193
40,-14560,4028,-3420,-37,-558,-158,-14524,4612,-4612,544,-385,-186
60,-14728,4192,-3732,83,-614,-418,-14564,4604,-4848,584,-378,-276
80,-14952,4120,-3972,478,-465,-427,-14476,4636,-4680,450,-467,-346
100,-14964,4156,-4300,34,-299,-192,-14452,4708,-4628,351,-445,-383
120,-14976,4056,-3884,-406,311,99,-14420,4568,-4624,312,-180,-307
140,-14968,4120,-3584,-429,170,59,-14624,4608,-4704,367,-64,-281
160,-15048,3964,-3464,-109,-378,-150,-14704,4740,-4936,396,-229,-138
180,-14912,4152,-3704,188,-658,-88,-14572,4724,-4744,251,-402,-140
200,-14864,4028,-3920,120,-577,67,-14688,4684,-4496,237,-434,-129
220,-14952,4036,-3976,-201,-520,161,-14356,4492,-4588,250,-409,-67
240,-14788,4012,-3844,-335,-168,206,-14288,4592,-4716,260,-162,-37
260,-14656,4068,-3728,-255,111,219,-14308,4744,-4624,306,-30,-193
280,-14576,4124,-3460,-133,58,126,-14524,4688,-4612,338,2,-292
300,-14992,4204,-3564,-125,-165,-135,-14560,4800,-4512,361,-68,-361
320,-14928,4112,-3596,-392,-246,-205,-14752,4864,-4652,386,-282,-312
340,-15100,4172,-3340,-352,-110,-83,-14400,4788,-4684,412,-371,-221
360,-15100,4160,-3500,-44,-102,98,-14512,4744,-4900,246,-282,-217
380,-14944,4172,-3824,10,-166,188,-14624,4724,-4684,150,-285,-282
400,-14984,4196,-3864,-290,-374,119,-14544,4624,-4592,178,-281,-127
420,-14952,4212,-3664,-399,-402,118,-14556,4660,-4788,274,-155,-39
440,-14792,4132,-3688,-480,-323,124,-14360,4668,-4776,287,-139,-49
460,-14832,4084,-3656,-296,-348,112,-14536,4696,-4796,233,-201,-62
480,-14720,4116,-3952,-563,-273,243,-14448,4604,-4748,91,-292,-151
500,-14952,3876,-3652,-579,-76,133,-14752,4456,-4672,53,-282,-66
520,-15224,3820,-3704,-467,-525,-13,-14784,4476,-4752,121,-533,33
540,-15516,3916,-3624,-485,-857,-14,-15180,4508,-4724,81,-971,200
560,-16512,4344,-2800,-1022,-1596,4,-16080,4472,-5480,-35,-1772,909
