Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15044,2284,-1520,408,661,367,-12288,9304,4304,1079,-256,-567
20,-15172,2324,-1428,427,541,290,-12740,9288,4460,979,-334,-539
40,-15160,1940,-1256,702,-145,-52,-13144,9276,4560,982,-935,-429
60,-15920,2192,-1600,867,-662,-206,-13048,9268,4384,1095,-1337,-310
80,-16256,2012,-1756,593,-319,248,-12356,9236,4544,1194,-967,-238
100,-15872,2436,-1464,548,406,586,-12624,9472,4356,1295,-53,-165
120,-16116,2424,-1076,657,628,703,-13200,9564,4428,1373,100,-156
140,-16044,2320,-1292,1042,234,780,-13088,9452,4432,1507,-480,103
160,-15744,2136,-1656,1174,34,894,-12880,9576,4604,1639,-458,243
180,-15520,2464,-1784,736,-32,1101,-12620,9384,4400,1665,-468,344
200,-15456,2376,-1912,494,-200,1345,-12096,9416,4260,1601,-378,207
220,-14740,2668,-2020,143,117,1377,-11984,9568,4260,1484,443,59
240,-14788,2784,-1236,18,880,1046,-12548,9616,4260,1278,777,57
260,-15204,2872,-1412,136,526,811,-12988,10032,4264,1213,235,72
280,-15016,2908,-1396,418,186,453,-12832,9816,4100,1148,-280,56
300,-14968,2896,-1396,485,-136,257,-12432,9748,3880,1025,-572,-75
320,-14800,2912,-1436,755,-409,111,-12368,9652,3912,934,-592,-180
340,-14820,2628,-2228,775,-755,-129,-12472,9564,4116,683,-447,-435
360,-14692,2568,-2384,43,-605,-486,-12316,9404,4052,632,-507,-545
380,-14980,2708,-1956,-497,-14,-655,-11928,9660,3820,563,175,-820
400,-14572,3152,-1556,-559,834,-514,-11792,9812,3628,375,789,-1158
420,-14576,3116,-1748,-448,1180,-535,-12432,9860,3348,36,989,-1354
440,-14964,2980,-1992,-382,1183,-810,-13244,9796,3824,-230,334,-1282
460,-15480,2356,-2120,-302,316,-1033,-13268,9232,4052,-263,-734,-1054
480,-15548,1888,-2300,-346,-523,-1091,-12804,9088,4264,-169,-816,-954
500,-15460,2040,-1740,-808,-332,-902,-12316,8856,3896,-1,-336,-1013
520,-15564,2040,-1172,-229,93,-625,-12936,9020,3992,398,377,-1016
540,-15788,2360,-1604,268,487,-402,-13032,9512,4040,508,170,-1040
560,-15672,2692,-1672,408,616,-419,-13092,9904,4036,675,32,-1113
580,-15900,2732,-1884,304,712,-544,-13428,9684,3956,569,-173,-1032
600,-16256,2428,-2420,-98,571,-354,-13404,9620,4196,423,-279,-830
620,-16152,1972,-2820,-534,208,-167,-12788,8896,4300,136,94,-682
640,-15832,2124,-2812,-1176,621,-45,-12612,9640,4404,-27,1235,-577
660,-16128,2700,-1632,-1600,731,93,-13360,9956,4124,-46,1467,-398
680,-16012,2716,-960,-757,-31,-214,-14300,10080,4276,-48,244,54
700,-16152,2500,-1388,239,-1363,-363,-13820,9748,4152,22,-1738,343
720,-15952,2380,-2136,463,-1975,-146,-12896,9496,4008,217,-2358,568
740,-15728,2224,-2208,191,-1467,239,-12224,9144,3804,307,-1578,579
760,-15000,2268,-2420,59,-1161,315,-11940,8220,3852,79,-346,266
780,-14744,2372,-2260,-537,-818,-73,-13108,9512,3976,53,-33,15
800,-15092,2640,-1752,-816,-584,-483,-13284,9392,3724,81,-537,-246
820,-15412,2488,-1704,-181,-385,-552,-12952,9620,3952,-7,-1076,-400
840,-15360,2416,-1768,351,-323,-510,-12928,9704,4004,-298,-1340,-340
860,-16608,3060,-1552,-52,-662,-342,-13248,10136,4420,-976,-1973,127
880,-17200,4116,-432,-1012,-817,229,-13448,11576,4808,-2006,-2911,787
900,-17180,4704,-604,-1970,-1730,504,-13148,13448,6096,-3711,-3793,1568
920,-17940,6516,288,-3430,-2838,0,-14332,14504,6300,-5733,-5499,2820
940,-17868,12680,2932,-12416,-3082,-64,-15312,17032,5308,-7664,-8021,4286
960,-16712,14280,6192,-25776,-622,-804,-16860,20416,4492,-10508,-14499,5287
980,-17908,7984,8988,-32768,493,-2904,-15840,21392,3400,-13541,-26348,5548
1000,-17696,3132,9628,-21661,-11381,-10258,-13492,20756,-300,-16629,-32768,8197
1020,-18012,8944,-576,-1101,-31382,-17547,-7580,17468,-3332,-19530,-32768,10595
1040,-15368,15836,-10416,-22477,-32768,-19199,352,12368,-4172,-20857,-32768,5729
1060,-3696,22300,-23032,-32768,-32768,-22452,536,10796,-4272,-21877,-32768,9341
1080,9424,21668,-27632,-32768,-32768,-30881,-952,7520,-264,-25072,-32768,10763
1100,17068,11740,-25520,-32768,-32768,-32768,-2788,5152,2348,-28395,-32768,12432
1120,17920,-7528,-132,-32768,-22103,-32768,-4104,696,2296,-32768,-25985,16816
1140,-2516,-8524,-11336,-32768,-9049,-32768,-4400,-892,-1828,-32768,-18931,17127
1160,-2148,-15512,-18008,-32768,-11975,-32768,-11092,-8632,1584,-32768,-17857,20440
1180,-3952,-18132,-15760,-32768,-14339,-31403,-8184,-15476,12008,-32768,-21922,16485
1200,-2104,-16092,-19832,-32768,-12022,-32556,-3068,-17724,20944,-29151,-27426,19767
1220,-4068,-25320,-23196,-32768,-4029,-30138,2624,-16064,20888,-25516,-17462,15228
1240,-10464,-28696,-13348,-32768,3793,-22078,5260,-16388,24144,-20062,-8636,15902
1260,-3724,-32768,-22756,-15429,-32768,-10507,7780,-18596,26328,-11438,-4989,20055
1280,-2660,-32768,-15504,-17407,-8496,-794,10204,-15188,28268,-4815,795,11068
1300,2116,-32768,-14240,-11776,-2209,3609,9536,-12560,27176,1012,5617,5038
1320,2292,-32768,-10856,-4641,-1901,7196,8960,-10852,22456,4299,4726,137
1340,2632,-28020,-10732,2035,629,8886,8852,-8392,20120,7456,7678,-3250
1360,1768,-22828,-10788,7338,2786,10545,6504,-6392,19132,7867,8842,-6215
1380,336,-17692,-10036,8008,4653,9951,4604,-5368,18800,8043,6515,-7025
1400,-960,-16644,-9368,9515,5496,7798,2248,-3400,18308,7748,4981,-8898
1420,-3400,-15736,-8684,10419,5820,5735,2224,-3420,17852,6514,2141,-9395
1440,-5132,-14536,-8936,10463,5075,5176,1984,-2948,18272,6208,1549,-9143
1460,-7476,-14048,-8864,7447,4296,5044,2692,-2772,19876,5883,1541,-8744
1480,-6384,-17040,-8820,6727,3016,5844,2824,-3156,19712,6133,2234,-8194
1500,-6476,-18396,-7704,7658,2075,6767,3352,-3120,18972,6540,3913,-7486
1520,-5908,-18768,-6888,10097,2228,9631,3384,-2872,18844,6874,5479,-7867
1540,-6424,-19480,-5716,14735,1468,12669,3184,-2440,18452,7331,6605,-8350
1560,-5584,-20132,-4560,20805,947,14546,2880,-2516,18460,7950,8499,-7907
1580,-6464,-19480,-4468,27935,1664,17759,2004,-2532,19044,9115,9283,-7827
1600,-7084,-17732,-2792,32767,4753,21754,2804,-2280,18240,10597,11482,-8167
1620,-6560,-15204,-4940,32767,7328,25207,2040,-1108,17076,11765,17987,-7306
1640,-9352,-15848,-5676,32767,9326,27766,-48,-688,16640,12167,23883,-6832
1660,-11396,-12136,-4816,30952,10811,29414,-2188,-764,16008,13114,27718,-5452
1680,-10716,-12544,-1140,31619,10124,29648,-4624,-548,14888,14303,29633,-3737
1700,-10708,-11256,-2092,31605,9794,28460,-6008,-84,13584,15487,29449,-3668
1720,-11632,-9492,-1184,32767,11879,28150,-6364,1556,12012,16221,28660,-2671
1740,-11404,-7396,-1440,32767,14135,28076,-7568,2356,10824,16192,29948,-1917
1760,-11316,-6204,-1936,32767,16046,25848,-9100,2576,11772,16449,29978,-2075
1780,-11560,-5200,-2484,32767,14295,20721,-10104,3160,10720,16365,27460,-370
1800,-12072,-2444,-3884,29863,13934,17667,-9544,4448,9192,15879,25562,-233
1820,-12560,-2564,-3480,27082,12285,15145,-10532,5424,8644,15370,24948,-94
1840,-11916,-3440,-2848,28239,7148,10905,-10456,6592,8100,14867,24506,-305
1860,-11776,-1700,-3284,27951,3558,7759,-13196,6800,6448,14004,22852,124
1880,-12100,2008,-1968,20428,2780,6303,-13964,7352,4712,12480,18509,1257
1900,-13228,3384,104,11424,4964,6078,-12964,7816,3560,11271,14253,609
1920,-13740,3092,2504,5553,7188,6487,-11956,9204,3956,10125,12288,-642
1940,-13600,1956,1908,6356,6228,6151,-14080,8776,4548,8919,10450,-1109
1960,-12928,2556,1108,6730,5416,4582,-14144,8948,4652,8385,7185,-1414
1980,-13028,1820,1232,7017,6018,3177,-13564,9012,4520,7837,4716,-1865
2000,-13752,2036,376,7805,6829,2124,-13800,9116,4376,7373,2705,-2174
2020,-14908,2556,-1504,7723,6277,1384,-13476,9220,4064,6940,1395,-2323
2040,-15184,2568,-1808,6195,6596,1087,-12684,9308,3884,6576,1727,-2266
2060,-15980,2308,-1736,6156,6694,1066,-13256,9456,3836,6296,1864,-2158
2080,-16664,2376,-1532,5969,5540,1424,-13332,9448,3604,6080,1576,-1917
2100,-16868,2728,-1840,5365,3819,1878,-13592,9592,3432,5682,2109,-1486
2120,-16460,2844,-2052,4048,2776,2236,-14160,9532,3440,5338,1370,-1163
2140,-16016,2288,-2096,4310,744,1972,-13976,10004,3524,4741,422,-752
2160,-15456,3108,-2136,3934,165,1206,-14556,9812,3376,4185,-291,-483
2180,-16176,2472,-2696,3043,-704,969,-13600,9828,3504,3560,-1175,-428
2200,-15684,2412,-2972,2733,-733,913,-13724,9568,3452,2757,-798,13
2220,-16084,2188,-2900,1328,-457,751,-13952,9264,3992,2071,-1039,396
2240,-15552,1296,-2132,665,-669,420,-14004,9180,4156,1661,-1453,691
2260,-15096,1360,-1416,1767,-801,-475,-14516,8844,4032,1474,-2206,972
2280,-15436,1428,-1124,3102,-1617,-1204,-14720,8688,3692,1410,-3634,1124
2300,-16076,1372,-1784,4058,-2697,-1476,-14364,8372,3468,1382,-4954,1448
2320,-15924,1316,-2708,4439,-3139,-1318,-13056,8352,3360,1327,-5045,1579
2340,-15932,1300,-3260,3957,-3050,-571,-12044,8188,3436,1287,-4034,1509
2360,-15924,1192,-3940,2189,-1590,492,-11660,8096,3528,1243,-1824,1384
2380,-15640,896,-3856,830,-153,1380,-11760,8244,3720,1113,284,1173
2400,-15132,944,-2812,-540,1359,1835,-12956,8096,3944,1049,1623,976
2420,-15276,828,-2408,-1270,1301,1932,-13420,8080,3996,1079,1891,786
2440,-15128,480,-2140,-885,736,1668,-13832,8300,4052,1120,1545,639
2460,-15548,944,-1852,-260,169,1294,-14192,8232,3860,1125,749,595
2480,-15428,996,-1876,263,-722,1175,-13748,8308,3796,1123,-60,457
