Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,13412,-7488,6084,126,-264,-25,12124,-10280,5240,321,-243,-343
20,13400,-7300,6384,-137,-202,120,12184,-10200,5400,392,-288,-384
40,13340,-7580,6048,-91,-317,-14,12336,-10120,5536,381,-432,-280
60,13416,-7340,6264,112,-78,-153,12224,-10276,5528,378,-288,-198
80,13552,-7408,6552,-26,-269,189,11920,-10300,5468,393,-250,-325
100,13136,-7688,6452,3,-377,188,12224,-10376,5480,342,-422,-309
120,13216,-7532,6424,168,-169,41,12040,-10372,5560,337,-230,-427
140,13236,-7548,6556,-69,-217,35,11992,-10476,5592,316,-7,-541
160,13108,-7592,6400,-123,-29,-143,12388,-10492,5432,284,-15,-577
180,13492,-7540,6480,116,-36,-271,12344,-10268,5512,318,-24,-614
200,13844,-7416,6628,26,-82,-174,12276,-10300,5504,383,64,-526
220,13536,-7516,6696,-207,-79,-15,12532,-10364,5216,399,-214,-216
240,13600,-7400,6500,-426,38,64,12260,-10216,5500,362,-228,-144
260,13408,-7452,6176,-113,-269,297,12008,-10084,5516,298,-67,-464
280,13176,-7540,6212,45,-240,123,12396,-10112,5600,275,-295,-427
300,13168,-7568,6136,152,-503,-112,12308,-9988,5428,302,-516,-300
320,13348,-7312,6092,133,-309,-101,12272,-10132,5152,377,-305,-431
340,13260,-7300,6388,-82,-292,-111,12228,-10132,5276,421,-271,-635
360,13260,-7324,6300,-120,-223,-174,12260,-10124,5360,394,-340,-597
380,13412,-7520,6176,-78,-449,-193,12372,-10180,5308,365,-514,-587
400,13808,-7416,6200,176,-571,-246,12428,-10220,5348,357,-495,-541
420,13800,-7500,6388,36,-350,-65,12424,-10212,5324,391,-441,-397
440,13588,-7292,6544,-119,-276,123,12264,-10180,5412,409,-460,-376
460,13356,-7508,6572,-211,-357,59,12308,-10296,5672,325,-407,-320
480,13088,-7500,6500,14,-346,-55,12116,-10404,5492,250,-331,-412
500,13216,-7460,6544,-193,-487,-66,12064,-10132,5564,196,-445,-501
520,13352,-7484,6304,-319,-136,-224,12204,-10360,5400,192,-171,-493
540,13420,-7420,6304,-223,-80,-117,12088,-10260,5360,164,-455,-457
560,13020,-7380,6508,-531,-511,4,11740,-10268,5452,234,-527,-264
580,12940,-7488,6404,-571,-586,44,11868,-10328,5276,218,-410,-626
600,12756,-7436,6028,-648,-643,-108,11932,-10072,5272,150,-434,-995
620,12832,-7356,5756,-695,-680,-408,11968,-9964,5276,205,-596,-1214
640,13052,-7256,5952,-1067,-758,-385,12040,-9940,5044,357,-602,-1102
660,12992,-7196,5872,-997,-1079,-386,11416,-9668,5476,292,-1018,-1822
680,12640,-7124,6028,-1033,-1867,-158,12300,-9852,5084,468,-960,-1809
700,14148,-7140,6068,-952,-2138,-79,12512,-9752,5492,418,-1428,-1852
720,14772,-7372,6104,-1158,-1825,73,13800,-9996,4828,496,-623,-1631
740,17140,-6812,7276,-1592,-1107,1046,13600,-10012,4524,578,-553,-1295
760,19228,-6284,9640,-4099,-1337,4436,13372,-10676,4060,941,-447,-588
780,19300,-6648,10884,-10187,-2822,9008,13976,-11840,4608,991,-1362,517
800,18412,-9212,8212,-13938,-3152,11570,15256,-12180,6420,425,-4043,2477
820,17212,-10104,7292,-15273,-2441,12634,15480,-12636,6440,-189,-3652,4524
840,15460,-10792,5564,-15116,-182,13237,13956,-12356,6320,-738,-2490,6327
860,12960,-11228,4840,-15215,1461,13648,12248,-12436,5904,-569,-1182,7282
880,10304,-12644,2584,-14609,1318,13853,11296,-12484,5888,-366,-605,7767
900,9016,-13496,1836,-12284,256,12241,10808,-12784,5380,-58,-1408,8033
920,9532,-13604,780,-11339,-153,11302,10380,-13036,3996,532,-741,7908
940,7904,-14792,88,-10213,855,10407,10212,-13708,3684,1308,-152,7771
960,7604,-15044,-1372,-9002,2302,8918,9264,-13884,4252,1985,-683,7606
980,6872,-15764,-1792,-9985,4625,6229,10040,-13508,3472,2611,-113,7592
1000,7880,-16340,-1584,-9565,7762,3769,8728,-14892,2184,2828,-2067,7110
1020,5896,-17464,-2976,-9834,7852,746,9356,-15792,1836,3074,-775,6051
1040,4064,-16796,-5248,-6052,7385,-3427,8560,-14128,2536,3825,-1317,5217
1060,752,-15844,-7288,576,10697,-10023,7692,-13668,2340,4444,-1614,4712
1080,-872,-13856,-7944,6822,16236,-17181,6628,-12756,1316,5327,-322,2060
