Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,10392,-13584,772,-289,-309,473,13608,-7160,7164,269,-267,53
20,10364,-13472,568,-328,-209,340,13480,-7296,7296,249,-234,-83
40,10344,-13548,800,-221,-231,306,13356,-7144,7384,292,-357,-146
60,10612,-13528,820,-184,-642,287,13700,-7040,7348,317,-579,-94
80,10896,-13568,608,-238,-434,262,13836,-7168,7256,358,-497,-69
100,10928,-13488,424,-123,-325,373,13848,-7248,7180,327,-183,-21
120,10436,-13544,412,-50,-4,339,13596,-7144,7440,422,-68,-77
140,10296,-13436,724,144,-7,206,13360,-7164,7212,439,-30,-157
160,10320,-13320,1152,6,-89,270,13464,-7104,7376,394,-186,-216
180,10496,-13508,884,-359,-252,198,13516,-7056,7424,337,-387,-232
200,10416,-13732,612,-236,-344,12,13808,-7080,7276,256,-513,-218
220,10532,-13644,300,-78,-160,-18,13620,-7088,7308,242,-322,-249
240,10632,-13320,620,-53,-182,183,13568,-7152,7232,292,-200,-222
260,10312,-13580,456,-8,-113,8,13652,-7000,7136,364,-225,-269
280,10304,-13392,664,38,-219,-166,13284,-7164,7236,368,-324,-376
300,10488,-13216,836,-93,-275,-135,13404,-7088,7064,354,-467,-372
320,10604,-13480,512,-155,-368,-80,13656,-7168,7056,365,-432,-398
340,10624,-13528,432,-203,-316,-12,13732,-7256,7108,355,-371,-383
360,10616,-13768,432,25,-230,-15,13864,-7252,7236,365,-328,-376
380,10712,-13648,504,-33,-204,-91,13828,-7188,7192,337,-246,-358
400,10732,-13576,604,-139,-209,13,13776,-7252,7268,338,-310,-308
420,10848,-13536,608,-82,-300,30,13752,-7192,7296,341,-404,-280
440,10760,-13608,632,-302,-211,75,13756,-7156,7360,295,-375,-196
460,10596,-13400,776,-358,-65,90,13704,-7200,7192,296,-319,-192
480,10464,-13520,528,-686,306,48,13552,-7252,7136,338,-242,-212
500,10160,-13632,620,-834,174,-11,13400,-7256,7196,348,-308,-291
520,10528,-13660,756,-1092,91,168,13548,-7192,7392,387,-373,-327
540,10680,-13844,532,-878,33,288,13804,-7076,7548,328,-402,-212
560,10704,-13676,500,-714,-110,287,13740,-7264,7304,255,-227,-141
580,10480,-13692,500,-390,-188,255,13592,-7184,7252,245,-328,-79
600,10456,-13752,280,-236,-195,202,13596,-7272,7252,256,-306,-100
620,10500,-13652,340,-33,-278,203,13708,-7216,7124,286,-351,-110
640,10480,-13428,604,70,-81,193,13560,-7200,7204,299,-189,-100
