Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,14404,-9868,-2728,-102,-40,63,8940,-11568,-6624,356,-247,-217
20,14076,-9876,-2796,-227,-338,175,9016,-11540,-6544,349,-655,-331
40,14340,-9928,-2480,6,-345,39,9624,-11500,-6832,233,-568,-405
60,14316,-9808,-2768,21,-176,-46,9852,-11612,-6836,283,-193,-280
80,14528,-9876,-3044,4,-29,-41,9128,-11548,-6512,336,78,-107
100,14116,-9956,-2764,-83,-153,83,8940,-11504,-6624,425,-377,-236
120,14120,-9856,-2608,31,-419,-7,9124,-11508,-6612,330,-568,-362
140,14428,-9864,-2688,-103,-341,29,9488,-11572,-6916,291,-417,-261
160,14280,-9772,-2692,-119,-87,153,9208,-11452,-6500,396,-198,-88
180,14148,-9760,-2876,-36,-102,118,9308,-11332,-6760,356,-350,-165
200,14180,-9812,-2672,-108,-103,59,9160,-11528,-6676,245,-338,-294
220,14280,-9916,-2720,-141,-204,58,9320,-11528,-6616,221,-269,-229
240,14264,-9920,-2884,-164,-6,94,9184,-11568,-6704,303,-145,-142
260,14068,-10052,-2700,-120,-112,85,8980,-11584,-6844,338,-324,-229
280,14112,-9964,-2780,-158,-455,35,9048,-11548,-6628,314,-527,-360
300,14292,-9808,-2704,-76,-544,-21,9672,-11460,-6792,226,-481,-324
320,14448,-9808,-2912,-65,-6,63,9584,-11568,-6912,273,-96,-153
340,14392,-9860,-2596,-72,37,55,9024,-11508,-6564,298,-25,-87
360,14020,-9940,-2796,-166,-426,30,9044,-11528,-6640,253,-359,-157
380,14240,-9820,-2952,-222,-163,115,9440,-11420,-6868,247,-408,-279
400,14356,-10004,-3176,-133,203,82,9196,-11600,-6788,328,-85,-228
420,14024,-10108,-2724,-105,-104,64,8940,-11512,-6528,432,-257,-221
440,14012,-10092,-2632,-96,-693,-1,8916,-11532,-6528,328,-650,-354
460,14168,-9788,-2860,-7,-747,-37,9512,-11440,-6812,231,-607,-373
480,14420,-9768,-2832,-93,-256,54,9408,-11488,-6760,199,-301,-240
500,14368,-9984,-2884,-180,-215,131,9156,-11700,-6752,294,-191,-171
520,14172,-10072,-2688,-109,-417,87,9012,-11688,-6592,327,-466,-230
540,14148,-9896,-2900,-19,-525,-17,9376,-11512,-6712,251,-475,-323
560,14220,-9948,-2912,44,-197,-30,9096,-11548,-6696,374,-366,-332
580,13956,-9968,-2708,24,-223,-4,9356,-11632,-6740,427,-472,-358
600,14304,-9844,-2652,-181,-322,-22,9456,-11504,-6740,339,-370,-398
620,14376,-9880,-2716,-26,-249,-66,9204,-11588,-6824,228,-188,-305
640,14304,-10032,-2744,-13,-338,-108,9268,-11684,-6656,224,-88,-138
660,14340,-9952,-3344,-2,-92,116,8868,-11664,-6548,363,-283,-143
680,14120,-9984,-2776,-157,-176,146,9448,-11560,-6884,259,-490,-322
700,14380,-9996,-2696,-53,-180,-14,9136,-11448,-6664,180,-378,-344
720,14104,-10004,-2628,122,-557,-101,9172,-11628,-6784,446,-340,-193
740,14036,-10020,-2816,21,-743,-176,9036,-11444,-6680,352,-526,-284
760,14056,-10024,-2800,118,-940,-176,8844,-11596,-6516,158,-793,-494
780,14660,-10564,-2444,908,-1424,-265,9184,-11888,-6828,307,-900,-647
800,15664,-11060,-612,3172,-2745,-633,9892,-11484,-6920,507,111,-706
820,15348,-9956,832,2774,-6120,-351,11472,-11204,-6576,-230,2360,181
840,15584,-9684,-784,3802,-7018,-763,11796,-10868,-6244,-1273,4280,1485
860,15396,-9984,-940,8427,-8850,-3201,12760,-11000,-6680,-2399,7239,2619
880,18428,-10324,-72,18263,-12359,-6603,14804,-11568,-8020,-2316,13167,3365
900,23872,-2256,5728,12820,-10852,-3746,11148,-11836,-4776,-1744,11591,5215
920,29020,-2024,3004,-10479,2451,5207,15488,-11684,-3144,-2011,6644,6088
940,27852,-5212,-1728,-16308,18403,9990,14140,-11904,-3296,-4503,4842,10239
960,21788,-5880,-3548,-15759,27006,11854,15080,-13356,-5556,-3793,11878,13681
