Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,8736,1820,15644,-214,27,-594,4920,1552,15224,-596,17,-160
20,8728,1940,15692,-273,-33,-548,5020,1564,15196,-604,51,-192
40,8792,1856,15732,-314,-37,-535,5076,1580,15020,-587,3,-186
60,8768,1744,15688,-277,74,-500,5004,1420,15256,-527,0,-148
80,8560,1636,15748,-180,73,-473,4852,1516,15184,-482,93,-138
100,8704,1884,15860,-217,14,-509,4928,1516,15116,-544,102,-169
120,8768,1792,15644,-245,-37,-537,4980,1468,15016,-539,110,-191
140,8752,1820,15672,-292,-22,-565,5052,1480,15180,-605,-2,-200
160,8652,1824,15732,-259,31,-498,4940,1508,15116,-536,66,-169
180,8652,1696,15712,-276,28,-500,4960,1472,15176,-497,91,-158
200,8712,1732,15576,-189,45,-486,5012,1432,15224,-514,145,-131
220,8696,1724,15680,-191,14,-539,4960,1588,15104,-522,82,-185
240,8740,1856,15788,-218,-50,-546,4904,1504,15088,-605,-14,-175
260,8696,1860,15664,-314,-109,-563,5032,1408,15212,-637,-124,-223
280,8916,1860,15596,-245,125,-499,4952,1488,15196,-539,70,-153
300,8656,1824,15680,-317,19,-550,4808,1524,15340,-552,19,-179
320,8828,1832,15780,-236,-12,-555,4856,1528,15164,-559,34,-178
340,8672,1832,15768,-342,-152,-591,4880,1504,15096,-683,-156,-233
360,8708,1820,15556,-361,-235,-558,4820,1552,15316,-754,-319,-218
380,8672,1956,15816,-337,-291,-618,5044,1476,15204,-752,-446,-254
400,8908,2136,15540,-113,-204,-525,5880,2500,15204,-532,-63,-585
420,8716,1640,15592,-232,-35,-595,5076,1472,15252,-534,-56,-210
440,8784,1784,15668,-260,4,-615,5144,1612,14948,-572,-125,-234
460,8864,1900,15728,-257,110,-522,5016,1416,15196,-556,-54,-188
480,8796,1808,15980,-261,42,-478,4892,1504,15248,-502,93,-128
500,8716,1852,15776,-270,27,-505,4924,1492,15132,-471,159,-163
520,8924,1720,15600,-288,15,-586,5144,1452,15204,-540,41,-200
540,8796,1780,15616,-259,71,-531,4920,1496,15064,-578,13,-223
560,8616,1780,15864,-312,-39,-596,4816,1532,15372,-667,-81,-223
580,8636,1832,15804,-310,-204,-664,4936,1604,15460,-694,-139,-253
600,8764,1756,15716,-187,-297,-600,5016,1440,15204,-679,-410,-205
620,9096,1900,15612,24,-631,-627,4968,1492,15184,-775,-750,-264
640,8688,2020,15928,-29,-656,-708,4988,1740,15556,-957,-881,-134
660,8204,1540,16272,458,-1447,-326,3616,1064,15812,-799,-1278,30
680,8592,1824,16808,857,-3070,277,4572,1688,15796,-905,-1633,-438
700,9240,2472,16844,2020,-6392,1243,5272,2272,17128,-146,-2438,568
720,10280,3184,18632,3020,-10046,2413,5876,2772,17404,-460,-1905,1041
740,10636,3800,18120,2051,-15122,2748,6180,3564,17408,-2205,-3741,997
760,16212,5432,22752,-7,-16832,3806,7776,4132,19040,-4917,-5250,1220
780,16920,5948,22128,-6750,-13369,6150,8540,4400,19196,-8692,-6946,1143
800,16272,4464,20596,-11565,-11938,8291,8524,3212,19112,-12321,-6853,1377
820,14660,3568,17472,-13875,-14750,10171,8060,2468,18120,-14548,-9277,1370
840,14068,2360,15256,-15813,-14434,10915,8368,1416,15836,-16757,-10560,2011
860,14636,2424,12820,-16868,-14430,11874,9144,916,14472,-17678,-11267,2492
880,13824,1704,10696,-17350,-10862,12600,9464,288,12948,-18139,-9417,2919
