Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,5152,2860,14152,-30,-179,-21,1264,852,17500,356,-244,-272
20,5292,2904,13952,-81,-210,18,1412,964,17500,323,-274,-300
40,5228,2880,14108,-98,-217,-16,1484,976,17404,322,-304,-305
60,5280,2876,14216,-46,-213,-36,1364,968,17552,296,-300,-306
80,5276,2932,14008,-23,-172,7,1388,988,17524,341,-325,-294
100,5336,2940,14000,-102,-263,17,1456,976,17444,353,-302,-276
120,5312,2888,14108,-92,-232,-25,1332,1048,17456,338,-267,-296
140,5388,2928,13972,9,-168,3,1352,944,17420,335,-294,-310
160,5260,2820,14068,-50,-177,31,1464,912,17552,370,-282,-248
180,5264,2828,13960,-170,-232,33,1400,1016,17488,396,-261,-273
200,5288,2784,14084,-45,-199,13,1376,1012,17316,323,-308,-307
220,5428,2856,13992,-26,-182,-23,1412,1020,17496,331,-274,-321
240,5368,2956,14128,-75,-227,-5,1388,948,17340,285,-277,-324
260,5316,2856,14272,-103,-279,47,1420,956,17476,310,-242,-319
280,5256,2812,14124,-68,-205,53,1348,1016,17424,332,-277,-307
300,5268,2868,13980,37,-211,21,1384,956,17648,352,-350,-296
320,5504,3008,14160,146,-363,71,1276,1080,17728,570,-348,-212
340,5180,3056,14464,516,-856,504,-112,924,17940,843,-1278,-203
360,5976,3720,16472,1790,-2901,1219,1264,1316,18792,1154,-2132,223
380,5868,5784,17936,2335,-7199,3371,784,3332,19604,527,-2273,983
400,6236,8728,17144,1886,-11768,5976,2396,5832,20468,-645,-3020,2001
420,9232,9296,17292,-610,-16907,9596,6200,6836,19176,-3180,-4449,3286
440,15316,11516,17360,-7413,-11337,15118,5940,5676,19316,-5631,-3075,5295
460,10132,6880,17752,-9357,-7269,15494,3936,4744,22644,-9082,-6825,5815
480,11476,6112,19580,-12046,-16470,15582,4956,3268,21424,-10688,-8532,6737
500,11144,6144,15880,-15403,-19246,16660,4852,3704,18820,-12336,-10972,7016
520,12400,6540,13152,-18411,-19273,17291,7180,32,17800,-14188,-15275,6863
540,14096,2652,13592,-18469,-19216,18868,7044,632,18912,-14680,-12199,8460
560,14568,744,12872,-18738,-16933,21139,6304,-920,18168,-15499,-9859,9520
580,11872,-360,11144,-19758,-14745,22963,5660,-2492,16456,-15923,-8505,9698
600,11248,-2624,9612,-19587,-12421,22704,5020,-2880,17024,-15737,-8411,9672
620,10108,-4044,8736,-18725,-11316,21893,5276,-4492,15428,-15499,-7776,9657
640,9208,-4988,7576,-19074,-10185,21293,5384,-5324,13680,-15506,-6716,9543
660,8244,-5832,6544,-20289,-10719,21329,5180,-6052,12860,-14948,-7160,9723
680,8620,-7700,4340,-20510,-8602,21257,4944,-7096,11628,-14507,-3756,9707
700,6928,-9724,2348,-19532,-3610,20852,3292,-8432,11956,-13612,583,9596
720,5288,-10400,2116,-17375,364,21094,2008,-9124,10944,-12457,2566,9345
