Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,8468,3864,12384,-122,-175,23,7404,2600,15528,344,-298,-259
20,8408,3884,12424,-65,-239,25,7328,2464,15660,348,-294,-285
40,8592,3928,12396,-48,-239,-11,7380,2408,15444,343,-316,-251
60,8492,3956,12536,-96,-177,-24,7400,2580,15576,351,-297,-314
80,8556,4100,12480,-199,-225,-11,7352,2608,15516,376,-320,-311
100,8524,3940,12336,-92,-226,4,7352,2448,15720,348,-287,-298
120,8464,3872,12404,-64,-214,-27,7388,2552,15644,339,-300,-308
140,8552,3844,12444,-110,-163,7,7508,2496,15548,367,-284,-296
160,8548,3952,12320,-164,-199,48,7448,2580,15684,333,-245,-255
180,8460,4024,12560,-75,-189,34,7484,2608,15640,357,-263,-255
200,8592,3900,12376,17,-175,-8,7316,2612,15696,350,-277,-233
220,8580,3924,12388,-118,-243,19,7340,2680,15736,312,-326,-251
240,8460,3816,12428,-139,-250,33,7412,2516,15644,333,-340,-247
260,8452,3980,12344,-50,-236,-29,7408,2492,15788,347,-327,-269
280,8460,3980,12424,-31,-228,-17,7448,2620,15612,355,-282,-306
300,8380,4060,12480,-132,-272,60,7528,2548,15736,326,-294,-307
320,8612,4080,12536,-135,-433,100,7468,2692,15584,239,-461,-344
340,8680,3868,12600,50,-617,140,7472,2484,15828,128,-527,-332
360,8516,3940,12724,627,-884,384,7128,2856,16184,-111,-422,-170
380,8820,4860,12764,1066,-1638,954,5880,3104,16536,696,-849,245
400,8424,5456,13404,1067,-3549,3192,6328,3780,16756,439,-929,1167
420,8600,4816,15596,2114,-8614,5937,7280,4184,18256,237,-1053,2258
440,13276,8160,16232,2769,-13790,8117,7320,6764,18644,-298,-3861,3847
460,18628,10152,16288,714,-20288,14273,9656,6292,18048,-1537,-9744,7733
480,17376,8104,15732,-4617,-15728,18012,12632,5436,17092,-4671,-10009,10792
500,17104,6692,13352,-6425,-16318,19378,13688,4220,17628,-6305,-11879,12385
520,17252,7480,10380,-5447,-16918,19498,15448,5164,16128,-7652,-11538,13481
540,20032,5892,7716,-3186,-15925,19514,15292,4820,15392,-8873,-10930,15520
560,19128,4084,5672,464,-15740,21992,13708,1768,13520,-8341,-11534,17936
580,19668,2884,5716,1906,-16248,25372,15724,-440,11916,-7130,-12489,19912
600,19964,1932,4660,1644,-13495,27085,15004,-1660,11232,-6533,-10335,21966
620,19384,436,4932,1280,-11415,30234,14324,-3312,10724,-5277,-7924,23943
640,16300,-1368,5356,-77,-8493,32054,12796,-4384,10312,-4069,-5775,25155
660,14896,-2380,4152,-754,-5050,32767,11956,-5532,10160,-3198,-1686,25263
680,15192,-3456,4868,-2479,2213,32767,11544,-5788,10992,-2748,3845,24834
700,10352,-6600,4636,-1668,7537,32767,8696,-7468,10828,-2347,6174,24458
720,7636,-7236,6144,724,5181,30622,6644,-7472,11876,-1350,5187,24293
740,6040,-7920,6220,1569,3263,28801,4212,-8240,11592,-616,2612,24284
760,4424,-8588,8052,1320,479,27825,3144,-8468,11812,-96,615,23807
780,2904,-9936,8408,225,858,25816,1632,-9580,12352,159,1014,22438
800,512,-11812,6900,474,1127,22597,1196,-10444,12508,1070,1459,20149
820,-196,-13068,5748,3435,599,18154,1104,-10764,12256,2460,1648,17846
840,1732,-12852,6452,5055,-118,14539,1288,-10540,12168,3848,1200,16153
860,3388,-13136,6856,7430,-2109,12798,2872,-10724,13080,4762,208,15292
880,6688,-12708,6772,10064,-2873,11655,4816,-10196,13424,5482,105,14832
900,7660,-12276,6512,13263,-3839,11624,4976,-9388,13336,5968,4,14981
920,6912,-11152,6944,14961,-4321,10640,4848,-9240,13152,6312,-220,14859
940,5012,-10056,7024,15968,-4452,8481,2828,-9144,11900,6965,-439,14158
960,4088,-8668,7728,15123,-6473,9596,820,-8128,11396,7982,-2957,13955
980,4836,-8420,8036,15451,-7019,8683,3272,-6768,13228,8713,-3702,12797
1000,4036,-8940,8556,18066,-4842,5282,3012,-6184,14508,9300,-2427,10859
1020,1840,-8672,8928,22725,-4858,118,316,-5716,14660,9771,-3590,8305
1040,-1680,-7064,9396,27490,-7589,-6606,-796,-5088,14320,10095,-5399,5072
1060,-1312,-3060,4568,27777,-5245,-14417,124,-4880,11136,11585,-5357,1087
1080,-1616,-1176,6056,28225,-1792,-16717,-2088,-4436,8884,13947,-4541,-1687
1100,332,524,9252,24950,-2892,-18778,-732,-1812,10904,15946,-4646,-4746
1120,2996,2596,9328,24021,-5314,-21997,2364,604,13728,16693,-5184,-6814
1140,6396,5648,11352,22567,-7146,-25598,4000,1924,14072,15741,-4065,-8889
1160,9792,8340,8952,23727,-2579,-23605,6596,4080,13380,15749,-2894,-9940
1180,9708,12704,13280,19240,-4788,-18152,7240,5312,14300,13653,-2238,-10158
1200,12900,15360,14568,13011,-8005,-13857,6188,5896,16776,10961,-4786,-9919
1220,13416,15076,15300,7394,-8353,-9176,8576,4972,18352,7351,-8509,-8181
1240,11524,13664,15084,5317,-13611,-4270,6284,6156,18400,4343,-11596,-7542
1260,13868,12140,16912,-723,-18493,1290,6756,3448,17680,794,-13346,-6702
1280,14488,9572,17784,-8082,-18155,7913,9836,1188,18456,-1994,-15372,-7820
1300,14456,6160,15768,-12097,-17963,6016,12472,376,23040,-5519,-14251,-7903
1320,16196,4264,15296,-9880,-15197,2171,11240,-2024,23952,-7295,-13836,-10127
1340,18836,3200,16956,-13949,-11826,829,12016,-3640,21704,-10092,-11289,-10293
1360,18124,2232,18784,-19511,-5594,92,13368,-3796,20980,-14145,-2998,-9988
1380,14468,-1552,16220,-21136,-3224,-1910,10284,-5560,23512,-16192,11,-9330
1400,16732,-976,16316,-21753,-1174,-3213,9580,-7260,19936,-17776,2834,-9127
1420,14284,-1360,15920,-24941,1376,-3179,9492,-7280,17996,-19064,6243,-10053
1440,16024,-1296,12936,-27520,4273,-3030,9584,-7080,16912,-20436,8859,-10611
1460,15000,-3120,9132,-28568,10087,-3311,8524,-7528,15160,-21189,12241,-10400
1480,12804,-4444,6992,-28443,11711,-2969,7440,-7872,12668,-21218,13417,-9988
1500,11380,-5684,4996,-27345,12549,-2844,7072,-8128,11152,-20399,13712,-9084
1520,11116,-6340,4108,-24259,10622,-3553,7328,-8104,10820,-18685,12190,-8251
1540,13780,-4980,4992,-23475,11131,-2428,7732,-8156,9740,-17789,12755,-7279
1560,11560,-5692,5324,-23940,9698,-771,7272,-8404,9988,-16988,11097,-6239
