Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,1412,1756,17944,-272,12,-541,-2044,168,15600,-546,-14,-192
20,1456,1668,17916,-256,3,-550,-1920,116,15528,-514,9,-165
40,1420,1764,17808,-265,4,-541,-1912,132,15676,-513,32,-181
60,1504,1648,17872,-283,51,-535,-1940,112,15540,-518,82,-205
80,1392,1708,17876,-272,57,-560,-1984,68,15568,-574,62,-197
100,1316,1592,17792,-233,4,-545,-2044,136,15468,-547,-7,-198
120,1360,1712,17912,-224,-28,-558,-1984,192,15524,-518,-22,-205
140,1536,1700,17748,-251,30,-533,-1968,172,15516,-567,-30,-196
160,1504,1900,17812,-279,14,-544,-1912,124,15688,-603,10,-205
180,1440,1688,17752,-284,39,-521,-1980,164,15588,-541,120,-171
200,1424,1672,17836,-261,40,-547,-1980,144,15692,-515,86,-200
220,1272,1664,17764,-240,3,-527,-1960,228,15548,-564,-38,-210
240,1328,1704,17848,-237,-6,-547,-1980,104,15640,-586,-49,-155
260,1452,1672,17816,-251,21,-554,-1976,164,15540,-541,31,-156
280,1392,1764,17848,-273,44,-560,-1972,192,15632,-547,30,-192
300,1428,1728,17768,-283,40,-547,-1976,244,15392,-569,-23,-160
320,1420,1692,17788,-309,35,-541,-2000,232,15512,-593,-38,-104
340,1512,1656,17884,-377,45,-537,-1956,140,15576,-561,-7,-79
360,1328,1652,17880,-444,45,-561,-1992,128,15552,-572,20,-112
380,1292,1648,17844,-431,12,-561,-1976,52,15704,-626,-10,-110
400,1348,1616,17900,-399,42,-541,-1896,120,15612,-654,-12,-131
420,1396,1672,17808,-355,5,-535,-1852,176,15548,-623,23,-135
440,1488,1652,17764,-327,2,-526,-2028,32,15408,-609,26,-199
460,1384,1540,17840,-255,-9,-511,-1936,56,15604,-626,-17,-192
480,1332,1704,17880,-292,-55,-503,-2044,40,15696,-673,-135,-177
500,1480,1680,17868,-273,-21,-514,-2016,196,15632,-596,-84,-221
520,1480,1708,17752,-293,-52,-549,-2028,112,15536,-641,-165,-242
540,1444,1692,17896,-315,-110,-542,-1952,120,15696,-664,-339,-173
560,1464,1572,17892,-275,-149,-492,-1772,128,15620,-387,-472,-155
580,1600,1544,18120,-258,-61,-192,-1504,356,15680,357,-1333,-364
600,1184,1136,18852,478,-303,-244,-1956,120,15360,-35,-2684,-335
620,1288,-1604,21588,6208,-1581,-162,-1856,-844,14928,-438,-3413,22
640,2732,-1204,19984,12563,-599,1495,-252,-396,15368,266,-1902,-35
660,3736,1752,19180,13548,6672,2604,-1356,-1152,16188,437,364,488
680,896,1332,19100,14738,6149,1466,-2220,-1184,15876,1213,1087,436
700,2056,2976,21264,16601,5112,36,-2904,-1564,18320,2071,942,841
720,1580,3744,24316,17181,8538,-1241,-3480,-1424,21864,3763,1964,1138
740,-852,6248,26528,18448,8392,-718,292,-5368,25500,7352,4412,2666
760,-2904,6932,27420,16864,10062,-1283,-7016,24,23112,9249,5678,3136
780,-3588,6852,25180,20591,13871,353,-7304,1156,21424,12279,6821,4578
800,-5344,9320,23332,22698,14993,-574,-8048,2108,21584,14051,8385,6620
820,-5788,10944,20680,21298,17846,-419,-7428,3240,21008,15573,10097,9058
840,-5840,10624,18108,19821,18829,135,-6252,4708,18188,16388,11430,11288
860,-5216,9720,16680,20517,21308,1544,-5628,5508,15800,16969,13285,13674
880,-4284,10500,13464,21094,25479,1377,-5256,6432,13992,16974,16561,15932
900,-4980,10212,10340,20591,29279,858,-5828,7696,12044,16373,19145,17925
920,-5784,9824,7680,19768,29975,1464,-5444,8448,10316,15210,18904,19483
940,-5408,8604,5612,19722,29224,3750,-4496,8636,8272,14260,17400,20587
960,-4232,8828,2648,19036,31990,5956,-3804,9704,6088,12415,18706,21931
980,-5128,9840,76,16626,32767,6803,-4948,10176,5600,10279,20579,23107
1000,-6104,10692,-2440,11756,32767,6134,-5436,10240,4928,6817,20220,23511
1020,-6388,9612,-3336,6335,29888,5951,-4792,9632,4080,3193,18535,23269
1040,-5744,8840,-2312,1871,25720,6662,-3668,8724,3816,-583,16334,22573
1060,-4608,8964,-1900,-2362,25492,7793,-2052,7564,-752,-3181,15556,22314
1080,-4408,7520,-2188,-6620,25773,8337,-2836,8620,2740,-6307,16844,21063
1100,-3888,7336,-2232,-10088,25071,8298,-2600,7448,2812,-9792,16283,20151
1120,-4060,7392,-2080,-14085,20927,9130,-2396,6440,4092,-14128,13516,17944
1140,-3416,6648,-284,-18596,13802,11271,-2248,4580,5960,-17689,6771,15579
1160,-5416,8704,1512,-24049,4829,16212,-1008,3520,10084,-21630,-1944,13889
1180,-6528,10400,1340,-32768,-6981,28320,1948,2348,15988,-24840,-16407,11515
1200,-5304,7800,196,-32768,-21445,32767,4756,3716,19584,-32241,-16742,8924
1220,2472,-4684,-2276,-32768,-23865,32767,-3480,2204,3156,-32768,4499,6632
1240,22948,-10372,12004,-32768,-19603,32767,2256,1416,-5680,-32768,-9357,1893
1260,29772,-13376,27752,-26636,11934,10677,12384,-5704,2364,-31139,9698,-4434
1280,21592,7728,32767,2496,24358,-9021,3976,-3068,32767,-14305,13175,-5955
1300,4736,23380,32767,-470,15169,-9399,-5708,-372,32767,-3660,4703,-7145
1320,-1248,18028,32767,-6315,-3325,-5904,-8624,3876,32760,277,-1984,-7268
1340,5856,13856,27160,3710,-922,-7771,-2316,6396,20152,6455,341,-4126
1360,128,12556,19352,13450,8413,-9314,-5776,6260,17336,9448,3580,-902
1380,-5260,14456,11252,10707,1581,-5033,-5796,6024,18012,9045,-1832,-6
1400,24,10148,8612,5001,-1205,-1160,-2156,5444,11812,6166,-4481,900
1420,2876,9872,7308,1508,247,-2324,-296,4936,11576,3616,-2249,-19
1440,2056,8304,8716,-1362,-3202,-3243,-648,3880,11352,2211,-3986,-1981
1460,3880,7576,10804,-2318,-4982,-4403,844,3556,11416,1328,-3634,-3683
