Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-12544,6932,4376,-384,-482,-189,-11820,10148,5632,206,-774,-268
20,-11924,7300,4600,-238,-309,-106,-10976,10372,5088,155,-356,-437
40,-12292,7076,4580,-53,135,2,-11548,10216,5644,146,280,-581
60,-12952,6784,4720,-215,23,-63,-12116,10052,5968,216,-70,-465
80,-12656,6828,4652,-178,-218,-115,-11824,10180,5716,217,-585,-334
100,-12336,7268,4624,-196,-421,-188,-11436,10256,5132,322,-718,-317
120,-12264,7216,4548,-66,-71,35,-11184,10372,5152,300,83,-427
140,-12692,7056,4672,37,105,42,-12096,10412,5744,357,209,-394
160,-12800,6900,4744,-98,-283,-13,-11968,10188,5720,454,-416,-243
180,-12508,7260,4520,-288,-261,-4,-11276,10232,5300,455,-606,-198
200,-12116,7320,4448,45,-205,112,-11080,10472,5168,457,-307,-318
220,-12604,7256,4644,-8,-31,184,-11944,10236,5468,330,243,-317
240,-12844,6948,4676,104,-310,34,-12076,10208,5768,430,-521,-191
260,-12508,6988,4556,152,-414,-95,-11504,10188,5924,531,-726,-160
280,-12096,7308,4396,-110,-227,96,-11124,10316,4964,552,-334,-281
300,-12272,7372,4664,124,268,317,-11684,10448,5372,502,545,-492
320,-13256,7128,4680,163,89,133,-12584,10188,5676,517,17,-344
340,-12632,6824,4564,-81,-380,-95,-11840,10180,5908,500,-730,-175
360,-12400,7108,4404,-111,-414,-134,-11388,10152,5264,460,-697,-298
380,-12156,7164,4584,-59,-24,48,-11320,10340,5268,292,42,-488
400,-12740,7048,4528,-156,16,-24,-12176,10328,5728,224,-145,-473
420,-13048,6924,4636,-118,-328,-251,-12016,10240,5796,202,-628,-318
440,-12568,7088,4556,-281,-532,-291,-11312,10168,5444,257,-790,-320
460,-11920,7120,4396,-209,-181,7,-11212,10380,5256,210,-162,-460
480,-12648,6944,4976,-208,-77,8,-12124,10248,5840,207,39,-490
500,-13100,7056,4612,-27,-343,-195,-11992,10220,5736,303,-575,-347
520,-12504,7048,4240,-178,-485,-220,-11312,10148,5816,367,-800,-273
540,-12136,7072,4572,-206,-206,-68,-11240,10348,5076,337,-358,-347
560,-12428,7156,4524,-172,-20,-3,-11732,10288,5336,286,-9,-424
580,-12904,6812,4844,-106,-225,-105,-12156,10100,5840,371,-453,-276
600,-12812,6948,4768,-169,-426,-259,-11724,10228,5844,462,-1006,-151
620,-12344,7132,4456,-333,-445,-48,-11348,10308,4984,528,-884,-146
640,-12192,7208,4576,33,22,208,-11260,10236,5340,369,127,-377
660,-12324,6708,6060,-201,335,240,-12060,10304,5572,426,-36,-406
680,-12472,7836,5000,-561,182,196,-12264,10076,5540,502,-648,-179
700,-12556,6692,4628,-125,37,-63,-12316,9888,5956,720,-1076,-154
720,-12864,6844,4636,-222,-350,-361,-12188,9932,5756,852,-1822,32
740,-12892,6732,4492,-358,-543,-450,-11904,9968,5760,1099,-1918,104
760,-12988,6536,4632,-416,-964,-658,-12004,10000,5968,1364,-3065,255
780,-13492,6196,4932,-883,-1411,-809,-12396,9812,6332,1634,-4170,393
800,-14604,6132,6236,-2035,-2783,-72,-12124,9824,7156,1528,-6674,433
820,-17296,6624,8568,-4917,-4882,2900,-11824,9384,5664,1145,-8542,484
840,-16972,4624,9756,-4222,-5383,7312,-13376,9380,6224,2393,-11935,1047
860,-17332,-240,10748,6763,-2026,10125,-15712,9620,9692,3125,-16718,1687
880,-20808,2248,24404,18362,-13466,6804,-15108,10352,11232,4279,-27956,1011
900,-16432,-6568,23076,26635,-32768,-1764,-13112,9584,12572,7870,-32768,-950
920,-19460,-10720,23964,32767,-32768,-7096,-8684,10324,8068,10105,-32768,-4010
940,-32768,-12992,14736,32767,-32768,-6803,-7624,9852,7260,9829,-32768,-7646
960,-32768,-13008,-1848,32767,-32768,-3140,-68,9676,8920,11365,-32768,-13798
980,-22536,932,-25788,32767,-32768,3920,5980,10440,13652,10884,-32768,-17937
1000,-7544,18896,-32044,32767,-32768,10963,-2588,10028,13776,10507,-32768,-18981
1020,1132,19232,-24116,25898,-32768,8738,-3180,11264,10152,8311,-32768,-15824
1040,2228,18936,-17724,12124,-21850,4250,-4436,12896,8568,5935,-18098,-11515
1060,-4448,19168,-12292,444,-12234,2833,-5252,12936,9300,3128,-11197,-7956
1080,-2916,19068,-9084,-13854,-9340,4374,-3184,13080,9208,651,-7045,-5299
1100,1128,13648,-2828,-23694,-2993,4754,-4072,14052,8480,-1514,-2683,-3129
1120,-1668,10476,6564,-8785,-1188,-934,-3764,13884,9092,-3295,-464,-1105
1140,-3320,16844,3436,-4268,1510,-107,-2912,12932,12504,-3345,1083,458
1160,-848,20168,2536,-8777,2674,1655,-1712,14680,13464,-2680,2121,1589
1180,1336,19164,4512,-15415,3533,2608,-1116,16284,12704,-1382,1816,1952
1200,1056,21224,2256,-10058,847,1413,1180,14920,14440,1225,1013,2188
1220,-988,22336,1024,-13872,2804,3540,-600,14020,13512,3269,251,2900
1240,1172,22892,-1380,-24814,2646,4620,-2140,16476,11724,4445,1442,4386
1260,2344,27208,-10348,-32768,7831,8928,-992,16948,10976,5363,2291,5625
1280,1796,24248,-17172,-32768,13135,14445,1364,16720,6580,5024,3552,5916
1300,-64,7608,7720,-32768,19814,11650,-2132,22244,336,395,3267,7041
1320,8608,28368,6704,-32768,17754,2242,-1208,27720,6700,-2702,3078,9761
1340,14272,32767,-32768,-32768,32767,973,1640,20896,14408,-2237,470,8149
1360,-14100,21152,-32768,-32768,32767,12329,14636,17788,-3828,-5439,10523,6116
1380,-32768,-32768,-15260,-32768,32767,23672,-5836,9992,-10788,-27211,23906,9092
1400,28404,24524,-32768,-32768,27458,24520,-4836,-26040,17484,-27449,30579,2711
1420,-18232,-32768,-32768,-32768,32767,-26615,-8452,1588,15836,-23434,6519,6200
1440,-32768,-32768,-19884,-32768,6390,-30230,-18920,-17332,16508,-20817,-15294,3875
1460,-29812,-18372,-27616,-16063,-19627,5997,4884,-8096,32252,-12221,-415,4843
1480,-2596,-32768,-13832,-16972,-11101,1675,-15100,-992,26808,-6512,6670,8673
1500,-6252,-26208,-7048,-209,-6089,-8302,-684,2032,20176,-639,-7852,4633
1520,-8340,-17348,-5104,1338,-6996,3135,6028,5836,13572,811,2489,928
1540,-2868,-15832,-2132,3482,-8402,8382,-64,6048,14996,836,7228,-905
1560,-1512,-15468,592,2400,-4005,5597,-3448,8864,16644,1060,5358,-1209
1580,-5472,-14356,1024,3315,401,-3455,-2652,9848,15984,3556,-3663,-1455
1600,-11744,-13304,100,1095,-1732,-450,2276,10180,12512,3369,-2563,-2372
1620,-8920,-12840,-164,658,-4115,5919,-492,8824,14036,2057,4008,-2047
1640,-2712,-16212,488,1112,-1226,2374,-5268,9140,17408,2006,2111,-745
1660,-5528,-16656,-112,3051,3674,-6830,-3444,9008,16116,2352,-6838,-786
1680,-13584,-15624,-428,4064,-235,-4911,2444,8188,13136,1268,-4718,-1053
1700,-9960,-14244,-1356,4607,-3369,1702,-576,7548,15376,780,842,-705
1720,-7332,-14276,-1540,4813,-3560,2082,-1128,7112,16508,717,1573,-526
1740,-7460,-16684,-1252,4879,-2957,2701,-868,6588,16436,1012,2672,-864
