Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-9648,4508,9916,401,480,565,-8368,4128,14064,224,-251,-146
20,-9900,5116,8980,-807,-55,678,-8764,4000,14644,256,-332,-254
40,-11432,5804,8872,-3317,-240,1554,-9316,4264,14544,461,989,-264
60,-10624,4684,10056,-6469,-149,2364,-9344,4308,14020,530,455,69
80,-10044,3100,11468,-5885,541,2718,-9104,4420,13612,567,698,10
100,-8944,3240,11448,-1108,1675,2244,-8768,4516,13732,343,469,-70
120,-7724,4752,9304,1096,2386,1305,-7700,4380,14064,412,386,-297
140,-7668,3868,10776,2536,2299,-1042,-8792,4428,13996,360,184,-618
160,-10648,4260,10040,2999,49,-2395,-8536,4484,13328,139,-82,-799
180,-11188,4308,10376,1702,-206,-1081,-9320,4108,14048,133,616,-624
200,-11596,4952,9656,1289,-499,-654,-9688,4108,14236,279,180,-491
220,-11592,5116,9524,154,-765,381,-9416,4004,14672,596,-443,-315
240,-10024,5160,9172,-531,-1153,269,-9192,4280,13992,690,-945,-168
260,-9128,4552,9500,-1181,-980,129,-8460,4560,13312,618,138,-265
280,-8976,4172,10144,189,-231,-476,-8740,4400,13552,410,10,-348
300,-10888,4568,9808,549,-86,-438,-9028,4092,14004,438,181,-417
320,-11240,4464,10312,425,-578,291,-9784,4004,14540,664,-115,-283
340,-10660,4656,10280,235,-746,426,-9484,4052,14712,929,-831,-291
360,-9976,4580,10476,528,-749,467,-9072,4328,14148,1137,-1061,-374
380,-9980,4312,10740,1570,-603,40,-9380,4452,14228,1255,-240,-272
400,-10560,4376,10788,1977,-956,-63,-9152,4384,14040,1311,-948,-245
420,-9876,4680,10588,2947,-763,45,-9028,4468,14392,1287,-1010,-225
440,-9248,5472,9220,2186,-1035,-145,-8484,4708,14672,1378,-874,-290
460,-9708,5868,9016,268,-364,96,-8640,4644,14588,1597,-195,-332
480,-10712,4568,10868,229,-430,206,-9404,4944,13744,1442,28,-146
500,-10444,4932,10512,1314,-1163,367,-9180,4908,14052,1204,-617,108
520,-9804,5144,9696,1207,-1511,402,-8820,4736,13932,1143,-649,388
540,-9724,5264,9344,312,-1288,782,-8368,4720,13780,1112,-409,466
560,-9852,5100,9340,191,-1266,835,-9148,4304,14040,1031,-481,521
580,-10792,5164,9648,-324,-1617,899,-9200,4576,13768,962,-933,548
600,-10888,4960,9804,-614,-2499,1091,-9516,4296,14064,934,-1883,767
620,-10344,5044,9960,-1569,-3302,1325,-9080,4364,14140,948,-2474,661
640,-9420,3964,11480,-956,-4070,799,-8852,4468,13716,1019,-2619,466
660,-9236,4560,10816,-576,-4829,304,-8612,4692,14040,1133,-3299,89
680,-9216,4552,11408,-25,-4820,474,-8704,4772,14952,1491,-3263,-150
700,-10312,4228,13592,848,-6841,-776,-9416,4868,15480,1912,-4900,-323
720,-9968,2948,16084,2325,-12581,-2528,-8868,5504,14792,2316,-8549,-820
740,-7620,2144,16700,8042,-16789,-4320,-6148,5892,13916,2652,-10888,-1180
760,-4680,4512,13036,13092,-13384,-3363,-3904,6596,14032,3488,-7575,-1330
780,-3912,5576,12880,16571,-11836,-4019,-4544,7400,14064,3663,-5570,-1213
800,-3536,6288,12548,18389,-13514,-6406,-6132,4960,15228,1702,-9187,-68
820,-5756,10304,9668,22758,-12716,-5199,-2084,9244,15076,3657,-10735,-961
840,-6400,14348,6532,22855,-11859,-2882,-4596,10012,16872,4858,-9491,-420
860,-4756,14648,3844,19902,-13368,-2464,-5768,11268,15704,5154,-8860,1965
880,-3584,14636,1768,17363,-13748,-2536,-4660,12384,11868,4787,-7189,3574
900,-4412,15948,-100,15736,-5211,-615,-6476,10828,15128,4440,-4162,5814
920,-10188,17372,3636,12576,580,-872,-9192,10804,17640,4819,-4062,7738
940,-15748,15332,11988,13231,4141,4217,-7196,12372,14436,5497,-1349,9845
960,-12756,15252,10084,9901,6914,9015,-7992,11644,13376,5355,2997,12433
980,-4308,14620,688,2764,10108,10330,-4760,11284,12192,4418,5561,13809
1000,304,9596,-784,5820,15532,7578,-2216,11584,10196,2057,10314,13770
1020,-3380,13796,-3428,2858,12659,5752,-3660,10960,11052,-1122,9886,11726
1040,-604,11968,-6436,-5809,8570,5525,-3840,9516,10516,-4400,6151,9311
1060,16,10380,-10276,-20892,11408,1980,-2284,9532,8888,-8299,8751,7447
1080,-5440,4460,-10564,-32768,11275,925,-5412,7756,9280,-12505,8527,5221
1100,-11684,-1608,-1424,-32768,14225,2740,-8540,4140,7052,-17266,7253,4549
1120,-24024,-5600,10880,-32732,11463,7806,-14660,-824,8264,-21632,1493,5707
1140,-24000,-7676,10468,-30698,-551,11895,-19336,-7400,16028,-22020,-5591,9592
1160,-24088,-7512,13960,-29478,-1006,11680,-18840,-11364,21920,-17930,-11009,13969
1180,-30492,-6648,18144,-31835,8486,15491,-14152,-11040,20652,-12298,-9546,17567
1200,-29796,-4600,19924,-32768,25710,28694,-8776,-9304,16392,-7425,-1179,20018
1220,-21808,-11756,29908,-32768,27859,31406,-10180,-5928,16384,-4460,9374,21311
1240,-18832,-4256,28848,-28408,13605,31846,-9772,-3360,17184,-2480,13468,19923
1260,-44,-6212,16988,-32768,-5360,23980,-4240,868,20680,280,12323,17964
1280,664,-9332,18308,-32768,-17698,19208,1892,6000,20672,5359,8374,9811
1300,9372,-5412,17792,-17038,-2389,22225,4508,6892,17000,6624,17128,7085
1320,9024,-4308,18632,-5569,3932,14112,-1408,9116,19428,6362,13706,3565
1340,6020,-2108,15780,-3085,1888,5037,412,8664,18532,6013,6752,332
1360,3964,-3428,16624,646,2165,145,2308,7460,18728,6513,2940,-2129
1380,272,-796,13632,-8,1278,-297,1476,8016,16712,5810,712,-3720
1400,-600,-1732,13284,145,-42,-2296,-1276,7060,15992,4039,-1312,-4380
1420,-4828,-504,13080,27,-54,-2714,-3452,6568,16272,2502,-2356,-3710
1440,-7044,1856,12376,-1087,-968,-3403,-5628,7460,15900,348,-5492,-2749
1460,-6668,2840,11692,-3735,-2254,-3830,-5116,7404,15356,-28,-2559,-1737
1480,-6924,844,14064,-3625,-1409,-2250,-5924,7400,14152,-953,-4226,-1396
1500,-6964,1264,13520,-2730,-1795,-2460,-6040,7312,14860,-1449,-3408,-1024
1520,-6768,1396,13388,-4081,-3169,-3188,-7096,6924,15496,-1239,-4946,-810
1540,-7648,956,14492,-3900,-2375,-3169,-6428,7040,14632,-657,-4692,-472
1560,-7844,1688,13356,-2931,-715,-1036,-5936,7208,14368,95,-2140,-14
1580,-7020,308,14392,-1487,519,999,-6124,7592,13004,796,225,-162
1600,-5544,48,13852,837,938,977,-6416,7392,13300,1081,958,-718
1620,-4568,-176,13016,1863,-195,-768,-5556,6464,13824,1245,1148,-1205
1640,-5088,-1032,12688,1364,-674,-2453,-5132,5856,15572,1682,698,-1422
1660,-7316,-1384,13780,463,-758,-2108,-4224,5348,16008,2144,194,-1484
1680,-5944,-2740,14868,1116,-1242,-1191,-4260,5800,15968,2304,-551,-1572
1700,-5640,-3676,15364,3133,-1022,-1736,-4660,5552,16256,2100,-1148,-2168
1720,-7180,-2256,14156,4682,-340,-1534,-4608,4812,16948,2107,-380,-2164
1740,-7600,-676,12592,3412,739,-797,-6204,4688,17860,2329,518,-1998
1760,-8408,-1208,12380,1304,611,-952,-6512,4520,16288,2264,-124,-1882
1780,-7172,-756,12000,953,1494,-568,-5780,4992,14516,2070,844,-1817
1800,-6360,-180,12304,1645,2525,-30,-6296,6052,14024,1315,2065,-1789
1820,-5864,428,12196,1783,2972,-1481,-7564,6156,15276,1089,706,-2390
1840,-6648,-236,13052,1806,2008,-4391,-7460,5872,14920,1349,-1446,-2731
1860,-6176,-608,13408,3444,3125,-5466,-5960,5760,14528,1882,-1445,-3013
1880,-7060,-856,12604,4031,3215,-5539,-5252,5912,13908,2271,-497,-3704
1900,-7616,-1184,12960,4180,2458,-4164,-4908,5616,14112,2812,431,-4817
1920,-6096,-2148,13648,6070,2557,-3886,-6380,5020,14528,3851,1011,-5372
1940,-6616,-2304,13968,7676,2830,-4379,-5596,5484,15036,4560,302,-6710
1960,-5876,-1944,13248,9508,3168,-5080,-5544,5420,14628,5683,-176,-8018
1980,-5572,-2284,13364,13391,4140,-6815,-6348,5176,14132,6214,-469,-8844
2000,-6852,-540,11156,14941,3252,-8182,-6416,5724,13516,6129,799,-9477
2020,-7896,976,10588,13742,4192,-6979,-7220,6304,13480,5573,1972,-10318
2040,-8300,360,11732,13516,3765,-8302,-7400,5672,13912,5895,614,-11042
2060,-8164,2536,9980,13209,5421,-7149,-7924,5928,13796,5807,574,-10866
2080,-8636,2300,10284,12853,6235,-8693,-9540,6284,14264,5555,320,-10721
2100,-9180,4268,7836,7439,3275,-10637,-9924,7456,14360,5210,-3423,-11821
2120,-11932,5136,8552,1792,1105,-9762,-8080,6960,14068,4669,-2912,-11766
2140,-10064,3340,11020,-709,-378,-9987,-9380,6880,14284,4396,-3402,-11295
2160,-11556,2744,11932,792,874,-9577,-8948,7016,13768,4050,-3153,-10945
2180,-12500,1568,14232,4726,1531,-8733,-9204,6872,13748,3935,-2542,-10406
2200,-11388,2408,12488,8343,2499,-7549,-9344,7188,13620,3980,-1834,-9863
2220,-11296,2640,11944,10232,1519,-7152,-9544,7408,14012,3853,-3359,-9316
2240,-10280,4340,9632,7723,-1097,-6609,-7768,7424,13368,3573,-4416,-9059
2260,-8664,3864,10160,5563,-246,-4949,-6120,7396,12948,3379,-1907,-8527
2280,-7728,4184,9988,4329,1353,-4028,-7284,6432,13756,3403,1674,-7231
2300,-7392,3956,10236,3688,3337,-3886,-7456,7476,13340,3096,967,-7401
2320,-7592,4044,9964,2770,3682,-4673,-7244,7916,12708,2986,870,-6944
2340,-9312,3436,10920,2374,3305,-4384,-7188,6976,12512,2593,920,-6050
2360,-9960,3152,10964,2314,3132,-3680,-8144,6780,12908,2372,-296,-5626
2380,-11156,3112,11172,3460,751,-4349,-10116,7312,13472,2130,-1598,-5060
2400,-11104,5316,9452,2675,-1166,-4486,-8900,6812,13512,1675,-2363,-4110
2420,-10544,4420,9376,1131,-141,-3378,-8360,6792,13108,1270,-1461,-3340
2440,-9864,3932,9264,-100,722,-2170,-8160,6340,13004,814,-995,-2741
2460,-9820,3792,8428,-880,2127,-1199,-7652,6012,13212,429,296,-2153
2480,-10808,2128,11632,-645,4019,-350,-9764,5984,13048,85,725,-1477
