Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16988,-2824,760,154,-407,-39,13692,-8116,-3920,380,-385,-286
20,16940,-2808,724,210,-576,3,13700,-8032,-3768,410,-497,-256
40,17088,-2824,676,-79,-333,49,13964,-8044,-3788,373,-323,-280
60,16924,-2864,588,99,-19,38,13712,-8084,-4004,306,-152,-332
80,17040,-2808,476,-46,459,5,14016,-8084,-4328,461,-69,-287
100,16736,-2772,652,67,169,-29,13788,-7888,-3756,451,-47,-271
120,16888,-2944,748,206,-250,45,13368,-7964,-3904,318,-277,-319
140,16820,-2860,588,286,-427,88,13884,-8120,-4308,410,-530,-310
160,16940,-2908,640,255,-617,-24,13908,-7984,-3976,388,-447,-294
180,17132,-2776,476,375,-484,12,13772,-8132,-4144,313,-451,-283
200,17004,-2880,392,36,347,148,13844,-7956,-4052,365,-312,-335
220,16712,-2660,724,-123,10,51,13756,-8084,-3956,341,-209,-315
240,16776,-2872,584,7,-249,-19,13792,-7972,-3800,339,-264,-382
260,17036,-2868,492,104,-82,61,13776,-7948,-4048,263,-244,-342
280,16968,-2872,776,-124,-82,70,13816,-8016,-4084,247,-315,-297
300,16904,-2596,788,-133,-205,-38,13968,-8092,-4036,308,-220,-253
320,16972,-2768,636,-8,-256,-67,13588,-8080,-3996,298,-211,-260
340,16916,-2964,584,-80,54,114,13716,-8012,-3896,290,-317,-356
360,16652,-2804,832,-16,-138,84,13816,-7996,-4036,281,-226,-353
380,16892,-2828,720,16,-526,-70,13912,-7872,-4132,264,-154,-263
400,17148,-2632,692,105,-486,-109,13876,-7960,-4044,207,-16,-202
420,17016,-2832,504,124,-205,-37,13860,-7908,-3952,117,39,-145
440,16764,-2828,416,25,-19,-7,13544,-8044,-4144,155,-7,-183
460,16740,-2772,620,115,-456,-66,13816,-8048,-3868,209,-103,-188
480,16952,-2664,832,339,-759,-54,14084,-7844,-3912,125,111,-123
500,17176,-2496,920,349,-694,-108,14232,-7848,-3968,-29,633,-12
520,17012,-2436,800,566,-524,-323,14468,-7764,-3904,-219,1341,104
540,16980,-2228,1400,1041,-554,-436,14820,-7552,-3620,-643,2537,392
560,16760,-1628,2372,528,-1321,-692,14788,-7444,-3520,-1198,3791,940
580,17372,-1380,2160,-841,-1424,-883,14672,-7272,-3540,-2045,5169,1418
600,18460,-876,2160,-2253,-188,-338,14832,-6988,-3604,-2705,6787,1749
620,19460,-152,2656,-5858,1241,1074,14636,-6944,-4076,-2853,8458,2130
640,20692,-692,2444,-7517,3090,2792,15168,-7028,-4064,-3130,10955,2468
660,21028,540,3720,-8159,2553,7088,14532,-7140,-3532,-2954,12345,2457
680,21252,1872,4276,-15953,194,11874,14188,-7048,-2532,-3079,12610,2391
700,20644,144,4744,-16506,1140,14915,12884,-6816,-2104,-3447,11659,2637
720,18984,-352,2668,-20907,3276,18825,13540,-7608,-1312,-3937,9436,3215
740,17456,-220,1640,-19441,6325,20054,15048,-7864,-532,-4322,10447,2804
760,18220,-1560,152,-18049,11879,19895,14340,-6920,-1032,-5074,14017,1694
780,20104,-264,608,-18034,17353,21405,13816,-8612,-1164,-5486,15961,240
800,16560,-3592,-2048,-14984,24724,21406,13932,-9044,952,-6958,14996,793
820,14428,-6120,-3820,-4371,24699,19339,13184,-6824,1224,-6978,13172,1368
840,13188,-7232,-620,5685,23409,16622,16184,-8408,56,-7486,12876,3735
860,13888,-6840,-1836,-7497,24522,13168,15412,-7788,536,-9987,16149,6507
880,13048,-14024,-5592,-13458,31627,6880,15372,-10412,1032,-9267,17747,7120
900,10812,-17800,-5520,-3973,32767,2456,15568,-10528,928,-8689,18294,6135
920,11548,-15332,-1840,-8191,30550,655,13288,-11888,180,-7265,19468,5301
940,8756,-17332,-1340,-7729,25916,3355,12548,-12404,760,-4411,17765,4582
960,7912,-17084,112,-6431,18836,4768,12272,-12660,1040,-2738,16329,3242
980,6968,-16004,2516,-9101,18089,4002,10936,-13224,2228,-1010,16078,2816
1000,5348,-15292,4296,-9263,16764,3751,10424,-13536,3076,-9,13967,2363
1020,3096,-15908,4996,-8865,13817,2528,9672,-13564,4448,278,10891,1903
1040,1516,-15824,5672,-10015,10605,1486,8768,-13304,4908,816,7512,1399
1060,1604,-15472,5112,-10045,5760,1763,7684,-12880,5380,1338,3289,409
1080,1488,-15676,4704,-8347,2344,964,8212,-12968,5168,1297,-38,495
1100,1528,-16188,3684,-7123,31,-761,9496,-13484,5172,1876,-3116,338
1120,1404,-19344,656,-5361,-1192,-4519,11084,-13436,5032,2921,-5391,-1054
1140,876,-21496,-2536,198,-2400,-9641,10636,-13172,4796,3589,-7345,-2865
1160,2332,-17060,-332,4347,-8473,-10503,9428,-13696,3644,4023,-9096,-2596
1180,4876,-14060,596,9258,-16115,-9435,8732,-12484,3880,5816,-11953,-2989
1200,6512,-16324,-1592,10858,-14038,-13489,11880,-11460,3988,7210,-13451,-4157
1220,5908,-19276,-4908,15276,-8178,-21148,14764,-12524,4404,7356,-13207,-4426
