Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-4008,11392,9132,129,-264,140,-4368,8744,14404,435,-292,-195
20,-3920,11432,8748,273,-132,105,-4524,8776,14200,446,-215,-179
40,-3796,11556,8628,229,-150,83,-4448,8736,14160,443,-321,-227
60,-3724,11416,8884,152,-183,30,-4276,8864,13972,439,-344,-259
80,-3720,11460,8552,21,-251,-83,-4164,8816,14068,340,-359,-387
100,-4000,11496,8600,-86,-231,-171,-4520,8756,14068,384,-240,-445
120,-4224,11432,8936,-55,-390,-250,-4652,8700,14296,369,-490,-502
140,-4176,11404,9084,-137,-385,-126,-4364,8844,14272,386,-456,-456
160,-4008,11416,8772,21,-114,-57,-4564,8828,13932,344,-242,-391
180,-4084,11460,8632,71,14,-64,-4352,8760,14252,338,-214,-367
200,-4072,11632,8640,-155,-184,-6,-4540,8776,14256,380,-274,-312
220,-4072,11452,8660,-493,-340,29,-4500,8804,14244,357,-463,-298
240,-4028,11528,9076,-321,-355,-1,-4336,8876,14108,330,-379,-281
260,-3944,11404,8940,-100,-253,-19,-4400,8844,14108,298,-301,-254
280,-3872,11528,8928,5,-37,22,-4284,8828,14140,285,-232,-251
300,-3992,11548,8768,-144,-68,110,-4444,8768,14272,314,-272,-241
320,-4028,11580,8812,-119,-245,32,-4360,8764,14176,381,-451,-246
340,-3900,11448,8816,-117,-232,33,-4256,8936,14100,354,-286,-256
360,-3860,11336,8848,-98,-192,32,-4368,8796,14096,319,-227,-250
380,-3936,11576,8816,-85,-137,54,-4428,8720,14304,324,-274,-253
400,-4076,11380,9080,-166,-164,49,-4504,8708,14276,400,-346,-254
420,-4072,11316,8976,-50,-308,13,-4504,8704,14132,445,-402,-259
440,-3912,11304,8832,177,-335,61,-4368,8792,14020,385,-257,-219
460,-3844,11636,8484,158,-128,-61,-4472,8912,14084,316,-224,-308
480,-4140,11516,8864,-18,-19,-45,-4480,8724,14200,299,-287,-368
500,-4248,11380,8984,-71,-267,-122,-4544,8716,14312,322,-376,-357
520,-4064,11536,8864,33,-176,-63,-4500,8764,14432,316,-177,-316
540,-4124,11544,9196,209,-278,-56,-4508,8664,14356,343,-355,-296
560,-4056,11256,9584,485,-397,13,-4376,8748,14584,431,-563,-334
