Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-584,-360,17844,-244,49,-529,2160,-3292,15556,-477,41,-103
20,-676,-312,18008,-259,29,-536,2088,-3224,15568,-500,58,-144
40,-656,-316,17964,-238,20,-546,2156,-3248,15604,-600,-24,-139
60,-644,-272,17964,-296,10,-545,2268,-3172,15676,-617,-18,-105
80,-640,-300,17976,-283,37,-540,2188,-3264,15568,-551,19,-82
100,-616,-280,17848,-276,37,-555,2200,-3168,15380,-558,91,-116
120,-640,-316,17924,-284,46,-522,2084,-3148,15536,-553,31,-124
140,-684,-180,17888,-221,19,-513,2140,-3140,15568,-572,13,-127
160,-672,-144,17964,-244,10,-540,2212,-3140,15576,-585,-46,-108
180,-668,-272,17848,-240,12,-524,2232,-3212,15592,-559,16,-115
200,-744,-328,18024,-278,16,-523,2204,-3224,15528,-498,57,-98
220,-616,-252,17928,-255,21,-548,2104,-3192,15552,-528,20,-139
240,-632,-276,17976,-263,-5,-536,2140,-3188,15664,-533,10,-144
260,-764,-364,17876,-241,33,-555,2192,-3228,15508,-569,-32,-121
280,-568,-316,18044,-243,23,-542,2200,-3300,15520,-508,36,-128
300,-628,-452,18004,-235,12,-560,2156,-3236,15532,-511,79,-139
320,-652,-272,18100,-242,29,-556,2260,-3236,15504,-517,41,-148
340,-640,-372,17944,-237,42,-543,2212,-3192,15524,-537,13,-129
360,-632,-340,17960,-273,54,-551,2176,-3200,15488,-535,12,-95
380,-652,-340,18004,-259,57,-550,2180,-3132,15632,-489,78,-119
400,-632,-308,17928,-219,38,-538,2128,-3240,15460,-483,66,-155
420,-712,-340,17900,-237,48,-533,2160,-3140,15564,-511,64,-143
440,-704,-252,18040,-243,39,-533,2196,-3224,15548,-517,37,-133
460,-668,-212,17916,-255,62,-539,2160,-3152,15628,-525,23,-135
480,-684,-288,18032,-219,74,-553,2156,-3180,15664,-496,69,-143
500,-660,-224,17772,-214,92,-552,2176,-3120,15616,-477,103,-143
520,-608,-316,17868,-205,115,-497,2140,-3144,15588,-517,10,-162
540,-588,-296,17920,-250,187,-489,2200,-3196,15788,-524,-21,-182
560,-296,-616,18096,48,608,-400,2104,-3396,15732,-618,-219,-222
580,928,-2188,19756,1930,2931,287,3328,-3168,14944,-1050,294,-20
600,1988,-2352,21192,6277,10939,2826,3864,-4528,15824,-690,2181,1318
620,-1276,-1872,23840,11213,18280,6410,4880,-5840,16272,1779,6294,2114
640,-2116,-1484,24244,13138,29937,12203,4112,-8132,19952,5508,10600,3802
660,-6660,-708,23100,10550,32767,17172,-1032,-10260,23708,11022,14320,7478
680,-17696,-1680,20968,4206,32767,16929,-6228,-5896,23012,14631,28180,13205
700,-27568,1888,22448,3721,32767,22048,-13796,-3188,24868,16390,27880,16072
720,-28404,4292,16356,5093,32767,30422,-11104,332,24980,17600,16620,18177
740,-27064,8280,12980,-2180,30861,32767,-9588,1884,24592,18230,11171,21910
760,-23076,5812,13040,-8189,25239,32767,-8688,3584,20236,18724,6507,26670
780,-18548,4008,13672,-7317,20867,32767,-5840,4744,16320,19562,3208,30181
800,-15920,5668,12136,-5477,17613,32767,3344,6008,13908,17818,18358,32767
820,-7800,3832,8848,-5368,16328,32767,-3440,4884,10340,20101,-12371,32767
840,-3268,4108,4404,-7050,8751,32767,1376,5936,7032,16020,-1452,32767
860,2060,3540,3968,-10203,3413,32767,2840,5720,4920,11935,-6604,32767
880,9392,4108,5844,-11290,2925,32767,8348,5192,3576,7887,-10911,31024
900,12560,4020,7632,-10362,5983,23526,9904,6868,3636,3271,-2965,27630
920,10788,7368,7296,-9951,8344,14031,9688,8116,4964,-378,3134,23221
940,2636,8444,10284,-7051,7855,8054,4016,8540,8552,-4260,4018,20370
960,-3672,10648,11952,-4432,162,3518,128,8500,11804,-6677,-930,18526
980,-5804,11760,10468,-736,-5427,2502,1348,9736,12008,-6918,-2459,17607
1000,-6696,14088,8792,-1837,-961,6750,3944,10324,13228,-6444,1758,18218
1020,-7816,14964,8604,-3450,1631,8633,1244,8828,15496,-5504,1840,19278
1040,-6456,14840,9504,-6601,1311,8969,1536,8240,16252,-4118,-842,18833
1060,-6896,12456,14376,-7426,1791,9486,1720,7152,15892,-2753,-130,18308
1080,-5308,11648,15816,-2629,-2333,7434,1672,6932,15616,-1927,-3382,16461
1100,-2740,12164,17420,1731,-7557,4045,2400,5344,16928,-886,-6498,14396
1120,-1724,13084,12180,7126,-23977,1404,2468,5680,13836,-296,-13800,10315
1140,-784,11724,9476,5858,-22307,4136,8824,6060,11140,1262,-15967,5648
1160,1032,12120,8660,2472,-15055,6727,8568,2136,11068,1688,-14749,5336
1180,320,10172,8684,-1094,-19674,8139,4936,2396,11316,1246,-14739,2802
1200,1572,8876,12744,-5870,-15992,6854,6312,1280,13300,1487,-12627,1245
1220,336,8632,15848,-5706,-15355,2712,6548,1012,13844,1792,-12127,-275
1240,2888,8484,12552,-747,-18712,-1374,8220,1256,11724,1363,-9060,-2394
1260,9752,9432,7584,-2723,-9276,-2463,11400,1884,8012,260,-5045,-3711
1280,8560,5244,5704,-7851,9805,-1220,10192,1892,5232,-3563,5526,-2546
1300,4784,-764,8752,-11103,15211,-10352,6396,44,7188,-6617,14293,-490
1320,-2160,5292,16628,-6702,1843,-9868,5776,-220,11620,-8029,10627,-2444
1340,1916,9008,15076,-6515,-4545,-5140,8140,-1252,15988,-8032,-281,-5362
1360,5056,8616,13428,-12129,-2850,-5168,9940,-416,15700,-8374,821,-5256
1380,3580,6228,15736,-13457,3026,-7073,9392,1228,13384,-8981,7244,-5063
1400,1692,5140,17920,-10532,7214,-8443,5956,1272,14324,-8081,9519,-4704
1420,-3612,5688,19592,-6779,7806,-8941,4572,1828,17244,-6433,7406,-5480
1440,-7848,6668,20608,-3174,3345,-6186,2600,2212,18780,-4637,3380,-5601
1460,-6660,8000,19356,-942,2616,-3502,3516,2784,18956,-2868,1037,-4603
1480,-5132,9192,18072,-570,4841,-837,4948,3060,18128,-1495,755,-3449
1500,-4116,8936,16596,-675,4685,486,4376,3756,16556,-660,1555,-2434
1520,-1972,9200,15320,-319,3883,69,5892,4272,14820,-389,1305,-2369
1540,172,9264,14048,-510,3469,-777,7088,3972,13488,-639,1446,-2518
1560,924,8740,13660,-712,3636,-2081,7180,3940,12956,-1175,2150,-2755
1580,580,8676,13872,-600,3910,-3373,7084,3520,13632,-1696,2136,-3209
1600,-1104,8828,14376,-903,2207,-4927,6348,3452,14568,-2277,2166,-3511
1620,-952,8580,14772,-1805,-868,-5606,6444,2868,14636,-2668,740,-4533
1640,-464,7576,14840,-2334,-1442,-6249,6376,2468,13720,-3003,-68,-5033
1660,-592,6828,15208,-1974,-1109,-6585,6348,1940,13712,-3453,1335,-5484
1680,-732,6284,15244,-1667,-1040,-7012,5748,1468,13940,-3681,1466,-5997
1700,-936,6124,15348,-1207,-1225,-7661,5676,1300,13836,-3915,993,-6563
1720,88,5820,14948,-1397,-1776,-8861,5536,944,14344,-4219,670,-7284
1740,1404,5156,14808,-2140,-1493,-12470,5348,684,13844,-4542,877,-8589
1760,-36,4464,14300,-3276,-2568,-16874,5232,180,14464,-4593,860,-10514
1780,-1132,4660,14280,-7454,-6307,-18148,5476,-168,14832,-5487,162,-12670
1800,-1820,4600,13692,-10071,-10544,-21116,4712,348,14004,-6527,262,-13973
1820,-872,3800,15636,-11716,-22723,-24501,4860,1000,13520,-7273,-466,-15298
1840,-3824,5224,14784,-14313,-32768,-26347,4300,1156,13416,-8165,-1962,-16734
1860,1456,3764,14856,-17921,-22409,-23705,4504,1712,13880,-8970,-3965,-17981
1880,2824,2616,15776,-20296,-22922,-22490,4192,2072,13708,-10005,-3778,-18920
1900,2108,-3120,17072,-18778,-17761,-25129,4176,1360,12692,-11138,-3494,-19505
1920,2888,-2916,19384,-12894,-13034,-26320,3472,1052,12432,-12345,-2845,-19637
1940,356,-3312,19900,-8542,-6538,-26481,2508,-332,15052,-12745,-2821,-19780
1960,-2028,-3184,20300,-6123,-6705,-27216,1412,-132,17084,-12456,-3260,-19616
1980,-1920,-2276,19268,-6038,-8004,-26784,2408,496,17504,-12012,-3134,-19437
2000,-1756,-1908,19028,-7442,-8391,-26357,1828,748,17568,-11664,-2611,-18718
2020,-2124,-2228,19452,-8195,-7365,-25742,2028,672,16924,-11920,-3181,-17996
2040,-1872,-2276,18760,-7421,-6198,-24112,2752,1040,15856,-11993,-1209,-16804
2060,-1804,-1540,18552,-7298,-4257,-22272,2580,1128,15336,-11050,3026,-15679
2080,-2748,-1496,18168,-6844,-2413,-19443,1912,1612,16036,-11527,2516,-14701
2100,-3300,-1260,17496,-7075,-1612,-17237,2060,1060,16404,-11827,4633,-13182
2120,-2868,-1064,17228,-8333,-1157,-15554,1572,904,16336,-11367,5013,-11833
2140,-2944,-1324,17744,-9362,-835,-13747,1276,664,15984,-11059,4273,-10494
