Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1280,5472,16780,-206,17,-422,-4404,2460,14992,-591,-52,73
20,-1128,5520,16756,-305,7,-425,-4340,2536,14900,-622,-76,58
40,-1180,5564,16712,-386,-3,-427,-4344,2544,15000,-721,-11,59
60,-1180,5500,16988,-478,7,-459,-4340,2408,14856,-681,74,24
80,-1392,5428,16888,-452,25,-481,-4372,2400,14772,-634,41,-28
100,-1288,5364,16932,-377,29,-506,-4396,2524,14640,-627,38,-43
120,-1260,5316,16756,-285,30,-526,-4368,2508,14772,-589,-91,-50
140,-1188,5336,16848,-194,19,-539,-4312,2344,14740,-516,-99,-72
160,-1288,5388,16812,-199,39,-575,-4436,2448,14816,-417,68,-97
180,-1280,5324,16804,-187,21,-566,-4384,2452,14668,-401,63,-170
200,-1292,5452,16820,-177,38,-567,-4388,2552,14904,-418,-8,-168
220,-1288,5492,16912,-247,-2,-588,-4396,2436,14784,-491,-44,-213
240,-1216,5416,16828,-342,-5,-566,-4364,2428,14964,-566,-64,-195
260,-1208,5504,16896,-476,-6,-489,-4428,2500,15012,-590,-69,-219
280,-1044,5364,16900,-640,-14,-438,-4240,2536,14868,-645,-63,-156
300,-1296,5572,16876,-695,-21,-372,-4372,2500,14824,-607,-150,-49
320,-1152,5380,16880,-797,17,-370,-4188,2380,14772,-538,-238,37
340,-1100,5404,16796,-579,140,-290,-4076,2292,14580,-345,-61,40
360,-1304,5320,16704,-359,99,-387,-4348,2400,14704,-281,-34,40
380,-1628,5464,16760,-336,39,-528,-4740,2604,14680,-279,-173,26
400,-1480,5556,16836,-468,-100,-565,-4564,2600,15204,-316,-290,-1
420,-1108,5684,17036,-736,-122,-496,-4352,2556,15268,-402,-262,48
440,-1152,5228,17236,-958,-154,-259,-4316,2408,15208,-383,-304,71
460,-1496,4724,17380,152,-312,64,-4212,2620,14228,-281,-633,154
480,-1224,5120,17324,1934,-190,261,-4280,2772,14464,-491,-660,365
500,-2084,5712,16980,1281,244,628,-4772,2180,15776,-523,-904,602
520,-1076,5328,18000,1154,-851,716,-4340,2220,15612,-69,-2117,543
540,-1440,3808,19072,3250,-656,1521,-4368,1692,15024,94,-2056,580
560,-4436,3164,20564,6263,2164,3432,-5268,1312,15512,264,284,1638
580,-3832,3888,22532,11751,3350,4741,-7492,772,17884,1655,1250,3245
600,-2344,7572,19924,10492,8250,4919,-7780,1376,19548,2767,4794,5350
620,-6428,7628,21552,7654,11149,6419,-8172,1572,18960,3432,9535,7701
640,-6752,7512,20068,5608,16157,8732,-8944,1848,18280,3869,12259,10159
660,-7768,7372,19632,4177,18923,12217,-8848,2680,16648,4195,13888,13030
680,-7316,7824,17212,2960,23063,14789,-8332,3864,15048,3602,18867,16471
700,-7764,8084,15876,-166,29588,16080,-8884,4496,13844,2484,25912,19976
720,-7064,8072,13548,-3228,32767,17113,-8960,5244,11736,845,31981,22901
740,-8864,8228,11508,-8609,32767,19148,-8056,6036,10836,-950,32767,25158
760,-12472,8852,14488,-14945,32767,25183,-6864,6912,9784,-3341,32767,26963
780,-11520,9192,7336,-26068,32767,27650,-7840,7868,8420,-5870,32767,27140
800,-11368,6608,6456,-32768,32767,31693,-8712,7744,6312,-7886,32767,26525
820,-11508,-252,-1196,-32768,32767,32767,-8604,8152,3456,-10171,32767,24173
840,-15440,2556,6580,-32768,32767,32767,-10060,9656,444,-13488,32767,20898
860,-15548,-48,8348,-32768,32767,32767,-10972,8824,-2024,-16775,32767,17978
880,-13728,-156,9160,-32768,26037,32767,-12056,7840,-1936,-19500,32767,15345
900,-11412,-152,10572,-32768,21864,32767,-11284,7560,-840,-20939,32767,13191
920,-8692,-740,11008,-32768,22173,32767,-11620,7200,72,-21505,32630,10344
940,-9012,-344,11676,-32768,20623,32577,-12172,6516,24,-20956,29624,7483
960,-9360,-720,13740,-30302,16023,28368,-12164,6264,672,-20244,25597,5453
980,-8260,-1012,15864,-22963,10411,23907,-12736,6420,2900,-18764,19352,4091
1000,-6336,-1388,17752,-15452,7039,18210,-12876,6924,5160,-16539,14335,2945
1020,-6104,-1376,17808,-10462,4888,13363,-12348,6896,6112,-13841,10757,1617
1040,-6180,-564,18340,-5898,4776,9069,-12696,7508,6336,-11143,7949,784
1060,-7516,240,18892,-1157,2997,5079,-14104,7724,6856,-9058,2741,345
1080,-6884,-1712,21228,3120,-897,1088,-13352,7292,8256,-6562,-962,-78
1100,-8484,1388,22072,6969,-948,-3439,-14860,10376,10340,-3637,-4501,-558
1120,-11216,-236,23412,10187,-7927,-4454,-15004,8788,11048,-1320,-9260,306
1140,-8700,-988,23828,15577,-14120,-6636,-15600,8036,10460,2225,-13579,1801
1160,-9480,124,26016,17612,-15553,-9971,-16316,10332,11060,5941,-15526,1862
1180,-8244,-1644,26136,29215,-22836,-15323,-15932,7788,9344,9475,-22847,996
1200,-10072,-1848,24656,32767,-32768,-22436,-18116,7816,7492,11554,-32490,-884
1220,-12416,-1296,21632,32767,-32768,-32768,-18024,9200,4588,14461,-32768,-5124
1240,-14904,-4,13932,32767,-32768,-32768,-13544,10708,-500,15923,-32768,-11963
1260,-16128,2960,1660,32767,-32768,-32768,-4224,13584,-3704,16707,-32768,-22476
1280,-12052,5588,-8132,32767,-32768,-32768,2912,11432,-4732,17249,-32768,-32768
1300,-1012,12096,-10312,32767,-32768,-32768,8868,11372,976,19013,-32768,-32768
1320,6112,20468,-11932,8220,-32768,-26795,9352,9272,10700,12538,-32768,-32768
1340,4964,17392,4360,-20590,-32768,-17786,-988,10276,12308,6342,-32768,-25907
1360,-4164,9888,17320,-25202,-32768,-16053,-6388,8776,11816,2233,-25723,-19911
1380,-2340,2384,18076,-20157,-11939,-11113,-6928,6972,11324,-805,-16658,-14520
1400,-7152,4452,21060,-16652,-10553,-9289,-10664,5856,13268,-1762,-10207,-10804
1420,-4904,5560,21392,-10202,-8032,-7305,-8272,6632,13916,-1758,-7577,-7813
1440,-3948,8520,20156,-4557,-3790,-6771,-6184,7876,14584,-1734,-5262,-5215
1460,-3064,9392,18036,-2564,-1614,-5090,-4904,8656,14604,-1361,-1253,-3611
1480,-2356,9632,16020,-1729,-1197,-3399,-4612,9080,12664,-820,-214,-2942
1500,-2068,9488,15600,-552,-856,-3056,-4296,9404,11844,-806,797,-2372
1520,-1400,9964,14868,1238,-98,-2609,-4036,9480,12484,-974,333,-1725
1540,-660,10716,13764,1245,-607,-2267,-2424,9576,12440,-893,-112,-1167
1560,280,10948,12792,698,314,-1759,-1436,9644,11704,-1147,492,-950
1580,988,11044,12380,-181,565,-1487,-1616,9424,12164,-1124,261,-790
1600,1388,11184,11996,-1604,745,-1192,-1120,9576,12012,-1294,-642,-832
1620,1260,10976,12656,-2082,705,-789,-1180,9504,11832,-1347,-1351,-1143
1640,756,10536,12864,-1864,-396,-868,-1240,9640,11620,-1542,-1918,-1515
1660,816,10700,13108,-1855,-2319,-1499,-1428,9528,12028,-1623,-1852,-2107
1680,816,10700,13416,-2009,-3073,-1938,-1848,9356,12136,-1533,-2300,-2551
1700,1068,10244,13236,-2050,-2655,-2352,-1420,9240,11896,-1736,-1858,-2610
1720,1100,10424,13796,-2082,-1922,-2493,-1820,9028,12472,-1812,-1160,-2718
1740,1160,10520,13632,-2192,-950,-2606,-1504,9056,12604,-1775,-738,-2627
1760,876,10500,13736,-2602,-414,-2576,-1784,8964,12692,-1866,-340,-2672
1780,1004,10456,13576,-2843,-712,-2247,-1532,9072,12544,-1856,-425,-2801
1800,1296,9956,13400,-2898,-1150,-2575,-1380,9004,11964,-2048,-839,-3240
1820,1772,9876,12888,-2417,-1645,-3128,-800,8980,11408,-2365,-1002,-3609
1840,2120,9876,12388,-2004,-1337,-3614,-776,8680,11220,-2706,-1315,-4184
1860,2004,9900,11796,-1897,-1608,-4440,-800,8804,11072,-3243,-2009,-4936
