Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-4840,2976,16744,-281,34,-550,-5640,1212,14496,-485,67,-166
20,-4660,2964,16832,-281,36,-539,-5512,1188,14444,-524,15,-184
40,-4640,3028,16664,-279,-6,-540,-5508,1140,14184,-549,-12,-189
60,-4588,2960,16668,-273,11,-539,-5540,1308,14288,-581,-31,-175
80,-4692,2992,16752,-281,-1,-551,-5592,1248,14432,-582,-22,-177
100,-4696,2896,16772,-304,15,-536,-5604,1160,14316,-555,64,-182
120,-4688,2880,16784,-304,-19,-529,-5640,1272,14408,-531,2,-191
140,-4712,2872,16796,-263,14,-529,-5548,1204,14332,-542,-83,-208
160,-4908,2992,16720,-256,-67,-491,-5516,1292,14480,-579,-196,-184
180,-4472,3036,16700,-350,-130,-468,-5496,1276,14520,-701,-330,-173
200,-4500,2856,16772,-374,-57,-466,-5272,1180,14464,-770,-346,-175
220,-4660,2984,16704,-394,-1,-483,-5560,1148,14496,-769,-305,-189
240,-4792,2992,16692,-375,-2,-459,-5480,1312,14456,-763,-246,-192
260,-4660,3052,16788,-513,-56,-465,-5492,1316,14416,-774,-275,-214
280,-4576,3020,16588,-470,-19,-478,-5408,1320,14560,-778,-352,-255
300,-4568,2940,16852,-479,-35,-499,-5372,1096,14452,-783,-348,-241
320,-4888,2956,17100,-422,-39,-505,-5564,1112,14412,-789,-512,-258
340,-4788,2936,16804,-490,-43,-508,-5536,1060,14408,-811,-660,-275
360,-4644,3028,16816,-560,-91,-410,-5404,1264,14712,-760,-877,-306
380,-4396,2900,16984,-667,67,-407,-5352,1084,14876,-744,-1236,-405
400,-4412,2796,16888,-589,528,-386,-5400,1044,14940,-794,-1879,-715
420,-5000,2592,17612,471,1750,354,-4564,852,14920,-863,-1593,-837
440,-4476,2432,17520,1462,2844,1235,-4096,736,14516,-668,745,-355
460,-4976,2684,17256,1611,4790,1315,-6028,20,14988,-208,1550,177
480,-6232,2388,18000,1723,5517,1100,-6272,300,15404,313,1666,531
500,-9268,1144,19548,2899,5444,1060,-7564,-536,15212,886,-668,637
520,-8244,-2648,19552,4415,6506,-785,-6828,-860,15072,1846,614,2175
540,-10832,2512,21664,6641,2683,2765,-8436,-340,17268,2833,2399,3561
560,-10128,2828,19628,6278,2184,4111,-8864,-4,17692,3981,3648,5557
580,-9932,3792,18380,5268,4948,4750,-8664,1028,17088,4855,6586,7912
600,-10336,4928,17244,3845,12308,5686,-9400,1536,17008,5670,9264,10591
620,-11604,5252,16576,1084,16033,7620,-8940,2188,16464,6333,11384,13172
