Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-13620,3016,5072,-437,-134,297,-14232,6548,6048,361,-102,-147
20,-13784,2980,5352,-109,-231,37,-14048,6524,6052,401,-547,-162
40,-14020,3028,5364,-50,-522,116,-13680,6576,6004,425,-699,-153
60,-13704,3036,5000,114,-175,301,-13476,6720,6240,342,-415,-195
80,-13664,2916,5000,46,43,339,-13580,6624,5980,316,-63,-274
100,-13304,3052,4952,-131,111,75,-14024,6620,6348,411,-181,-274
120,-13992,3112,5256,222,-385,-191,-13920,6552,6112,467,-633,-213
140,-14248,3220,5060,153,-508,240,-13432,6676,5904,417,-425,-153
160,-13656,3192,4984,-108,164,462,-13600,6712,6076,338,-35,-195
180,-13524,3064,5116,-47,306,349,-13828,6600,6156,371,87,-248
200,-13560,3044,5384,171,-123,117,-14028,6648,6104,455,-332,-184
220,-13744,3128,5020,325,-372,-102,-13944,6636,6148,443,-653,-210
240,-13696,3092,4836,-49,-397,-141,-13584,6696,6092,410,-605,-209
260,-13796,2952,5056,-350,-156,-10,-13520,6628,6104,389,-345,-232
280,-14052,2956,5200,61,0,200,-13568,6644,5980,381,-17,-236
300,-14096,3144,5068,-10,289,368,-13948,6564,6096,422,-3,-260
320,-13980,3168,4952,117,-84,281,-14160,6668,6176,436,-146,-161
340,-13748,3028,4788,-172,-315,204,-13828,6724,6252,451,-388,-176
360,-13556,3144,4836,-265,-108,216,-13532,6764,6152,353,-289,-247
380,-13600,3152,5388,-149,-150,106,-13780,6648,6116,406,-185,-282
400,-13608,3204,5544,-18,20,-75,-13852,6608,5996,505,-413,-261
420,-13972,3108,4848,485,-173,-30,-13580,6780,6128,442,-462,-293
440,-14240,3160,4808,272,7,377,-13492,6736,6064,360,-32,-270
460,-13812,3224,4748,-98,485,580,-13832,6612,6144,395,230,-277
480,-13900,3184,5024,-344,197,369,-14020,6504,6108,402,-3,-183
500,-13588,3436,5688,-254,-567,56,-14188,6696,6020,536,-601,-159
520,-13716,3316,5148,354,-584,-233,-13560,6740,6120,562,-816,-156
540,-14236,3184,4512,196,-447,80,-13288,6716,6136,427,-383,-192
560,-13964,3220,4692,-100,229,362,-13596,6704,5896,337,142,-261
580,-13596,3212,5040,-292,371,273,-14044,6740,6160,344,78,-256
600,-13680,3260,5252,-171,-132,14,-14176,6652,6116,397,-428,-155
620,-13896,3264,4872,117,-485,-86,-13536,6800,5972,352,-488,-200
640,-14044,3188,4572,-125,-12,121,-13504,6832,6212,319,-175,-206
660,-13892,3300,4928,-422,48,383,-13612,6744,6112,321,102,-244
680,-13756,3332,5348,-298,-137,292,-14076,6632,6064,358,-48,-210
700,-13584,3228,5520,-59,-165,33,-14052,6796,6140,374,-390,-224
720,-13684,3268,5196,296,-461,-163,-13560,6756,6092,339,-572,-242
740,-13836,3272,4664,-10,-107,-82,-13384,6812,5988,310,-372,-325
760,-13880,3308,4892,-211,83,177,-13616,6668,6088,259,2,-371
780,-13712,3088,5072,-225,119,91,-14248,6700,6232,326,-142,-279
800,-13888,3140,5248,-178,-447,-163,-14068,6588,6068,391,-617,-245
820,-13996,3336,4960,42,-664,-209,-13756,6656,5928,404,-729,-204
840,-14168,3348,4712,-153,-311,45,-13544,6732,5904,350,-355,-191
860,-13956,3444,4564,-359,44,359,-13624,6868,5992,262,53,-175
880,-13656,3220,5244,-250,249,295,-13792,6752,6008,309,-17,-187
900,-13616,3332,5196,-54,-104,16,-14136,6656,6160,330,-410,-193
920,-13932,3308,5000,106,-598,-127,-13672,6728,5940,349,-617,-168
940,-14392,3312,4580,95,-134,103,-13460,6880,5980,257,-271,-109
960,-14328,3364,4988,-306,-516,741,-13568,6752,5852,157,-89,87
980,-14120,3108,5056,-643,617,1074,-13832,6860,5784,109,265,31
1000,-14332,3788,5428,-142,-289,940,-14208,6656,5736,225,-183,221
1020,-14460,3856,6488,-226,-96,1217,-14520,6616,6180,222,-815,553
1040,-15144,3952,6736,684,84,2183,-14072,7100,5404,-58,-827,848
1060,-14820,4816,7164,193,-740,3455,-14640,7344,5432,-383,-1410,1658
1080,-15784,6332,9904,-2906,-1422,5464,-15668,7440,5340,-485,-3484,2466
1100,-14504,6000,12880,-6627,-3409,9946,-15628,8260,4344,-605,-6953,2285
1120,-11428,3444,15424,-9347,-8130,13903,-16672,7076,5112,420,-12613,-764
1140,-11052,2200,14040,-15627,-20805,16451,-15620,8356,4032,1138,-17115,-1799
1160,-9116,-9792,6424,-32768,-32768,9935,-14928,8032,8456,3720,-25291,-5345
