Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-12444,7296,4580,-53,13,81,-10312,9580,9344,287,-83,-345
20,-12440,7428,4316,110,-235,-103,-10172,9328,9448,316,-507,-347
40,-12360,7596,4036,177,-127,-16,-10212,9356,9160,371,-282,-285
60,-12496,7696,4192,66,219,97,-10112,9564,9104,430,-115,-276
80,-12456,7556,4324,-11,81,159,-10200,9512,9504,460,29,-303
100,-12648,7652,4248,119,-48,106,-10280,9572,9360,507,-126,-278
120,-12576,7504,4260,-49,-200,34,-10372,9532,9360,468,-383,-274
140,-12228,7520,4160,-292,-250,70,-10200,9608,9372,407,-281,-246
160,-12180,7484,4176,-45,-49,34,-10172,9560,9252,296,-32,-267
180,-12360,7432,4096,15,41,-7,-10132,9452,9336,255,-49,-301
200,-12412,7472,4288,-94,200,-1,-10408,9408,9372,232,5,-328
220,-12844,7508,4208,37,93,-24,-10472,9440,9316,265,-236,-324
240,-12656,7520,4336,-26,-213,-112,-10436,9444,9252,282,-564,-266
260,-12496,7580,4044,-121,-519,-61,-10032,9500,9228,289,-604,-259
280,-12264,7532,4232,-75,-314,34,-10224,9388,9280,351,-422,-273
300,-12432,7580,4112,-122,-428,-89,-10084,9536,9132,326,-469,-274
320,-12148,7480,4284,-45,-205,-74,-10104,9388,9372,310,-285,-281
340,-12592,7588,4296,-132,-341,-96,-10296,9404,9384,354,-482,-289
360,-12240,7400,4088,-54,-292,-1,-9944,9416,9264,440,-371,-317
380,-12380,7484,4292,49,-114,42,-10080,9340,9428,481,-199,-386
400,-12260,7440,4188,7,94,82,-10184,9408,9256,533,22,-415
420,-12224,7408,4228,43,454,217,-10048,9356,9140,624,342,-427
440,-12032,7276,4384,37,804,366,-9808,9388,9288,686,690,-479
460,-11796,7128,4452,438,1823,379,-9736,9228,9568,840,1255,-586
480,-12104,7232,4576,414,3158,687,-9308,9392,9884,860,2297,-663
500,-12244,7392,4700,-13,4712,1017,-9296,9508,9880,562,3232,-836
520,-12044,7052,5340,-297,6167,1082,-10120,9120,10368,1184,3253,-1133
540,-11920,6664,6316,-1112,6956,1019,-9488,9100,10428,2067,1370,-1862
560,-11980,6224,7740,8,9261,1952,-7960,9164,9716,3077,2137,-2628
580,-12672,5892,9376,1416,10839,3606,-7424,8896,9252,4319,5585,-4268
600,-13376,4572,10392,7274,11696,5951,-8864,8884,9220,5905,7795,-5400
620,-12192,5036,8952,10123,9961,6167,-9696,8404,10028,7551,8187,-5430
640,-13716,4712,7224,12397,10631,5951,-11180,8708,10164,8984,8211,-4958
660,-14568,5140,4872,16352,12915,7557,-11952,9420,8528,10068,9639,-4532
680,-15072,6924,1916,13932,14481,11036,-13024,9836,7440,10555,12058,-3329
700,-13860,7204,-388,16910,14370,13462,-14240,10252,6696,10672,11698,-2181
720,-11692,8360,-1856,14848,12646,14377,-14648,10940,5796,10375,8992,-1299
740,-11284,9636,-5804,12775,10948,13820,-12272,11028,6912,10584,8129,-757
760,-15604,16816,-11912,11401,2841,12030,-12616,9448,7172,10797,4168,-1534
780,-13220,17240,-14256,-476,-2444,12997,-16916,9948,1920,10117,2468,-39
800,-10812,16060,-13424,-7410,1556,15003,-18836,11812,-732,7657,-48,2739
820,-10560,14548,-9608,-8991,2408,15118,-17004,12028,-1024,5137,1458,4764
840,-9976,15044,-8220,-12663,-956,12429,-16232,11352,792,3215,380,5980
860,-8204,13876,-5956,-17052,-5195,7617,-14052,9876,2144,2415,-5427,5517
880,-4592,17884,-7884,-7228,-10833,-2084,-12556,8560,1404,2407,-9792,5284
900,-7208,16756,-6632,-9355,-12234,-4001,-10616,9052,1252,1346,-12553,3451
920,-7868,17360,-8084,-15608,-17441,-7149,-13340,8912,940,-396,-19524,2062
940,-8408,17772,-9080,-24340,-22728,-11990,-17200,9656,1952,-2178,-27625,1920
960,-11352,19252,-9452,-32768,-32030,-21253,-18168,9740,4040,-3986,-32768,2295
980,-8588,16900,-6352,-32768,-32768,-28015,-15164,10300,5244,-5092,-32768,2935
1000,-7800,10648,-1140,-32768,-32768,-29702,-13252,11076,3960,-6310,-32768,4643
1020,-11096,6724,4312,-32768,-32768,-27899,-9876,10984,6300,-6977,-32768,5576
1040,-7464,2848,6784,-32768,-32768,-26005,-6664,11616,7740,-6597,-32768,4531
1060,44,-968,9124,-32768,-32768,-25424,-6040,10040,9724,-5629,-32768,5985
1080,7076,-3536,11156,-32616,-32768,-32768,-4096,10196,8800,-5133,-32768,5443
1100,4200,-4680,12436,-29425,-32768,-32768,3952,10488,7108,-5278,-32768,2385
1120,10436,-5012,11340,-25827,-32768,-32768,9284,10824,4428,-5422,-32768,-1418
1140,14788,-10660,13760,-19472,-31610,-32768,12460,11124,4908,-6645,-32768,-3849
1160,14480,-8256,14632,7683,-29006,-32768,10992,10640,6672,-8838,-32768,-5109
1180,14756,-3080,9952,26535,-31950,-32768,11812,10152,9372,-10551,-32768,-3798
1200,15048,3764,1328,25407,-31879,-32768,8044,11840,8084,-12400,-32768,-4885
1220,14120,-996,11616,11608,-32768,-32768,11648,11444,5808,-14580,-27121,-3303
1240,14884,-7036,12088,32767,-30533,-32768,11120,9384,8956,-16498,-21406,-2261
1260,12424,-1096,12760,32767,-32768,-32768,11540,9532,9596,-17891,-19254,-1616
1280,7760,5976,10160,-907,-20568,-20327,13892,7284,11616,-18152,-14522,-2556
1300,11212,2812,14108,-16245,-15606,-15118,9064,4252,14480,-17782,-13773,-2657
1320,7112,2880,17804,-20428,-12617,-14176,10944,2624,17632,-15675,-8608,-2510
1340,6660,-2588,27432,-16456,-8218,-11124,7616,2432,15432,-14176,-6320,-2943
1360,2004,-2756,25952,-4967,-2640,-7575,9576,904,17580,-12214,-4222,-3410
1380,3636,1952,21292,-4010,-904,-4544,5640,-1788,25532,-7140,-2248,-3037
1400,2492,1040,24140,-4784,1052,-4005,7728,-936,21436,-2063,1020,-2278
1420,2768,868,23388,-438,7664,-1816,7232,1420,17876,1630,4425,-1119
1440,3460,2116,19200,3224,6562,-617,6384,3204,15496,3601,4437,-766
1460,7240,2920,14980,6319,5194,316,8012,5040,13196,3784,2585,-1113
1480,9360,4104,9064,6542,6259,-334,9396,5720,12616,3544,3219,-1072
1500,10300,4840,7544,4526,8833,-63,12096,6432,10888,2946,5578,-1880
1520,10696,4612,8280,5047,13500,-190,10704,6388,11188,2182,9675,-2239
1540,10192,5536,8752,3433,17350,-584,10256,6508,12052,1534,12387,-2184
1560,9580,5912,9684,1465,19315,-848,9176,6556,13196,1001,13112,-2547
1580,6464,4788,12296,3920,21699,264,9036,6616,12608,468,13074,-3170
1600,4932,5600,12416,4214,23961,1568,7896,6372,13828,417,15129,-3099
1620,3888,5956,11840,7468,28046,2379,6972,6724,14140,416,18480,-1446
1640,2292,7260,10344,6307,30546,3674,6924,7136,14820,472,21525,-108
1660,1976,8308,9928,3812,32767,3288,4028,6632,15860,874,24241,680
1680,516,8104,8904,-1959,32767,2421,4252,6732,15636,836,25720,856
1700,-2232,5852,11880,-2905,32767,2811,3284,6812,14108,500,28674,962
1720,-4536,5832,13816,187,32767,4265,1504,6500,14324,555,30465,1315
1740,-5340,6880,11668,-411,32767,5355,208,6236,15812,833,30558,1415
1760,-5176,7556,8068,-2854,32767,6368,-176,6028,15752,1175,32016,1267
1780,-7048,6820,7532,-7662,32767,6085,-1784,6408,14992,924,32767,1595
1800,-9232,4872,8872,-6340,32767,4683,-4424,6372,12544,-28,32767,3068
1820,-11344,5544,9640,-2056,32767,5235,-6236,6800,12556,-1079,32767,3099
1840,-13588,7920,3860,-3727,32767,7048,-8268,6036,14936,-1162,32767,3276
1860,-18408,9148,1796,-12951,32767,9625,-9648,6360,15184,-1547,28809,2683
1880,-15312,5580,5268,-15529,32724,9814,-10160,6224,12912,-1877,25209,3565
1900,-15472,4420,7328,-9031,27867,8221,-12752,6392,11604,-2309,24868,4401
1920,-15768,6652,2568,-6295,26185,7006,-11348,6240,12212,-3073,24019,5045
1940,-16100,8528,-808,-8250,23502,6723,-11100,6436,13000,-3415,21927,4888
1960,-15980,6428,1172,-9886,23036,6779,-11956,6556,12704,-3499,18002,5061
1980,-15788,5744,2512,-8917,22342,5744,-13092,6608,10908,-3516,16948,5600
2000,-16008,6476,1848,-7958,22595,5467,-12696,6796,10028,-3994,16628,5758
2020,-17268,7236,-184,-9271,20716,5943,-11624,6964,9256,-4697,15163,5607
2040,-15976,6560,28,-10174,15665,5436,-13416,6368,9060,-5140,13423,5440
2060,-14484,6344,44,-10397,11605,3875,-13552,6616,9740,-5405,10864,5329
2080,-14036,6524,-276,-10834,9581,2222,-13904,6464,8772,-5527,8072,5069
2100,-13900,6496,44,-9317,9066,2258,-12584,6848,7692,-5925,6847,4777
2120,-13324,6496,-100,-7386,8518,2315,-12312,7128,7404,-6635,7474,4729
2140,-13072,6788,-172,-6535,6612,1381,-12708,6744,8700,-6871,6710,4620
2160,-14444,6012,732,-6400,3052,-917,-14212,6412,9692,-6693,3198,4732
2180,-15284,6724,592,-6870,443,-2359,-12748,6776,9092,-6247,816,5023
2200,-15200,7396,344,-6570,-87,-826,-11000,7320,9332,-5841,923,4666
2220,-14596,6524,1252,-6642,367,2442,-10488,7500,9000,-5765,3980,3958
2240,-14064,5872,2112,-3851,-1041,2867,-12636,6932,10372,-5659,2965,3805
2260,-14136,5740,3048,-2426,-5825,-1055,-13640,7136,9892,-5419,-440,4257
2280,-13192,6776,2472,-1704,-8547,-1465,-11216,7420,9568,-5380,-4211,3927
2300,-11188,6960,784,-2878,-6833,-1874,-10984,6980,9640,-5156,-2553,3351
2320,-12156,6624,32,-3836,-4235,-3367,-11660,6508,10876,-4715,-1451,3091
2340,-13900,6732,1580,-5162,-3786,-3888,-10228,6860,10408,-4146,-1571,3150
2360,-13452,6504,2944,-6136,-3269,-1648,-8996,7108,9468,-3847,-707,2844
2380,-12000,6132,3252,-5028,-74,452,-10404,7456,10588,-3204,2304,2319
2400,-12888,5412,4616,-3763,2141,70,-11900,6600,11116,-2708,1881,1930
2420,-17720,4492,7604,-467,-7865,-2742,-12128,7112,13432,-1235,732,1701
2440,-16320,5400,7800,-1207,-11980,-2523,-11144,7220,12608,106,-5030,1486
2460,-13888,5688,6608,820,-10962,-1803,-10440,7928,11508,1171,-3251,1450
2480,-12764,6664,3748,1743,-6799,-259,-9644,7960,10604,1572,-1213,1024
2500,-12420,7016,1452,997,-4699,-197,-12304,7928,9864,1503,-376,981
2520,-14256,7252,2136,1267,-6911,-2015,-12968,8076,8840,823,-3217,1652
2540,-13920,7648,1816,-55,-10636,-2763,-12064,7976,9160,203,-5619,1714
2560,-12120,7096,2500,-1744,-11460,-2727,-9580,7900,9764,81,-6766,1420
2580,-9780,6048,3968,-3154,-7149,-1843,-7976,7604,10116,387,-3780,856
2600,-10936,4360,6452,-1675,-434,-695,-9260,7196,11072,920,-554,517
2620,-12964,5132,7196,-1822,-2054,-743,-10944,7372,10700,1283,-1610,130
2640,-14236,5548,6528,-1145,-3613,-1177,-11756,7732,11636,1741,-4765,132
2660,-13220,5968,5184,-2042,-5277,-1574,-9952,7700,11180,2332,-5960,300
2680,-11908,5820,4992,-1235,-3339,-826,-8692,7928,9904,2519,-3341,183
2700,-11948,5812,5112,-276,-1679,-24,-8980,8128,9544,2535,-768,-32
2720,-12244,5960,5388,230,-1214,304,-9504,8184,10192,2490,372,-225
2740,-11700,5976,5448,822,-443,660,-9636,8500,10008,2326,1518,-416
2760,-12616,6256,5476,859,459,643,-10720,8764,10272,2143,1433,-400
2780,-13304,6392,5712,731,459,546,-11012,8872,10620,2022,1221,-210
2800,-13620,6212,5860,102,-820,748,-10184,8532,11036,1959,895,-141
2820,-12644,5876,6040,-180,-707,788,-10128,8488,10784,2048,981,-62
2840,-12076,5716,5568,39,-218,780,-10120,8508,10288,1984,1398,-144
2860,-12908,5876,5176,414,65,284,-11596,8548,10216,1737,846,-195
2880,-13408,5948,4956,55,-616,-259,-11048,8348,10240,1708,-107,-107
2900,-12932,5836,5324,-287,-848,21,-10144,8148,9720,1666,-266,-190
2920,-12104,5592,5408,92,-341,457,-10332,8312,9760,1666,321,-371
2940,-12544,5884,5164,208,-97,421,-10408,8276,9604,1623,221,-595
2960,-13384,6012,4796,-59,-495,520,-10880,8400,9688,1675,-223,-686
2980,-12872,6172,5260,-675,-1225,1200,-10180,8484,9720,1549,-25,-599
