Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1836,5984,16508,-358,-7,-533,-4720,4372,13964,-597,64,-110
20,-1896,5976,16572,-263,-32,-504,-4572,4408,14164,-596,-26,-84
40,-1768,6036,16532,-313,-19,-481,-4660,4388,14212,-602,16,-76
60,-1896,5932,16560,-267,43,-547,-4640,4492,14112,-567,38,-84
80,-2000,5896,16496,-294,18,-510,-4844,4412,14320,-546,49,-94
100,-2004,5972,16444,-397,-60,-504,-4724,4388,14168,-533,99,-111
120,-1848,6020,16660,-370,-72,-486,-4788,4396,14340,-564,14,-113
140,-1764,5916,16520,-324,-10,-522,-4656,4392,14240,-546,-12,-107
160,-1892,5772,16468,-215,66,-563,-4624,4420,14200,-571,65,-105
180,-2036,5896,16352,-297,20,-512,-4600,4392,14372,-587,93,-116
200,-1888,5984,16600,-387,-32,-489,-4832,4360,14296,-589,-11,-68
220,-1804,5964,16644,-270,-30,-490,-4628,4308,14308,-569,-68,-79
240,-1840,5900,16448,-225,35,-540,-4700,4376,14264,-570,59,-78
260,-1936,6072,16520,-232,97,-584,-4688,4348,14276,-557,110,-129
280,-1848,5960,16412,-220,51,-552,-4724,4316,14200,-524,13,-130
300,-1868,6008,16480,-330,-92,-541,-4692,4352,14308,-539,6,-130
320,-1784,5976,16592,-329,-48,-520,-4696,4284,14100,-539,-43,-129
340,-1776,5872,16568,-278,48,-560,-4624,4332,14208,-531,21,-131
360,-1888,5928,16544,-212,113,-557,-4640,4400,14200,-536,37,-100
380,-2032,6016,16316,-244,82,-567,-4704,4448,14400,-546,81,-128
400,-1932,6088,16584,-423,-97,-487,-4692,4508,14192,-514,61,-98
420,-1836,5948,16624,-379,-131,-504,-4732,4400,14176,-573,-86,-107
440,-1744,5924,16620,-294,27,-543,-4500,4360,14232,-591,44,-104
460,-1792,6020,16564,-196,126,-553,-4712,4424,14212,-596,137,-80
480,-1864,6020,16604,-237,103,-522,-4636,4420,14292,-589,69,-75
500,-1992,5912,16452,-364,-47,-463,-4812,4432,14144,-588,0,-56
520,-1900,5880,16552,-311,-49,-507,-4756,4352,14332,-577,-60,-86
540,-1740,5828,16576,-217,64,-534,-4648,4300,14372,-566,31,-61
560,-1852,6048,16580,-211,106,-559,-4732,4328,14392,-506,168,-114
580,-2008,6028,16484,-323,72,-557,-4752,4388,14304,-549,124,-144
600,-1904,5960,16548,-327,-14,-573,-4744,4336,14220,-525,-3,-174
620,-1848,6116,16496,-302,54,-598,-4724,4344,14348,-589,-67,-194
640,-1972,5816,16420,-262,27,-602,-4692,4308,14260,-613,-36,-153
660,-1944,5932,16500,-271,75,-592,-4588,4324,14312,-600,-12,-98
680,-1808,5924,16540,-281,48,-503,-4780,4328,14256,-586,-54,-93
700,-1632,5740,16376,-326,109,-667,-4708,4052,14288,-603,31,-270
720,-1640,6156,16588,-381,244,-756,-4848,4516,14240,-582,456,-289
740,-1624,6232,16496,-644,718,-1080,-4748,4908,14460,-922,785,-571
760,-1616,6668,16608,-1278,1297,-1227,-4608,4912,15384,-1461,1879,-574
780,-1460,6656,17224,-2279,2634,-1763,-4328,5044,15988,-2543,3273,-565
800,-20,6524,18188,-3237,6808,-3095,-4460,4888,16296,-3861,6748,-282
820,-236,5824,18484,-4989,12433,-5884,-5136,3868,16468,-3083,11174,-46
840,-2944,5932,19492,-6116,14555,-7620,-5200,3888,16744,-1257,13461,998
860,132,6960,22424,-7357,24106,-7745,-6820,3784,16788,-103,17542,3378
880,-9684,252,19644,-9729,30152,-9452,-6000,1104,14404,1141,32767,7611
900,-10800,1072,20464,-8411,32767,-6266,-12996,3636,13044,2400,32767,8026
920,-12620,1752,16548,-5168,32767,-3333,-14064,4364,9752,1403,32767,9620
940,-14792,2720,14776,-2920,32767,-1924,-13800,5344,7464,0,32767,10874
960,-12380,2348,8844,-3754,32767,-1011,-10788,6288,6548,-2527,32767,13093
980,-11044,1544,5556,-10903,32767,-2352,-9988,6320,5296,-5330,32767,14188
1000,-12724,4472,2880,-17969,32767,-1714,-10152,7224,3408,-9343,32767,13902
1020,-14972,3516,-148,-25695,32767,506,-10716,6804,1668,-12147,32767,12884
1040,-16900,892,1092,-30209,32767,3618,-11392,6660,-1956,-14594,32767,11134
1060,-13996,-2580,-6484,-32728,32767,4274,-13252,6400,-3552,-16180,32767,8468
1080,-15088,-3924,-2904,-31743,23626,6976,-12740,6616,-4260,-17180,31631,5714
1100,-15164,3428,4400,-30265,17273,9506,-12304,6288,-3724,-17861,24044,3775
1120,-13564,616,1712,-30090,11494,9351,-12816,6996,-1588,-17365,17930,1544
1140,-13092,-116,2704,-31154,9957,6924,-12424,7268,-320,-16437,14938,123
