Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16200,-3200,-7296,-59,134,-69,12188,-7660,-7776,479,-84,-239
20,16328,-3104,-7072,-122,-226,65,11960,-7552,-7524,409,-429,-203
40,15720,-2996,-6852,-127,-661,44,12128,-7544,-7572,309,-656,-266
60,16092,-2996,-7092,-83,-576,-67,12336,-7640,-7764,319,-407,-197
80,16100,-3152,-7576,-175,-181,3,12040,-7580,-7632,340,-228,-225
100,16064,-3084,-7220,53,-42,63,12244,-7528,-7684,272,-255,-242
120,16004,-3136,-7028,145,-211,-40,12144,-7660,-7656,256,-161,-235
140,16224,-3024,-7304,-259,-405,-87,12068,-7760,-7656,285,-249,-266
160,16584,-3036,-7588,-196,34,31,12540,-7784,-7512,417,-349,-178
180,16072,-3156,-6984,-25,-126,-49,12248,-7660,-7596,361,-276,-184
200,15900,-3156,-7088,-52,-67,-15,11780,-7648,-7436,252,-222,-225
220,15780,-3096,-7412,53,-336,36,11924,-7664,-7480,234,-383,-278
240,15940,-2944,-7160,208,-398,-114,12116,-7688,-7760,241,-336,-317
260,16200,-3156,-7272,186,-241,-14,12120,-7620,-7948,225,-49,-324
280,16124,-3216,-7604,-168,-578,177,12080,-7756,-7672,251,-223,-401
300,15904,-3020,-7592,-83,-555,116,12140,-7768,-7772,323,-452,-391
320,16016,-3252,-7184,71,-497,-73,12144,-7692,-7524,346,-503,-301
340,16152,-3016,-7376,5,-462,-112,12356,-7680,-7912,334,-529,-200
360,16332,-3048,-7636,-207,-52,-1,12372,-7696,-7868,457,-179,-186
380,16224,-3124,-7272,-138,79,31,12156,-7656,-7784,433,-194,-178
400,15860,-3112,-7036,85,-239,10,12032,-7612,-7544,363,-441,-246
420,15816,-3152,-6892,83,-495,-116,12104,-7728,-7392,349,-431,-320
440,16012,-3076,-7264,158,-263,-280,12328,-7628,-7752,331,-387,-285
460,16380,-2924,-7608,-14,-207,-154,12428,-7616,-8092,494,-269,-202
480,16000,-2996,-7312,5,-134,-38,11956,-7608,-7636,509,-252,-293
500,15748,-3112,-7116,-60,-281,-79,11776,-7480,-7404,403,-334,-371
520,15628,-2992,-7156,126,-492,-108,11900,-7608,-7424,293,-514,-446
540,16216,-2964,-7436,107,-368,-124,11988,-7464,-7660,253,-451,-431
560,16308,-2924,-7752,153,-188,-73,12340,-7576,-7908,318,-374,-340
580,16360,-3144,-7460,-182,-412,41,12352,-7700,-7888,419,-312,-289
600,15964,-3056,-7088,-183,-478,9,12080,-7572,-7504,363,-477,-278
620,15864,-3036,-7008,64,-593,-89,12008,-7504,-7520,192,-784,-218
640,16152,-2960,-7384,210,-306,1,12264,-7560,-7816,235,-537,-135
660,15848,-3052,-7520,18,63,24,11960,-7640,-7856,282,-65,-202
680,16052,-3056,-6980,125,-339,42,11676,-7444,-7156,161,-482,-283
700,15588,-3192,-6424,547,-1053,146,11560,-7376,-7032,-168,-1111,-335
720,16536,-3680,-5984,1544,-2317,353,11072,-7492,-6944,-415,-1867,-268
740,17272,-3840,-4772,3628,-4159,419,11528,-7416,-6124,-1157,-2894,86
760,19904,-5792,-2972,7625,-8510,954,10288,-7288,-5740,-2561,-4677,1065
780,24128,-4488,2768,14576,-17618,2483,13044,-8924,-7936,-4304,-6331,2223
800,27372,-1864,3840,23439,-18828,2813,17904,-11368,-10784,-3736,-4688,3421
820,24544,-512,-5612,32767,-6534,-4466,23424,-13052,-11080,-1061,2380,4914
840,21924,-1160,-24896,32767,27613,-29609,22056,-13616,-10172,1374,12516,6502
860,14716,6252,-20804,32767,32767,-32768,17308,-12456,-8708,4180,20556,7127
880,27824,3916,4496,20651,12262,-4315,13516,-10536,-6336,5900,22360,7704
900,14560,3036,9860,-6368,4287,5837,14992,-9856,208,5841,13423,7769
920,14292,-9728,-12036,-21200,17147,-10019,18036,-12020,-7016,6603,13544,7709
940,20736,-9088,-4340,-26498,24139,-25561,18788,-11876,-8556,9956,29746,5987
960,19508,-11200,-3632,-32768,32767,-32768,16100,-10340,-6428,11044,32767,5277
980,18244,-10444,-912,-31823,32767,-32768,11340,-10060,-1200,8494,32767,4745
1000,5080,980,13716,-32768,32767,-32768,10696,-10904,-1792,5182,32767,5153
1020,5960,3296,14364,-32768,32273,-32768,11040,-11164,-356,2915,32767,7822
1040,4404,1848,4612,-32768,32767,-32768,7056,-11844,-160,1479,32767,7323
1060,5988,-416,-780,-32768,32767,-27692,4236,-13144,-428,1818,32767,5006
1080,10232,-1516,1136,-32768,32767,-13275,-488,-12552,2456,3708,32767,2166
1100,6532,-6160,2652,-32768,32767,-895,-1680,-13136,1380,5230,32767,-2824
1120,1960,-14428,10504,-32768,32767,-3889,-4132,-14300,3008,8518,32767,-7490
1140,1844,-14244,10460,-22128,32767,-7147,-4996,-13180,4272,11325,32767,-11006
1160,-1712,-11712,3496,-23410,32767,-3912,-7532,-11996,9444,12737,32767,-16476
1180,-7332,-10804,-3224,-14874,32767,-4541,-5612,-12072,11360,13885,28455,-21072
1200,-12544,-9260,-4888,1944,32767,-10088,-2172,-10972,9916,15879,24970,-25693
1220,-9372,-6056,4192,9646,29057,-17014,-3328,-8768,8796,19075,19544,-30154
1240,-3204,300,15916,8340,26269,-16754,-1028,-1204,9712,21800,18562,-32768
1260,-7436,9164,12408,14664,28525,-15997,4124,6524,18420,22116,18693,-32768
1280,-9792,15008,15616,22415,24745,-18755,9552,14928,23252,18292,13624,-32768
1300,652,24152,30652,30572,11742,-24146,11740,21588,26924,13011,4060,-31807
1320,20368,23248,32767,24056,-7547,-21646,15800,24708,24748,5366,-8681,-22943
1340,23808,14240,32767,9731,-13079,-13506,21360,16812,18088,-873,-9892,-10807
1360,20724,11112,25460,-1811,-10433,-167,14552,10292,18892,-3189,-7444,-1809
1380,8888,6896,15420,55,-17988,4070,8240,5716,16292,-3648,-17151,3916
1400,4108,4036,11276,6165,-32768,2579,6796,3508,14236,-3014,-26557,5441
1420,3836,3924,13400,14955,-32768,546,8756,3524,11936,-2168,-32768,6437
1440,6096,4444,12456,21769,-32768,-979,11168,3460,12132,-1504,-32768,7614
1460,13408,9356,10052,26090,-32768,4623,11584,2472,14752,-1326,-31129,8885
1480,13332,8624,7136,29293,-32768,6849,12908,1904,11600,722,-32768,10535
1500,13848,9932,6324,29517,-32768,10656,13364,1332,10036,2300,-32768,8359
1520,18412,11012,5752,32767,-32768,15105,12760,1404,7784,4084,-32768,8346
1540,19244,11060,1460,32724,-32768,20261,14312,1436,4176,5249,-32768,9702
1560,19972,7620,52,32767,-32768,20319,16832,-2740,1548,6038,-32768,11162
1580,19256,7444,-460,32767,-32768,19101,17440,-4092,-188,6888,-32768,12191
1600,18760,7964,-2352,32767,-22048,13455,18264,-3020,-2880,8022,-32768,12656
1620,14884,11420,-4180,32767,-10950,11023,16460,-1860,-1820,8277,-29227,13323
1640,15304,6756,-4280,30833,-16655,18963,13824,-4996,-708,7359,-28728,11034
1660,14048,1512,-4684,25454,-16519,19050,12312,-6968,-2936,7462,-29711,8258
1680,14120,-540,-3952,31623,-14674,13368,14460,-7900,-4708,8143,-26814,6083
1700,13700,2600,780,32767,-10128,8202,14108,-7512,-5436,9046,-19663,5245
1720,14116,3360,3488,17386,-10882,12152,12612,-6132,-4652,8166,-15618,4272
1740,14544,308,-2576,2141,-4833,15177,9936,-8036,-1824,6739,-15065,2896
1760,10216,-3324,-1300,-1732,-5241,13047,11992,-10412,-4464,6168,-17671,1952
1780,10712,-5344,4,4098,-7895,4782,14148,-10292,-5372,6380,-16142,499
1800,14276,-2416,1656,6801,-4010,-1930,12888,-10472,-5496,6068,-12965,301
1820,18340,-1552,2760,-10035,-649,3962,7680,-10708,-4400,4795,-11091,-2672
1840,17612,-3508,-712,-19385,790,8280,10184,-10052,-3136,4870,-12469,-2540
1860,16056,-6468,848,-6675,-4406,4344,13588,-9812,-2408,2742,-12505,-2646
1880,18820,-4552,4152,-2077,-8921,3299,11800,-10484,-2848,1956,-10963,-2272
1900,19576,-5216,3196,-6267,-5473,4247,15408,-10312,-5496,1235,-9216,-1979
1920,18124,-4792,-3316,-8777,-364,3680,16292,-10664,-5680,1424,-6109,-1886
1940,19152,-2812,-7832,-2894,2925,1509,15872,-10924,-2724,1895,-6490,-667
1960,19016,-2528,-6384,6161,-1147,-1828,17192,-9312,-2604,1659,-7959,-87
1980,31076,13096,20324,-12022,-6839,6356,16988,-9216,-2316,205,-8299,403
2000,21112,-7444,3208,-8707,-8009,6540,18352,-7152,-2800,-947,-8215,3314
2020,19824,-1508,-3080,-4889,-7333,6912,16832,-7096,-2960,-2609,-6295,4134
2040,14512,-1516,-9712,-1213,-1252,5125,16316,-8564,-6668,-2087,-3544,4195
2060,13944,-2576,-10048,-1217,1321,1620,14740,-8864,-9912,-1803,-845,3014
2080,17564,-4756,-7324,-2155,-94,760,11436,-9020,-8776,-1050,-196,1756
2100,16512,-4816,-4908,-923,-1519,1743,10516,-8392,-7096,-343,-1078,1371
2120,15580,-3724,-5516,47,-2014,1723,11524,-8492,-6916,-133,-1512,1216
2140,16504,-3404,-7920,377,-1121,905,12884,-8176,-7392,-1074,-2900,-187
2160,15968,-3284,-5676,1176,1736,308,13964,-8228,-8896,-452,-1340,-233
2180,14604,-3932,-5992,1522,-2283,-103,12064,-8104,-8248,843,2374,-230
2200,16664,-3880,-7528,1731,-2385,-533,11208,-7736,-7464,-312,-60,-1156
2220,16300,-3220,-7080,2507,-2662,-796,11652,-8328,-8312,-43,-2377,-846
2240,17244,-3560,-7608,1070,-952,-935,13332,-7984,-9484,829,-18,-341
2260,16704,-3572,-7796,515,1718,-687,12060,-8244,-8820,1839,2064,228
2280,15724,-3796,-6928,479,1622,-714,11596,-7496,-8472,1571,0,-14
2300,15620,-3672,-6472,-31,209,-732,11116,-7504,-7836,1075,-1782,-398
2320,15992,-3760,-6328,-14,-349,-647,11300,-7544,-7696,366,-1320,-769
2340,15808,-3612,-6904,165,-986,-514,10796,-7860,-7500,224,-646,-598
2360,15704,-3676,-7028,692,-852,-240,11000,-7728,-7724,245,-784,-545
2380,15856,-3848,-6672,975,-15,-164,11752,-7636,-8748,271,508,-231
2400,16268,-3876,-7252,316,592,-242,11592,-7928,-9176,400,1267,-83
2420,16284,-3688,-7352,21,210,-24,11028,-7880,-7924,407,712,-185
2440,15452,-3520,-6564,186,-821,-5,11424,-7564,-8452,196,-760,-266
2460,16200,-3364,-7048,-353,-774,-95,11880,-7684,-8112,185,-798,-448
2480,15676,-3848,-6484,127,-1018,-315,11224,-7616,-7380,264,-1117,-359
2500,16036,-3768,-6900,761,-1321,-375,11444,-7844,-8104,164,-1606,-270
2520,15824,-3808,-6652,1028,-1826,-190,10840,-7892,-8144,-22,-1077,-391
2540,16972,-3792,-7596,754,-1773,-162,12780,-8004,-9736,316,-347,-128
2560,16836,-3288,-8616,144,98,-6,11872,-8032,-8964,497,70,-311
2580,16136,-3780,-7016,116,510,-75,11700,-7736,-8320,576,-268,-306
2600,15452,-3812,-6052,290,96,-202,11568,-7640,-8052,512,-210,-345
2620,15720,-3448,-7016,229,-482,-368,11352,-7756,-8320,270,-599,-443
2640,16720,-3408,-7944,276,-370,-389,11768,-7904,-8756,457,-455,-283
2660,16272,-3548,-7616,43,178,-209,11720,-7996,-8740,650,-79,-241
2680,15900,-3768,-6800,-308,387,-328,11384,-7852,-8200,530,183,-410
2700,15876,-3612,-6692,-134,296,-377,11616,-7824,-7924,519,220,-441
2720,15896,-3748,-6776,103,65,-540,11584,-7740,-8064,312,217,-508
2740,16080,-3560,-6968,349,44,-556,11500,-7744,-8280,301,56,-396
2760,16200,-3612,-7416,172,-297,-424,11772,-7980,-8812,567,459,-262
2780,16240,-3676,-7104,170,-32,-381,11600,-7972,-8576,575,304,-242
2800,15984,-3508,-7188,187,15,-275,11236,-7548,-8140,520,47,-315
2820,15644,-3536,-7240,38,-35,-95,11048,-7580,-7988,550,-181,-320
2840,15636,-3696,-6908,303,-370,-43,11176,-7676,-8248,497,-458,-389
2860,15972,-3492,-7044,303,-485,-134,11840,-7820,-8332,368,-369,-516
2880,16228,-3452,-6964,162,-374,-243,11968,-7836,-8532,373,-335,-363
2900,16508,-3500,-7112,15,-208,-201,11932,-7804,-8332,290,-214,-306
2920,16276,-3660,-7012,152,-242,-181,11456,-7904,-8296,403,-289,-93
2940,15712,-3636,-6880,338,-540,-123,11412,-7688,-7976,333,-518,-204
2960,15596,-3484,-7004,92,-620,-89,11284,-7768,-8092,292,-631,-459
2980,16088,-3404,-7256,8,-395,-98,12012,-7824,-8508,508,-455,-448
