Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15256,2288,-392,-181,-293,-45,-13696,6216,-4880,352,-395,-209
20,-15400,2420,-248,-123,-248,53,-13672,6340,-4872,355,-341,-200
40,-15280,2272,-248,24,-69,53,-13752,6192,-4632,397,-226,-213
60,-15228,2296,-224,87,-388,-176,-13868,6252,-5056,442,-269,-151
80,-15512,2444,-288,23,-524,-107,-13752,6272,-4848,432,-356,-168
100,-15180,2524,-604,-67,-173,105,-13736,6316,-4736,399,-159,-170
120,-15464,2572,-364,-214,-47,107,-13740,6332,-4880,384,-144,-195
140,-15344,2396,-352,-145,-244,31,-13948,6352,-4988,329,-280,-206
160,-15396,2368,-236,-136,-430,-143,-14044,6376,-4868,263,-341,-244
180,-15876,2236,-276,-155,-441,-82,-14004,6384,-4904,235,-403,-118
200,-16040,2352,-372,-38,-609,249,-14032,6444,-5068,150,-547,20
220,-15552,2532,-688,-102,-399,451,-13912,6320,-4988,25,-476,129
240,-15472,2464,-640,-513,-278,610,-13768,6292,-4952,-12,-210,121
260,-15508,2476,-516,-360,-484,368,-14048,6280,-5072,-82,-324,141
280,-15712,2504,-420,-330,-931,219,-14108,6400,-5220,-123,-536,195
300,-15968,2712,-500,-511,-1118,394,-13828,6604,-5316,-294,-724,386
320,-15960,2684,-476,-225,-608,738,-14016,6644,-5056,-598,-536,335
340,-15928,2684,-536,-41,-259,851,-14456,6660,-4992,-753,-425,380
360,-16316,2800,-808,-471,-738,588,-14768,6692,-5076,-829,-578,479
380,-16348,2920,-432,-673,-1284,454,-14408,6812,-5184,-980,-700,688
400,-16200,2608,-600,-914,-1433,784,-14136,6816,-5048,-1240,-697,779
420,-16036,2784,-512,-1384,-1234,1076,-14512,6812,-5012,-1439,-690,857
440,-15920,2664,-292,-1335,-1587,1077,-14184,6920,-4880,-1645,-890,950
460,-15764,2744,-104,-1136,-1724,930,-14068,6784,-4680,-1858,-1167,1077
480,-15480,2672,12,-1049,-1935,1004,-13592,6868,-4668,-1868,-1239,1244
500,-15228,2840,-8,-1123,-1774,1222,-13536,6864,-4404,-1934,-1173,1169
520,-15272,2496,640,-1046,-1668,1428,-13752,6940,-4388,-1883,-1157,1268
540,-15328,2552,832,-826,-1815,1329,-13948,7012,-3920,-1741,-1164,1349
560,-15508,2584,672,-739,-2031,1466,-13636,7316,-3788,-1642,-1283,1587
580,-15452,2636,864,-667,-1762,1872,-13720,7300,-3648,-1476,-1185,1782
600,-15424,2524,1180,-621,-2230,1883,-13664,7424,-3716,-1423,-1462,1977
620,-15200,2848,1440,-1028,-2443,1998,-13428,7616,-3268,-1157,-1882,2087
640,-15904,2676,4324,-2084,-1602,3770,-12192,7616,-5000,-1154,-2070,2287
660,-15356,2300,4188,195,-834,5739,-13248,7200,-1576,-837,-2937,1954
680,-14732,2432,4380,-46,-3305,6266,-13656,8240,-2480,501,-3962,2639
700,-14284,3832,4432,-3147,-7962,5598,-14596,8048,-1096,1204,-8034,3147
720,-14272,284,9400,-8941,-14821,5363,-14140,8124,-404,2739,-17435,4238
740,-17072,-5104,15928,-4188,-24730,2387,-13720,9224,3708,3891,-29570,4860
760,-9848,-11976,22988,9389,-32768,-14058,-15508,9440,12620,5893,-32768,4573
780,3396,-10180,20640,10076,-32768,-32768,-8960,6132,15112,15699,-32768,1122
800,2492,-21704,30276,25252,-32768,-32768,-248,8616,12104,28755,-32768,-4419
820,196,-18856,16496,32641,-32768,-32768,-5620,11492,12660,28092,-32768,-15035
840,-16676,-7388,1888,26042,-32768,-32768,2276,10588,9716,21940,-32768,-28005
860,3900,9560,-11820,-945,-32768,-32768,9472,7200,10024,3134,-32768,-29055
880,20004,11360,-14940,-22691,-10120,-32768,-2068,-1372,22412,-17758,-32768,-32768
900,-21052,-27232,-8596,-32768,32767,-32768,-10468,-5864,19932,-19716,-26311,-32768
920,-32768,-32768,24364,-19186,32767,-15660,-10396,-1584,19232,-12470,-13825,-32768
940,-32768,-29812,24104,-7397,25561,-9595,-21256,-24300,25892,-26109,7909,-18909
960,-16284,-20052,14264,-3200,32767,4479,-23116,-10912,24504,-184,32767,-9395
980,-19872,-8952,13644,5205,31790,14675,-8752,3560,14024,-1885,32767,-5408
1000,-24264,-8408,14548,6897,7729,3897,-15060,544,14556,-1986,32767,-2494
1020,-8040,-2948,10176,7061,-11666,-1973,-19024,1232,14104,2473,26306,9163
1040,-1132,-1452,8380,770,-8054,-93,-11688,6292,12276,3831,-2683,4096
1060,-3816,-4076,13468,-4735,-4003,-2024,-8960,4780,13132,190,-8887,-2099
1080,-4476,-6272,13696,-5311,-4889,-3823,-8408,3464,13736,546,-9964,-1298
1100,-2868,-6924,13284,-427,-917,-1618,-9348,2896,14488,349,-6913,-1773
1120,-4620,-5396,13940,-1140,2013,-1085,-9988,3148,15360,937,-6297,-1616
