Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15128,1868,-412,-448,-271,129,-12576,9480,4028,103,-56,-139
20,-15052,1884,-620,-438,-249,123,-12560,9536,4036,163,-20,-233
40,-15072,1872,-504,-308,-72,-34,-12536,9512,4140,148,-89,-340
60,-15132,1980,-648,-242,22,-112,-12584,9536,4052,135,-87,-442
80,-15316,1828,-620,-191,120,-156,-12580,9432,4128,151,-95,-517
100,-15424,1796,-912,-226,186,-198,-12660,9528,4188,145,-21,-521
120,-15632,1700,-780,-284,122,-174,-12788,9552,3904,138,-17,-478
140,-15604,1784,-668,-222,-57,-132,-12824,9600,3988,94,-23,-434
160,-15728,1764,-956,-198,-50,-64,-12692,9548,4124,117,-32,-369
180,-15580,1656,-848,-372,77,-25,-12788,9464,4088,119,162,-354
200,-15596,1732,-604,-404,49,4,-12916,9520,4092,168,122,-286
220,-15700,1700,-560,-101,-62,-5,-12852,9588,4124,197,-37,-285
240,-15564,1648,-596,-5,-186,-6,-12912,9540,4272,259,-208,-261
260,-15784,1712,-680,-137,-120,80,-12812,9452,4160,333,-246,-241
280,-15560,1688,-768,-52,-220,106,-12916,9536,4192,370,-354,-188
300,-15492,1800,-1048,-38,-265,70,-12748,9688,4036,345,-372,-178
320,-15440,1808,-852,-72,-280,96,-12796,9540,3976,291,-360,-177
340,-15408,1772,-972,-138,-229,105,-12660,9544,4044,281,-332,-174
360,-15428,1860,-1044,29,-161,-40,-12692,9600,3956,241,-315,-182
380,-15424,1840,-700,-127,-420,0,-12676,9532,4012,215,-350,-223
400,-15520,1812,-956,-83,-273,14,-12552,9500,3976,205,-322,-219
420,-15464,1872,-936,-108,-144,28,-12584,9560,3952,250,-280,-245
440,-15420,1864,-692,-110,-66,7,-12576,9540,3856,259,-247,-256
460,-15488,1892,-728,-188,-181,72,-12724,9560,4008,281,-255,-275
480,-15272,1800,-824,-139,-159,8,-12660,9536,4048,304,-185,-291
500,-15564,1780,-944,-76,-188,-24,-12812,9548,3956,260,-264,-275
520,-15564,1680,-936,-35,-144,-35,-12848,9440,3964,276,-317,-247
540,-15560,1728,-1024,-109,-105,56,-12756,9564,4156,270,-216,-234
560,-15580,1740,-1068,-184,79,102,-12724,9576,3956,284,-79,-204
580,-15592,1820,-956,-217,8,156,-12780,9560,4028,229,-46,-187
600,-15304,1812,-980,-397,-15,144,-12716,9648,4068,152,28,-231
620,-15300,1832,-856,-337,129,-9,-12608,9488,4004,147,-28,-283
640,-15352,1788,-564,-206,58,-47,-12564,9552,4112,110,-110,-269
660,-15424,1628,-664,-171,94,-48,-12740,9668,4148,109,-94,-292
680,-15516,1712,-900,-82,180,-105,-12592,9556,3984,121,-118,-294
700,-15468,1748,-624,186,160,-149,-12788,9572,4060,127,-93,-208
720,-16352,2716,-2152,820,618,-134,-13020,9628,4080,88,-23,-93
740,-15356,1676,-1060,-71,-74,-113,-12912,9712,3676,-15,-55,-82
760,-15916,1772,-1460,-16,251,-17,-12696,9704,3932,-120,287,89
780,-16032,2280,-1440,-217,574,279,-12808,9648,2812,-415,520,392
800,-16648,2548,104,317,1898,1047,-12992,9812,2896,-670,1592,740
