Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,17140,-684,-3236,-279,-366,-29,9380,-12080,-6024,309,-282,-315
20,17332,-584,-2740,-145,-180,-102,9296,-11904,-5904,373,-297,-310
40,17148,-580,-2836,-64,-291,-9,9236,-11824,-5796,294,-428,-335
60,17112,-636,-2896,-58,-437,143,9308,-11844,-5756,237,-420,-297
80,17056,-668,-3076,178,-394,-33,9332,-11916,-6100,229,-402,-382
100,17380,-508,-2764,-192,-34,-53,9336,-11964,-6140,276,-119,-415
120,17232,-580,-2876,-449,-258,-174,9428,-11912,-5952,313,-71,-394
140,17332,-420,-2900,-300,-207,50,9376,-11836,-5844,313,-233,-355
160,17164,-516,-2692,11,-613,194,9236,-11820,-5640,252,-569,-316
180,17036,-644,-2796,-97,-640,235,9368,-11832,-5896,213,-395,-262
200,17008,-768,-2860,-251,-283,80,9084,-11840,-6004,153,-15,-243
220,17080,-568,-2668,-631,205,-89,9348,-11884,-6044,110,194,-250
240,17164,-608,-3048,-647,-445,-6,8876,-11756,-5712,72,-146,-313
260,17316,-556,-3020,-70,-935,274,9172,-11828,-5872,-79,-707,-391
280,17104,-432,-2960,-40,-945,130,9664,-11748,-6104,-67,-532,-358
300,17316,-568,-3172,-544,-70,20,9484,-11808,-6232,-18,-52,-299
320,17172,-544,-3224,-695,-38,-210,9424,-11876,-6112,54,181,-331
340,17156,-800,-3264,-336,-299,-105,8904,-11736,-5712,83,-213,-356
360,17196,-744,-3072,188,-1134,252,9064,-11820,-5688,-3,-805,-484
380,17128,-604,-2520,31,-874,108,9400,-11816,-6128,-95,-616,-470
400,17088,-616,-2704,-649,-504,-94,9488,-11832,-6216,-97,115,-351
420,17240,-740,-3192,-1186,-440,-62,9184,-11868,-6132,-66,326,-355
440,17240,-716,-3520,-1014,-561,24,9264,-11872,-6100,-75,-5,-356
460,17348,-592,-3808,-406,-795,118,9460,-11808,-6108,-44,-327,-378
480,17432,-592,-3524,-200,-883,141,9588,-11828,-6484,63,-450,-291
500,17432,-524,-3444,-298,-406,209,9488,-11828,-6200,231,-173,-149
520,17040,-724,-3232,-257,-133,115,9280,-11804,-5760,342,-196,-177
540,17032,-644,-2768,-166,-303,117,9216,-11816,-5892,310,-413,-207
560,17232,-656,-3076,-287,-434,161,9416,-11836,-6112,236,-257,-243
580,17128,-816,-3412,-422,-40,-50,9168,-11928,-6292,304,-18,-242
600,17164,-912,-3556,-298,-73,-121,9136,-11836,-6132,378,-118,-310
