Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16944,-3892,-4672,-29,105,-98,14152,-7356,-3740,479,-353,-360
20,16844,-3960,-4828,457,-151,47,14216,-7300,-3896,514,-693,-352
40,16748,-3992,-4512,768,-539,167,14132,-7200,-3900,515,-873,-307
60,16808,-3964,-4232,595,-644,254,14156,-7316,-3852,515,-882,-258
80,16680,-3968,-4496,530,-545,288,14268,-7164,-3948,514,-864,-248
100,16556,-4044,-4480,341,-242,197,14376,-7228,-3800,494,-510,-194
120,16516,-4044,-4760,304,105,26,14140,-7280,-3836,558,-158,-213
140,16548,-4032,-4776,678,291,-60,14020,-7176,-3772,589,-113,-203
160,16348,-4088,-4328,1015,32,-3,14024,-7208,-3916,627,-288,-224
180,16468,-3968,-4156,958,-405,-22,14032,-7192,-3680,626,-574,-276
200,16664,-3816,-4368,653,-104,-41,14196,-7252,-3632,555,-488,-321
220,16708,-3924,-4632,578,70,142,13992,-7284,-3628,453,-513,-306
240,16416,-4020,-4396,1056,-128,141,14252,-7264,-3740,468,-646,-332
260,16588,-3904,-4432,990,-190,5,14344,-7240,-3920,506,-591,-379
280,16608,-3820,-4368,740,83,0,14024,-7164,-3452,419,-406,-425
300,16408,-3860,-4616,1062,387,101,13840,-7060,-3200,246,-578,-516
320,15908,-3948,-4256,1546,110,-20,13892,-7116,-3228,98,-897,-688
340,15816,-3940,-4692,1999,423,-495,14092,-7068,-3220,-4,-993,-910
360,15652,-4052,-5200,3085,1106,-1684,14608,-6900,-3700,-58,-600,-992
380,16236,-3816,-4640,2944,1610,-2424,14080,-7032,-4652,27,-194,-897
400,16996,-4140,-3724,2219,507,-2096,14104,-7244,-5324,251,-189,-946
420,17484,-3900,-3632,1385,97,-1420,13884,-7260,-5024,423,-169,-1025
440,17216,-3800,-3676,883,-361,-921,14076,-7100,-4420,561,-605,-1003
460,17336,-3704,-3220,749,-633,-672,14368,-7020,-4268,535,-656,-724
480,17564,-3432,-3212,94,-434,-291,14264,-7036,-4096,510,-278,-435
500,17268,-3360,-3680,-694,141,274,14480,-6980,-3804,403,-208,-210
520,17032,-3556,-3984,-660,258,334,14464,-6908,-3964,344,-264,-64
540,17180,-3660,-3908,-686,109,513,14444,-6944,-4152,290,-222,36
560,17056,-3708,-4148,-592,41,734,14332,-7096,-4140,310,-273,118
580,16596,-3844,-4364,-189,80,611,14388,-7144,-4060,291,-317,37
600,16700,-3656,-4108,-158,88,303,14376,-7084,-4208,319,-196,-45
620,16688,-3676,-3948,-440,219,275,14048,-7096,-3844,341,-122,-111
640,16584,-3800,-3980,-172,-25,363,14112,-7084,-3808,396,-315,-169
660,16592,-3800,-3832,-24,-381,216,14284,-7092,-3960,400,-360,-273
680,16716,-3692,-3804,-262,-161,65,14060,-7028,-3976,352,-222,-316
700,16532,-3840,-3984,-156,221,40,14144,-7084,-3852,300,-148,-368
720,16480,-3784,-3704,85,2,-97,14084,-7056,-3712,264,-226,-437
740,16624,-3708,-4080,67,150,-85,13940,-7172,-3872,234,-350,-454
760,16788,-3748,-3940,14,135,258,14036,-7064,-4100,156,-585,-463
780,16760,-3576,-3912,-422,56,567,14096,-7196,-3956,22,-706,-615
800,16464,-3880,-3812,-950,756,1122,13816,-7268,-3796,20,-807,-792
820,16340,-3776,-4812,-338,-300,1450,12244,-7208,-2696,-168,-2617,-1082
840,16060,-4540,-3232,3562,-5059,2061,14192,-6920,-2824,-410,-6043,-1475
860,17800,-7412,-4996,13302,-7678,468,15284,-7020,-4316,116,-4858,-1573
880,21868,-8828,-1812,32767,-10043,-3467,14968,-7496,-10680,1645,1941,-1209
900,17212,-1252,4000,32767,-11630,907,14248,-7520,-12804,3041,7449,-1228
920,20720,848,752,17069,-1263,2073,15684,-7512,-6668,1419,12042,-3323
940,13760,-1716,-6120,10144,8530,-2635,20168,-8092,204,2443,27114,-5455
960,14700,-9668,-16020,-24632,32767,-23737,23372,-4424,884,3810,32767,-4625
980,15804,-1384,-1852,-25209,32767,-32768,0,0,0,0,0,0
1000,15120,-4804,-2884,-22846,32767,-32768,6564,-8952,6020,2752,32767,-4296
1020,15276,-860,8536,-14326,32767,-28373,5876,-8012,12092,1008,32767,-7184
1040,17756,5632,15880,-16103,32767,-21432,11764,-8616,13972,-2172,32767,-6917
1060,14460,6752,18736,-25314,32767,-20387,9288,-9780,12952,-2730,32767,-5703
1080,9632,1880,13924,-29936,32767,-19850,3108,-9956,18472,-2771,32767,-4322
1100,-4680,-7904,12204,-20774,32767,-21627,3396,-8332,20904,-2687,32767,-4277
1120,-3556,-8092,13708,-10643,32767,-22975,6544,-6656,19952,-2805,32767,-6446
1140,-2632,1180,18860,-19630,32767,-27040,11664,-7000,16184,-1552,32767,-8704
1160,744,3680,16944,-27247,32767,-32768,620,-9072,14256,1072,32767,-11464
1180,-1532,776,13060,-25534,32767,-26068,-1012,-8112,13564,3362,29484,-10765
1200,-2380,-3308,13028,-16899,31894,-20199,-2476,-6960,15212,6254,24279,-11654
1220,0,-2688,14532,-5550,21708,-17697,1344,-4988,15000,8419,18114,-12421
1240,1732,260,16996,-6673,17394,-14010,68,-4816,14532,10267,14808,-13870
1260,96,440,16744,-12665,18420,-12304,1460,-3948,14116,12127,13315,-14235
1280,-992,-492,14912,-19049,20812,-10220,556,-2672,15076,13754,13776,-14965
1300,-3804,-4036,10740,-12135,18135,-8692,212,-1136,17084,14477,13322,-16372
1320,-5756,-2676,12220,-4947,19625,-10440,116,116,18156,14764,11341,-17285
1340,-5872,-2148,14768,2268,17479,-13403,1796,3144,19804,13847,11000,-18309
1360,436,1436,20288,8214,12248,-13726,804,5404,18760,12293,8586,-17675
1380,992,2724,22212,7718,6578,-10452,1720,7748,18172,10386,5814,-15583
1400,780,3476,20668,7882,4422,-9993,3144,9320,20456,7729,2823,-13113
1420,2756,2868,24072,7329,-108,-9697,4536,9732,20048,4179,-548,-10323
1440,5956,2680,22996,5302,-5923,-7463,4856,8252,18800,771,-4178,-6353
1460,7600,2916,22412,4288,-12711,-3729,3576,7212,17080,-1754,-8429,-2261
1480,5908,1608,20244,-1748,-16515,155,4632,5272,15324,-2988,-11541,1662
1500,2548,-68,17168,-1848,-21857,1280,3272,3876,16020,-3351,-14798,4146
1520,352,-1404,14464,-868,-28236,724,3468,3200,17484,-3689,-21541,5817
1540,1836,-1624,14588,3352,-32768,-437,4724,2856,17844,-3610,-28286,8197
1560,5976,-1524,15448,9340,-32768,638,4136,3120,17456,-3076,-32768,7940
1580,7836,1084,16924,10662,-32768,3448,6960,3380,15984,-2248,-32768,10604
1600,7616,2800,15512,8949,-32768,5428,8932,2408,14800,457,-32768,12933
1620,7276,1172,13828,6573,-32768,6483,9452,1672,13876,76,-32768,15166
1640,11032,-216,9656,12555,-32768,6199,10740,1104,13756,354,-32768,13470
1660,12280,264,8368,16780,-32768,6945,10532,-728,13152,951,-32768,14265
1680,13780,2376,6880,17621,-32768,9778,11484,340,10352,2096,-32768,15698
1700,12260,1028,4644,19667,-32768,11174,11656,-140,8440,2900,-32768,16925
1720,11592,-1568,2308,23992,-32768,10918,11308,-2824,7836,3906,-32768,17463
1740,12316,-2604,796,29583,-32768,9340,11800,-5236,6232,5222,-32768,17112
1760,12888,-2304,212,32767,-31217,7077,14096,-5536,5404,6024,-32768,16214
1780,13448,-300,360,32767,-27209,5852,12680,-5092,5020,5588,-32768,14412
1800,13732,460,1764,32767,-24625,7698,12160,-6348,4152,4010,-24087,11142
1820,13980,-268,4332,29397,-23682,9280,10584,-8056,4012,2160,-21284,6461
1840,16240,-580,4856,20465,-17475,7354,14408,-10552,3996,2986,-18971,4799
1860,15164,-1608,5296,13604,-10690,5055,14168,-11624,3500,4598,-16193,5103
1880,16808,-2196,6416,12225,-8879,1950,13196,-10048,1656,5645,-15644,3556
1900,18488,-1736,6444,12691,-12432,3546,12192,-9584,1628,4751,-16838,347
1920,19192,-1480,4492,11783,-13649,5632,15472,-8408,1940,3289,-15267,-2256
1940,18476,-500,4180,9452,-10069,4053,17492,-7996,-180,3427,-5585,482
1960,20712,-672,968,2209,-3221,1214,16780,-7712,404,2957,-4871,418
1980,19728,-1408,-56,1749,-2127,2643,15340,-8016,292,2257,-4846,417
2000,17816,-1480,-320,3460,-3965,3829,14684,-7908,-264,1428,-6666,390
2020,18140,-1088,-224,4697,-6306,4254,16760,-7292,-1028,1710,-7971,45
2040,17552,-1316,-772,2681,-4814,3148,16512,-7368,-1656,1554,-5526,184
2060,17336,-1876,-1128,-135,-2941,2310,15680,-7128,-2012,1219,-3147,85
2080,17376,-2228,-2392,-1529,-816,2316,14588,-7380,-984,1068,-1941,356
2100,16644,-2244,-2192,-330,-610,2009,15428,-7216,-1208,1043,-2805,148
2120,17120,-2340,-2720,1557,-1697,1017,16412,-7032,-1416,1145,-2814,-134
2140,17992,-1680,-1992,1138,-1872,244,16332,-7088,-1976,918,-1601,-237
2160,17940,-1920,-2112,-210,-972,-256,15596,-7244,-1884,722,-553,-198
2180,17712,-2088,-2664,-1148,352,-73,15048,-7076,-1824,553,-208,-73
2200,17724,-2084,-3448,-1396,89,593,14824,-6820,-2724,615,-843,-47
2220,17744,-2540,-3836,-238,-1576,1190,14836,-6844,-3008,682,-1923,-79
2240,17128,-2736,-4356,266,-1906,1613,15052,-7012,-2980,772,-1873,-215
2260,16652,-2684,-3980,321,-639,749,15112,-6852,-2656,686,-838,-283
2280,16356,-2680,-3632,461,536,60,14504,-6908,-2424,679,42,-172
2300,16172,-2676,-2968,422,-262,-177,13652,-6984,-2484,646,-528,-292
2320,16660,-2628,-3256,463,-907,284,13796,-6920,-2288,396,-1271,-421
2340,16444,-2860,-3372,682,-1384,679,14008,-7028,-2616,244,-1833,-573
2360,16576,-2884,-3748,806,-1845,558,14392,-7056,-2716,236,-2306,-710
2380,17076,-2912,-3812,725,-1479,396,15084,-7228,-2904,260,-1536,-657
2400,17032,-3116,-3480,489,-814,159,14964,-7172,-3212,281,-552,-621
2420,17280,-3064,-3824,450,-513,-154,14628,-7352,-3484,396,-283,-536
2440,17868,-2988,-4032,237,-399,200,14644,-7304,-3192,572,-606,-467
2460,17764,-2976,-4172,639,-564,650,14556,-7116,-3048,584,-1025,-457
2480,17608,-3008,-4276,1668,-715,1011,14980,-7236,-3164,748,-1196,-89
2500,17552,-3000,-4220,2222,-1018,1429,14728,-7052,-2932,732,-1373,77
2520,17228,-3096,-3568,2163,-783,1485,14976,-7156,-3084,713,-1476,156
2540,17112,-3084,-3172,1689,-552,1289,14828,-7000,-3328,713,-1014,238
2560,17340,-3020,-3876,930,523,1262,14764,-7084,-3092,705,-185,249
2580,16584,-3324,-3796,1400,1138,1249,14340,-7156,-3000,779,-28,246
2600,15988,-3384,-3380,1853,446,885,14244,-7032,-3104,764,-490,86
2620,16336,-3236,-2904,1570,-946,521,14320,-7040,-3308,683,-1022,-96
2640,16880,-3168,-3128,959,-938,579,14372,-7072,-3132,610,-1160,-225
2660,16836,-3168,-3496,306,166,505,14860,-7028,-3244,490,-465,-148
2680,16848,-3364,-4256,108,1180,175,14304,-6956,-3228,469,334,-100
2700,16760,-3548,-4092,541,1254,138,14336,-7020,-3164,522,116,-146
2720,16700,-3264,-3496,1034,255,280,14188,-6960,-3096,381,-492,-322
2740,16664,-3412,-2992,1365,-395,476,14116,-7084,-3172,239,-1069,-351
2760,16860,-3344,-2952,952,-439,542,14604,-7100,-3404,146,-694,-393
2780,16700,-3600,-3384,362,329,317,14568,-7184,-3244,139,-26,-398
2800,16620,-3744,-3320,-17,339,-34,14460,-7268,-3440,224,278,-358
2820,16980,-3728,-3464,-65,272,-207,14116,-7308,-3412,275,-20,-430
2840,16728,-3736,-3988,434,343,-63,14188,-7248,-3316,296,-445,-471
2860,16644,-3684,-3596,1110,245,-139,14300,-7276,-3176,350,-530,-446
2880,16700,-3572,-3316,1206,-119,-75,14268,-7204,-3240,404,-525,-394
2900,17068,-3472,-3208,804,-392,39,14352,-7160,-3336,430,-521,-336
2920,16992,-3512,-3280,210,-217,54,14612,-7220,-3392,375,-491,-349
2940,16964,-3604,-3620,-130,4,89,14676,-7232,-3556,374,-371,-279
2960,16960,-3596,-3824,-21,2,162,14448,-7148,-3300,501,-306,-202
2980,16960,-3596,-3824,-21,2,162,14448,-7148,-3300,501,-306,-202
