Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16228,-6336,-1492,38,-455,-66,9784,-10776,-7460,322,-611,-170
20,16264,-6248,-1740,-88,-214,10,9752,-10840,-7544,360,-355,-193
40,16036,-6384,-1704,-168,-10,-41,9520,-10804,-7460,393,-107,-296
60,15924,-6460,-1480,78,-277,-243,9436,-10732,-7352,301,-414,-368
80,16384,-6408,-1416,189,-526,-324,9760,-10840,-7468,199,-582,-302
100,16408,-6328,-1584,158,-376,-221,9644,-10668,-7468,230,-391,-187
120,16188,-6356,-1636,-124,20,79,9604,-10696,-7340,342,-295,-254
140,15964,-6188,-1696,23,-354,71,9704,-10624,-7208,298,-602,-286
160,16236,-6360,-1580,-82,-326,5,9920,-10664,-7656,353,-422,-246
180,16296,-6380,-1724,-136,-104,-150,9848,-10740,-7620,383,141,-104
200,16032,-6224,-1956,-82,32,-31,9168,-10792,-7284,381,105,-129
220,15964,-6512,-1660,-96,84,227,9176,-10724,-6964,352,-426,-354
240,15756,-6384,-1280,86,-674,126,9448,-10724,-7292,312,-970,-300
260,16324,-6308,-1388,-14,-983,-18,9884,-10808,-7624,248,-912,-221
280,16616,-6288,-1580,89,-700,-125,9764,-10904,-7668,196,-489,-10
300,16128,-6192,-1808,-38,-496,-25,9536,-10760,-7420,223,-571,-73
320,16048,-6412,-1872,-163,-209,195,9524,-10792,-7156,251,-874,-321
340,16188,-6336,-1300,-51,-348,88,9824,-10836,-7632,348,-655,-331
360,16308,-6420,-1404,34,-216,-46,9732,-10800,-7584,440,-264,-221
380,16312,-6476,-1324,82,-198,-117,9520,-10816,-7560,414,-152,-141
400,16044,-6176,-1780,-210,-350,28,9348,-10660,-7320,341,-459,-268
420,16132,-6296,-1668,-30,-308,32,9540,-10756,-7452,284,-702,-359
440,16340,-6280,-1328,34,-353,-78,9888,-10632,-7784,304,-490,-333
460,16296,-6352,-1560,-59,-245,-103,9588,-10728,-7676,298,-171,-172
480,16124,-6244,-1828,-113,-308,13,9312,-10832,-7180,305,-351,-159
500,15976,-6380,-1668,7,-508,56,9316,-10720,-7328,273,-767,-314
520,16448,-6300,-1672,19,-354,46,9844,-10776,-7684,330,-582,-259
540,16352,-6464,-1556,-98,42,80,9708,-10824,-7620,436,-80,-222
560,15992,-6472,-1436,-96,-80,42,9364,-10828,-7360,371,-207,-200
580,15940,-6332,-1656,-46,-420,-54,9516,-10672,-7380,302,-577,-280
600,16308,-6240,-1920,-58,-270,-26,9696,-10712,-7572,297,-541,-275
620,16340,-6360,-1800,-251,30,150,9612,-10752,-7532,341,-240,-274
640,16160,-6420,-1588,-176,52,106,9484,-10712,-7776,372,-62,-282
660,16036,-6360,-1540,-40,-165,-80,9444,-10772,-7548,357,-173,-212
680,16080,-6332,-1704,0,-478,-127,9352,-10764,-7260,310,-325,-195
700,16052,-6284,-1788,-51,-425,-46,9360,-10736,-7484,280,-415,-220
720,16156,-6348,-1692,48,-394,-74,9440,-10748,-7384,256,-437,-224
740,16420,-6384,-1608,-27,-162,-110,9700,-10768,-7708,245,-75,-86
760,16216,-6296,-1608,-90,-210,-83,9400,-10868,-7512,307,-173,-88
780,16048,-6384,-1684,-132,-553,-19,9236,-10628,-7292,248,-659,-222
800,16308,-5960,-1788,5,-615,91,9364,-10784,-7384,322,-997,-300
820,16268,-6208,-1804,-96,-310,-34,10136,-10820,-7932,303,-255,-198
840,16276,-6260,-1836,-188,262,-54,9300,-10816,-7460,429,375,-209
860,15928,-6428,-1508,-8,-163,-51,8940,-10768,-6984,358,-293,-249
880,15868,-6444,-1388,544,-1229,-82,8572,-10748,-6396,206,-1876,-126
900,15424,-6512,-680,1053,-3546,-155,7876,-10708,-5692,-133,-4531,-272
920,15988,-6736,708,2693,-7849,-789,8856,-10480,-6740,-21,-6936,127
940,17092,-6144,860,4874,-10910,-2337,11256,-9980,-7016,-782,-7379,796
960,17084,-5296,516,6265,-14225,-3627,12088,-10376,-5980,-1608,-6839,1584
980,17040,-5340,1420,10327,-18562,-4299,12892,-10736,-5092,-2188,-4739,1395
1000,18048,-4864,2920,19631,-30062,-3120,10760,-11320,-5368,-3761,-4582,1996
1020,23636,-4796,996,31130,-32768,-2255,14872,-11868,-9896,-4366,-6412,3882
1040,28012,-2444,280,32767,-20814,2637,15712,-13824,-12740,-2578,-2222,4608
1060,24944,-5988,-6520,32767,-9471,770,13564,-14736,-11032,-995,1945,5789
1080,20028,-5264,-9388,32767,-1551,-5711,11980,-13796,-9976,874,4987,5367
1100,15028,-10376,-16624,32767,4403,-9851,9504,-12440,-7588,1699,6309,3597
1120,14900,-7724,-7200,32767,10405,-11644,9840,-12116,-6512,602,7383,469
1140,12724,-5420,-1060,32767,13047,-14291,9948,-11736,-7200,-1204,15417,-4239
1160,3456,8688,20236,5977,4719,-16154,12396,-9920,-6204,651,16477,-6481
1180,6852,-13196,48,-11002,5346,-32768,13436,-10280,-10120,-2481,28760,-6401
1200,12832,-12632,-2716,-6562,7559,-32768,12472,-12020,-9540,-3541,32767,-7647
1220,13536,-10832,-1900,-6584,6745,-32768,14228,-9092,-12372,-3388,32767,-11972
