Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,10112,1992,14828,-251,135,-479,5772,1940,15132,-504,-29,-171
20,9824,1952,14912,-287,13,-556,5724,1828,14968,-537,2,-130
40,9908,2052,14892,-339,-35,-586,5780,1788,14896,-659,79,-131
60,9920,2016,14832,-255,-40,-625,5800,1664,14900,-616,-79,-167
80,9948,2116,14880,-174,-78,-519,5960,1864,14892,-517,-225,-85
100,9868,1892,14968,-213,204,-535,5796,1956,15012,-493,144,-175
120,9808,2072,14784,-207,-1,-566,5660,1816,14980,-526,45,-133
140,9792,2112,14764,-299,26,-579,5716,1860,15004,-623,65,-115
160,10004,2124,14856,-337,0,-553,5432,1888,14992,-547,-226,-82
180,9816,1880,14796,-319,-105,-560,6060,1896,14888,-603,-120,-13
200,10072,2036,14836,-240,87,-523,5872,1824,15088,-512,-5,-143
220,9992,1972,14848,-177,92,-519,5716,1844,14928,-474,-9,-163
240,9908,2084,14844,-237,98,-541,5752,1884,14900,-538,26,-155
260,9908,2016,14932,-342,59,-531,5904,1848,14948,-576,-30,-116
280,9864,1984,14980,-329,75,-553,5804,1776,15068,-556,-80,-117
300,10004,2104,14876,-291,88,-538,5756,1832,14836,-473,-22,-102
320,9872,2112,14980,-257,65,-568,5824,1888,14944,-529,46,-126
340,9896,2012,14868,-303,13,-572,5812,1864,14968,-622,-62,-125
360,9876,1932,14856,-341,-79,-604,5676,1760,15120,-606,-268,-193
380,10180,1888,14748,-301,0,-552,5984,1788,14772,-532,72,-92
400,10092,1984,14928,-244,151,-486,5920,1868,15032,-412,8,-154
420,9904,2068,14968,-185,170,-572,5824,1920,15024,-431,-72,-160
440,9744,2000,14836,-268,31,-563,5680,1916,14868,-622,-122,-102
460,9940,1992,14796,-363,-26,-591,5884,1860,14852,-660,-46,-54
480,9996,1964,14908,-342,-19,-581,5872,1788,15016,-534,-2,-84
500,11228,2368,14800,-144,-283,-522,5872,1736,14828,-499,104,-187
520,9816,2016,14824,-167,134,-559,5744,1852,15004,-549,-63,-170
540,9816,2096,15008,-257,-13,-569,5776,1872,14956,-603,-41,-111
560,9828,1988,14944,-294,-28,-546,5632,1860,15100,-661,51,-54
580,9556,1800,15152,-252,-266,-626,5484,1824,15044,-611,-531,-125
600,8924,2312,15568,-177,-333,-847,5840,1984,15300,-724,-403,-106
620,9120,1880,15540,447,-443,-643,5172,2248,15828,-1050,-853,-21
640,8500,1300,16092,945,-2767,-1227,3940,2080,16748,-1439,-5225,477
660,8908,1976,17052,2082,-7165,-2372,3840,1804,17588,-2262,-10283,714
680,10460,876,16840,3673,-11893,-548,5508,2436,17148,-2669,-13963,708
700,10980,3780,19428,3254,-20537,-583,4932,3436,17952,-3856,-15315,1523
720,11860,4588,20808,3832,-32768,-397,6456,2684,18884,-7185,-26316,3114
740,16772,4392,17660,3748,-32768,-401,10488,2740,16952,-10891,-32768,4363
760,19808,3576,15492,1620,-32768,2526,14124,1172,14980,-13706,-32768,5889
780,22144,5368,10108,-3714,-32768,9383,13812,-644,12688,-15891,-32768,8765
800,19512,3816,5992,-3483,-32768,10941,19064,-632,9404,-17153,-32768,10378
820,20832,3940,-248,-2297,-32768,12411,18104,-2036,7584,-14785,-32768,12852
840,19164,1180,-4960,2867,-32768,13919,17652,-3452,4732,-11743,-32768,14543
860,18156,844,-8084,7446,-32768,13284,18916,-4304,1648,-7536,-31916,15118
880,17184,1396,-8912,8568,-29489,13404,19316,-3152,-2572,-4320,-24080,13975
900,15584,1944,-9688,7750,-16384,14258,19164,-4576,-3108,-572,-12826,13798
920,12720,-1356,-10128,9167,-746,14806,16328,-4660,-2292,3313,-2757,13107
940,10960,-2076,-7532,10336,6462,13268,13908,-5568,-332,6326,3988,12723
960,11100,-2236,-3680,10145,12369,11469,12980,-5284,216,7413,9875,11635
980,12164,-1952,-872,6768,17271,10081,12484,-5532,1460,7796,15189,10156
1000,14448,-1948,268,3151,25327,11536,13320,-5396,3228,8057,21381,8450
1020,14848,-3096,1688,-918,32767,13258,12604,-5348,5148,7499,32767,6118
1040,12392,-4172,3492,-2969,32767,14930,8732,-5716,6708,5712,32767,3885
1060,8864,-6040,5696,-4027,32767,15438,5068,-6128,9168,3918,32767,2379
1080,7620,-7184,8540,-4229,32767,14342,3044,-6468,11340,4428,32767,759
1100,7960,-7428,11308,-5225,32767,14813,1760,-6380,13092,3156,32767,-532
1120,6416,-8644,13808,-7090,32767,14024,1092,-6196,14484,1903,32767,-2559
1140,4848,-9652,14768,-9597,32767,12844,-1364,-6364,14876,389,32767,-5034
1160,1524,-10252,16168,-11324,32767,11184,-4420,-6024,15780,-832,32767,-7614
1180,-1320,-12084,15860,-11149,32767,8119,-7504,-6264,17192,-1422,32767,-9913
1200,-372,-13892,11972,-5263,28411,4129,-5092,-7172,17004,1702,27992,-11938
1220,-2840,-15092,10820,1684,32294,-2795,-3976,-8188,14948,5545,26762,-13861
1240,-3440,-11852,9764,6585,32767,-12031,-2792,-7380,13000,10388,26137,-17018
1260,-4860,-10080,12600,6928,32767,-20087,-3000,-6496,13976,13689,25668,-19583
1280,-1336,-7692,16056,6631,32767,-29922,-2460,-3532,15304,14590,21228,-21167
1300,1468,-6076,19756,6778,32767,-32768,-4312,-3636,14808,13359,14851,-19350
1320,2364,-3020,18664,7199,22323,-30367,-4992,-3576,12828,12021,7276,-17064
