Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,5116,2908,14108,-111,-197,5,1364,1224,17388,364,-273,-237
20,5068,2856,14032,-31,-157,19,1420,1192,17480,332,-242,-263
40,4980,2956,14220,3,-149,-15,1340,1264,17492,373,-268,-267
60,5100,3020,14032,-31,-191,-28,1368,1248,17532,372,-268,-299
80,5264,3056,14048,-119,-236,15,1412,1112,17468,338,-335,-311
100,5140,2940,14160,-103,-232,-5,1360,1184,17496,300,-298,-275
120,5112,2956,14120,-16,-187,-25,1324,1172,17508,315,-277,-300
140,5152,2960,14068,-34,-221,-5,1332,1136,17392,311,-282,-278
160,5112,2880,13988,-131,-216,49,1304,1140,17376,332,-287,-284
180,5108,2968,14008,-116,-195,-10,1340,1212,17272,338,-203,-244
200,4972,2888,14104,-26,-170,2,1252,1188,17464,367,-253,-254
220,5116,2936,14088,13,-167,-5,1264,1196,17488,317,-311,-256
240,4964,3052,14000,-37,-182,5,1400,1204,17468,275,-349,-272
260,5128,3080,14212,-143,-288,60,1536,1200,17248,278,-357,-333
280,5020,2888,14080,-81,-226,22,1372,1232,17464,307,-306,-290
300,5180,3024,14028,-25,-160,-34,1316,1204,17312,294,-280,-269
320,5100,2884,14132,31,-206,-18,1280,1164,17404,324,-318,-248
340,5088,2960,14140,-91,-249,35,1284,1344,17468,294,-308,-233
360,5040,2860,14180,-96,-282,73,1364,1180,17512,340,-428,-211
380,5172,2816,14208,-24,-344,58,1380,1172,17500,351,-405,-224
400,4940,2876,14128,99,-412,45,1408,1196,17416,436,-404,-233
420,5100,3064,14260,249,-525,114,1400,1192,17620,511,-360,-278
440,5456,3176,14512,538,-847,196,1072,1112,17768,642,-502,-331
460,5272,3412,15108,1526,-1869,619,-32,1056,18452,806,-1796,-143
480,4584,4064,16268,2590,-4651,1892,496,1868,18604,636,-3561,164
500,5208,4968,15968,2518,-7466,3400,1296,2232,19420,123,-4479,810
520,6608,4356,14908,5358,-9829,4730,460,2520,20992,-751,-5648,1371
540,10692,7320,17636,6879,-16581,7029,5584,4464,20344,-2269,-10136,3611
560,11504,4916,15892,6879,-18762,11098,5448,4900,20816,-4505,-11864,5647
580,13060,9456,13560,9017,-22805,14407,7048,3804,20620,-6077,-23712,8361
600,16384,7956,13928,10836,-30973,16162,9476,2420,19152,-7044,-27645,10925
620,19588,7228,10380,8679,-27107,19706,11272,1448,18316,-7582,-26382,13071
640,18144,6468,9284,9529,-22251,20803,11252,680,17736,-7950,-23107,14882
660,16476,6208,8016,10569,-22443,21548,9760,708,15992,-7897,-24912,16066
680,16484,5632,6120,13203,-27781,23528,9876,-1628,14704,-7747,-30419,17146
700,18336,4396,4852,17010,-28427,25050,14000,-3128,12752,-9961,-28756,18574
720,18456,3928,4236,18923,-24438,24809,12544,-2968,12492,-5826,-29098,19494
740,16964,3112,3884,19626,-20334,24257,11368,-4020,11060,-4299,-28029,19767
760,15184,2292,2880,20347,-17825,23985,10864,-4640,9724,-2580,-26514,19457
780,14080,1484,2852,21301,-16862,23871,9560,-5364,9216,-1081,-26352,18987
800,13324,296,2068,22045,-16480,23214,10328,-5984,7996,980,-27614,17835
820,14140,-160,2352,22597,-14375,21075,11464,-6864,7996,3448,-25521,16817
840,13776,120,2780,22398,-8466,18379,12608,-6700,8300,4923,-19680,16608
860,12408,-416,3676,21598,-4441,14450,10192,-6992,8256,5237,-16280,15470
880,12064,-784,4344,21702,-4983,12531,10220,-7312,7884,5423,-14968,13749
900,11264,-1080,5224,21258,-4590,11459,8844,-7704,7948,5967,-14116,12185
920,11064,-1468,5272,20916,-4790,9029,8360,-7476,7640,6343,-14724,9955
940,12116,-2012,5056,19544,-5243,6869,9836,-7484,6524,6000,-13854,8052
960,12300,-2004,4956,17140,-3189,5420,9896,-7580,6536,6961,-11927,7172
980,12016,-1820,5460,15897,-4675,3834,9056,-8704,7512,7435,-12310,5299
1000,12616,-2072,5576,15349,-5377,2966,11444,-8416,7524,6974,-8463,3696
1020,14024,-1164,6228,13833,-5212,96,10912,-8316,8380,5772,-5556,2620
1040,14920,-528,6728,11134,-4017,-2210,11884,-8260,9036,5524,-4179,1220
1060,14392,2684,8756,7979,-8689,-3450,8988,-7108,10560,4862,-6813,3
