Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,7492,4416,12908,10,-195,-49,4808,3600,16444,417,-243,-289
20,7124,4352,12872,-25,-209,2,4828,3604,16376,446,-238,-290
40,7336,4472,12860,-162,-284,62,4880,3608,16440,405,-238,-284
60,7360,4468,12872,-100,-220,42,4868,3564,16644,459,-246,-330
80,7328,4404,12840,13,-209,-58,4836,3524,16688,472,-255,-385
100,7380,4400,12952,123,-371,-69,4684,3456,16588,369,-409,-322
120,7228,4448,12692,113,-384,-11,4772,3604,16232,385,-407,-291
140,7356,4524,12676,140,-354,-52,4888,3524,16300,492,-296,-338
160,7408,4348,13044,232,-295,-73,4828,3508,16648,618,-56,-267
180,7320,4524,13004,312,-368,-22,4916,3612,16736,635,-126,-324
200,7408,4484,12928,432,-438,13,4748,3640,16584,513,-58,-310
220,7360,4584,12900,671,-570,-25,4748,3696,16740,457,-237,-243
240,7228,4260,13232,1208,-1050,120,4340,3612,17228,290,-829,-88
260,6860,4536,14016,1753,-2317,646,3928,3828,17620,-138,-1643,283
280,6792,4868,13960,2210,-4427,1024,4672,4292,18516,168,-3783,41
300,8100,5904,15008,3261,-7271,939,4816,5168,18516,-504,-5519,1054
320,8620,6676,15376,2548,-11640,2883,3744,4788,18116,-2018,-9022,2123
340,9500,7004,15384,1421,-16097,4871,5392,5108,18268,-2702,-13826,3586
360,11808,7772,13616,2154,-20882,6452,7228,6172,19328,-3929,-19586,5870
380,14788,7608,12200,3829,-23563,7879,11056,5844,17872,-4841,-22910,7619
400,16344,7896,11240,4662,-21906,8720,12464,4800,16644,-6315,-21238,10103
420,16344,7384,9836,3944,-19492,10018,12796,3508,15204,-6846,-19198,11515
440,16508,6972,8132,4327,-18466,11091,14004,3404,14628,-6522,-18414,12347
460,16112,6492,5504,7483,-18531,11904,11964,3084,14992,-6534,-20961,14858
480,16104,5460,2988,15030,-24602,13297,11340,1676,14048,-5124,-29028,17705
500,18284,6060,308,23740,-29601,14635,13620,420,11648,-2647,-32768,20477
520,20664,7384,-1240,29225,-28116,15531,17632,-256,7944,297,-32768,22455
540,20632,8140,-3520,31406,-22151,15860,17228,-912,5724,2623,-31853,23835
560,20520,7432,-4664,32767,-17395,17116,17948,-2520,3440,5569,-29761,24175
580,19296,5824,-5420,32486,-10631,18583,16444,-4004,2124,9346,-26251,24410
600,16492,3972,-4936,32767,-8070,19998,14320,-5036,1928,12841,-26377,24125
620,15072,4076,-4528,32767,-6965,19357,15572,-5080,952,16486,-25308,22857
640,15392,4384,-4752,32767,-1671,16201,16664,-4752,1068,18232,-20332,21246
660,13332,3028,-4080,32767,5720,12864,14044,-5296,1780,19880,-17125,19199
680,11972,1684,-4064,32767,7396,10101,12548,-6684,1456,21909,-16112,17350
700,11664,1536,-3492,32767,6135,8311,11268,-6568,1592,23838,-15875,14886
720,11004,2084,-1324,32767,5308,6855,11152,-6456,2488,25227,-14598,12441
740,9900,3004,280,32767,6197,4878,9216,-6088,5388,26150,-13745,9722
760,8524,4384,2100,32767,5282,3420,7380,-5008,7128,25461,-17394,7223
780,7924,3916,3348,32767,442,2603,5760,-6072,8120,23951,-21559,4071
800,8888,7008,4820,32767,-6521,1861,8964,-5064,8288,23478,-26564,1393
820,12696,9780,6372,32767,-7548,466,13128,-1716,6924,18876,-25480,-1390
840,14884,8884,5908,32767,-4231,-1688,14984,-4292,5300,15675,-21404,-3169
860,11608,8288,3020,30854,-1463,-2899,14816,-5616,7012,10709,-18853,-1874
880,22944,19200,25328,-525,-3436,3360,19684,896,9428,1383,-8816,-3801
900,18884,11512,2564,-6994,-3783,6097,16308,-2804,10568,-4354,-7481,-2291
920,17128,1212,-7528,-364,-1450,3685,19776,-7256,352,-2864,-7385,-581
940,20076,180,-2080,2695,-3697,1954,17380,-8044,120,-1155,-5535,-1061
960,18084,4044,4140,2528,-4890,2669,15680,-6904,5884,-1642,-3139,-590
980,18328,4520,4628,1519,-4606,2696,15560,-6476,4388,-3538,-4438,-885
1000,21480,1884,548,-1332,-3959,3607,18872,-7916,-224,-3873,-2364,152
1020,23964,1948,2032,-7025,-3545,5472,20188,-8888,-1100,-2688,1851,2044
1040,22452,3252,3572,-16574,-2957,6975,19144,-8868,1636,-1297,5578,3426
1060,21308,5324,3104,-23436,3410,7038,18980,-7216,3836,-1022,8819,4339
1080,20624,3512,3040,-29230,7671,9372,17972,-8028,-336,-1700,13227,5183
1100,19652,-8,2364,-32768,7839,8735,19312,-11464,-2520,-1227,19930,3168
1120,17532,-504,-1980,-32768,9867,7394,12020,-8356,2296,-233,23563,1060
1140,19192,848,-2652,-32768,7445,9645,11264,-7464,6516,-1756,17876,1572
1160,15144,-1412,444,-27696,4471,13164,10788,-7724,7288,-3630,12170,3716
1180,16828,1296,-460,-23011,-2010,14750,15780,-5240,9600,-5579,6811,4553
1200,21124,856,2448,-21111,5334,11726,19840,-5448,9736,-6433,13055,3823
1220,19776,300,5072,-24600,15086,9547,17848,-6176,7192,-10282,21645,2226
1240,17508,-648,4840,-29456,18823,8480,13896,-7212,6548,-14318,26158,559
1260,16316,-1820,3648,-32768,21707,9250,12332,-8044,6016,-17565,29587,-1017
1280,15964,-3052,1440,-32768,26037,6810,12848,-8576,5448,-19501,32767,-3664
1300,13756,-4584,-768,-32768,29916,5269,8720,-9736,3904,-19857,32767,-6208
1320,13108,-5444,-1884,-32768,26274,6452,8000,-10052,5192,-19371,32767,-6585
1340,12300,-6332,-3372,-32768,20307,6553,8320,-9432,5808,-17939,25939,-6467
1360,13208,-6576,-6988,-29474,13304,5118,11076,-8500,5812,-15487,17086,-5768
1380,18396,-6656,-11792,-19490,9415,3077,17016,-8180,2984,-10637,11876,-4198
1400,20984,-6824,-12980,-11003,10921,1963,19108,-9012,1540,-5754,11720,-2569
1420,21076,-6812,-10516,-4145,10661,3408,17584,-9800,976,-1095,10764,325
1440,21052,-7072,-7836,-464,10928,6815,16376,-10040,2288,1577,11040,3270
1460,21016,-6684,-4036,-152,14213,10356,16716,-9948,3240,2787,15156,5387
1480,21200,-6396,-1488,-3013,24317,14565,15828,-9688,4000,2388,26894,6153
1500,19088,-5168,-316,-9247,32767,21464,13184,-9016,3412,168,32767,6133
1520,12220,-7228,1332,-13644,32767,26199,5968,-8992,8492,-2493,32767,5670
1540,5000,-10708,1708,-11166,32767,28037,704,-9744,12044,-3009,32767,5981
1560,-1396,-13212,4276,-6578,32767,27170,-996,-9828,7908,-3707,32767,4972
1580,-4836,-13356,-1592,-6415,32767,25803,-4492,-9804,10940,-2167,32767,3992
1600,-10772,-16952,352,3150,32767,16771,-7044,-12448,11464,1391,32767,-237
1620,-13424,-16488,2340,5214,32767,3635,-7876,-12108,8900,4507,32767,-4951
1640,-15228,-13940,4524,6343,32767,-7175,-10628,-11112,8712,6704,30290,-8844
1660,-15452,-16288,1084,10925,32767,-18528,-7692,-11080,11344,11481,24402,-12703
1680,-9936,-12176,5612,17141,27508,-27759,-8816,-11600,7256,13636,20402,-14828
1700,-7860,-12876,6792,13551,28472,-26771,-11600,-11372,8216,14151,15705,-13577
1720,-6168,-12012,6552,19327,18005,-22227,-9076,-11432,10056,15564,10480,-12360
1740,-3496,-10276,9804,16894,16659,-22505,-4444,-9288,12596,16446,7888,-12735
1760,-1452,-10344,13396,16066,16746,-25471,-4880,-8732,15920,14756,8575,-12346
1780,1732,-7896,15528,17837,12899,-23930,-4628,-7204,17184,13449,6762,-11226
1800,3764,-5400,17616,17666,9583,-19866,-2992,-5348,18260,11383,5123,-9275
1820,5772,-3144,21500,12026,5666,-13034,-3780,-4592,17520,8309,2528,-6870
1840,6512,-4108,21156,4460,1248,-5078,-2432,-4820,18508,5503,-728,-4611
1860,4920,-6496,17320,889,-406,-2695,108,-5356,20152,3283,-1937,-3828
1880,4304,-6596,16160,2362,175,-4359,100,-5104,19084,1577,-1619,-3719
1900,4300,-5920,15820,1949,-1606,-4467,-1388,-5360,16432,-42,-2425,-2960
1920,4484,-6348,14748,-196,-3137,-2718,-1680,-6176,15364,-1206,-2761,-1911
1940,4296,-7232,12752,-1979,-2764,-1038,-1552,-6844,15180,-1965,-1758,-1394
1960,3080,-8772,10564,-846,-2432,-519,-2044,-7584,14748,-1826,-2007,-887
1980,2304,-9160,9388,2085,-3890,-819,-2400,-8136,13468,-782,-3843,-372
2000,2300,-9264,8684,3472,-4130,-1516,-2088,-8608,11552,82,-3947,-104
2020,2064,-9240,8552,3508,-3328,-1289,-3112,-8948,11408,1455,-3572,-203
2040,1268,-9784,8268,4746,-2813,-1124,-3224,-8660,12004,2727,-3275,-359
2060,604,-10268,8472,8054,-2759,-2026,-3716,-8864,13128,4168,-3678,-575
2080,344,-9784,8612,12068,-4611,-3233,-3876,-8900,12800,6095,-5198,-1328
2100,704,-8416,9164,13596,-5553,-4525,-3200,-8236,12088,7265,-5669,-1750
2120,1008,-6800,9768,13175,-5070,-4999,-3456,-7184,11436,8333,-6554,-2814
2140,1336,-5768,9804,11622,-5655,-5181,-3028,-6288,12052,9281,-8231,-3568
2160,2968,-5252,9280,12377,-5779,-5426,-504,-6296,12064,9989,-7188,-4038
2180,2796,-5212,8240,12745,-1615,-6520,-1724,-6148,11636,10668,-5637,-4696
2200,780,-5352,7284,13810,-2150,-6666,-3392,-5936,10588,12539,-7718,-4993
2220,-1008,-4036,6648,15585,-6986,-6592,-2188,-4684,10016,14726,-12071,-5976
2240,3140,-2900,6880,17056,-8307,-8204,2348,-4428,10436,16855,-10545,-7245
2260,4268,-2112,7780,16349,-3153,-10530,2280,-4064,11180,18071,-6236,-8508
2280,3984,-1568,7628,16861,-964,-10980,632,-3788,11920,19856,-3605,-8336
2300,3592,1368,9552,19975,-3470,-10086,1232,-548,15568,22456,-8038,-8133
2320,6976,4784,13272,21612,-3395,-11584,5724,1624,17076,22058,-6582,-7801
2340,8656,5964,15164,19491,-418,-12123,4328,2108,17620,21278,-4479,-7045
2360,7380,5192,15952,18151,-1130,-9285,936,1704,19136,21895,-7657,-6767
2380,7208,7884,16892,18826,-3760,-6887,5628,4932,21248,20364,-7316,-5927
2400,10332,11220,19632,16140,3389,-8541,8552,6952,21576,16482,-1389,-5253
2420,10044,9856,20204,11407,9301,-8215,6056,6488,21960,12947,3319,-5080
2440,5232,8768,21536,10977,3717,-4939,-840,6412,25484,13081,-2811,-3860
2460,24220,28152,32767,1581,-32731,3522,-2036,12656,32767,8161,-28643,401
2480,4520,-4252,13024,-9742,-1812,11214,21116,2956,32767,-6351,-2785,496
2500,5136,1732,11816,4791,2735,-2980,7868,2776,13808,-3190,-1416,-1559
2520,6444,4692,8080,5191,-4886,-3861,2436,240,8200,105,-3711,605
2540,6592,4344,7208,583,-198,-120,3380,1460,9656,2226,-1418,-310
2560,5808,6000,11688,-2796,2620,702,3700,3232,13048,2977,390,-54
2580,7800,6080,17892,-5987,-926,2237,4916,6028,21992,1299,-852,-41
2600,5624,3860,14820,-2027,-589,1264,6104,4696,22416,-530,-1257,-23
2620,6832,4184,13336,900,-633,-254,4856,2692,16260,-495,-1545,-36
2640,5636,4464,11408,272,-318,-384,4240,2936,14732,-399,-1077,-298
2660,6548,5864,13556,-883,-160,-187,4564,4464,16172,-244,-377,-634
2680,5896,4932,12764,-838,-547,-25,4672,3760,16824,-260,-383,-569
2700,6620,4792,13444,-500,-164,50,4568,3652,17148,-167,-317,-439
2720,5936,4764,13272,12,-323,-25,4244,3504,16628,34,-425,-374
2740,5924,4992,12924,28,-521,125,4300,3684,16384,36,-651,-240
2760,6364,5264,13156,-199,-569,211,3888,3404,16544,300,-1248,-48
2780,6212,4884,13060,-370,-656,279,4808,3580,16364,326,-915,-223
2800,6844,4916,13116,-550,-355,331,4992,3660,16652,289,78,-212
2820,6328,4864,13000,-451,-308,149,4640,3576,16768,246,-165,-315
2840,6372,4792,13244,-146,-329,113,4640,3696,16748,248,-481,-318
2860,6404,4844,13104,24,-575,57,4328,3528,16700,188,-1004,-289
2880,6312,4552,13160,135,-866,93,4636,3312,16784,258,-1375,-284
2900,6604,4804,13188,166,-968,64,5020,3376,16452,227,-1374,-243
2920,7004,5056,13096,278,-611,-49,4964,3656,16948,458,-1108,-222
2940,6840,5112,13324,529,-707,55,4820,3728,16844,428,-1035,-266
2960,5824,4504,13620,984,-1689,564,4532,3588,16912,189,-1894,292
2980,6376,4760,13140,1154,-2673,610,4684,3304,16256,271,-2196,410
