Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,124,3696,17504,-271,-17,-525,-3260,-572,15260,-545,-13,-92
20,148,3808,17492,-266,-21,-500,-3328,-564,15400,-565,-5,-107
40,124,3760,17408,-258,29,-519,-3316,-588,15372,-602,18,-125
60,36,3772,17672,-257,32,-535,-3292,-624,15332,-576,30,-78
80,84,3756,17476,-258,-5,-505,-3380,-584,15284,-542,12,-128
100,172,3816,17620,-243,-39,-502,-3208,-588,15220,-587,-1,-124
120,196,3768,17532,-281,36,-508,-3248,-540,15372,-580,4,-118
140,124,3764,17444,-303,82,-537,-3304,-604,15392,-552,139,-140
160,-8,3760,17484,-300,85,-556,-3316,-552,15404,-510,126,-88
180,16,3712,17528,-265,10,-520,-3236,-600,15296,-562,25,-133
200,156,3680,17284,-264,31,-523,-3248,-584,15344,-603,-38,-125
220,128,3688,17568,-278,15,-525,-3288,-636,15424,-549,70,-110
240,144,3676,17500,-273,8,-499,-3316,-712,15276,-579,-9,-138
260,56,3732,17556,-285,15,-501,-3288,-584,15548,-623,-65,-133
280,52,3840,17480,-314,-15,-522,-3220,-604,15436,-588,-72,-107
300,160,3696,17484,-261,-38,-550,-3280,-636,15424,-588,16,-118
320,48,3768,17584,-267,-1,-546,-3180,-612,15324,-593,-1,-130
340,28,3768,17452,-267,-16,-527,-3408,-604,15440,-591,-75,-122
360,140,3716,17544,-263,-13,-550,-3356,-604,15276,-564,10,-130
380,188,3688,17488,-242,-29,-524,-3260,-608,15276,-553,-39,-136
400,148,3764,17436,-286,11,-560,-3164,-608,15408,-592,-3,-150
420,192,3784,17436,-288,59,-554,-3196,-652,15304,-605,99,-137
440,44,3772,17540,-330,83,-546,-3344,-568,15376,-579,130,-100
460,80,3752,17536,-292,20,-571,-3404,-564,15400,-553,28,-146
480,8,3652,17468,-288,7,-555,-3308,-676,15236,-575,-2,-140
500,204,3772,17468,-262,37,-524,-3076,-632,15376,-587,29,-110
520,212,3656,17404,-315,117,-515,-3136,-688,15224,-564,292,-101
540,76,3688,17416,-324,151,-564,-3484,-600,15396,-519,276,-94
560,-204,3656,17476,-274,12,-545,-3608,-604,15448,-574,-86,-79
580,40,3852,17520,-183,-173,-496,-3212,-520,15440,-583,-218,22
600,368,3888,17736,-173,-217,-456,-2784,-628,15792,-656,109,214
620,912,4244,17880,59,129,-373,-2720,-704,16056,-772,646,371
