Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-11892,5340,5280,-323,-80,223,-10544,9760,7652,466,-404,-415
20,-12964,5188,5224,-263,375,193,-11364,9692,7876,431,-374,-355
40,-14636,5420,5124,-183,-401,78,-11396,9692,7848,520,-581,-183
60,-13068,5520,5404,-257,-922,175,-11124,10004,7688,540,-546,-218
80,-12012,5384,5244,-228,-504,233,-10252,9844,7672,510,-500,-402
100,-12404,5208,5216,-351,239,273,-10916,9636,7716,452,-378,-437
120,-13720,5184,5368,-198,278,191,-11204,9540,7960,490,-351,-331
140,-13640,5360,5316,-72,-229,293,-11056,9924,8008,617,-119,-267
160,-12336,5552,5352,-267,-202,366,-10576,9948,7648,629,-127,-388
180,-12472,5408,5192,-246,299,217,-11000,9896,7736,533,-192,-397
200,-13716,5260,5268,-87,246,16,-11336,9804,8064,444,-306,-236
220,-13628,5532,5436,-292,-408,180,-11144,10048,7988,495,-410,-226
240,-12444,5560,5316,-265,-262,338,-10452,10020,7640,407,-155,-379
260,-12312,5276,5332,-205,471,288,-10924,9720,7656,251,-146,-450
280,-13492,5112,5356,0,581,214,-11328,9840,7620,97,-29,-363
300,-13800,5356,5208,12,-87,244,-11100,9900,8108,225,-270,-346
320,-12976,5552,5000,-168,-373,150,-10592,9824,7972,287,-265,-466
340,-12228,5340,5304,-367,-30,46,-10888,9828,7436,304,-183,-430
360,-13236,5236,5272,177,212,-105,-11052,9640,7540,197,-137,-400
380,-13708,5300,5256,67,-219,-129,-11316,9756,7676,285,-164,-218
400,-12932,5264,5540,126,-497,-73,-10732,9832,8016,428,-293,-303
420,-12172,5684,5128,37,-125,79,-10380,9876,7472,497,-351,-399
440,-12468,5456,5204,-164,600,204,-10992,9872,7236,437,-14,-380
460,-14044,5320,5260,188,317,271,-11448,10100,7596,325,260,-258
480,-13468,5216,5496,188,-148,237,-11216,9800,8404,500,-73,-313
500,-12588,5548,5340,-257,-202,325,-10672,10004,7952,555,-346,-360
520,-12632,5456,4716,-157,302,240,-11000,9880,7268,407,-430,-243
540,-13788,5488,4868,52,53,113,-11360,9844,7548,329,-247,-162
560,-13308,5272,5364,-89,-231,180,-10984,9748,7876,364,-31,-222
580,-12568,5324,5404,-234,-35,258,-10552,9904,8224,488,-330,-325
600,-12488,5468,5120,-564,323,264,-10696,9728,7968,625,-423,-412
620,-13660,5456,5236,-804,759,581,-10664,9964,7644,450,-5,-355
640,-14016,4904,6208,-1398,638,1561,-10776,9732,8112,532,1149,-414
660,-13556,4600,6676,-1673,1302,2679,-10184,9632,8976,786,1283,-453
680,-15388,4772,6724,-3406,3779,6066,-9376,9456,9044,1617,2188,-446
700,-16532,4668,7936,-6389,9644,13474,-7960,9716,7772,2222,7857,190
720,-16564,2708,11072,-10545,18735,25024,-9380,9964,8716,4005,15213,621
740,-15776,-1576,14920,-7975,21544,30635,-10616,8752,10300,5507,17699,293
760,-25928,1608,11320,-9116,12115,32767,-10664,8268,9748,8053,17917,-275
780,-24500,-3108,7764,-20831,-4816,32767,-16432,8112,10292,11210,13591,1084
800,-3312,-956,6592,-11824,-243,32767,-11780,7420,12084,14895,11565,1531
820,-7560,24,9384,-2912,3846,31605,-13748,7584,8008,17692,14167,795
840,-6944,2324,8608,16530,-5988,13564,-16644,8192,3144,18447,7543,1731
860,-12520,11272,-372,20844,-14600,8546,-13376,9636,1540,17962,17,2863
880,-5792,17376,-4192,19192,-10871,12800,-12616,10428,1308,18206,1310,3613
900,-4248,17280,-2924,15050,-8298,12977,-12548,10780,-1000,17388,2801,3482
920,-2508,16188,-2004,12375,-11712,5067,-14576,11576,-2332,15309,-3352,3665
940,-3196,15900,-2352,11293,-18002,-4457,-15828,11420,-3808,13126,-13854,3614
960,-4836,18788,-3552,9050,-22868,-12005,-14032,12540,-4336,11207,-21536,3092
980,-2520,18376,-2648,8150,-23249,-14591,-12108,13048,-5384,8632,-21313,2514
1000,-1476,17412,-1488,7947,-20724,-14673,-10092,13968,-4096,6067,-18862,1685
1020,-3780,16604,136,7232,-19673,-15232,-10452,13096,-396,3862,-18634,466
1040,-9416,15724,2396,3769,-23066,-17495,-11804,13204,1920,3253,-23056,-155
1060,-10268,15228,4756,1213,-26332,-18701,-11452,13764,3736,3621,-28687,-929
1080,-10680,14264,6564,-1156,-31757,-21599,-11128,13648,6836,3948,-32768,-2308
1100,-17260,12240,10084,-5906,-32768,-31676,-13292,13192,11536,5293,-32768,-5100
1120,-24428,6164,17408,-9547,-32768,-32768,-14348,14664,12024,7070,-32768,-8018
1140,-12392,6036,13580,-14048,-32768,-32768,-11016,18140,7836,5962,-32768,-13437
1160,9516,9684,13528,11513,-32768,-32768,4072,15396,9388,7117,-32768,-19808
1180,27160,13556,5344,32767,-32768,-32768,3624,11620,9700,6923,-32768,-24114
1200,24232,12444,-12984,32767,-32768,-32768,8748,14176,4312,1182,-32768,-24818
1220,5396,19248,-17740,32767,-32768,-32768,9956,21456,-2732,-7112,-32768,-24335
1240,-1000,6200,1468,-4157,-32768,-32768,8980,11144,7524,-14930,-32768,-27246
1260,5508,-5852,21572,-8317,-32768,-25524,-2928,-2200,19204,-17743,-29633,-23777
1280,-6992,-8516,32767,-15463,-32768,-17455,-7200,-8584,23980,-13453,-16977,-16502
1300,-9504,-1040,32767,-2192,-13309,-14543,-9116,2016,24644,-10956,-8918,-11879
1320,-11368,3992,18616,-3212,-8500,-11525,-6064,4432,19444,-8681,-4733,-8864
1340,-6644,3200,8636,-5369,-9633,-7307,-2120,5964,15168,-7986,-6741,-8272
1360,-6040,2496,12428,-10488,-6843,-2981,-756,-484,19100,-6098,-4581,-7590
1380,-2472,-1260,22176,-12935,2603,-43,-2416,-152,16304,-4082,1478,-4611
1400,-4444,760,25032,36,3687,-2149,-3936,1144,16644,-2617,405,-2148
1420,-3116,3452,15912,2929,-1832,-270,-1724,2272,17812,-1024,-2720,-1263
1440,-156,5300,11084,-422,1040,-292,-1060,3232,16524,-20,-683,-507
1460,-3388,6020,11472,-3501,5286,1417,-1148,4356,16508,941,1221,28
1480,-1752,6000,14436,-442,1893,1931,-1012,5876,14648,891,-576,276
1500,512,6588,12696,1914,694,1405,-336,6500,14268,352,-324,14
1520,432,7520,10884,288,5119,1232,-280,6308,15148,103,1823,-300
1540,-1760,8308,9188,-666,6558,250,-252,6296,16980,544,2162,-301
1560,-3148,7976,12804,-913,1822,46,-488,7184,16164,795,381,-8
1580,-1564,8272,12672,-1132,70,1727,1016,6964,15512,786,389,-15
1600,4,7636,12024,-2858,3254,2713,52,6384,15908,861,2048,81
1620,-1056,6476,12976,-3952,4124,2225,-804,5872,16236,1117,2300,235
1640,-2140,6052,14760,-929,2111,1583,-628,6048,16044,1083,1000,398
1660,-2616,6612,13648,-801,3414,2600,-460,5336,16752,1488,2172,795
1680,-3104,5724,14404,-3280,8716,4258,-1072,4448,17708,2407,5714,1714
1700,-4860,5668,13444,-6530,16826,6806,-1612,4172,17940,3612,10199,2991
1720,-8216,5116,10992,-13414,28060,11781,-1968,2716,18880,5889,16751,4927
1740,-13236,3504,9916,-22238,32767,18514,-2796,3648,16936,6640,24901,7737
