Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15040,3240,-1376,-347,-216,132,-13844,8344,2124,302,-211,-319
20,-15072,3128,-1008,-119,-15,-6,-14116,8308,2048,363,-208,-265
40,-15256,3344,-1132,169,-205,-138,-13864,8368,1984,361,-418,-200
60,-15388,3468,-1580,193,-316,-11,-13500,8396,2028,407,-276,-244
80,-15060,3388,-1464,-211,-198,83,-13580,8400,1940,389,-147,-309
100,-15156,3480,-1404,-455,-174,100,-13848,8296,1828,342,-174,-372
120,-15624,3404,-1560,-219,-69,201,-14160,8312,2072,266,-74,-292
140,-15388,3212,-1508,-177,-237,146,-14160,8248,2188,292,-247,-210
160,-15352,3008,-1272,-256,-303,21,-13772,8232,2260,362,-350,-120
180,-14952,2972,-1044,-131,-266,81,-13752,8324,2144,377,-113,-183
200,-14972,3008,-1084,292,-429,-92,-13824,8320,2120,378,-323,-241
220,-14940,3200,-1784,65,-385,-14,-13556,8224,2028,383,-414,-344
240,-15228,3396,-1504,-271,176,161,-13644,8352,1936,365,-129,-442
260,-15496,3540,-1112,-117,169,64,-14576,8440,1836,344,-177,-366
280,-15668,3360,-1736,20,-371,-33,-14072,8412,2124,301,-445,-246
300,-15236,3152,-1256,-179,-237,68,-13676,8320,2152,327,-359,-174
320,-15000,3132,-852,-247,-513,81,-13600,8272,2064,411,-394,-228
340,-14984,3264,-1040,-121,-344,96,-13672,8416,1888,452,-334,-367
360,-15044,3512,-1404,85,-55,-136,-14004,8408,1904,405,-302,-300
380,-15392,3436,-1536,-37,-87,-82,-13744,8336,1912,420,-333,-254
400,-15080,3352,-1752,-336,-156,89,-13432,8148,1892,418,-171,-238
420,-14828,3284,-1312,-687,-254,353,-13388,8296,1908,352,53,-370
440,-14936,3184,-988,-524,-368,191,-13996,8284,1848,313,-51,-444
460,-15352,3332,-1512,-427,-575,49,-14204,8168,2032,269,-225,-495
480,-15332,3380,-1868,-316,99,142,-13796,8348,2124,231,17,-452
500,-14900,3104,-1144,-594,422,142,-13872,8440,2112,282,103,-456
520,-15144,3184,-1260,-1010,443,-91,-13848,8560,2264,245,-185,-415
540,-15784,3260,-1668,-1388,474,-199,-14104,8520,2128,209,-151,-427
560,-15532,3604,-1052,-1643,506,-226,-14432,8584,2244,248,-214,-258
580,-15448,3228,-892,-999,151,-324,-14112,8544,2180,180,-513,-32
600,-15168,3312,-1396,-877,-213,-318,-13616,8540,1976,237,-505,-55
620,-15200,3344,-1488,-867,-554,-186,-13512,8368,1824,236,-339,-117
640,-14988,3612,-1924,-956,-774,-18,-13572,8296,1852,117,-252,-158
660,-14752,3444,-1848,-1345,-393,-202,-13896,8216,1916,26,-299,-79
680,-15036,3172,-944,-1890,-278,-375,-13876,8208,2104,101,-564,-132
700,-15648,2952,-568,-1500,64,-316,-13612,8168,2048,261,-502,-170
720,-15764,2940,-1368,-1162,11,304,-13440,8320,2088,409,-251,-258
740,-14840,3208,-1344,-1098,99,561,-13740,8300,2104,446,-96,-294
760,-14580,3136,-800,-421,60,104,-14484,8388,1992,373,-270,-230
780,-14496,2840,-1296,-531,728,-502,-14344,8492,2348,172,-547,-28
800,-15960,2876,-940,-2126,2145,-429,-13844,8464,2640,331,-482,-23
820,-17152,2548,688,-1689,2325,253,-13636,8476,2760,470,-54,43
840,-17212,2280,3152,-2944,6302,1837,-13156,9076,3096,35,-1368,-342
860,-15680,2720,1912,-7832,11525,3768,-14240,10120,3468,-467,-467,-423
880,-14312,1036,4348,-9539,16072,4056,-14596,10576,3616,-932,258,-850
900,-12796,-3120,1804,-10803,13126,-483,-17912,12104,7484,-530,-1754,-411
920,-12604,-3824,-10216,-18604,8643,-9724,-15772,10928,9932,1618,-8011,787
940,-26244,1076,-7060,-20002,11789,-12894,-12588,10720,7924,3496,-8624,1115
960,-25276,72,-2400,-14767,2443,-9546,-15672,11620,7168,4826,-6261,2465
980,-24320,-5400,2156,-4629,-1862,-8690,-17056,10616,8696,6781,-6326,4220
1000,-17468,-5132,-1312,3621,-8651,-17190,-20128,12272,9148,8943,-14504,7243
1020,-20644,-4908,2480,7664,-11704,-21968,-15316,12500,6120,10656,-20483,8483
1040,-24408,-5828,5684,10970,-14347,-20553,-11836,12376,4636,11858,-23281,8277
1060,-21700,-7840,8724,17440,-13681,-14626,-11752,13188,3316,12643,-23728,7048
1080,-15924,-15492,18408,32767,-13412,-13447,-19336,13484,996,12035,-32023,6036
1100,-10900,-31484,28100,32767,-16145,-25822,-29020,13500,-5540,10046,-32768,5598
1120,-29872,-32768,21912,32767,-32768,-32768,-14956,14876,-15124,3293,-32768,3127
1140,-32768,-32768,-1432,32767,-32768,-32768,11884,22520,-20160,-6129,-32768,-4580
1160,-32768,-22000,-32768,32767,-32768,-32768,26088,24156,-12144,-21390,-32768,-13531
1180,-14312,2896,-32768,32767,-32768,-17219,21852,9676,10164,-26256,-32768,-21824
1200,940,3212,-21816,32767,-32768,-7514,6976,-3124,23532,-22758,-32768,-21827
1220,-4780,-6656,3696,1387,-21773,-15498,-244,-7948,22340,-18638,-21856,-15967
1240,464,336,18776,-5593,-21076,-15449,-3376,-10492,24432,-15083,-5841,-10463
1260,-13296,-4760,20940,-678,-7760,-2620,-6976,-7724,22112,-11645,-7738,-6276
1280,-8232,-3244,21948,-2266,-10500,-105,-4264,-4732,19504,-7791,-7174,-4920
1300,-5540,-1700,17840,1332,-3725,-90,-4716,-3800,18824,-3951,-9257,-1923
1320,-4860,712,17088,-211,799,-704,-2716,-1512,17800,-1064,-688,-854
1340,-5268,3176,15664,178,-1063,-1044,-3772,708,17140,-547,-736,1002
1360,-5152,4412,13536,1298,-3954,630,-1684,2964,16720,-33,-1685,1364
1380,-2992,5216,11500,3366,-3667,1240,-996,4168,16868,1275,-1473,116
1400,-2348,6604,10192,3136,-896,867,-632,4072,17260,1650,-57,352
1420,-2912,7440,11936,-633,1085,596,-1292,4924,16372,1512,-198,1124
1440,-2860,7168,13548,-962,-1139,216,-564,5596,16268,1419,-159,957
1460,-2236,7288,14036,624,-4242,384,-200,5636,16060,1006,-1698,964
1480,-768,8184,11804,2042,-1537,1607,1536,5536,16508,585,-1020,859
1500,-176,8512,11524,181,485,1224,900,5340,17540,988,240,526
1520,-104,8196,12316,-1368,980,319,476,5404,16920,1215,61,217
1540,-920,7672,13180,-749,-1368,-595,240,5940,16344,958,-853,65
1560,-1884,8216,12156,42,-2256,-275,1972,5864,15900,454,-1019,90
1580,-984,8028,11904,-67,284,762,952,5548,16588,334,277,350
1600,-1680,7184,11448,-3238,1537,1012,528,3948,18292,957,641,709
1620,-3984,7684,12116,-8494,5927,1578,1168,3036,18288,2098,3001,1270
1640,-5176,4252,12912,-13387,17198,4951,860,2644,17880,4105,6751,2568
1660,-6576,2736,12448,-8261,25424,7788,-460,3440,17172,4914,12379,3732
1680,-8240,2408,10304,-9048,29113,8727,-1748,2048,17092,6000,17490,5660
1700,-10580,1940,6112,-16113,32767,10686,-1392,840,17164,7120,22738,7966
1720,-13512,764,2344,-32451,32767,14291,-432,996,15304,8199,31973,10401
1740,-15496,-2316,696,-32768,32767,17670,-1764,2464,13424,7995,32767,11803
1760,-16096,-8168,-496,-32768,32767,21322,-2156,5580,9776,5317,32767,11583
1780,-20280,-7312,5752,-32768,32767,22019,-6216,7756,6916,1597,32767,10868
1800,-20816,-5480,7208,-32768,32767,21007,-11240,6972,8296,-1263,32767,10034
1820,-18536,-4776,5520,-32768,32767,19578,-13212,6952,10088,-3604,32767,9801
1840,-16240,-6480,260,-32768,26766,18486,-10356,5876,9700,-4633,28992,8348
1860,-13756,-10368,-1276,-32768,27385,18030,-9744,5544,8424,-5271,28915,6745
1880,-16228,-6376,1160,-32768,27860,15383,-11044,6376,6844,-6926,31566,4799
1900,-15776,-4764,1080,-32768,22832,12278,-12764,7456,8764,-7489,30195,2605
1920,-14132,-4480,840,-32768,18313,7492,-14096,9036,8048,-7369,27387,649
1940,-15812,-3744,1884,-32768,18369,2713,-15176,9316,6932,-7121,25506,-916
1960,-18296,-3780,4544,-32768,19677,1515,-14784,10244,4780,-7863,23759,-2075
1980,-19124,-2844,9772,-21955,17483,27,-16100,10560,5076,-8445,23218,-2344
2000,-21240,-2344,10968,-10836,10060,-2515,-16552,12728,7696,-8510,20261,-891
2020,-22976,-264,9128,-11840,1084,-1302,-13556,12356,8820,-7919,17434,-888
2040,-22676,-1144,10032,-11081,4036,3700,-11368,11940,6452,-6668,20515,-2069
2060,-24900,2000,13624,-5021,10241,9823,-13756,10672,5768,-5447,22214,-2455
2080,-16792,-4200,16380,3288,11015,14896,-13528,9936,7220,-3794,22138,-2635
2100,-16084,-2552,12376,17696,2747,10312,-15400,9004,10700,-1321,15177,-2438
2120,-14256,-4056,4644,16087,514,8775,-13584,8364,9768,1770,11089,-1701
2140,-12136,-2348,868,7644,3169,5886,-17460,8104,9184,4214,6002,-537
2160,-12932,-420,300,2466,1097,401,-18604,7828,6532,5300,-1145,738
2180,-16816,1320,1324,2399,-4151,-2853,-18248,7932,2948,5517,-6798,1687
2200,-19412,3804,-3608,3277,-4533,-2053,-13980,8180,1052,4688,-6323,2304
2220,-18056,4432,-5504,686,-2638,863,-12852,8188,308,3873,-3036,1951
2240,-13936,4452,-3572,-476,-1623,1880,-12780,8368,540,2586,-294,1326
2260,-12036,3572,-2396,-1567,-1551,1063,-12940,7992,1080,1242,-2,438
2280,-12876,3280,-1308,-1506,-1840,-475,-14560,7448,1140,232,-617,-211
2300,-14848,2960,-2536,-1570,-1648,-1485,-15076,7468,1616,-271,-1916,-289
2320,-16700,2992,-2908,-1900,-326,-606,-13656,7344,1460,-451,-671,-434
2340,-16092,3212,-1364,-2141,1009,442,-14324,7664,1392,-562,554,-548
2360,-15660,2984,-536,-894,695,739,-13828,7612,1288,-796,582,-720
2380,-15548,2908,-2304,-1037,-241,928,-14776,7488,1372,-982,1180,-672
2400,-15228,2444,-2340,-1870,-263,244,-15856,7448,1936,-764,437,-158
2420,-15940,2200,-1484,-2356,-1324,-699,-16160,7212,2212,-330,-1044,522
2440,-16292,2368,-1064,-2802,-2044,-1118,-15444,7072,1816,145,-2392,1171
2460,-15380,2388,-484,-2354,-2190,-1071,-14396,7188,1804,517,-3261,1423
2480,-15532,2700,-1024,-1062,-2193,-580,-12540,7148,1144,808,-2241,1045
2500,-15136,3448,-1560,-23,-1394,913,-12732,7100,828,879,-89,471
2520,-14604,3512,-2068,-87,158,1822,-13144,7112,772,908,1558,-110
2540,-15060,3204,-2324,-157,511,2253,-15124,6976,908,834,2022,-36
2560,-14744,2820,-2172,-72,503,996,-16736,7024,1360,935,295,314
2580,-15616,3016,-2280,-265,-1568,-512,-15108,7032,1372,1002,-1632,536
2600,-15756,3024,-1864,-651,-955,233,-12724,7160,1236,1219,-237,164
2620,-15208,2772,-468,-190,483,1591,-12732,7072,1392,1366,1879,-485
2640,-14428,2332,-680,657,1022,2088,-13632,7260,1916,1326,2498,-1014
2660,-15676,2936,-964,883,1580,1678,-14932,7408,1648,1213,1451,-1082
2680,-14304,2476,-1156,963,1249,566,-16236,7756,1708,1209,-147,-782
2700,-15536,3084,-1988,878,-637,-1124,-15784,7960,1476,1010,-2255,-361
2720,-16840,3596,-2668,-35,-1331,-887,-13628,7908,1056,935,-1783,-152
2740,-16252,3700,-1380,-1178,213,835,-13444,7944,1112,867,281,-328
2760,-14792,3188,-152,-655,101,1165,-14080,7884,1232,761,875,-470
2780,-13956,3144,-460,491,80,383,-15004,7756,1364,675,-188,-462
2800,-14808,3340,-1384,904,-581,-713,-14988,7804,1288,596,-1735,-186
2820,-16480,3800,-2644,68,-1610,-493,-14192,7720,992,609,-1509,31
2840,-15928,3720,-2760,-1670,-919,493,-13844,7664,916,551,-313,212
2860,-15032,3536,-1228,-2598,-759,789,-14284,7632,1112,416,116,268
2880,-14132,2796,-184,-1791,-974,153,-14476,7632,1188,340,-368,296
2900,-14592,3068,-624,-348,-992,-205,-13984,7520,1324,390,-886,229
2920,-15220,3080,-1472,-11,-396,139,-13648,7464,1040,517,-499,83
2940,-15308,3564,-1576,-226,-51,184,-14264,7396,1020,609,-302,48
2960,-15288,3920,-2004,-915,-470,437,-14236,7732,1016,512,-169,-6
2980,-15116,3768,-1496,-1244,200,1065,-14496,7936,856,372,612,1
