Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16244,-5084,868,-32,8,-4,12880,-9184,-3940,366,-196,-193
20,16248,-5104,568,-128,-218,60,12848,-9176,-3812,398,-342,-285
40,16172,-5060,716,30,-431,85,13048,-9068,-3740,427,-478,-339
60,16648,-4952,932,34,-361,35,13116,-9108,-4004,393,-356,-304
80,16364,-4984,868,44,-217,20,13036,-9020,-4048,370,-297,-267
100,16416,-5048,812,-18,-266,75,13104,-9164,-3924,304,-333,-261
120,16680,-5016,684,-127,-49,36,13084,-9248,-3840,334,-218,-234
140,16300,-4924,1008,-191,-2,-21,12956,-9128,-3808,348,-170,-206
160,16200,-5096,644,70,-187,96,12776,-9136,-3720,344,-388,-244
180,16248,-5012,708,52,-450,115,13020,-9308,-3812,345,-495,-329
200,16572,-4892,784,-44,-289,88,13120,-9200,-3892,335,-423,-312
220,16532,-5092,872,31,-119,-3,13152,-9212,-3876,321,-287,-255
240,16488,-5024,824,15,-80,20,13092,-9240,-3912,322,-239,-243
260,16440,-5004,924,75,-254,28,13088,-9188,-4052,287,-374,-250
280,16424,-5044,696,78,-213,25,13088,-9172,-3888,344,-383,-275
300,16348,-4944,916,90,-264,-25,13156,-9060,-3848,321,-381,-297
320,16520,-5096,552,47,-309,35,12932,-9236,-3844,305,-418,-336
340,16364,-4892,520,159,-389,17,13192,-9180,-3964,324,-458,-311
360,16432,-4904,864,187,-476,-49,13080,-9188,-3952,335,-457,-316
380,16492,-5096,1032,292,-498,-102,13060,-9172,-3836,332,-391,-322
400,16508,-4868,964,758,-632,-34,12916,-9100,-3524,188,-596,-284
420,16408,-5216,684,1111,-855,-80,12932,-9356,-4004,128,-933,-294
440,16296,-5128,684,1227,-755,-132,12952,-9488,-3828,222,-877,-402
460,16320,-5092,1008,1608,-1053,-190,12852,-9168,-3668,115,-1229,-471
480,16240,-5048,928,2011,-1630,-59,13352,-8960,-3752,-33,-1491,-433
500,16524,-4952,1264,2899,-2001,-236,13200,-9180,-3988,-150,-1566,-424
520,17108,-4760,932,3710,-1633,-409,13596,-9044,-4244,-407,-1138,-175
540,17088,-4976,600,3988,-504,-379,13604,-9312,-4332,-366,-452,17
560,16992,-4732,604,3499,1089,-330,13448,-9272,-4532,-475,231,195
580,17632,-5332,-440,3452,2140,-509,12916,-9216,-4476,-379,584,341
600,16172,-5004,820,2626,1444,-342,11488,-9608,-4764,-204,153,278
620,15688,-5168,240,2092,557,-107,11932,-9464,-4844,277,-772,-234
640,15800,-4612,528,1275,-303,66,12688,-9040,-4468,706,-893,-709
660,16212,-4240,876,645,-1014,61,13024,-8772,-4240,758,-980,-858
680,16788,-4020,1276,523,-1294,174,13344,-8708,-3960,568,-972,-748
700,16748,-4252,1144,629,-1296,191,13368,-8676,-4192,413,-1078,-612
720,17112,-4564,1132,988,-690,144,13124,-9036,-4440,272,-648,-503
740,16692,-4864,1204,1796,59,187,12808,-9068,-4428,343,-624,-542
760,16452,-5100,1880,3457,-230,283,12544,-9240,-4644,429,-823,-562
780,15828,-4852,2068,4357,-1154,148,13052,-9020,-4836,288,-864,-674
800,16380,-4472,1872,4292,-2154,-24,12824,-9096,-4860,195,-266,-728
820,17252,-5524,2592,6261,-2920,4,12416,-9756,-5480,390,819,-1137
840,16552,-4264,3664,9717,-3342,1498,11784,-9492,-4828,436,943,-1849
860,16200,-3868,3744,10403,-4420,1821,12736,-9036,-3852,-28,248,-1806
880,18728,-2788,3484,21968,-6081,3611,12352,-9268,-4584,-101,-818,-2474
900,17216,856,4212,32767,-6114,8561,14820,-8520,-2592,-988,-2525,-1327
920,18008,-756,-1100,32767,-1829,8831,15052,-7132,-996,-2143,-3232,676
940,18816,380,324,32767,3444,7911,16664,-7456,-1544,-3565,-3994,1567
960,15464,-3500,-212,26784,8193,1242,17296,-6696,-1936,-6390,2897,2027
980,6672,3448,10576,-3036,5381,-17250,16628,-7056,-2436,-7015,12944,5040
1000,22432,2576,4896,-6745,9026,-20008,15136,-7840,-4828,-8768,18689,3946
1020,20904,4192,5016,-14500,15224,-25149,18808,-8260,-5160,-10039,31006,5131
1040,20768,1028,6296,-26379,27051,-32768,20828,-7152,-3560,-12281,32767,3042
1060,19608,-492,5932,-32768,32767,-32768,20912,-7224,-2636,-13711,32767,3379
1080,17524,532,7832,-32768,32767,-32768,17624,-6604,-2044,-17039,32767,1273
1100,14408,6024,15472,-32768,32767,-32768,13824,-8296,-644,-18814,32767,2170
1120,9072,8116,15044,-32768,32767,-32768,8764,-10300,2708,-16729,32767,2762
1140,5460,-1312,-4316,-32768,32767,-32768,7216,-12640,3628,-14627,32767,220
1160,5144,-8184,-1028,-32768,24560,-32768,5012,-12808,4976,-12456,27686,-3365
1180,11600,-112,15012,-20400,12680,-23765,5356,-11168,5600,-9186,23348,-3468
1200,14868,-304,15696,-30642,5901,-11571,8716,-9380,6160,-7209,16721,-3521
1220,11752,-3268,13020,-29484,14846,-10237,14204,-8804,6180,-7737,17134,-3692
1240,8624,-5256,10276,-27367,17753,-10545,12796,-10604,7304,-6048,20050,-1649
