Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-9720,6096,9936,-131,-305,-49,-7724,10844,10712,256,-182,-213
20,-9808,6232,9700,21,-336,28,-7752,10776,10788,271,-340,-164
40,-9756,6216,9744,-277,-365,187,-7628,10784,10764,320,-470,-90
60,-9504,6216,9672,-252,-194,321,-7424,10804,10500,332,-229,2
80,-9296,6124,9580,-141,-108,261,-7640,10816,10560,235,-175,5
100,-9460,6100,9512,-231,-379,170,-7492,10816,10756,246,-336,-92
120,-9352,6008,9576,-216,-415,174,-7540,10636,10616,178,-462,-109
140,-9268,6008,9564,-225,-227,221,-7408,10612,10656,221,-344,-81
160,-9328,6096,9660,-368,-185,284,-7544,10764,10656,196,-215,-67
180,-9320,6072,9504,-291,-271,96,-7560,10732,10604,208,-332,-155
200,-9076,6064,9892,-121,-348,-87,-7460,10740,10692,226,-357,-218
220,-9272,6084,9592,-169,-383,-116,-7396,10744,10792,280,-387,-293
240,-9352,6160,9580,-231,-218,-38,-7428,10744,10780,304,-327,-313
260,-9484,6152,9672,-358,-175,-30,-7528,10888,10768,256,-310,-346
280,-9496,5912,9816,-371,-171,-46,-7568,10840,10600,189,-342,-274
300,-9496,5884,9936,-254,-478,-64,-7604,10756,10744,228,-507,-239
320,-9376,5976,9604,-105,-486,14,-7512,10756,10600,274,-530,-201
340,-9076,6260,9424,-183,-277,77,-7404,10828,10600,315,-370,-237
360,-9156,6108,9648,-431,-294,-90,-7612,10780,10672,326,-395,-332
380,-9292,5984,9788,-223,-306,-276,-7572,10820,10580,305,-437,-461
400,-9416,5968,9832,127,-322,-275,-7484,10796,10624,279,-381,-414
420,-9600,6232,9664,128,-227,-144,-7508,10928,10936,317,-375,-320
440,-9512,6152,9560,-80,-289,-102,-7436,10780,10940,353,-413,-362
460,-9412,6144,9704,-159,-216,-13,-7372,10876,10664,402,-400,-326
480,-9436,6076,9656,-151,-188,93,-7416,10880,10764,358,-304,-244
500,-9348,5880,9820,244,-122,9,-7512,10752,10508,255,-268,-209
