Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-284,-2184,17812,-319,-57,-547,1364,-3388,15608,-596,-4,-59
20,-144,-2196,17784,-340,-94,-549,1260,-3424,15608,-596,-19,-63
40,-176,-2164,17884,-310,278,-528,1428,-3376,15616,-647,-18,-75
60,-120,-2224,17836,-366,36,-528,1440,-3464,15604,-615,-56,-44
80,-232,-2068,17932,-278,-24,-502,1384,-3492,15568,-598,1,-71
100,-184,-2172,17928,-305,-39,-523,1368,-3388,15476,-551,36,-48
120,-144,-2252,17840,-348,-33,-507,1428,-3400,15684,-604,-13,-62
140,-152,-2240,17764,-319,-15,-506,1376,-3452,15620,-608,-52,-55
160,-108,-2204,17776,-290,-19,-542,1356,-3476,15484,-625,-64,-54
180,-204,-2136,17728,-316,-34,-513,1332,-3420,15676,-602,-23,-71
200,-192,-2096,17876,-357,-102,-549,1496,-3412,15600,-583,0,-55
220,-160,-2120,17892,-349,-102,-526,1460,-3444,15592,-633,-73,-32
240,-192,-2140,17816,-473,-95,-498,1460,-3316,15720,-658,-16,0
260,-196,-2060,18004,-594,-100,-510,1400,-3336,15844,-691,29,58
280,-400,-2016,18196,-924,-22,-498,1492,-3160,16100,-760,276,163
300,-580,-1936,17960,-1429,-207,-475,1688,-3116,16520,-900,429,403
320,-188,-1836,18404,-2399,-40,-416,2028,-3192,16628,-798,1227,591
340,68,-1852,18184,-2439,781,-497,2240,-2796,16172,-822,3074,1061
360,-60,-608,18432,-3352,3801,66,2344,-3400,16580,-590,4890,1664
380,-1348,-3416,20444,-2923,4662,1062,-580,-3860,17092,323,6488,2631
400,-1164,-2464,19944,-1835,5544,1670,384,-3196,17588,1319,4915,2714
420,-1416,-1244,18572,-2263,11167,3935,52,-2724,18012,2440,8131,4117
440,-6924,-1384,21944,-3414,18496,8283,-1144,-3048,19504,4373,11183,5784
460,-9016,-3260,19720,-4306,24351,14424,-2240,-2284,19732,6059,14917,8151
480,-10972,-3032,18552,-8099,29706,18904,-4308,-1552,19404,7422,19058,11101
500,-14016,-5224,18760,-10931,31401,20366,-6428,-688,18144,8191,23015,14203
520,-15612,-5548,18784,-11151,30506,22818,-8432,-748,18556,8749,24422,17652
540,-17244,-5132,15648,-12988,29564,25739,-8468,0,18048,9232,23874,20174
560,-19532,-5592,14636,-16514,29061,30623,-9852,456,16912,8980,25682,23948
580,-20620,-6544,13664,-18171,27045,32767,-11840,1800,15024,8254,25106,27101
600,-19352,-6256,11132,-18419,25405,32767,-12044,3448,12988,6511,24753,30118
620,-18312,-5956,9140,-19061,24213,32767,-11492,3964,11636,4055,25206,32767
640,-17780,-4644,6984,-21896,23114,32767,-11512,4828,9956,1095,25462,32767
660,-16096,-4676,4660,-25424,22047,32767,-11676,5056,8956,-2313,25303,32767
680,-15088,-4484,5168,-28125,17621,32767,-13032,5256,8208,-6048,22759,32767
700,-13452,-3684,4752,-29836,13693,32767,-11084,5236,7740,-9210,19027,32767
720,-12140,-3580,5108,-31355,10149,30576,-9756,4424,7400,-12637,18850,32767
740,-11040,-3520,5204,-31751,5613,27593,-10344,4056,7304,-13545,9656,30746
760,-9376,-3064,5048,-31723,3186,24932,-8884,4228,6664,-14987,8501,29213
780,-9244,-3344,5300,-31211,1574,21584,-8820,3624,6836,-16124,7441,27210
800,-8936,-2828,4864,-30947,-397,19524,-7576,3700,6328,-16685,7716,24961
