Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-1548,6464,16396,-298,31,-561,-4784,1764,14768,-572,-19,-87
20,-1564,6424,16404,-340,12,-567,-4784,1752,14748,-616,-61,-104
40,-1556,6448,16324,-311,11,-550,-4832,1828,14720,-516,-17,-90
60,-1532,6376,16328,-296,7,-503,-4692,1856,14860,-590,-78,-113
80,-1484,6512,16232,-307,39,-506,-4740,1784,14676,-613,-87,-89
100,-1556,6492,16356,-320,-5,-538,-4900,1752,14712,-546,-2,-100
120,-1624,6524,16352,-371,5,-562,-4880,1864,14716,-546,-65,-111
140,-1660,6416,16320,-366,-16,-564,-4920,1732,14760,-571,-136,-121
160,-1644,6380,16360,-335,-15,-567,-4860,1852,14768,-560,-98,-110
180,-1508,6460,16308,-310,-13,-568,-4772,1696,14912,-559,-125,-82
200,-1532,6400,16304,-356,7,-541,-4680,1804,14940,-550,-153,-99
220,-1648,6436,16268,-373,-12,-562,-4596,1832,14844,-597,-159,-110
240,-1536,6588,16368,-362,-26,-535,-4636,1768,14760,-581,-15,-122
260,-1660,6400,16360,-353,-14,-544,-4808,1684,14664,-561,-23,-133
280,-1544,6352,16372,-318,-11,-515,-4684,1844,14844,-580,-179,-86
300,-1460,6372,16544,-336,-15,-514,-5008,1724,14924,-478,-176,-77
320,-1736,6428,16660,-693,-100,-591,-4944,1712,14996,-462,-240,-89
340,-1276,6804,16584,-991,-50,-803,-4672,1908,15096,-440,-43,-146
360,-1420,6588,16612,-1180,-195,-855,-4920,2000,15308,-391,83,-113
380,-1568,6568,16680,-1706,-278,-815,-4564,2028,15280,-387,214,-79
400,-1628,6464,16824,-2159,-459,-748,-4612,1804,15340,-310,689,-55
420,-1004,6132,16652,-2669,-93,-1036,-5376,1596,15356,-340,1284,-138
440,-1644,6056,17748,-2631,565,-1675,-6100,1464,15208,-197,1719,-13
460,-2964,5804,18300,-2968,1813,-2445,-6852,988,16236,250,1519,429
480,-4900,4328,19984,-3354,2021,-1700,-7656,-472,16692,1085,3092,1970
500,-4876,2872,20516,-3575,7166,-1943,-9536,-716,15660,1550,13502,6006
520,-5488,1924,24676,-673,12492,-1898,-9384,-1160,15972,2033,15080,6896
540,-7536,2700,22172,2522,15887,619,-12304,440,17216,3372,17697,11309
560,-11512,4236,22496,3166,20128,5171,-12500,912,16564,4173,17096,15133
580,-10836,4408,20676,2398,19213,8053,-9380,1864,13256,3572,23497,20983
