Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-5652,3424,16356,-251,-32,-544,-5668,-512,14388,-593,-10,-212
20,-5616,3352,16428,-279,4,-548,-5680,-520,14480,-563,2,-194
40,-5548,3504,16316,-267,10,-516,-5740,-516,14392,-601,-55,-189
60,-5604,3504,16280,-278,-8,-509,-5616,-572,14260,-619,-73,-218
80,-5516,3464,16372,-290,-6,-538,-5644,-608,14460,-660,-88,-179
100,-5652,3420,16296,-283,-5,-524,-5652,-632,14464,-673,-59,-176
120,-5604,3360,16304,-310,-12,-548,-5636,-596,14376,-628,-35,-178
140,-5572,3500,16140,-287,-12,-550,-5744,-648,14412,-595,14,-182
160,-5684,3420,16352,-294,-3,-533,-5636,-576,14216,-600,-20,-206
180,-5628,3412,16396,-289,27,-536,-5676,-620,14432,-626,-71,-176
200,-5636,3412,16264,-266,-11,-553,-5648,-508,14432,-619,-47,-185
220,-5636,3456,16312,-283,-21,-556,-5640,-640,14420,-595,-40,-205
240,-5608,3372,16204,-271,19,-522,-5668,-544,14428,-622,-49,-277
260,-5580,3412,16424,-236,-15,-542,-5600,-580,14360,-599,-35,-279
280,-5668,3516,16332,-219,-13,-578,-5672,-656,14492,-606,2,-286
300,-5528,3488,16236,-262,-2,-596,-5620,-588,14404,-613,-79,-244
320,-5540,3404,16264,-336,-8,-546,-5528,-520,14420,-602,-58,-244
340,-5612,3276,16188,-290,-27,-516,-5560,-680,14480,-613,-48,-204
360,-5552,3352,16368,-293,4,-519,-5608,-612,14540,-646,-57,-206
380,-5604,3416,16292,-280,7,-487,-5628,-588,14456,-689,-86,-216
400,-5672,3476,16264,-349,8,-537,-5692,-700,14484,-705,-148,-287
420,-5580,3440,16284,-307,0,-545,-5620,-696,14524,-710,-228,-315
440,-5524,3488,16328,-342,35,-547,-5664,-624,14532,-714,-180,-310
460,-5336,3364,16236,-356,65,-667,-5528,-788,14600,-620,200,-274
480,-5288,3376,16428,-335,54,-876,-5284,-696,14908,-563,1208,-158
500,-4920,3616,16732,-308,15,-1352,-5648,-668,15796,-421,2146,86
520,-5692,2952,16804,-739,1020,-583,-5516,-816,16044,-794,2020,421
540,-4392,2540,17508,868,2110,-311,-5100,-1232,15072,-944,2582,647
560,-5636,2600,18260,2316,5466,28,-5712,-1192,13880,-606,5669,1264
580,-8768,1216,18436,3148,8808,305,-7580,-1972,13896,-56,8453,2554
600,-7468,-3096,14520,5450,16902,-2110,-5836,-4664,12248,796,12564,5286
620,-14808,2688,15960,5249,28486,-1654,-12848,-2720,14264,1559,20219,8343
640,-18012,3372,16060,3479,28737,-230,-16572,-1448,13972,1796,17770,10934
660,-21964,3308,14104,3275,24016,1534,-16108,-792,13488,2243,18464,14174
680,-20096,4896,9368,-1388,22098,6069,-16436,608,13156,1244,15347,16499
