Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-9300,3864,10728,-193,-106,-55,-6552,6836,14368,228,-566,-212
20,-9684,3724,10588,-87,-416,-149,-6388,6720,14444,243,-538,-245
40,-9644,3860,10476,-464,-349,-12,-6412,6664,14564,265,-418,-193
60,-9680,3688,11052,-405,-303,120,-6428,6736,14404,285,-474,-177
80,-9328,3740,11152,-180,-533,-68,-6588,6632,14444,297,-699,-271
100,-9300,3644,10864,34,-507,-73,-6072,6804,14284,387,-602,-352
120,-9556,3844,10712,332,-126,37,-6284,6756,14564,359,-428,-297
140,-9616,3804,10260,0,-451,47,-6520,6632,14636,373,-293,-230
160,-9480,3896,10280,-513,-311,-48,-6524,6840,14400,373,-482,-209
180,-9380,3736,11108,-107,-54,-45,-6396,6740,14192,263,-564,-207
200,-9256,3756,10748,-39,-251,-120,-6076,6728,14484,233,-506,-292
220,-9268,3584,10904,-16,-291,-205,-6108,6740,14548,239,-387,-415
240,-9724,3660,10760,-25,-628,-229,-6452,6656,14504,333,-507,-343
260,-9720,3796,10336,-317,-550,-5,-6496,6724,14444,336,-654,-256
280,-9724,3932,10516,-309,56,116,-6232,6740,14332,203,-397,-205
300,-9300,3660,10860,-244,159,110,-6224,6832,14392,182,-191,-222
320,-9152,3492,10960,-139,-98,-48,-6308,6644,14532,197,-297,-295
340,-9276,3696,10640,-198,-390,-186,-6208,6768,14592,268,-443,-360
360,-9760,3680,10544,-380,-544,-212,-6340,6664,14528,292,-572,-281
380,-9692,3752,10768,-313,-447,19,-6432,6768,14464,230,-534,-232
400,-9612,3656,11100,-30,-5,147,-6120,6796,14340,271,-398,-214
420,-9476,3648,10712,-71,-46,260,-6244,6704,14608,292,-109,-207
440,-9184,3760,10740,0,-40,170,-6316,6640,14516,327,-144,-212
460,-9204,3696,10548,-111,-297,-47,-6412,6800,14464,347,-351,-226
480,-9416,3824,10592,-468,-263,2,-6136,6904,14540,281,-428,-205
500,-9584,3676,10996,-305,-120,82,-6476,6752,14460,231,-402,-203
520,-9580,3548,11000,-105,-399,193,-6408,6592,14580,266,-508,-233
540,-9560,3508,10804,76,-282,32,-6380,6628,14576,339,-533,-243
560,-9632,3708,10568,-49,-593,-13,-6256,6576,14632,304,-504,-227
580,-9284,3756,10560,-298,-491,-15,-6252,6724,14416,323,-533,-192
600,-9424,3540,10696,-278,-380,2,-6180,6588,14432,278,-491,-195
620,-9212,3576,10856,-225,-78,150,-6100,6692,14356,243,-374,-231
640,-9512,3524,10832,-129,-20,105,-6140,6604,14312,266,-284,-287
660,-9332,3540,10876,-27,-192,-50,-6424,6728,14760,313,-353,-318
680,-9552,3764,10776,-113,-336,-90,-6172,6572,14560,372,-496,-300
700,-9444,3588,10728,-79,-148,107,-6020,6632,14564,363,-142,-261
720,-9500,3592,10876,98,95,166,-6212,6648,14572,369,152,-257
740,-9292,3644,10968,11,410,246,-6248,6812,14592,396,219,-290
760,-9288,3736,10760,62,-112,177,-6508,6656,14652,412,-225,-290
780,-9244,3700,10688,-45,-682,-74,-6268,6800,14432,496,-638,-275
800,-9184,3708,10784,-8,-501,-110,-6024,6632,14380,390,-649,-381
820,-9596,3656,10728,120,-104,-56,-6152,6668,14588,399,-367,-386
840,-9600,3400,10912,159,58,89,-6224,6732,14600,405,-156,-311
860,-9500,3660,10808,116,-174,137,-6368,6752,14648,451,-124,-309
880,-9192,3656,10804,29,-342,12,-6352,6832,14408,508,-349,-333
900,-9044,3680,10856,198,-153,-133,-6120,6812,14364,479,-457,-413
920,-9516,3648,10700,424,-248,-203,-6040,6744,14580,426,-403,-419
940,-9328,3728,10644,190,167,53,-6192,6716,14508,414,-267,-370
960,-9736,3720,10772,92,-23,43,-6376,6800,14560,359,-163,-377
980,-9568,3880,10916,-42,-432,-83,-6400,6744,14512,430,-360,-336
1000,-9136,3656,11084,218,-380,-97,-6132,6836,14324,446,-345,-355
1020,-8956,3800,10980,708,44,-168,-5856,6724,14268,350,-178,-466
1040,-8744,3740,11360,1124,309,-329,-6148,6652,14364,289,-256,-639
1060,-8732,3312,12284,1823,-346,-829,-6132,6760,14072,273,-333,-928
1080,-8360,3376,12348,3190,-1030,-1637,-6220,6924,14060,156,-201,-1304
1100,-8504,3500,12596,4961,-1682,-2563,-6592,6600,13888,-276,316,-1280
1120,-8620,3692,11316,7132,-2523,-4048,-6268,6900,14312,-472,432,-1706
1140,-8836,5736,7368,4571,1007,-3438,-3408,6900,15832,-325,2583,-1339
1160,-6212,14288,-11452,-20407,30607,6100,2508,6680,16184,-101,14806,-2384
1180,-19100,2488,-5632,-31759,32767,11999,1584,6940,12032,-1621,32767,-1708
1200,-32768,-188,1628,-32768,32767,23702,-3860,5584,8512,-3714,32767,395
1220,-31284,1108,7232,-28743,32767,32767,-11716,5108,7780,-3246,32767,5436
1240,-23892,-1708,10928,-26623,32767,32767,-18540,6028,8448,-1074,32767,6171
1260,-19452,-2804,19264,-18239,32767,32767,-21284,5956,8212,268,32767,4488
1280,-11600,-456,17484,-9438,18274,25555,-21728,5716,8444,3396,22823,3402
1300,-6380,248,12860,385,1470,14604,-19516,6968,8684,5626,7226,2032
1320,-5132,3128,6844,7613,-9571,3760,-16204,6488,7324,6671,-4912,1373
1340,-4876,4312,3564,11538,-16647,-5417,-16096,6680,5600,6264,-13925,481
1360,-7028,4588,3992,18567,-24092,-14169,-16432,7084,3496,5590,-22595,-1100
1380,-11220,4272,2012,27536,-32768,-21721,-16328,7668,3360,4202,-29437,-1588
