Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14260,4240,4436,337,605,424,-11696,8140,9440,264,388,-765
20,-14564,4288,4488,343,-250,71,-11808,8248,9388,454,-288,-572
40,-14008,4344,4440,529,-642,4,-11184,8264,9240,579,-365,-450
60,-13740,4288,4372,568,-322,152,-11044,8256,9264,654,-118,-413
80,-13872,4288,4172,291,-189,109,-11480,8252,9540,669,-400,-303
100,-14024,4388,4136,-49,-514,-89,-11296,8104,9512,740,-698,-168
120,-13796,4168,4348,18,-570,-22,-10908,8216,9224,757,-676,-149
140,-13608,4288,4252,327,-378,6,-11084,8036,9088,631,-440,-233
160,-13696,4436,3936,109,-19,210,-11176,8108,9220,467,-110,-280
180,-13880,4012,4464,189,-90,205,-11136,8288,9220,357,-71,-350
200,-13852,4164,4216,468,-146,167,-11040,8100,9296,283,73,-427
220,-13520,4324,4052,405,207,319,-10976,8292,9304,235,313,-516
240,-14136,4408,4352,169,184,277,-11572,8352,9336,162,177,-495
260,-14120,4476,4540,75,-307,84,-11540,8476,9320,151,-120,-363
280,-13876,4360,4236,61,-319,1,-11288,8336,9516,163,-252,-330
300,-13916,4548,4308,-40,-189,-110,-11376,8332,9324,186,-333,-260
320,-13912,4392,4344,-205,-399,-158,-11140,8372,9204,191,-495,-221
340,-13344,4328,4336,-133,-201,91,-10732,8192,9028,99,-137,-258
360,-13612,4324,4332,68,182,261,-11192,8236,9080,52,179,-372
380,-13868,4376,4160,0,204,247,-11460,8204,9380,26,64,-367
400,-14168,4516,4036,-117,-55,62,-11676,8304,9580,33,-275,-244
420,-14272,4484,4308,-319,-589,-111,-11604,8160,9320,104,-519,-129
440,-13644,4376,3980,-449,-656,-105,-11028,8120,9276,111,-478,-55
460,-13688,4340,4184,-313,-394,-128,-11340,8260,9220,122,-391,-68
480,-13568,4432,3968,-351,-296,-120,-10984,8104,9152,69,-314,-121
500,-13572,4304,4232,-448,-13,79,-10912,8104,9084,75,59,-260
520,-13608,4024,4272,-229,511,296,-10996,8040,9388,75,351,-432
540,-13576,3836,4180,41,1120,592,-10836,7904,9512,149,633,-662
560,-13960,3516,4556,196,1932,982,-10756,7776,10344,93,469,-831
580,-14404,2976,5456,574,2464,1241,-11020,7928,10408,122,369,-868
600,-14208,3444,5112,983,2645,1150,-10804,8056,10252,245,220,-916
620,-14388,3228,5696,2062,3074,1616,-10404,8328,10004,284,444,-1080
640,-14376,2636,6784,6505,3968,3089,-10452,8244,9648,745,670,-1565
660,-14016,436,9004,14799,4925,5049,-9748,8044,9556,1362,100,-2255
680,-13320,1752,9676,17407,1590,3972,-9276,8116,9988,2345,732,-3322
700,-11256,1204,8976,18903,860,3383,-10804,7768,10280,3262,-333,-4252
720,-13608,2488,8132,21463,-4413,323,-11252,8124,10208,3894,-4193,-4955
740,-14064,4580,4144,18277,-8963,-2027,-11812,8504,10816,4322,-8600,-5376
760,-14900,7220,-656,14946,-9242,-3731,-11528,8464,9668,4442,-9184,-4858
780,-15572,9640,-3300,11596,-7696,-2905,-11992,8716,8828,4142,-7019,-3693
800,-15128,10164,-3576,10893,-3615,169,-11580,8800,7340,3245,-2702,-2152
820,-14080,11076,-3940,9390,510,3458,-12232,8580,7548,2143,1965,-873
840,-12636,9904,-4780,4948,2678,3526,-14000,8076,7616,1048,2892,240
860,-11996,8908,-4120,939,922,652,-14116,7440,7376,-251,-312,753
880,-10476,7832,-2836,-2012,-1021,-1952,-12464,7376,6064,-1696,-2082,946
900,-9256,7256,-3372,-2998,705,-2917,-11132,7152,5680,-3415,-113,603
920,-10912,7672,-4764,-4335,3519,-3387,-11996,6416,6748,-5016,2645,276
940,-14384,7756,-5524,-7982,4973,-3639,-14188,5796,7256,-6321,2773,711
960,-15072,7496,-4724,-10272,6651,-1982,-12836,6036,7436,-7075,4135,1283
980,-13816,6692,-3820,-11966,10228,-268,-12180,6352,7680,-7667,7268,1471
1000,-14556,5308,-3748,-14792,12939,-618,-13632,5844,9476,-7748,9028,1765
1020,-20160,5260,-1328,-17128,10517,-1962,-15124,5656,11616,-6992,6026,2637
1040,-21032,3936,2360,-18041,7952,-721,-13672,6996,11928,-5828,4006,3558
1060,-20692,-1000,13336,-10295,6886,3107,-10940,6936,12824,-3627,6045,3298
1080,-19564,-2080,14184,-4647,3803,5373,-9572,6288,15440,-562,4554,1710
1100,-17928,-680,10692,984,6280,9296,-6780,5780,14512,2653,6071,-9
1120,-17308,1864,8368,6611,13187,16650,-7412,6380,11288,5014,11740,-1046
1140,-16296,2128,7248,9674,14613,19758,-12324,6568,10492,6729,15631,-1635
1160,-16488,1808,6768,14327,5677,15261,-16920,6684,11184,8163,9249,-1625
1180,-17528,3552,3044,17679,-7321,8739,-17544,6628,10772,9280,-2031,-1335
1200,-15264,9116,-5444,14429,-15319,3901,-17056,7160,10356,10029,-11337,-980
1220,-13860,10664,-8344,7488,-16303,529,-14144,7056,7472,10259,-13702,-280
1240,-12716,12184,-8600,3581,-11943,1624,-12664,7728,5304,9653,-9305,949
1260,-10264,11628,-7172,2362,-5786,3895,-11808,8404,4932,8235,-3509,1477
1280,-9304,10496,-4080,1217,-1444,4529,-12000,8820,4400,6564,-98,1720
